"id"	"熟性"	"科名"	"品种名称"	"定植至始收"	"叶面蜡粉"	"球茎形状"	"株幅"	"省"	"球茎纵径"	"定植期"	"译名"	"肉质"	"单产"	"播种期"	"属名"	"统一编号"	"学名"	"抗逆性"	"繁种单位"	"叶片数"	"叶柄色"	"贮藏性"	"叶簇"	"叶色"	"抗虫性"	"球茎皮色"	"球茎横径"	"叶形"	"球茎水分"	"耐涝性"	"耐旱性"	"备注"	"抗病性"	"收获期"	"单位编号"	"耐寒性"	"品种来源"	"用途"	"种质库编号"	"栽培时期"	"种子千粒重"	"株高"	"球茎重"	"耐热性"
"11"	"中"	"Cruciferae(十字花科)"	"四季苤兰"	"110"	"--"	"近圆"	"--"	"贵州"	"--"	"--"	"SI JI PIE LAN"	"脆嫩"	"1250"	"--"	"Brassica(芸薹属)"	"V04B0011"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"耐热"	"贵州农科院园艺所"	"19.0"	"--"	"--"	"开展"	"--"	"--"	"绿"	"--"	"--"	"少"	"--"	"--"	"--"	"中"	"--"	"4-B-22-37"	"--"	"贵州镇宁县"	"生熟食"	"Ⅱ4B0026"	"11-3-4"	"--"	"45.0"	"400"	"--"
"12"	"中"	"Cruciferae(十字花科)"	"苤兰"	"125"	"--"	"近圆"	"--"	"贵州"	"--"	"--"	"PIE LAN"	"艮硬"	"1000"	"--"	"Brassica(芸薹属)"	"V04B0012"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"中"	"贵州农科院园艺所"	"19.0"	"--"	"--"	"开展"	"--"	"--"	"绿"	"--"	"--"	"中"	"--"	"--"	"--"	"中"	"--"	"4-B-22-2"	"--"	"贵州镇宁县"	"生熟食"	"Ⅱ4B0027"	"11-3-4"	"--"	"35.0"	"200"	"--"
"13"	"晚"	"Cruciferae(十字花科)"	"松庄苤兰"	"150"	"--"	"近圆"	"--"	"贵州"	"--"	"--"	"SONG ZHUANG PIE LAN"	"艮硬"	"1200"	"--"	"Brassica(芸薹属)"	"V04B0013"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"强"	"贵州农科院园艺所"	"18.0"	"--"	"--"	"半直立"	"--"	"--"	"绿"	"--"	"--"	"少"	"--"	"--"	"--"	"强"	"--"	"4-B-22-33"	"--"	"贵州遵义市"	"生熟食"	"Ⅱ4B0025"	"11-3-4"	"--"	"30.0"	"800"	"--"
"14"	"中"	"Cruciferae(十字花科)"	"蒜盘子苤兰"	"120"	"--"	"扁圆"	"--"	"贵州"	"--"	"--"	"SUAN PAN ZI PIE LAN"	"脆嫩"	"1050"	"--"	"Brassica(芸薹属)"	"V04B0014"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"中"	"贵州农科院园艺所"	"16.0"	"--"	"--"	"半直立"	"--"	"--"	"绿"	"--"	"--"	"中"	"--"	"--"	"--"	"中"	"--"	"4-B-22-14"	"--"	"贵州遵义市"	"生熟食"	"Ⅱ4B0030"	"11-3-4"	"--"	"32.0"	"100"	"--"
"15"	"晚"	"Cruciferae(十字花科)"	"安阳苤兰"	"110"	"--"	"扁圆"	"--"	"河南"	"--"	"--"	"AN YANG PIE LAN"	"艮硬"	"2000"	"--"	"Brassica(芸薹属)"	"V04B0015"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"强"	"河南农科院园艺所"	"34.0"	"--"	"--"	"半直立"	"--"	"--"	"绿"	"--"	"--"	"--"	"--"	"--"	"春秋栽培"	"--"	"--"	"4B0001"	"--"	"河南安阳市"	"熟腌"	"Ⅱ4B0021"	"--"	"--"	"28.5"	"400"	"--"
"16"	"--"	"Cruciferae(十字花科)"	"焦作苤兰"	"100"	"--"	"近圆"	"--"	"河南"	"--"	"--"	"JIAO ZUO PIE LAN"	"--"	"--"	"--"	"Brassica(芸薹属)"	"V04B0016"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"河南农科院园艺所"	"32.0"	"--"	"--"	"较开展"	"--"	"--"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"4B0007"	"--"	"河南焦作市"	"--"	"Ⅱ4B0017"	"4下-8上"	"--"	"40.0"	"--"	"--"
"17"	"早"	"Cruciferae(十字花科)"	"南阳苤兰"	"90"	"--"	"近圆"	"--"	"河南"	"--"	"--"	"NAN YANG PIE LAN"	"脆嫩"	"5500"	"--"	"Brassica(芸薹属)"	"V04B0017"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"耐热"	"河南农科院园艺所"	"37.0"	"--"	"--"	"较开展"	"--"	"--"	"绿"	"--"	"--"	"--"	"--"	"--"	"春夏栽培"	"抗病"	"--"	"4B0006"	"--"	"河南南阳市"	"熟腌"	"Ⅱ4B0022"	"--"	"--"	"41.5"	"1300"	"--"
"18"	"晚"	"Cruciferae(十字花科)"	"西华苤兰"	"110"	"--"	"卵圆"	"--"	"河南"	"--"	"--"	"XI HUA PIE LAN"	"脆嫩"	"2000"	"--"	"Brassica(芸薹属)"	"V04B0018"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"中"	"河南农科院园艺所"	"25.0"	"--"	"--"	"半直立"	"--"	"--"	"紫"	"--"	"--"	"少"	"--"	"--"	"春秋栽培"	"--"	"--"	"4B0004"	"--"	"河南西华县"	"熟腌"	"Ⅱ4B0023"	"--"	"--"	"39.0"	"500"	"--"
"19"	"中"	"Cruciferae(十字花科)"	"虞城苤兰"	"105"	"--"	"扁圆"	"--"	"河南"	"--"	"--"	"YU CHENG PIE LAN"	"--"	"2500"	"--"	"Brassica(芸薹属)"	"V04B0019"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"河南农科院园艺所"	"40.0"	"--"	"--"	"较开展"	"--"	"--"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"4B0008"	"--"	"河南虞城县"	"熟腌"	"Ⅱ4B0033"	"4上-8下"	"--"	"30.0"	"447"	"--"
"20"	"中"	"Cruciferae(十字花科)"	"苤兰"	"120"	"--"	"近圆"	"--"	"黑龙"	"--"	"--"	"PIE LAN"	"脆嫩"	"1500"	"--"	"Brassica(芸薹属)"	"V04B0020"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"强"	"黑龙江省园艺所"	"16.0"	"--"	"--"	"平展"	"--"	"--"	"绿"	"--"	"--"	"中"	"--"	"--"	"--"	"强"	"--"	"10-1"	"--"	"黑龙江哈尔滨市"	"腌"	"Ⅱ4B0005"	"6上-9下"	"--"	"40.0"	"900"	"--"
"21"	"早"	"Cruciferae(十字花科)"	"早白苤兰"	"69"	"--"	"扁圆"	"--"	"江苏"	"--"	"--"	"ZAO BAI PIE LAN"	"细嫩"	"2500"	"--"	"Brassica(芸薹属)"	"V04B0021"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"耐热"	"江苏农科院蔬菜所"	"22.0"	"--"	"--"	"半直立"	"--"	"--"	"黄绿"	"--"	"--"	"多"	"--"	"--"	"--"	"中"	"--"	"79-1-3"	"--"	"江苏南京市"	"生熟食"	"Ⅱ4B0032"	"--"	"--"	"37.5"	"300"	"--"
"22"	"中"	"Cruciferae(十字花科)"	"天津大青皮"	"130"	"--"	"扁圆"	"--"	"内蒙"	"--"	"--"	"TIAN JIN DA QING PI"	"细嫩"	"4750"	"--"	"Brassica(芸薹属)"	"V04B0024"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"强"	"内蒙农科院蔬菜所"	"23.0"	"--"	"--"	"较平展"	"--"	"--"	"白绿"	"--"	"--"	"多"	"--"	"--"	"引自天津"	"中"	"--"	"内4B005"	"--"	"内蒙包头市"	"腌渍鲜食"	"Ⅱ4B0046"	"5上-9中"	"--"	"57.5"	"3300"	"--"
"23"	"中"	"Cruciferae(十字花科)"	"托县大玉头"	"140"	"--"	"近圆"	"--"	"内蒙"	"--"	"--"	"TUO XIAN DA YU TOU"	"细嫩"	"3250"	"--"	"Brassica(芸薹属)"	"V04B0028"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"强"	"内蒙农科院蔬菜所"	"16.0"	"--"	"--"	"半直立"	"--"	"--"	"绿"	"--"	"--"	"多"	"--"	"--"	"--"	"强"	"--"	"内4B008"	"--"	"内蒙托克托县"	"腌制"	"Ⅱ4B0040"	"4下-10上"	"--"	"49.5"	"1900"	"--"
"24"	"中"	"Cruciferae(十字花科)"	"固原莲兰"	"160"	"--"	"近圆"	"--"	"宁夏"	"--"	"--"	"GU YUAN LIAN LAN"	"脆嫩"	"2000"	"--"	"Brassica(芸薹属)"	"V04B0029"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"耐寒、旱强"	"宁夏农林院蔬菜室"	"42.0"	"--"	"--"	"直立"	"--"	"--"	"白绿"	"--"	"--"	"中"	"--"	"--"	"--"	"抗黑腐中"	"--"	"ⅢC89A3-2"	"--"	"宁夏固原县"	"生熟腌"	"Ⅱ4B0043"	"5中-9中-10上"	"--"	"61.9"	"100"	"--"
