"id"	"品种名称"	"叶形"	"叶色"	"种质库编号"	"叶缘"	"属名"	"繁种单位"	"单产"	"学名"	"耐旱性"	"叶柄宽"	"株幅"	"叶柄长"	"叶宽"	"叶裂刻"	"耐寒性"	"叶柄色"	"译名"	"单株重"	"备注"	"统一编号"	"抗逆性"	"抗虫性"	"种子千粒重"	"单位编号"	"播种期"	"科名"	"纤维含量"	"株型"	"熟性"	"叶长"	"叶面刺毛"	"叶面"	"耐热性"	"收获期"	"叶柄厚"	"定植期"	"省"	"品种来源"	"贮藏性"	"用途"	"耐涝性"	"株高"	"抗病性"	"栽培时期"	"品质"	"生长期"
"185"	"调羹白菜"	"长椭圆"	"绿"	"Ⅱ2B1069"	"--"	"Brassica(芸薹属)"	"云南农科院园艺所"	"51000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"强"	"--"	"--"	"--"	"--"	"--"	"--"	"白"	"DIAO GENG BAI CAI"	"1200"	"--"	"V02B0984"	"--"	"强"	"--"	"白64"	"9下-10下"	"Cruciferae(十字花科)"	"中"	"直立"	"中"	"--"	"--"	"平滑"	"--"	"1-3上"	"--"	"--"	"云南"	"云南保山县"	"--"	"--"	"--"	"42.0"	"强"	"--"	"中"	"--"
"186"	"洋白菜"	"倒卵"	"浅绿"	"Ⅱ2B1015"	"锯齿"	"Brassica(芸薹属)"	"成都市第一农科所"	"60000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"强"	"12.0"	"33x35"	"20.0"	"22.0"	"无裂刻"	"中"	"白绿"	"YANG BAI CAI"	"1500"	"--"	"V02B0985"	"--"	"中"	"--"	"C1-056"	"7-9"	"Cruciferae(十字花科)"	"中"	"半开展"	"中早"	"43.0"	"少"	"皱"	"强"	"12-3"	"1.0"	"8"	"四川"	"四川会理县"	"差"	"熟食"	"--"	"43.0"	"强"	"--"	"中"	"--"
"187"	"小白口热白菜"	"卵圆"	"浅绿"	"Ⅱ2B1016"	"全缘"	"Brassica(芸薹属)"	"成都市第一农科所"	"30000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"强"	"13.0"	"28x31"	"16.0"	"15.0"	"无裂刻"	"中"	"浅绿"	"XIAO BAI KOU RE BAI CAI"	"850"	"--"	"V02B0986"	"--"	"中"	"--"	"C1-066"	"27"	"Cruciferae(十字花科)"	"少"	"半直立"	"极早"	"30.0"	"少"	"微皱"	"强"	"49"	"0.8"	"--"	"四川"	"四川会理县"	"中"	"熟食"	"中"	"45.0"	"强"	"--"	"上"	"--"
"188"	"青梗白菜"	"卵圆"	"绿"	"Ⅱ2B1012"	"全缘"	"Brassica(芸薹属)"	"中国农科院蔬菜所"	"27900"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"中"	"4.2"	"32x26"	"8.5"	"14.0"	"无裂刻"	"中"	"浅绿"	"QING GENG BAI CAI"	"384"	"--"	"V02B0987"	"--"	"抗蚜虫中"	"2.80"	"G56"	"8上"	"Cruciferae(十字花科)"	"少"	"半直立"	"中早"	"25.0"	"无"	"平滑"	"强"	"9上"	"0.8"	"--"	"国外"	"中蔬引自亚蔬中心"	"中"	"熟食"	"中"	"29.0"	"抗病毒病强"	"--"	"上"	"--"
"189"	"黑叶白菜"	"卵圆"	"深绿"	"Ⅱ2B0990"	"全缘"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"75000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"弱"	"1.8"	"36x33"	"7.5"	"12.0"	"无裂刻"	"弱"	"浅绿"	"HEI YE BAI CAI"	"300"	"--"	"V02B0998"	"--"	"--"	"2.00"	"Bc93(92)"	"9下"	"Cruciferae(十字花科)"	"中"	"半开展"	"中"	"13.0"	"无"	"平滑"	"中"	"12上"	"0.4"	"11上"	"安徽"	"安徽桐城县"	"差"	"熟食"	"中"	"18.0"	"--"	"--"	"中"	"--"
"190"	"黄叶白菜"	"椭圆"	"绿"	"Ⅱ2B0991"	"全缘"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"80000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"中"	"4.0"	"36x34"	"11.0"	"12.0"	"无裂刻"	"中"	"白绿"	"HUANG YE BAI CAI"	"370"	"--"	"V02B0999"	"--"	"--"	"2.20"	"Bc94(92)"	"9下"	"Cruciferae(十字花科)"	"少"	"半开展"	"中早"	"15.0"	"无"	"平滑"	"中"	"12上"	"0.5"	"11上"	"安徽"	"安徽桐城县"	"差"	"熟食"	"中"	"17.0"	"--"	"--"	"上"	"--"
"191"	"白叶小白菜"	"椭圆"	"浅绿"	"Ⅱ2B0992"	"全缘"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"95000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"中"	"2.2"	"33x31"	"4.0"	"10.0"	"无裂刻"	"中"	"白绿"	"BAI YE XIAO BAI CAI"	"480"	"--"	"V02B1000"	"--"	"--"	"--"	"Bc95(92)"	"9下"	"Cruciferae(十字花科)"	"中"	"半开展"	"中晚"	"16.0"	"无"	"平滑"	"中"	"12下"	"0.4"	"11上"	"安徽"	"安徽桐城县"	"中"	"熟食"	"中"	"23.0"	"--"	"--"	"中"	"--"
"192"	"黑牯牛"	"长椭圆"	"绿"	"Ⅱ2B0993"	"波状"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"55000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"中"	"4.2"	"46x39"	"18.0"	"14.0"	"浅裂"	"中"	"浅绿"	"HEI GU NIU"	"180"	"--"	"V02B1001"	"--"	"--"	"2.50"	"Bc96(92)"	"9下"	"Cruciferae(十字花科)"	"多"	"半开展"	"中"	"20.0"	"无"	"微皱"	"中"	"12中"	"0.5"	"11上"	"安徽"	"安徽繁昌县"	"中"	"熟食"	"中"	"24.0"	"--"	"--"	"下"	"--"
"193"	"圆叶瓢梗白"	"近圆"	"绿"	"Ⅱ2B0994"	"全缘"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"58000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"中"	"2.2"	"24x20"	"3.5"	"8.5"	"无裂刻"	"弱"	"白绿"	"YUAN YE PIAO GENG BAI"	"200"	"--"	"V02B1002"	"--"	"--"	"2.00"	"Bc97(92)"	"9下"	"Cruciferae(十字花科)"	"少"	"半开展"	"中早"	"--"	"无"	"微皱"	"中"	"12中"	"0.4"	"11上"	"安徽"	"安徽歙县"	"中"	"熟食"	"中"	"16.0"	"--"	"--"	"上"	"--"
"194"	"矮脚白"	"倒卵"	"绿"	"Ⅱ2B1190"	"全缘"	"Brassica(芸薹属)"	"华中农业大学"	"--"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"3.6"	"35x29"	"7.0"	"10.0"	"无裂刻"	"--"	"白"	"AI JIAO BAI"	"290"	"--"	"V02B1120"	"--"	"--"	"--"	"Ⅲ0201407"	"--"	"Cruciferae(十字花科)"	"--"	"半开展"	"--"	"29.0"	"少"	"平滑"	"--"	"--"	"0.3"	"--"	"湖北"	"湖北长阳县"	"--"	"--"	"--"	"35.0"	"--"	"--"	"--"	"--"
