"id"	"品种名称"	"叶形"	"叶色"	"种质库编号"	"叶缘"	"属名"	"繁种单位"	"单产"	"学名"	"耐旱性"	"叶柄宽"	"株幅"	"叶柄长"	"叶宽"	"叶裂刻"	"耐寒性"	"叶柄色"	"译名"	"单株重"	"备注"	"统一编号"	"抗逆性"	"抗虫性"	"种子千粒重"	"单位编号"	"播种期"	"科名"	"纤维含量"	"株型"	"熟性"	"叶长"	"叶面刺毛"	"叶面"	"耐热性"	"收获期"	"叶柄厚"	"定植期"	"省"	"品种来源"	"贮藏性"	"用途"	"耐涝性"	"株高"	"抗病性"	"栽培时期"	"品质"	"生长期"
"205"	"南京白"	"倒卵"	"绿白"	"Ⅱ2B0641"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"37500"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"强"	"白"	"NAN JING BAI"	"350"	"--"	"V02B1194"	"--"	"强"	"--"	"Bc79(89)"	"10上中"	"Cruciferae(十字花科)"	"--"	"半直立"	"晚"	"--"	"--"	"平滑"	"--"	"3上中"	"--"	"--"	"安徽"	"安徽铜陵市"	"--"	"熟食"	"--"	"30.0"	"强"	"--"	"--"	"--"
"206"	"周集黄心乌"	"椭圆"	"黄绿"	"Ⅱ2B0638"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"60000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"白"	"ZHOU JI HUANG XIN WU"	"500"	"--"	"V02B1195"	"--"	"强"	"--"	"Bc81(89)"	"9上"	"Cruciferae(十字花科)"	"--"	"塌地"	"中晚"	"--"	"--"	"多皱"	"--"	"2下"	"--"	"--"	"安徽"	"安徽霍邱县"	"--"	"熟食"	"--"	"24.0"	"强"	"--"	"--"	"--"
"207"	"莲板油白菜"	"卵圆"	"浅绿"	"Ⅱ2A0687"	"--"	"Brassica(芸薹属)"	"福州市蔬菜科研所"	"60000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"49"	"--"	"14.0"	"--"	"--"	"--"	"LIAN BAN YOU BAI CAI"	"60"	"--"	"V02B1196"	"--"	"中"	"--"	"88-P-4"	"全年"	"Cruciferae(十字花科)"	"--"	"--"	"早"	"22.0"	"--"	"--"	"--"	"--"	"0.5"	"--"	"福建"	"福建厦门市"	"--"	"--"	"--"	"30.0"	"中"	"--"	"上"	"--"
"208"	"四季油菜"	"卵圆"	"深绿"	"Ⅱ2B1258"	"锯齿"	"Brassica(芸薹属)"	"成都市第一农科所"	"45000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"弱"	"2.5"	"22x22"	"10.0"	"16.0"	"浅裂"	"强"	"白绿"	"SI JI YOU CAI"	"200"	"--"	"V02B1197"	"--"	"强"	"1.40"	"C2-020"	"10"	"Cruciferae(十字花科)"	"少"	"半直立"	"中"	"18.0"	"少"	"微皱"	"中"	"2"	"3.0"	"11"	"四川"	"四川攀枝花市"	"差"	"--"	"中"	"33.0"	"强"	"--"	"中"	"--"
"209"	"中杆白菜"	"长椭圆"	"绿"	"Ⅱ2B1075"	"全缘"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"60000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"0.4"	"18x20"	"19.5"	"1.5"	"无裂刻"	"--"	"白"	"ZHONG GAN BAI CAI"	"60"	"--"	"V02B1198"	"--"	"--"	"1.90"	"Bc104(93)"	"8下"	"Cruciferae(十字花科)"	"中"	"直立"	"--"	"28.0"	"无"	"平滑"	"--"	"10下"	"0.5"	"9上"	"安徽"	"安徽霍邱县"	"--"	"--"	"--"	"65.0"	"--"	"--"	"--"	"--"
"210"	"D94小白菜"	"近圆"	"深绿"	"Ⅱ2B1260"	"全缘"	"Brassica(芸薹属)"	"广东农科院经作所"	"37500"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"中"	"3.5"	"32x33"	"8.5"	"19.3"	"--"	"中"	"白"	"D94 XIAO BAI CAI"	"400"	"--"	"V02B1207"	"--"	"弱"	"1.30"	"G4-113"	"4-11"	"Cruciferae(十字花科)"	"少"	"半直立"	"早"	"22.1"	"无"	"平滑"	"强"	"5-12"	"1.0"	"4下-11下"	"广东"	"广东农科院"	"差"	"熟食"	"中"	"23.0"	"强"	"--"	"上"	"--"
"211"	"小白菜"	"长椭圆"	"绿"	"Ⅱ2B0987"	"--"	"Brassica(芸薹属)"	"重庆市农科所"	"30000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"中"	"4.0"	"--"	"25.0"	"--"	"--"	"中"	"白"	"XIAO BAI CAI"	"190"	"--"	"V02B1208"	"--"	"强"	"--"	"85C2-010"	"8-9"	"Cruciferae(十字花科)"	"--"	"半开展"	"--"	"--"	"--"	"平滑"	"强"	"10-12"	"0.7"	"--"	"四川"	"四川宁南县"	"--"	"熟食"	"--"	"35.0"	"抗霜霉病强"	"--"	"--"	"--"
"212"	"小白菜"	"长椭圆"	"绿"	"Ⅱ2B1042"	"--"	"Brassica(芸薹属)"	"重庆市农科所"	"22500"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"中"	"2.6"	"--"	"19.0"	"--"	"--"	"中"	"白"	"XIAO BAI CAI"	"150"	"--"	"V02B1209"	"--"	"强"	"--"	"85C2-011"	"8-9"	"Cruciferae(十字花科)"	"--"	"半开展"	"--"	"--"	"--"	"平滑"	"强"	"10-12"	"6.8"	"--"	"四川"	"四川会理县"	"--"	"熟食"	"中"	"33.0"	"抗霜霉病强"	"--"	"--"	"--"
"213"	"香港矮脚黑叶葵扇白菜"	"近圆"	"深绿"	"Ⅱ2B1261"	"波状"	"Brassica(芸薹属)"	"广东农科院经作所"	"45000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"弱"	"2.8"	"30x34"	"8.0"	"17.0"	"无裂刻"	"中"	"白"	"XIANG GANG AI JIAO HEI YE KUI SHAN BAI C"	"250"	"--"	"V02B1210"	"--"	"--"	"2.00"	"G4-114"	"9-11"	"Cruciferae(十字花科)"	"少"	"半直立"	"中早"	"18.0"	"--"	"平滑"	"中"	"10中-1下"	"0.7"	"10-12"	"广东"	"广东引自香港"	"差"	"熟食"	"弱"	"23.0"	"--"	"--"	"中"	"--"
"214"	"黄叶大头青菜"	"近圆"	"浅绿"	"Ⅱ2B1263"	"全缘"	"Brassica(芸薹属)"	"广东农科院经作所"	"30000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"弱"	"2.5"	"30x32"	"18.0"	"15.0"	"无裂刻"	"中"	"白绿"	"HUANG YE DA TOU QING CAI"	"500"	"--"	"V02B1211"	"--"	"--"	"2.00"	"G4-116"	"10-12"	"Cruciferae(十字花科)"	"--"	"束腰"	"中"	"20.0"	"无"	"微皱"	"弱"	"11下-2"	"0.6"	"11-1"	"广东"	"广东高要县"	"中"	"熟食"	"弱"	"40.0"	"--"	"--"	"中"	"--"
"215"	"塘南白菜"	"卵圆"	"绿"	"Ⅱ2B1292"	"全缘"	"Brassica(芸薹属)"	"上海农科院园艺所"	"60000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"弱"	"5.2"	"31x28.3"	"6.9"	"11.2"	"无裂刻"	"中"	"浅绿"	"TANG NAN BAI CAI"	"470"	"--"	"V02B1229"	"--"	"中"	"2.80"	"S7-31"	"7下-9下"	"Cruciferae(十字花科)"	"少"	"束腰"	"晚"	"15.8"	"无"	"平滑"	"弱"	"9中-12下"	"0.9"	"8下-10下"	"上海"	"上海宝山县"	"中"	"熟食"	"弱"	"20.0"	"中"	"--"	"上"	"--"
"216"	"邵阳黄叶白"	"卵圆"	"浅绿"	"Ⅱ2B1308"	"全缘"	"Brassica(芸薹属)"	"湖南农科院蔬菜所"	"45000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"弱"	"5.2"	"15x32"	"12.5"	"16.0"	"无裂刻"	"中"	"白"	"SHAO YANG HUANG YE BAI"	"400"	"--"	"V02B1230"	"--"	"弱"	"2.65"	"2-B66"	"8下-9上"	"Cruciferae(十字花科)"	"少"	"半开展"	"中"	"25.5"	"无"	"平滑"	"中"	"11-2"	"0.5"	"9中下"	"湖南"	"湖南邵阳市"	"中"	"熟食"	"弱"	"27.0"	"中"	"--"	"上"	"--"
