"id"	"科名"	"可溶固形物"	"品种名称"	"原产地"	"省"	"外观评价"	"汁液"	"内质评价"	"总糖％"	"维生素C"	"风味"	"特异及用途"	"单果重评价"	"肉色"	"果实成熟期"	"肉质"	"单果重G"	"成熟期评价"	"总酸％"	"色泽"	"学名"	"统一编号"	"译名"	"果形"	"属名"	"核粘离性"	"发育期D"
"33"	"Rosaceae(蔷薇科)"	"11.4"	"别列措夫"	"法国"	"国外"	"中"	"多"	"中"	"9.7"	"4.5"	"甜酸"	"--"	"很小"	"黄绿"	"7.23"	"松脆"	"27.9"	"早"	"0.9"	"红"	"Prunus salicina Lindl.(中国李)"	"LC00085"	"BIE LIE CUO FU"	"圆"	"Prunus(李属)"	"粘"	"86"
"34"	"Rosaceae(蔷薇科)"	"12.1"	"美丽李"	"美国"	"国外"	"好"	"多"	"上"	"6.2"	"6.6"	"甜酸"	"大果,质优"	"大"	"淡黄"	"7.27"	"硬脆"	"66.3"	"早"	"1.4"	"红"	"Prunus salicina Lindl.(中国李)"	"LC00086"	"MEI LI LI"	"心脏形"	"Prunus(李属)"	"粘"	"89"
"35"	"Rosaceae(蔷薇科)"	"10.1"	"美国李大"	"美国"	"国外"	"好"	"多"	"上"	"6.3"	"5.3"	"甜酸"	"大果,质优"	"大"	"橙黄"	"7.27"	"硬脆"	"70.8"	"早"	"1.1"	"紫红"	"Prunus salicina Lindl.(中国李)"	"LC00087"	"MEI GUO LI DA"	"圆"	"Prunus(李属)"	"离"	"88"
"36"	"Rosaceae(蔷薇科)"	"11.3"	"牛心李"	"美国"	"国外"	"好"	"中"	"中下"	"5.1"	"5.6"	"酸甜涩"	"丰产,抗寒"	"小"	"橙黄"	"8.15"	"松脆"	"34.8"	"晚"	"0.9"	"红"	"Prunus salicina Lindl.(中国李)"	"LC00088"	"NIU XIN LI"	"卵圆"	"Prunus(李属)"	"粘"	"105"
"37"	"Rosaceae(蔷薇科)"	"10.4"	"晚黑"	"欧洲"	"国外"	"中"	"中"	"中"	"6.0"	"4.0"	"甜酸"	"高酸,六倍体"	"较小"	"橙黄"	"9.07"	"松软"	"43.7"	"极晚"	"2.4"	"兰"	"Prunus demestica L.(欧洲李)"	"LC00095"	"WAN HEI"	"长圆"	"Prunus(李属)"	"粘"	"124"
"38"	"Rosaceae(蔷薇科)"	"12.0"	"晚黑"	"欧洲"	"国外"	"中"	"中"	"中"	"5.8"	"3.4"	"甜酸"	"六倍体"	"较小"	"橙黄"	"9.07"	"松软"	"42.4"	"极晚"	"2.1"	"兰"	"Prunus demestica L.(欧洲李)"	"LC00096"	"WAN HEI"	"长圆"	"Prunus(李属)"	"粘"	"124"
"39"	"Rosaceae(蔷薇科)"	"13.3"	"早黑"	"欧洲"	"国外"	"中"	"多"	"中"	"7.4"	"4.5"	"甜"	"晚花,六倍体"	"小"	"绿"	"8.12"	"松软"	"35.8"	"中"	"1.8"	"兰"	"Prunus demestica L.(欧洲李)"	"LC00097"	"ZAO HEI"	"长圆"	"Prunus(李属)"	"半离"	"96"
"40"	"Rosaceae(蔷薇科)"	"17.5"	"耶鲁尔"	"美国"	"国外"	"中上"	"--"	"上"	"9.1"	"3.3"	"甜"	"高可高糖极晚熟"	"中"	"黄绿"	"8.29"	"硬脆"	"47.8"	"极晚"	"0.5"	"紫红"	"Prunus salicina Lindl.(中国李)"	"LZC10602"	"YE LU ER"	"椭圆"	"Prunus(李属)"	"离"	"121"
"41"	"Rosaceae(蔷薇科)"	"11.0"	"Riack Amber"	"澳大利亚"	"国外"	"上"	"--"	"中上"	"5.9"	"5.4"	"酸甜"	"果大丰产不抗病"	"大"	"淡黄"	"8.11"	"硬韧"	"65.1"	"中"	"1.7"	"紫黑"	"Prunus salicina Lindl.(中国李)"	"LZC11202"	"Riack Amber"	"扁圆"	"Prunus(李属)"	"粘"	"92"
"42"	"Rosaceae(蔷薇科)"	"15.6"	"爱琴"	"欧洲"	"国外"	"中"	"--"	"中上"	"8.7"	"3.8"	"甜"	"极晚熟、六倍体"	"很小"	"黄绿"	"9.08"	"松脆"	"29.3"	"极晚"	"0.8"	"紫红"	"Prunus domestica L.(欧洲李)"	"LZC11404"	"AI QIN"	"长圆"	"Prunus(李属)"	"半离"	"128"
"43"	"Rosaceae(蔷薇科)"	"12.4"	"苏丹李"	"日本"	"国外"	"中"	"--"	"中"	"8.1"	"7.0"	"甜"	"早熟"	"很小"	"红"	"7.21"	"松软"	"29.9"	"早"	"1.5"	"紫红"	"Prunus salicina Lindl.(中国李)"	"LZC11504"	"SU DAN LI"	"椭圆"	"Prunus(李属)"	"粘"	"85"
