"id"	"白发病抗性"	"谷锈严重度"	"科名"	"品种名称"	"主茎长度"	"赖氨占蛋白"	"米色"	"蝇被害指数"	"生育期"	"幼苗鞘色"	"VB1"	"单株穗重"	"主穗长度"	"玉米螟抗性"	"脂肪酸182"	"赖氨占样品"	"穗型"	"脂肪酸183"	"VB2"	"分蘖数"	"省"	"玉米螟级别"	"抽穗日数"	"白发病病率"	"东经"	"脂肪酸181"	"属名"	"统一编号"	"学名"	"谷锈反应型"	"谷瘟病级别"	"区"	"脂肪酸180"	"蝇抗性级别"	"原产地"	"抗旱性"	"粗脂肪"	"粗蛋白"	"硒"	"北纬"	"库编号"	"黑穗病率"	"幼苗叶色"	"蝇被害株率"	"单株秆重"	"刺毛长度"	"线虫病指"	"穗松紧"	"谷瘟病抗性"	"样品类型"	"单株粒重"	"主茎节数"	"粒色"	"粳糯性"	"备注"	"白发病病级"	"主茎直径"	"VE"	"千粒重"	"单位编号"	"粟芒蝇评价"	"保存单位"	"高程"	"译名"	"一株茎数"	"脂肪酸200"	"脂肪酸160"	"穗形"	"叶锈反应型"	"直链淀粉"	"生育日数"	"穗柄长"	"耐涝性"	"米香"	"双穗率"	"用途"	"赤霉病病穗"	"白背飞虱"	"支链淀粉"	"锤度"	"条锈反应型"	"籼粳"	"爆裂率"	"来源地"	"秆锈严重度"	"苗瘟"	"芽期抗寒"	"分蘖性"	"芒"	"苗期耐旱"	"蛋氨酸"	"耐瘠性"	"田间抗寒性"	"精米率"	"花生稀酸"	"总淀粉"	"秆锈反应型"	"长宽比"	"丝黑穗病率"	"灌浆抗寒性"	"穗粒数"	"出穗期"	"大斑评价"	"水份"	"壳色"	"颖尖色"	"丙氨酸"	"保存编号"	"沉淀值"	"早中晚"	"田间大斑病"	"颖壳包皮度"	"赤霉病抗性"	"保存单位_2"	"主茎叶片数"	"省编号"	"白粉反应型"	"纹枯病"	"α生育酚"	"幼苗色"	"冬春性"	"颖尖弯直"	"田间小斑病"	"倒伏性"	"赤霉病病指"	"方法及组合"	"熟期抗寒性"	"引入时间"	"育成年限"	"芒长"	"田间黑粉病"	"苗期抗寒性"	"根腐穗病级"	"糙米率"
"1728"	"--"	"--"	"Gramineae(禾本科)"	"铁8392"	"146.9"	"2.51"	"黄"	"--"	"121"	"绿"	"--"	"28.4"	"25.4"	"--"	"--"	"0.25"	"纺锤"	"--"	"--"	"--"	"辽宁"	"--"	"71.0"	"--"	"12352"	"--"	"Setaria(狗尾草属)"	"00021173"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"--"	"--"	"--"	"--"	"铁岭"	"--"	"3.99"	"9.98"	"--"	"4218"	"I1I23896"	"--"	"绿"	"--"	"19.0"	"中"	"--"	"中"	"--"	"选育"	"24.2"	"12.6"	"黄"	"粳"	"--"	"--"	"0.84"	"--"	"2.78"	"辽320"	"--"	"--"	"--"	"--"	"1.0"	"--"	"--"																																																																			
"1729"	"--"	"--"	"Gramineae(禾本科)"	"铁8638"	"137.0"	"2.43"	"黄"	"--"	"126"	"黄绿"	"--"	"23.0"	"25.7"	"--"	"--"	"0.25"	"纺锤"	"--"	"--"	"--"	"辽宁"	"--"	"70.0"	"--"	"12352"	"--"	"Setaria(狗尾草属)"	"00021174"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"--"	"--"	"--"	"--"	"铁岭"	"--"	"4.12"	"10.30"	"--"	"4218"	"I1I23897"	"--"	"黄绿"	"--"	"16.0"	"中"	"--"	"中"	"--"	"选育"	"19.0"	"12.8"	"黄"	"粳"	"--"	"--"	"0.75"	"--"	"2.46"	"辽256"	"--"	"--"	"--"	"--"	"1.0"	"--"	"--"																																																																			
"1730"	"--"	"--"	"Gramineae(禾本科)"	"铁8250"	"140.4"	"2.17"	"黄"	"--"	"118"	"淡紫"	"--"	"23.0"	"20.5"	"--"	"--"	"0.20"	"圆筒"	"--"	"--"	"--"	"辽宁"	"--"	"65.0"	"--"	"12352"	"--"	"Setaria(狗尾草属)"	"00021175"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"--"	"--"	"--"	"--"	"铁岭"	"--"	"4.46"	"9.20"	"--"	"4218"	"I1I23898"	"--"	"绿"	"--"	"14.0"	"中"	"--"	"中"	"--"	"选育"	"21.0"	"12.6"	"黄"	"粳"	"--"	"--"	"0.77"	"--"	"2.78"	"辽257"	"--"	"--"	"--"	"--"	"1.0"	"--"	"--"																																																																			
"1731"	"--"	"--"	"Gramineae(禾本科)"	"铁7924"	"144.3"	"2.15"	"黄"	"--"	"128"	"黄绿"	"--"	"23.0"	"28.5"	"--"	"--"	"0.23"	"纺锤"	"--"	"--"	"--"	"辽宁"	"--"	"71.0"	"--"	"12352"	"--"	"Setaria(狗尾草属)"	"00021176"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"--"	"--"	"--"	"--"	"铁岭"	"--"	"1.21"	"10.72"	"--"	"4218"	"I1I23899"	"--"	"黄绿"	"--"	"18.0"	"中"	"--"	"中"	"--"	"选育"	"20.4"	"12.0"	"淡黄"	"粳"	"--"	"--"	"0.81"	"--"	"2.96"	"辽258"	"--"	"--"	"--"	"--"	"1.0"	"--"	"--"																																																																			
"1732"	"--"	"--"	"Gramineae(禾本科)"	"铁8383"	"150.5"	"2.49"	"黄"	"--"	"127"	"黄绿"	"--"	"20.2"	"22.7"	"--"	"--"	"0.25"	"纺锤"	"--"	"--"	"--"	"辽宁"	"--"	"72.0"	"--"	"12352"	"--"	"Setaria(狗尾草属)"	"00021177"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"--"	"--"	"--"	"--"	"铁岭"	"--"	"4.11"	"10.05"	"--"	"4218"	"I1I23900"	"--"	"黄绿"	"--"	"16.6"	"中"	"--"	"中"	"--"	"选育"	"15.0"	"13.8"	"白"	"粳"	"--"	"--"	"0.81"	"--"	"3.36"	"辽259"	"--"	"--"	"--"	"--"	"1.0"	"--"	"--"																																																																			
"1733"	"--"	"--"	"Gramineae(禾本科)"	"铁8243"	"146.4"	"2.44"	"黄"	"--"	"124"	"黄绿"	"--"	"25.4"	"20.9"	"--"	"--"	"0.26"	"圆筒"	"--"	"--"	"--"	"辽宁"	"--"	"75.0"	"--"	"12352"	"--"	"Setaria(狗尾草属)"	"00021178"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"--"	"--"	"--"	"--"	"铁岭"	"--"	"4.19"	"10.64"	"--"	"4218"	"I1I23901"	"--"	"黄绿"	"--"	"22.0"	"中"	"--"	"紧"	"--"	"选育"	"22.0"	"14.8"	"黄"	"粳"	"--"	"--"	"0.86"	"--"	"2.35"	"辽334"	"--"	"--"	"--"	"--"	"1.0"	"--"	"--"																																																																			
"1734"	"--"	"--"	"Gramineae(禾本科)"	"铁8235"	"134.7"	"2.47"	"黄"	"--"	"124"	"绿"	"--"	"32.6"	"23.2"	"--"	"--"	"0.27"	"圆筒"	"--"	"--"	"--"	"辽宁"	"--"	"69.0"	"--"	"12352"	"--"	"Setaria(狗尾草属)"	"00021179"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"--"	"--"	"--"	"--"	"铁岭"	"--"	"4.02"	"10.94"	"--"	"4218"	"I1I23902"	"--"	"绿"	"--"	"25.4"	"中"	"--"	"中"	"--"	"选育"	"26.6"	"13.8"	"黄"	"粳"	"--"	"--"	"0.84"	"--"	"2.82"	"辽335"	"--"	"--"	"--"	"--"	"1.0"	"--"	"--"																																																																			
"1735"	"--"	"--"	"Gramineae(禾本科)"	"铁8235"	"126.2"	"2.58"	"黄"	"--"	"126"	"绿"	"--"	"22.4"	"24.6"	"--"	"--"	"0.28"	"纺锤"	"--"	"--"	"--"	"辽宁"	"--"	"70.0"	"--"	"12352"	"--"	"Setaria(狗尾草属)"	"00021180"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"--"	"--"	"--"	"--"	"铁岭"	"--"	"4.02"	"10.86"	"--"	"4218"	"I1I23903"	"--"	"绿"	"--"	"18.0"	"中"	"--"	"紧"	"--"	"选育"	"20.6"	"13.0"	"黄"	"粳"	"--"	"--"	"0.75"	"--"	"2.79"	"辽336"	"--"	"--"	"--"	"--"	"1.0"	"--"	"--"																																																																			
"1736"	"--"	"--"	"Gramineae(禾本科)"	"铁8115"	"129.7"	"2.74"	"黄"	"--"	"122"	"黄绿"	"--"	"10.0"	"23.6"	"--"	"--"	"0.24"	"纺锤"	"--"	"--"	"--"	"辽宁"	"--"	"68.0"	"--"	"12352"	"--"	"Setaria(狗尾草属)"	"00021181"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"--"	"--"	"--"	"--"	"铁岭"	"--"	"4.28"	"8.75"	"--"	"4218"	"I1I23904"	"--"	"黄绿"	"--"	"10.0"	"中"	"--"	"中"	"--"	"选育"	"7.0"	"14.4"	"黄"	"粳"	"--"	"--"	"0.54"	"--"	"2.45"	"辽260"	"--"	"--"	"--"	"--"	"1.0"	"--"	"--"																																																																			
"1737"	"--"	"--"	"Gramineae(禾本科)"	"铁8113"	"143.5"	"2.43"	"黄"	"--"	"122"	"绿"	"--"	"21.0"	"23.7"	"--"	"--"	"0.24"	"纺锤"	"--"	"--"	"--"	"辽宁"	"--"	"68.0"	"--"	"12352"	"--"	"Setaria(狗尾草属)"	"00021182"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"--"	"--"	"--"	"--"	"铁岭"	"--"	"4.11"	"9.86"	"--"	"4218"	"I1I23905"	"--"	"绿"	"--"	"15.0"	"中"	"--"	"中"	"--"	"选育"	"18.0"	"12.8"	"黄"	"粳"	"--"	"--"	"0.72"	"--"	"2.61"	"辽282"	"--"	"--"	"--"	"--"	"1.0"	"--"	"--"																																																																			
"1738"	"--"	"--"	"Gramineae(禾本科)"	"铁8113"	"151.9"	"2.89"	"黄"	"--"	"122"	"黄绿"	"--"	"20.0"	"20.2"	"--"	"--"	"0.28"	"纺锤"	"--"	"--"	"--"	"辽宁"	"--"	"69.0"	"--"	"12352"	"--"	"Setaria(狗尾草属)"	"00021183"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"--"	"--"	"--"	"--"	"铁岭"	"--"	"4.08"	"9.69"	"--"	"4218"	"I1I23906"	"--"	"黄绿"	"--"	"14.0"	"中"	"--"	"中"	"--"	"选育"	"13.0"	"13.0"	"黄"	"粳"	"--"	"--"	"0.68"	"--"	"2.40"	"辽283"	"--"	"--"	"--"	"--"	"1.0"	"--"	"--"																																																																			
