"id"	"白发病抗性"	"谷锈严重度"	"科名"	"品种名称"	"主茎长度"	"赖氨占蛋白"	"米色"	"蝇被害指数"	"生育期"	"幼苗鞘色"	"VB1"	"单株穗重"	"主穗长度"	"玉米螟抗性"	"脂肪酸182"	"赖氨占样品"	"穗型"	"脂肪酸183"	"VB2"	"分蘖数"	"省"	"玉米螟级别"	"抽穗日数"	"白发病病率"	"东经"	"脂肪酸181"	"属名"	"统一编号"	"学名"	"谷锈反应型"	"谷瘟病级别"	"区"	"脂肪酸180"	"蝇抗性级别"	"原产地"	"抗旱性"	"粗脂肪"	"粗蛋白"	"硒"	"北纬"	"库编号"	"黑穗病率"	"幼苗叶色"	"蝇被害株率"	"单株秆重"	"刺毛长度"	"线虫病指"	"穗松紧"	"谷瘟病抗性"	"样品类型"	"单株粒重"	"主茎节数"	"粒色"	"粳糯性"	"备注"	"白发病病级"	"主茎直径"	"VE"	"千粒重"	"单位编号"	"粟芒蝇评价"	"保存单位"	"高程"	"译名"	"一株茎数"	"脂肪酸200"	"脂肪酸160"	"穗形"	"叶锈反应型"	"直链淀粉"	"生育日数"	"穗柄长"	"耐涝性"	"米香"	"双穗率"	"用途"	"赤霉病病穗"	"白背飞虱"	"支链淀粉"	"锤度"	"条锈反应型"	"籼粳"	"爆裂率"	"来源地"	"秆锈严重度"	"苗瘟"	"芽期抗寒"	"分蘖性"	"芒"	"苗期耐旱"	"蛋氨酸"	"耐瘠性"	"田间抗寒性"	"精米率"	"花生稀酸"	"总淀粉"	"秆锈反应型"	"长宽比"	"丝黑穗病率"	"灌浆抗寒性"	"穗粒数"	"出穗期"	"大斑评价"	"水份"	"壳色"	"颖尖色"	"丙氨酸"	"保存编号"	"沉淀值"	"早中晚"	"田间大斑病"	"颖壳包皮度"	"赤霉病抗性"	"保存单位_2"	"主茎叶片数"	"省编号"	"白粉反应型"	"纹枯病"	"α生育酚"	"幼苗色"	"冬春性"	"颖尖弯直"	"田间小斑病"	"倒伏性"	"赤霉病病指"	"方法及组合"	"熟期抗寒性"	"引入时间"	"育成年限"	"芒长"	"田间黑粉病"	"苗期抗寒性"	"根腐穗病级"	"糙米率"
"1"	"M"	"--"	"Gramineae(禾本科)"	"爱珲当地种"	"110.2"	"2.62"	"淡黄"	"--"	"110"	"绿"	"--"	"7.7"	"15.0"	"--"	"--"	"0.38"	"圆筒形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"24.7"	"12611"	"--"	"Setaria(狗尾草属)"	"00000001"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"9"	"东北平原"	"--"	"--"	"德都"	"4"	"3.18"	"15.52"	"--"	"4831"	"I1I12493"	"--"	"绿"	"--"	"8.8"	"短"	"--"	"中"	"HS"	"地方"	"6.2"	"--"	"褐"	"粳"	"--"	"5"	"--"	"--"	"2.20"	"1"	"--"	"黑龙江黑河农科所"	"251"	"AI HUI DANG DI ZHONG"	"--"	"--"	"--"																																																																			
"2"	"M"	"--"	"Gramineae(禾本科)"	"粘谷"	"105.2"	"2.34"	"黄"	"--"	"110"	"绿"	"--"	"7.8"	"16.9"	"--"	"--"	"0.34"	"锥纺形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"25.8"	"12727"	"--"	"Setaria(狗尾草属)"	"00000002"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"6"	"东北平原"	"--"	"--"	"爱辉"	"3"	"4.20"	"14.54"	"--"	"5015"	"I1I12494"	"--"	"绿"	"--"	"5.7"	"中长"	"--"	"松"	"S"	"地方"	"4.6"	"--"	"褐黄"	"粳"	"--"	"5"	"--"	"--"	"2.20"	"2"	"--"	"黑龙江黑河农科所"	"--"	"ZHAN GU"	"--"	"--"	"--"																																																																			
"3"	"M"	"--"	"Gramineae(禾本科)"	"老来秕"	"103.2"	"2.36"	"黄"	"--"	"110"	"绿"	"--"	"7.2"	"17.2"	"--"	"--"	"0.34"	"长筒形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"19.5"	"12720"	"--"	"Setaria(狗尾草属)"	"00000003"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"8"	"东北平原"	"--"	"--"	"孙吴"	"3"	"3.86"	"14.38"	"--"	"4926"	"I1I12495"	"--"	"绿"	"--"	"8.2"	"长"	"--"	"中松"	"HS"	"地方"	"5.2"	"--"	"褐黄"	"粳"	"--"	"5"	"--"	"--"	"2.25"	"3"	"--"	"黑龙江黑河农科所"	"229"	"LAO LAI PI"	"--"	"--"	"--"																																																																			
"4"	"M"	"--"	"Gramineae(禾本科)"	"薄地和二号"	"101.1"	"2.27"	"淡黄"	"--"	"110"	"绿"	"--"	"7.8"	"18.1"	"--"	"--"	"0.34"	"纺锤形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"27.7"	"12633"	"--"	"Setaria(狗尾草属)"	"00000004"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"6"	"东北平原"	"--"	"--"	"黑龙江"	"3"	"3.36"	"15.00"	"--"	"4543"	"I1I12496"	"--"	"绿"	"--"	"6.1"	"中"	"--"	"中"	"S"	"地方"	"6.5"	"--"	"黄"	"粳"	"--"	"5"	"--"	"--"	"2.90"	"4"	"--"	"黑龙江黑河农科所"	"125"	"BAO DI HE ER HAO"	"--"	"--"	"--"																																																																			
"5"	"S"	"--"	"Gramineae(禾本科)"	"当地小穗谷子"	"100.9"	"2.29"	"黄白"	"--"	"110"	"绿"	"--"	"10.8"	"19.0"	"--"	"--"	"0.37"	"细筒形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"30.1"	"12727"	"--"	"Setaria(狗尾草属)"	"00000005"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"8"	"东北平原"	"--"	"--"	"爱辉"	"3"	"4.14"	"16.13"	"--"	"5015"	"I1I12497"	"--"	"绿"	"--"	"8.8"	"中"	"--"	"松"	"HS"	"地方"	"6.7"	"--"	"白黄"	"粳"	"--"	"7"	"--"	"--"	"2.60"	"5"	"--"	"黑龙江黑河农科所"	"--"	"DANG DI XIAO SUI GU ZI"	"--"	"--"	"--"																																																																			
"6"	"M"	"--"	"Gramineae(禾本科)"	"泡子沿谷子"	"96.3"	"2.36"	"淡黄"	"--"	"108"	"绿"	"--"	"7.5"	"17.0"	"--"	"--"	"0.36"	"锥纺形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"14.7"	"12727"	"--"	"Setaria(狗尾草属)"	"00000006"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"9"	"东北平原"	"--"	"--"	"爱辉"	"2"	"4.90"	"15.22"	"--"	"5015"	"I1I12498"	"--"	"绿"	"--"	"8.0"	"长"	"--"	"松"	"HS"	"地方"	"5.4"	"--"	"黑黄"	"粳"	"--"	"5"	"--"	"--"	"2.20"	"6"	"--"	"黑龙江黑河农科所"	"--"	"PAO ZI YAN GU ZI"	"--"	"--"	"--"																																																																			
"7"	"M"	"--"	"Gramineae(禾本科)"	"黑谷一号"	"123.0"	"2.60"	"淡黄"	"--"	"110"	"绿"	"--"	"--"	"17.0"	"--"	"--"	"0.40"	"圆锥形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"22.2"	"12729"	"--"	"Setaria(狗尾草属)"	"00000007"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"8"	"东北平原"	"--"	"--"	"黑河"	"3"	"3.35"	"15.38"	"--"	"5015"	"I1I01904"	"--"	"绿"	"--"	"--"	"中"	"--"	"紧"	"HS"	"选育"	"10.0"	"--"	"深黄"	"粳"	"--"	"5"	"--"	"--"	"2.30"	"7"	"--"	"黑龙江黑河农科所"	"128"	"HEI GU YI HAO"	"--"	"--"	"--"																																																																			
"8"	"--"	"--"	"Gramineae(禾本科)"	"逊克水里站"	"108.1"	"--"	"淡黄"	"--"	"115"	"绿"	"--"	"13.2"	"17.7"	"--"	"--"	"--"	"长纺形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"--"	"12828"	"--"	"Setaria(狗尾草属)"	"00000008"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"--"	"东北平原"	"--"	"--"	"逊克"	"--"	"--"	"--"	"--"	"4935"	"--"	"--"	"绿"	"--"	"7.8"	"中长"	"--"	"中松"	"--"	"地方"	"10.2"	"--"	"褐"	"粳"	"--"	"--"	"--"	"--"	"2.20"	"8"	"--"	"黑龙江黑河农科所"	"111"	"XUN KE SHUI LI ZHAN"	"--"	"--"	"--"																																																																			
"9"	"M"	"--"	"Gramineae(禾本科)"	"逊克大青苗"	"113.9"	"2.12"	"淡黄"	"--"	"115"	"绿"	"--"	"9.4"	"16.9"	"--"	"--"	"0.26"	"圆筒形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"12.6"	"12513"	"--"	"Setaria(狗尾草属)"	"00000009"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"6"	"东北平原"	"--"	"--"	"嫩江"	"3"	"4.78"	"12.23"	"--"	"4910"	"I1I01905"	"--"	"绿"	"--"	"9.7"	"中"	"--"	"中紧"	"S"	"地方"	"6.7"	"--"	"黄"	"粳"	"--"	"5"	"--"	"--"	"2.45"	"9"	"--"	"黑龙江黑河农科所"	"225"	"XUN KE DA QING MIAO"	"--"	"--"	"--"																																																																			
"10"	"M"	"--"	"Gramineae(禾本科)"	"逊克大粒黄"	"95.1"	"2.54"	"黄"	"--"	"115"	"绿"	"--"	"12.5"	"17.8"	"--"	"--"	"0.36"	"纺锤形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"15.8"	"12828"	"--"	"Setaria(狗尾草属)"	"00000010"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"6"	"东北平原"	"--"	"--"	"逊克"	"3"	"2.64"	"14.19"	"--"	"4935"	"I1I12499"	"--"	"绿"	"--"	"11.0"	"长"	"--"	"松"	"S"	"地方"	"8.3"	"--"	"黄"	"粳"	"--"	"5"	"--"	"--"	"2.55"	"10"	"--"	"黑龙江黑河农科所"	"111"	"XUN KE DA LI HUANG"	"--"	"--"	"--"																																																																			
"11"	"M"	"--"	"Gramineae(禾本科)"	"老来变"	"124.6"	"2.38"	"黄白"	"--"	"113"	"紫绿"	"--"	"10.0"	"20.8"	"--"	"--"	"0.38"	"纺锤形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"20.5"	"12720"	"--"	"Setaria(狗尾草属)"	"00000011"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"6"	"东北平原"	"--"	"--"	"孙吴"	"3"	"3.54"	"15.93"	"--"	"4926"	"I1I12500"	"--"	"紫绿"	"--"	"13.2"	"中"	"--"	"松"	"S"	"地方"	"+8.4"	"--"	"褐黄"	"粳"	"--"	"5"	"--"	"--"	"2.60"	"11"	"--"	"黑龙江黑河农科所"	"229"	"LAO LAI BIAN"	"--"	"--"	"--"																																																																			
"12"	"M"	"--"	"Gramineae(禾本科)"	"红粘谷"	"111.3"	"2.19"	"黄白"	"--"	"115"	"紫绿"	"--"	"7.3"	"15.7"	"--"	"--"	"0.34"	"棍棒形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"13.1"	"12828"	"--"	"Setaria(狗尾草属)"	"00000012"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"6"	"东北平原"	"--"	"--"	"逊克"	"2"	"4.00"	"15.54"	"--"	"4935"	"I1I01906"	"--"	"紫绿"	"--"	"8.9"	"中长"	"--"	"中"	"S"	"地方"	"4.7"	"--"	"红"	"粳"	"--"	"5"	"--"	"--"	"2.00"	"12"	"--"	"黑龙江黑河农科所"	"111"	"HONG ZHAN GU"	"--"	"--"	"--"																																																																			
"13"	"S"	"--"	"Gramineae(禾本科)"	"黄粘谷"	"116.6"	"2.36"	"黄白"	"--"	"115"	"绿"	"--"	"10.2"	"18.4"	"--"	"--"	"0.36"	"圆筒形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"32.0"	"12727"	"--"	"Setaria(狗尾草属)"	"00000013"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"4"	"东北平原"	"--"	"--"	"爱辉"	"2"	"4.60"	"15.24"	"--"	"5015"	"I1I12501"	"--"	"绿"	"--"	"11.7"	"中"	"--"	"松"	"R"	"地方"	"8.2"	"--"	"黄"	"粳"	"--"	"7"	"--"	"--"	"2.20"	"13"	"--"	"黑龙江黑河农科所"	"--"	"HUANG ZHAN GU"	"--"	"--"	"--"																																																																			
"14"	"M"	"--"	"Gramineae(禾本科)"	"双收"	"107.6"	"2.83"	"淡黄"	"--"	"115"	"绿"	"--"	"7.1"	"14.1"	"--"	"--"	"0.38"	"锥纺形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"10.9"	"12727"	"--"	"Setaria(狗尾草属)"	"00000014"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"7"	"东北平原"	"--"	"--"	"爱辉"	"2"	"2.63"	"13.42"	"--"	"5015"	"I1I12502"	"--"	"绿"	"--"	"7.3"	"中"	"--"	"中"	"S"	"地方"	"5.2"	"--"	"黄"	"粳"	"--"	"5"	"--"	"--"	"2.80"	"14"	"--"	"黑龙江黑河农科所"	"--"	"SHUANG SHOU"	"--"	"--"	"--"																																																																			
"15"	"M"	"--"	"Gramineae(禾本科)"	"爱晖小粒黄"	"95.1"	"2.84"	"淡黄"	"--"	"113"	"紫绿"	"--"	"5.5"	"15.7"	"--"	"--"	"0.38"	"锥纺形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"20.5"	"12727"	"--"	"Setaria(狗尾草属)"	"00000015"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"6"	"东北平原"	"--"	"--"	"爱辉"	"2"	"3.90"	"13.99"	"--"	"5015"	"I1I12503"	"--"	"紫绿"	"--"	"4.3"	"中"	"--"	"中"	"S"	"地方"	"4.9"	"--"	"黄"	"粳"	"--"	"5"	"--"	"--"	"2.00"	"15"	"--"	"黑龙江黑河农科所"	"--"	"AI HUI XIAO LI HUANG"	"--"	"--"	"--"																																																																			
"16"	"M"	"--"	"Gramineae(禾本科)"	"疙瘩青"	"105.6"	"2.47"	"黄白"	"--"	"115"	"绿"	"--"	"9.6"	"17.4"	"--"	"--"	"0.34"	"棒纺"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"22.6"	"12828"	"--"	"Setaria(狗尾草属)"	"00000016"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"7"	"东北平原"	"--"	"--"	"逊克"	"3"	"3.88"	"13.74"	"--"	"4935"	"I1I12504"	"--"	"绿"	"--"	"--"	"长"	"--"	"中松"	"S"	"地方"	"6.5"	"--"	"黄"	"粳"	"--"	"5"	"--"	"--"	"2.47"	"16"	"--"	"黑龙江黑河农科所"	"111"	"GE DA QING"	"--"	"--"	"--"																																																																			
"17"	"M"	"--"	"Gramineae(禾本科)"	"孙吴大青苗"	"106.8"	"2.60"	"黄白"	"--"	"115"	"绿"	"--"	"7.9"	"15.2"	"--"	"--"	"0.36"	"棒筒形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"21.1"	"12720"	"--"	"Setaria(狗尾草属)"	"00000017"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"5"	"东北平原"	"--"	"--"	"孙吴"	"4"	"3.22"	"13.82"	"--"	"4926"	"I1I17719"	"--"	"绿"	"--"	"9.2"	"长"	"--"	"松"	"M"	"地方"	"4.1"	"--"	"褐黄"	"粳"	"--"	"5"	"--"	"--"	"2.50"	"17"	"--"	"黑龙江黑河农科所"	"229"	"SUI WU DA QING MIAO"	"--"	"--"	"--"																																																																			
"18"	"S"	"--"	"Gramineae(禾本科)"	"孙吴水里站"	"104.7"	"2.01"	"淡黄"	"--"	"113"	"绿"	"--"	"5.0"	"16.5"	"--"	"--"	"0.30"	"锥筒形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"40.7"	"12720"	"--"	"Setaria(狗尾草属)"	"00000018"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"9"	"东北平原"	"--"	"--"	"孙吴"	"3"	"3.82"	"14.90"	"--"	"4926"	"I1I01907"	"--"	"绿"	"--"	"4.8"	"中"	"--"	"中"	"HS"	"地方"	"4.5"	"--"	"褐"	"粳"	"--"	"7"	"--"	"--"	"2.40"	"18"	"--"	"黑龙江黑河农科所"	"229"	"SUI WU SHUI LI ZHAN"	"--"	"--"	"--"																																																																			
"19"	"S"	"--"	"Gramineae(禾本科)"	"爱珲水里站"	"100.9"	"2.59"	"淡黄"	"--"	"113"	"绿"	"--"	"8.5"	"13.3"	"--"	"--"	"0.36"	"锥筒形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"38.4"	"12727"	"--"	"Setaria(狗尾草属)"	"00000019"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"7"	"东北平原"	"--"	"--"	"爱辉"	"2"	"3.42"	"13.89"	"--"	"5015"	"I1I12505"	"--"	"绿"	"--"	"9.6"	"中"	"--"	"松"	"S"	"地方"	"3.9"	"--"	"褐"	"粳"	"--"	"7"	"--"	"--"	"2.90"	"19"	"--"	"黑龙江黑河农科所"	"--"	"AI HUI SHUI LI ZHAN"	"--"	"--"	"--"																																																																			
"20"	"S"	"--"	"Gramineae(禾本科)"	"黄紧穗"	"131.2"	"1.86"	"黄"	"--"	"102"	"紫"	"--"	"10.3"	"13.0"	"--"	"--"	"0.28"	"纺锤形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"41.2"	"12513"	"--"	"Setaria(狗尾草属)"	"00000020"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"7"	"东北平原"	"--"	"--"	"嫩江"	"3"	"4.12"	"15.06"	"--"	"4910"	"I1I01908"	"--"	"紫"	"--"	"14.6"	"短"	"--"	"中"	"S"	"地方"	"7.6"	"12.4"	"淡黄"	"粳"	"--"	"7"	"--"	"--"	"2.30"	"1003"	"--"	"黑龙江克山农科所"	"225"	"HUANG JIN SUI"	"--"	"--"	"--"																																																																			
"21"	"M"	"--"	"Gramineae(禾本科)"	"老来变"	"110.6"	"1.58"	"黄"	"--"	"105"	"绿"	"--"	"12.0"	"11.6"	"--"	"--"	"0.30"	"圆锥形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"24.5"	"12658"	"--"	"Setaria(狗尾草属)"	"00000021"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"8"	"东北平原"	"--"	"--"	"海伦"	"4"	"4.70"	"19.00"	"--"	"4726"	"I1I01909"	"--"	"绿"	"--"	"7.0"	"短"	"--"	"中"	"HS"	"地方"	"10.0"	"10.2"	"黄"	"粳"	"--"	"5"	"--"	"--"	"3.00"	"1017"	"--"	"黑龙江克山农科所"	"239"	"LAO LAI BIAN"	"--"	"--"	"--"																																																																			
"22"	"M"	"--"	"Gramineae(禾本科)"	"黄沙谷"	"111.6"	"1.73"	"白黄"	"--"	"105"	"绿"	"--"	"10.8"	"15.2"	"--"	"--"	"0.29"	"纺锤形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"28.1"	"12606"	"--"	"Setaria(狗尾草属)"	"00000022"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"6"	"东北平原"	"--"	"--"	"拜泉"	"4"	"3.90"	"16.75"	"--"	"4736"	"I1I01910"	"--"	"绿"	"--"	"10.6"	"中"	"--"	"中"	"S"	"地方"	"3.9"	"11.2"	"淡黄"	"粳"	"--"	"5"	"--"	"--"	"2.30"	"1024"	"--"	"黑龙江克山农科所"	"131"	"HUANG SHA GU"	"--"	"--"	"--"																																																																			
"23"	"M"	"--"	"Gramineae(禾本科)"	"糟皮"	"106.6"	"2.83"	"黄"	"--"	"105"	"--"	"--"	"8.2"	"13.4"	"--"	"--"	"0.36"	"圆筒形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"14.5"	"12553"	"--"	"Setaria(狗尾草属)"	"00000023"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"5"	"东北平原"	"--"	"--"	"克山"	"3"	"3.34"	"12.72"	"--"	"4803"	"I1I12506"	"--"	"紫"	"--"	"5.8"	"短"	"--"	"紧"	"M"	"地方"	"6.6"	"9.0"	"淡黄"	"粳"	"--"	"5"	"--"	"--"	"2.30"	"1035"	"--"	"黑龙江克山农科所"	"228"	"ZAO PI"	"--"	"--"	"--"																																																																			
"24"	"M"	"--"	"Gramineae(禾本科)"	"佛顶珠"	"140.2"	"1.97"	"黄"	"--"	"105"	"绿"	"--"	"10.6"	"19.6"	"--"	"--"	"0.28"	"圆锥形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"18.2"	"12658"	"--"	"Setaria(狗尾草属)"	"00000024"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"9"	"东北平原"	"--"	"--"	"海伦"	"4"	"4.22"	"14.20"	"--"	"4726"	"I1I01911"	"--"	"绿"	"--"	"9.0"	"中"	"--"	"紧"	"HS"	"地方"	"9.0"	"10.2"	"淡黄"	"粳"	"--"	"5"	"--"	"--"	"2.90"	"1037"	"--"	"黑龙江克山农科所"	"239"	"FO DING ZHU"	"--"	"--"	"--"																																																																			
"25"	"M"	"--"	"Gramineae(禾本科)"	"干尖黄"	"115.2"	"2.31"	"黄"	"--"	"105"	"绿"	"--"	"12.2"	"14.2"	"--"	"--"	"0.38"	"圆锥形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"17.5"	"12630"	"--"	"Setaria(狗尾草属)"	"00000025"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"7"	"东北平原"	"--"	"--"	"北安"	"4"	"3.44"	"16.44"	"--"	"4814"	"I1I12507"	"--"	"绿"	"--"	"7.6"	"中"	"--"	"紧"	"S"	"地方"	"10.2"	"11.8"	"淡黄"	"粳"	"--"	"5"	"--"	"--"	"2.60"	"1039"	"--"	"黑龙江克山农科所"	"270"	"GAN JIAN HUANG"	"--"	"--"	"--"																																																																			
"26"	"S"	"--"	"Gramineae(禾本科)"	"黄沙谷"	"114.0"	"2.41"	"黄"	"--"	"104"	"绿"	"--"	"12.4"	"13.0"	"--"	"--"	"0.40"	"圆锥形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"33.0"	"12606"	"--"	"Setaria(狗尾草属)"	"00000026"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"8"	"东北平原"	"--"	"--"	"拜泉"	"5"	"4.08"	"16.57"	"--"	"4736"	"I1I12508"	"--"	"绿"	"--"	"9.0"	"中"	"--"	"中"	"HS"	"地方"	"10.2"	"9.2"	"淡黄"	"粳"	"--"	"7"	"--"	"--"	"2.40"	"1052"	"--"	"黑龙江克山农科所"	"131"	"HUANG SHA GU"	"--"	"--"	"--"																																																																			
"27"	"S"	"--"	"Gramineae(禾本科)"	"黄沙谷"	"--"	"2.58"	"黄"	"--"	"105"	"绿"	"--"	"10.5"	"--"	"--"	"--"	"0.38"	"圆筒形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"48.6"	"12729"	"--"	"Setaria(狗尾草属)"	"00000027"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"7"	"东北平原"	"--"	"--"	"庆安"	"5"	"3.61"	"14.70"	"--"	"4653"	"I1I12509"	"--"	"绿"	"--"	"9.5"	"短"	"--"	"紧"	"S"	"地方"	"9.0"	"9.5"	"淡黄"	"粳"	"--"	"7"	"--"	"--"	"2.40"	"1055"	"--"	"黑龙江克山农科所"	"198"	"HUANG SHA GU"	"--"	"--"	"--"																																																																			
"28"	"M"	"--"	"Gramineae(禾本科)"	"黄沙谷"	"114.8"	"2.61"	"黄"	"--"	"105"	"绿"	"--"	"13.0"	"13.4"	"--"	"--"	"0.40"	"圆筒形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"14.2"	"12611"	"--"	"Setaria(狗尾草属)"	"00000028"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"8"	"东北平原"	"--"	"--"	"德都"	"2"	"4.08"	"15.34"	"--"	"4831"	"I1I12510"	"--"	"绿"	"--"	"9.6"	"短"	"--"	"紧"	"HS"	"地方"	"10.2"	"9.6"	"淡黄"	"粳"	"--"	"5"	"--"	"--"	"2.60"	"1056"	"--"	"黑龙江克山农科所"	"251"	"HUANG SHA GU"	"--"	"--"	"--"																																																																			
"29"	"HS"	"--"	"Gramineae(禾本科)"	"黄沙谷"	"128.2"	"2.76"	"黄"	"--"	"105"	"绿"	"--"	"6.4"	"13.0"	"--"	"--"	"0.38"	"圆锥形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"53.2"	"12801"	"--"	"Setaria(狗尾草属)"	"00000029"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"8"	"东北平原"	"--"	"--"	"铁力"	"3"	"3.30"	"13.77"	"--"	"4659"	"I1I12511"	"--"	"绿"	"--"	"7.0"	"短"	"--"	"中"	"HS"	"地方"	"5.0"	"12.0"	"淡黄"	"粳"	"--"	"9"	"--"	"--"	"2.60"	"1068"	"--"	"黑龙江克山农科所"	"--"	"HUANG SHA GU"	"--"	"--"	"--"																																																																			
"30"	"M"	"--"	"Gramineae(禾本科)"	"佛顶珠"	"117.6"	"2.07"	"黄"	"--"	"105"	"绿"	"--"	"19.1"	"13.6"	"--"	"--"	"0.30"	"圆筒形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"17.2"	"12658"	"--"	"Setaria(狗尾草属)"	"00000030"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"8"	"东北平原"	"--"	"--"	"海伦"	"3"	"4.06"	"14.47"	"--"	"4726"	"I1I01912"	"--"	"绿"	"--"	"12.2"	"短"	"--"	"紧"	"HS"	"地方"	"15.4"	"10.0"	"黄"	"粳"	"--"	"5"	"--"	"--"	"3.00"	"1072"	"--"	"黑龙江克山农科所"	"239"	"FO DING ZHU"	"--"	"--"	"--"																																																																			
"31"	"S"	"--"	"Gramineae(禾本科)"	"干尖"	"117.4"	"2.18"	"黄"	"--"	"105"	"绿"	"--"	"12.6"	"16.2"	"--"	"--"	"0.38"	"圆筒形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"32.4"	"12630"	"--"	"Setaria(狗尾草属)"	"00000031"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"8"	"东北平原"	"--"	"--"	"北安"	"3"	"3.42"	"17.45"	"--"	"4814"	"I1I01913"	"--"	"绿"	"--"	"9.0"	"短"	"--"	"紧"	"HS"	"地方"	"11.0"	"10.6"	"淡黄"	"粳"	"--"	"7"	"--"	"--"	"2.80"	"1080"	"--"	"黑龙江克山农科所"	"270"	"GAN JIAN"	"--"	"--"	"--"																																																																			
"32"	"M"	"--"	"Gramineae(禾本科)"	"矮谷"	"111.6"	"2.55"	"黄"	"--"	"104"	"绿"	"--"	"10.7"	"15.6"	"--"	"--"	"0.37"	"圆锥形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"23.7"	"12553"	"--"	"Setaria(狗尾草属)"	"00000032"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"6"	"东北平原"	"--"	"--"	"克山"	"3"	"4.30"	"14.51"	"--"	"4803"	"I1I01914"	"--"	"绿"	"--"	"7.8"	"长"	"--"	"紧"	"S"	"地方"	"8.4"	"8.2"	"黄"	"粳"	"--"	"5"	"--"	"--"	"2.40"	"1085"	"--"	"黑龙江克山农科所"	"228"	"AI GU"	"--"	"--"	"--"																																																																			
