"id"	"内质评价"	"香味"	"品种名称"	"原产地"	"特异及用途"	"省"	"学名"	"可滴定酸"	"单果重评价"	"果实成熟期"	"成熟期评价"	"光泽"	"风味"	"单果重G"	"译名"	"汁液"	"外观评价"	"色泽"	"属名"	"维生素C"	"可溶固形物"	"肉质"	"可溶性糖"	"统一编号"	"果实硬度"	"果形"	"采收期D"	"采收期评价"	"科名"
"148"	"中"	"无"	"塞波扎"	"波兰"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"1.68"	"中"	"5.11"	"中早"	"强"	"酸甜"	"14.9"	"SAI BO ZHA"	"中"	"好"	"红"	"Fragaria(草莓属)"	"55.32"	"8.7"	"细"	"--"	"CME0184"	"0.28"	"圆锥"	"20"	"中"	"Rosaceae(蔷薇科)"
"149"	"中"	"有"	"大实"	"日本"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"1.89"	"中"	"5.12"	"早"	"中"	"甜酸适中"	"13.0"	"DA SHI"	"中"	"中"	"深红"	"Fragaria(草莓属)"	"56.29"	"7.1"	"细"	"--"	"CME0186"	"0.31"	"圆锥"	"25"	"中"	"Rosaceae(蔷薇科)"
"150"	"中上"	"微"	"丰香"	"日本"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"1.01"	"中"	"6.08"	"早"	"有"	"酸甜"	"11.2"	"FENG XIANG"	"较多"	"中上"	"橙红"	"Fragaria(草莓属)"	"67.58"	"8.6"	"细"	"6.12"	"CME0190"	"--"	"圆锥"	"20"	"长"	"Rosaceae(蔷薇科)"
"151"	"上"	"浓"	"红岗特利德"	"英国"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"1.04"	"小"	"6.05"	"早"	"有"	"甜酸"	"8.8"	"HONG GANG TE LI DE"	"中多"	"中"	"红"	"Fragaria(草莓属)"	"68.68"	"8.9"	"细"	"5.13"	"CME0193"	"--"	"圆锥"	"16"	"中"	"Rosaceae(蔷薇科)"
"152"	"中"	"有"	"红宝满"	"日本"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"1.07"	"中"	"3.12"	"中"	"稍有"	"甜酸"	"10.4"	"HONG BAO MAN"	"多"	"中"	"红"	"Fragaria(草莓属)"	"62.17"	"9.6"	"细"	"4.21"	"CME0194"	"--"	"圆锥"	"18"	"中"	"Rosaceae(蔷薇科)"
"153"	"中上"	"有"	"明宝"	"日本"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"1.32"	"中"	"6.06"	"早"	"有"	"酸甜"	"9.2"	"MING BAO"	"多"	"上"	"红"	"Fragaria(草莓属)"	"71.16"	"9.2"	"较细"	"6.43"	"CME0195"	"--"	"短圆锥"	"20"	"长"	"Rosaceae(蔷薇科)"
"154"	"中"	"微"	"姆托"	"法国"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"1.85"	"大"	"6.12"	"中"	"有"	"甜酸"	"19.2"	"MU TUO"	"多"	"下"	"红"	"Fragaria(草莓属)"	"62.56"	"10.4"	"细"	"5.91"	"CME0196"	"--"	"楔形"	"18"	"中"	"Rosaceae(蔷薇科)"
"155"	"中"	"有"	"全明星"	"美国"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"1.84"	"大"	"6.06"	"早"	"有"	"甜酸"	"15.4"	"QUAN MING XING"	"多"	"上"	"红"	"Fragaria(草莓属)"	"58.48"	"9.0"	"细"	"5.67"	"CME0197"	"--"	"圆锥"	"20"	"中"	"Rosaceae(蔷薇科)"
"156"	"中上"	"有"	"红衣"	"加登大"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"1.04"	"中"	"6.06"	"早"	"稍有"	"酸甜"	"9.8"	"HONG YI"	"中多"	"中"	"橙红"	"Fragaria(草莓属)"	"58.07"	"10.0"	"细"	"7.14"	"CME0198"	"--"	"圆锥"	"18"	"中"	"Rosaceae(蔷薇科)"
"157"	"上"	"有"	"宝交早生"	"日本"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"1.04"	"中"	"6.04"	"早"	"有"	"酸甜"	"12.4"	"BAO JIAO ZAO SHENG"	"中多"	"上"	"红"	"Fragaria(草莓属)"	"98.21"	"10.2"	"细软"	"6.43"	"CME0199"	"--"	"圆锥"	"22"	"长"	"Rosaceae(蔷薇科)"
"158"	"上"	"浓"	"达娜"	"日本"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"1.43"	"中"	"6.06"	"早"	"有"	"酸甜"	"10.2"	"DA NA"	"多"	"上"	"红"	"Fragaria(草莓属)"	"65.98"	"9.8"	"细"	"6.14"	"CME0200"	"--"	"圆锥"	"22"	"长"	"Rosaceae(蔷薇科)"
"159"	"中上"	"有"	"秋香"	"日本"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"1.08"	"小"	"6.08"	"早"	"有"	"甜酸"	"7.9"	"QIU XIANG"	"中多"	"中"	"橙红"	"Fragaria(草莓属)"	"85.43"	"9.2"	"较细"	"6.41"	"CME0201"	"--"	"长圆锥"	"22"	"长"	"Rosaceae(蔷薇科)"
"160"	"上"	"浓"	"卡林纳"	"波兰"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"1.07"	"小"	"3.10"	"早"	"有"	"酸甜"	"8.2"	"KA LIN NA"	"多"	"中上"	"红"	"Fragaria(草莓属)"	"64.56"	"8.2"	"细"	"5.56"	"CME0202"	"--"	"短圆锥"	"18"	"中"	"Rosaceae(蔷薇科)"
"161"	"中"	"有"	"苏维尼亚"	"比利时"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"1.42"	"极大"	"6.10"	"早"	"有"	"酸甜"	"20.4"	"SU WEI NI YA"	"中多"	"上"	"红"	"Fragaria(草莓属)"	"60.89"	"8.6"	"细软"	"4.66"	"CME0203"	"--"	"短圆锥"	"18"	"中"	"Rosaceae(蔷薇科)"
"162"	"上"	"浓"	"丽红"	"日本"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"1.05"	"小"	"6.10"	"早"	"有"	"酸甜"	"8.9"	"LI HONG"	"中多"	"上"	"深红"	"Fragaria(草莓属)"	"88.28"	"9.6"	"细"	"5.44"	"CME0204"	"--"	"圆锥"	"15"	"中"	"Rosaceae(蔷薇科)"
"163"	"中上"	"较浓"	"保加利亚"	"保加利亚"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"1.01"	"中"	"6.09"	"早"	"有"	"酸甜"	"10.4"	"BAO JIA LI YA"	"中多"	"上"	"红"	"Fragaria(草莓属)"	"74.26"	"9.8"	"较细"	"6.37"	"CME0205"	"--"	"短圆锥"	"18"	"中"	"Rosaceae(蔷薇科)"
"164"	"中"	"稍有"	"特里布特"	"美国"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"1.02"	"中"	"6.09"	"早"	"稍有"	"甜酸"	"12.0"	"TE LI BU TE"	"中多"	"中上"	"红"	"Fragaria(草莓属)"	"49.40"	"9.6"	"较细"	"5.64"	"CME0206"	"--"	"圆锥"	"20"	"中"	"Rosaceae(蔷薇科)"
