"id"	"熟性"	"天然结实"	"科名"	"PVY"	"品种名称"	"丰产性"	"晚疫病抗性"	"大小"	"征集地点"	"淀粉含量"	"病毒抗感性"	"蒸食品质"	"肉色"	"省"	"形状"	"亲本"	"皮色"	"学名"	"统一编号"	"耐储性"	"译名"	"其它"	"属名"	"品种来源"	"PVX"	"皮光滑度"	"芽眼深浅"	"送留单位"	"花色"	"整齐度"
"1"	"中"	"--"	"Solanaceae(茄科)"	"--"	"小叶子"	"中"	"--"	"--"	"四川省农科院作物所"	"13.00"	"感卷叶,抗Y病毒"	"--"	"白"	"国外"	"长卵"	"96-44×528-170"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00001"	"--"	"XIAO YE ZI"	"--"	"Solanum(茄属)"	"前中农所从美引进"	"--"	"--"	"浅"	"克山"	"浅紫蓝"	"中"
"2"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"万农4号"	"中"	"--"	"--"	"四川万县地区所"	"--"	"无皱缩花叶,卷叶"	"--"	"白"	"四川"	"椭圆"	"Pontiac×292-20"	"红"	"Solanum tuberosum L.(马铃薯)"	"MSG00002"	"--"	"WAN NONG 4 HAO"	"--"	"Solanum(茄属)"	"四川万县地区所"	"--"	"--"	"中"	"克山"	"紫"	"整齐"
"3"	"中"	"--"	"Solanaceae(茄科)"	"--"	"万薯八号"	"中"	"--"	"--"	"四川万县地区所"	"9.0"	"感卷叶,花叶"	"--"	"淡黄"	"四川"	"扁圆"	"66116×292-20"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00003"	"--"	"WAN SHU BA HAO"	"--"	"Solanum(茄属)"	"四川万县地区所"	"--"	"--"	"中"	"克山"	"白"	"整齐"
"4"	"中早"	"--"	"Solanaceae(茄科)"	"--"	"万薯九号"	"中"	"--"	"--"	"四川万县地区所"	"--"	"轻感皱缩花叶"	"--"	"白"	"四川"	"扁椭圆"	"巫峡×292-20"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00004"	"--"	"WAN SHU JIU HAO"	"--"	"Solanum(茄属)"	"四川万县地区所"	"--"	"--"	"浅"	"克山"	"浅紫"	"整齐"
"5"	"中"	"--"	"Solanaceae(茄科)"	"--"	"丰收"	"中"	"--"	"--"	"四川省农科院作物所"	"--"	"感卷叶"	"--"	"白"	"国外"	"长卵"	"火玛×B76-23"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00005"	"--"	"FENG SHOU"	"--"	"Solanum(茄属)"	"前中农所1947年引进"	"--"	"--"	"浅"	"克山"	"白"	"中"
"6"	"中早"	"--"	"Solanaceae(茄科)"	"--"	"双丰"	"高"	"--"	"--"	"上海市农科院园艺所"	"14.8"	"感皱缩花叶,较抗卷叶"	"--"	"淡黄"	"上海"	"椭圆"	"10770×卡它丁"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00006"	"--"	"SHUANG FENG"	"--"	"Solanum(茄属)"	"上海农科院园艺所"	"--"	"--"	"中"	"克山"	"白"	"中"
"7"	"中早"	"--"	"Solanaceae(茄科)"	"--"	"双丰收"	"中"	"--"	"--"	"湖北恩施地区天池山所"	"--"	"感卷叶,花叶"	"--"	"黄"	"湖北"	"扁圆"	"60-2-222×59-5-86"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00007"	"--"	"SHUANG FENG SHOU"	"--"	"Solanum(茄属)"	"湖北恩施地区天池山所"	"--"	"--"	"浅"	"克山"	"白"	"整齐"
"8"	"早"	"--"	"Solanaceae(茄科)"	"--"	"辽龄一号"	"高"	"--"	"--"	"辽宁省农科院"	"13-14.5"	"轻感卷叶"	"--"	"白"	"辽宁"	"扁圆"	"5903-2×波兰一号"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00008"	"--"	"LIAO LING YI HAO"	"--"	"Solanum(茄属)"	"辽宁农科院"	"--"	"--"	"浅"	"克山"	"白"	"中"
"9"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"宁薯一号"	"中"	"--"	"--"	"宁夏固原地区所"	"14.4"	"感卷叶"	"--"	"黄"	"宁夏"	"扁圆"	"65-17-1×65-15-17"	"红"	"Solanum tuberosum L.(马铃薯)"	"MSG00009"	"--"	"NING SHU YI HAO"	"--"	"Solanum(茄属)"	"宁夏固原地区所"	"--"	"--"	"深"	"克山"	"紫红"	"整齐"
"10"	"早"	"--"	"Solanaceae(茄科)"	"--"	"宁薯五号"	"高"	"--"	"--"	"原山西雁北所"	"--"	"中抗皱缩花叶感卷叶"	"--"	"白"	"山西"	"椭圆"	"汾原三号×同薯三号"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00010"	"--"	"NING SHU WU HAO"	"--"	"Solanum(茄属)"	"山西宁武县良种场"	"--"	"--"	"深"	"克山"	"白"	"整齐"
"11"	"中"	"--"	"Solanaceae(茄科)"	"--"	"宁薯二十号"	"高"	"--"	"--"	"原山西雁北所"	"--"	"卷感叶"	"--"	"白"	"山西"	"圆"	"晋薯三号"	"淡紫"	"Solanum tuberosum L.(马铃薯)"	"MSG00011"	"--"	"NING SHU ER SHI HAO"	"--"	"Solanum(茄属)"	"山西宁武县良种场"	"--"	"--"	"中"	"克山"	"白"	"整齐"
"12"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"克新一号"	"高"	"--"	"--"	"黑龙江克山所"	"13.0"	"感束顶,高抗卷叶抗Y病毒"	"--"	"白"	"黑龙"	"椭圆"	"374-128×波兰一号"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00012"	"--"	"KE XIN YI HAO"	"--"	"Solanum(茄属)"	"黑龙江克山马铃薯研究所"	"--"	"--"	"中"	"克山"	"浅紫"	"整齐"
"13"	"中"	"--"	"Solanaceae(茄科)"	"--"	"克新二号"	"高"	"--"	"--"	"黑龙江克山所"	"15.0"	"感皱缩花叶,卷叶及束顶"	"--"	"淡黄"	"黑龙"	"椭圆"	"德友一号×波兰一号"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00013"	"--"	"KE XIN ER HAO"	"--"	"Solanum(茄属)"	"黑龙江克山马铃薯研究所"	"--"	"--"	"深"	"克山"	"浅紫"	"整齐"
"14"	"中"	"--"	"Solanaceae(茄科)"	"--"	"克新三号"	"高"	"--"	"--"	"黑龙江克山所"	"15.0"	"感花叶,中抗卷叶及束顶"	"--"	"黄"	"黑龙"	"扁椭圆"	"德友一号×卡它丁"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00014"	"--"	"KE XIN SAN HAO"	"--"	"Solanum(茄属)"	"黑龙江克山马铃薯研究所"	"--"	"--"	"深"	"克山"	"白"	"整齐"
"15"	"早"	"--"	"Solanaceae(茄科)"	"--"	"克新四号"	"高"	"--"	"--"	"黑龙江克山所"	"12.0"	"对Y病毒过敏"	"--"	"淡黄"	"黑龙"	"椭圆"	"白头翁×卡它丁"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00015"	"--"	"KE XIN SI HAO"	"--"	"Solanum(茄属)"	"黑龙江克山马铃薯研究所"	"--"	"--"	"浅"	"克山"	"白"	"整齐"
"16"	"早"	"--"	"Solanaceae(茄科)"	"--"	"克新五号"	"中"	"--"	"--"	"黑龙江克山所"	"11.0"	"感花叶及束顶抗卷叶"	"--"	"黄"	"黑龙"	"扁椭圆"	"白头翁×卡它丁"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00016"	"--"	"KE XIN WU HAO"	"--"	"Solanum(茄属)"	"黑龙江克山马铃薯研究所"	"--"	"--"	"浅"	"克山"	"白"	"整齐"
"17"	"中"	"--"	"Solanaceae(茄科)"	"--"	"克新六号"	"高"	"--"	"--"	"黑龙江克山所"	"14.0"	"感花皱叶"	"--"	"白"	"黑龙"	"扁椭圆"	"白头翁×卡它丁"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00017"	"--"	"KE XIN LIU HAO"	"--"	"Solanum(茄属)"	"黑龙江克山马铃薯研究所"	"--"	"--"	"浅"	"克山"	"白"	"整齐"
"18"	"早"	"--"	"Solanaceae(茄科)"	"--"	"沙杂一号"	"中"	"--"	"--"	"河北坝上所"	"14.0"	"感花叶,卷叶"	"--"	"白"	"河北"	"扁圆"	"男爵×波兰一号"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00018"	"--"	"SHA ZA YI HAO"	"--"	"Solanum(茄属)"	"河北坝上所"	"--"	"--"	"浅"	"克山"	"白"	"整齐"
"19"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"沙杂十五号"	"高"	"--"	"--"	"陕西榆林地区所"	"16.0"	"抗Y病毒"	"--"	"白"	"陕西"	"扁圆"	"Apahbarbua×292-20"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00019"	"--"	"SHA ZA SHI WU HAO"	"--"	"Solanum(茄属)"	"陕西榆林地区所"	"--"	"--"	"中"	"克山"	"白"	"中"
"20"	"中"	"--"	"Solanaceae(茄科)"	"--"	"坝丰收"	"高"	"--"	"--"	"河北坝上所"	"16.0"	"感花叶"	"--"	"白"	"河北"	"长圆"	"沙杂一号芽变"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00020"	"--"	"BA FENG SHOU"	"--"	"Solanum(茄属)"	"河北坝上所"	"--"	"--"	"深"	"克山"	"白"	"整齐"
"21"	"早"	"--"	"Solanaceae(茄科)"	"--"	"七百万"	"低"	"--"	"--"	"前中农所引自美国(1935年)"	"9.0"	"感卷叶及黄矮抗Y"	"--"	"白"	"国外"	"扁圆"	"24642×U.S.D.A"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00044"	"--"	"QI BAI WAN"	"--"	"Solanum(茄属)"	"美国1933年育成"	"--"	"--"	"浅"	"克山"	"浅紫"	"中"
"22"	"中早"	"--"	"Solanaceae(茄科)"	"--"	"火玛"	"低"	"--"	"--"	"前中农所引自美国(1943年)"	"14.0"	"感XY病毒抗卷叶"	"--"	"白"	"国外"	"扁圆"	"Charlesbowing×Katahdin"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00045"	"--"	"HUO MA"	"--"	"Solanum(茄属)"	"美国1936年育成"	"--"	"--"	"深"	"克山"	"白"	"不整齐"
"23"	"中"	"--"	"Solanaceae(茄科)"	"--"	"北方红"	"中"	"--"	"--"	"引自日本(1943年)"	"10.0-17.0"	"感XY病毒"	"--"	"白有红纹"	"国外"	"椭圆"	"Lemketruhroson×pepo"	"红"	"Solanum tuberosum L.(马铃薯)"	"MSG00046"	"--"	"BEI FANG HONG"	"--"	"Solanum(茄属)"	"日本1938年育成"	"--"	"--"	"浅"	"克山"	"白"	"中"
"24"	"早"	"--"	"Solanaceae(茄科)"	"--"	"白头翁"	"高"	"--"	"--"	"原东北农科所引自东德(1955年)"	"12.0-14.0"	"感X病毒,卷叶对A病毒过敏"	"--"	"黄"	"国外"	"卵圆"	"viola×flave"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00047"	"--"	"BAI TOU WENG"	"--"	"Solanum(茄属)"	"东德"	"--"	"--"	"浅"	"克山"	"白"	"整齐"
"25"	"早"	"--"	"Solanaceae(茄科)"	"--"	"兰芽"	"低"	"--"	"--"	"引自苏联(1947年)"	"11.0"	"感X.Y.S.M病毒,中抗卷叶,对X和A病毒过敏"	"--"	"黄"	"国外"	"椭圆"	"Munstersen×Fransen"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00048"	"--"	"LAN YA"	"--"	"Solanum(茄属)"	"荷兰1910年育成"	"--"	"--"	"浅"	"克山"	"白"	"中"
"26"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"西北果"	"中"	"--"	"--"	"前中农所引自美国(1943年)"	"11.0"	"感卷叶,对A病毒免疫"	"--"	"白"	"国外"	"扁圆"	"chippewa×katahdin"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00049"	"--"	"XI BEI GUO"	"--"	"Solanum(茄属)"	"美国1938年育成"	"--"	"--"	"浅"	"克山"	"浅紫"	"中"
"27"	"早"	"--"	"Solanaceae(茄科)"	"--"	"红窝"	"高"	"--"	"--"	"前中农所引自美国(1933年)"	"12.9"	"感花叶,卷叶"	"--"	"白"	"国外"	"圆"	"Truimph×Minn-samling4-16"	"白芽眼浅红"	"Solanum tuberosum L.(马铃薯)"	"MSG00050"	"--"	"HONG WO"	"--"	"Solanum(茄属)"	"美国1933年育成"	"--"	"--"	"深"	"克山"	"浅紫"	"整齐"
"28"	"中"	"--"	"Solanaceae(茄科)"	"--"	"庐山麻皮"	"低"	"--"	"--"	"前中农所引自美国(1937年)"	"13.6"	"感束顶及皱缩花叶"	"--"	"白"	"国外"	"长"	"Burbank芽变"	"黄褐"	"Solanum tuberosum L.(马铃薯)"	"MSG00051"	"--"	"LU SHAN MA PI"	"--"	"Solanum(茄属)"	"美国1876年育成"	"--"	"--"	"浅"	"克山"	"白"	"整齐"
"29"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"苏联红"	"低"	"--"	"--"	"原东北农科所引自苏联(1950年)"	"15.0"	"感束顶及皱缩花叶"	"--"	"白"	"国外"	"椭圆"	"Centifolia×pepo"	"红"	"Solanum tuberosum L.(马铃薯)"	"MSG00052"	"--"	"SU LIAN HONG"	"--"	"Solanum(茄属)"	"德国1927年育成"	"--"	"--"	"中"	"克山"	"浅紫"	"整齐"
"30"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"婆友二号"	"高"	"--"	"--"	"原东北农科所引自波兰(1955年)"	"14.0"	"感皱缩花叶,束顶.矮生.抗Y病毒,抗卷叶"	"--"	"淡黄"	"国外"	"椭圆"	"Erika×Merkur"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00053"	"--"	"PO YOU ER HAO"	"--"	"Solanum(茄属)"	"波兰"	"--"	"--"	"中"	"克山"	"浅紫"	"中"
"31"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"金苹果"	"中"	"--"	"--"	"原东北农科所引自匈牙利(1955年)"	"13.0"	"感花皱叶及束顶"	"--"	"黄"	"国外"	"扁圆"	"Zwickamerfruhegelbe×Hindenburg"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00054"	"--"	"JIN PING GUO"	"--"	"Solanum(茄属)"	"匈牙利1940年育成"	"--"	"--"	"浅"	"克山"	"白"	"整齐"
"32"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"南湖塔"	"中"	"--"	"--"	"原东北农科所引自波兰(1955年)"	"15.0"	"感卷叶"	"--"	"黄"	"国外"	"扁圆"	"Aquila×Mittelfruhe"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00055"	"--"	"NAN HU TA"	"--"	"Solanum(茄属)"	"波兰1952年育成"	"--"	"--"	"中"	"克山"	"浅紫"	"中"
"33"	"早"	"--"	"Solanaceae(茄科)"	"--"	"德友二号"	"中"	"--"	"--"	"原东北农科所引自东德(1955年)"	"13.0"	"感花叶"	"--"	"黄"	"国外"	"椭圆"	"B.R.A.stamm4×Knehdenertstamm45"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00056"	"--"	"DE YOU ER HAO"	"--"	"Solanum(茄属)"	"东德1941年育成"	"--"	"--"	"浅"	"克山"	"浅紫"	"中"
"34"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"德友四号"	"中"	"--"	"--"	"原东北农科所引自东德(1955年)"	"16.0"	"感束顶,抗卷叶及皱花叶"	"--"	"淡黄"	"国外"	"扁圆"	"Capilla×Aqwla"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00057"	"--"	"DE YOU SI HAO"	"--"	"Solanum(茄属)"	"东德1955年育成"	"--"	"--"	"中"	"克山"	"白"	"中"
"35"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"德友五号"	"低"	"--"	"--"	"原东北农科所引逢东德(1955年)"	"11.0"	"感花叶及束顶"	"--"	"黄"	"国外"	"椭圆"	"(Edda×S.d-Bastard)×Ostbote"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00058"	"--"	"DE YOU WU HAO"	"--"	"Solanum(茄属)"	"东德1952年育成"	"--"	"--"	"中"	"克山"	"浅紫"	"不整齐"
"36"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"德友六号"	"中"	"--"	"--"	"原东北农科所引自东德(1955年)"	"13.0-15.0"	"感皱缩花叶及束顶"	"--"	"黄"	"国外"	"椭圆"	"Capella×BRA9098"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00059"	"--"	"DE YOU LIU HAO"	"--"	"Solanum(茄属)"	"东德1956年育成"	"--"	"--"	"中"	"克山"	"白"	"整齐"
"37"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"德友七号"	"中"	"--"	"--"	"原东北农科所引自东德(1955年"	"17.0"	"感皱缩花叶及束顶"	"--"	"淡黄"	"国外"	"椭圆"	"Edda×[Industrie×(Efstamm×Polanin)]"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00060"	"--"	"DE YOU QI HAO"	"--"	"Solanum(茄属)"	"东德1943年育成"	"--"	"--"	"中"	"克山"	"白"	"不整齐"
"38"	"中"	"--"	"Solanaceae(茄科)"	"--"	"川292-6"	"--"	"--"	"--"	"杂交种子引自美国"	"12.0"	"重感花卷叶"	"--"	"白"	"国外"	"长圆"	"火玛×96-28"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00104"	"--"	"CHUAN 292-6"	"--"	"Solanum(茄属)"	"前中农所"	"--"	"--"	"中"	"克山"	"白"	"整齐"
"39"	"中"	"--"	"Solanaceae(茄科)"	"--"	"川371-26"	"中"	"--"	"--"	"杂交种子引自美国"	"14.0"	"轻感花叶"	"--"	"白"	"国外"	"扁圆"	"792-88×B461-32"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00105"	"--"	"CHUAN 371-26"	"--"	"Solanum(茄属)"	"前中农所"	"--"	"--"	"中"	"克山"	"白"	"中"
"40"	"中"	"--"	"Solanaceae(茄科)"	"--"	"川374-13"	"中"	"--"	"--"	"杂交种子引自美国"	"15.0"	"感卷叶及轻花叶,抗PSTV病毒和皱缩花叶"	"--"	"白"	"国外"	"扁圆"	"火玛×B355-44"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00106"	"--"	"CHUAN 374-13"	"--"	"Solanum(茄属)"	"前中农所"	"--"	"--"	"浅"	"克山"	"白"	"整齐"
"41"	"中"	"--"	"Solanaceae(茄科)"	"--"	"川375-2"	"中"	"--"	"--"	"杂交种子引自美国"	"--"	"感卷叶,较抗皱花叶"	"--"	"白"	"国外"	"扁圆"	"96-56×46952"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00107"	"--"	"CHUAN 375-2"	"--"	"Solanum(茄属)"	"前中农所"	"--"	"--"	"中"	"克山"	"白"	"中"
"42"	"中"	"--"	"Solanaceae(茄科)"	"--"	"川375-69"	"中"	"--"	"--"	"杂交种子引自美国"	"11.0"	"感花叶及卷叶"	"--"	"白"	"国外"	"扁圆"	"96-56×B76-23"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00108"	"--"	"CHUAN 375-69"	"--"	"Solanum(茄属)"	"前中农所"	"--"	"--"	"中"	"克山"	"白"	"整齐"
"43"	"早"	"--"	"Solanaceae(茄科)"	"--"	"川375-85"	"中"	"--"	"--"	"杂交种子引自美国"	"11.0"	"感花叶,抗皱缩花叶"	"--"	"白"	"国外"	"长"	"96-56×46952"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00109"	"--"	"CHUAN 375-85"	"--"	"Solanum(茄属)"	"前中农所"	"--"	"--"	"中"	"克山"	"白"	"不整齐"
"44"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"Alpha"	"高"	"--"	"--"	"中国农科院引种室引自丹麦(1978年)"	"13.9"	"感束顶,X及卷叶病毒,对Y病毒过敏"	"--"	"淡黄"	"国外"	"扁圆"	"Paul Kruger×Preferent"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00160"	"--"	"Alpha"	"--"	"Solanum(茄属)"	"荷兰1925年育成"	"--"	"--"	"浅"	"克山"	"浅紫红"	"不整齐"
"45"	"中"	"--"	"Solanaceae(茄科)"	"--"	"Ambra"	"--"	"--"	"--"	"中国农科院作物所引自捷克"	"12.0"	"感皱缩花叶束顶,卷叶及矮生抗Y病"	"--"	"黄"	"国外"	"椭圆"	"Samling 1353"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00161"	"--"	"Ambra"	"--"	"Solanum(茄属)"	"捷克"	"--"	"--"	"凸"	"克山"	"白"	"--"
"46"	"中"	"--"	"Solanaceae(茄科)"	"--"	"Antares"	"中"	"--"	"--"	"原中央农业部引自东德"	"--"	"感Y病毒,抗卷叶"	"--"	"淡黄"	"国外"	"扁圆"	"(Capella×BRA9089)×Ora"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00162"	"--"	"Antares"	"--"	"Solanum(茄属)"	"东德1961年育成"	"--"	"--"	"中"	"克山"	"白"	"中"
"47"	"中早"	"--"	"Solanaceae(茄科)"	"--"	"Aonma"	"中"	"--"	"--"	"中国农科院作物所引自东德"	"12.0"	"感皱缩花叶"	"--"	"白"	"国外"	"长椭圆"	"--"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00163"	"--"	"Aonma"	"--"	"Solanum(茄属)"	"东德"	"--"	"--"	"浅"	"克山"	"浅紫"	"中"
"48"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"Apta"	"较高"	"--"	"--"	"中国农科院作物所引自荷兰"	"16.0"	"耐花叶抗Y.A病毒对卷叶病毒过敏(芽眼坏死)"	"--"	"黄"	"国外"	"长椭圆"	"Hinden burg"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00164"	"--"	"Apta"	"--"	"Solanum(茄属)"	"西德1951年育成"	"--"	"--"	"中"	"克山"	"浅兰"	"中"
"49"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"Arran Banner"	"--"	"--"	"--"	"中国农科院作物所引自苏联"	"--"	"感花皱叶和束顶"	"--"	"白"	"国外"	"圆"	"Abrndance×Flourball"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00165"	"--"	"Arran Banner"	"--"	"Solanum(茄属)"	"英国1927年育成"	"--"	"--"	"中"	"克山"	"白"	"中"
"50"	"中早"	"--"	"Solanaceae(茄科)"	"--"	"Arran signetnew"	"低"	"--"	"--"	"原四川农科所引自苏联"	"10.0"	"感皱缩花叶及束顶"	"--"	"白"	"国外"	"长椭圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00166"	"--"	"Arran signetnew"	"--"	"Solanum(茄属)"	"英国"	"--"	"--"	"中"	"克山"	"白"	"不整齐"
"51"	"中早"	"--"	"Solanaceae(茄科)"	"--"	"Atica"	"高"	"--"	"--"	"中国农科院引种室引自东德(1979年)"	"9.7"	"感束顶"	"--"	"黄"	"国外"	"椭圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00167"	"--"	"Atica"	"--"	"Solanum(茄属)"	"--"	"--"	"--"	"中"	"克山"	"白"	"整齐"
"52"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"Augusta"	"中"	"--"	"--"	"中国农科院作物所引自波兰"	"16.0"	"感Y病毒及束顶"	"--"	"黄"	"国外"	"圆"	"Bona×Sumling(W-Rosse)"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00168"	"--"	"Augusta"	"--"	"Solanum(茄属)"	"西德1951年育成"	"--"	"--"	"中"	"克山"	"白"	"整齐"
"53"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"Aula"	"中"	"--"	"--"	"中国农科院品资所引自西德(1979年)"	"15.9"	"感束顶及卷叶"	"--"	"黄"	"国外"	"扁椭圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00169"	"--"	"Aula"	"--"	"Solanum(茄属)"	"--"	"--"	"--"	"浅"	"克山"	"白"	"不整齐"
"54"	"早"	"--"	"Solanaceae(茄科)"	"--"	"Auriga"	"中"	"--"	"--"	"中央农业部引自波兰"	"--"	"抗卷叶,中抗X.Y病毒"	"--"	"黄"	"国外"	"椭圆"	"Bona×Fruhmolle"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00170"	"--"	"Auriga"	"--"	"Solanum(茄属)"	"东德1961年育成"	"--"	"--"	"浅"	"克山"	"白"	"中"
"55"	"中"	"--"	"Solanaceae(茄科)"	"--"	"Avon"	"高"	"--"	"--"	"自东北农学院引入(1976年)"	"12.6"	"抗卷叶,感X.Y病毒"	"--"	"白"	"国外"	"椭圆"	"U.S.D.A.96-56×1464-26"	"黄白"	"Solanum tuberosum L.(马铃薯)"	"MSG00171"	"--"	"Avon"	"--"	"Solanum(茄属)"	"加拿大1958年育成"	"--"	"--"	"浅"	"克山"	"白"	"整齐"
"56"	"中早"	"--"	"Solanaceae(茄科)"	"--"	"Baltyk"	"--"	"--"	"--"	"中国农科院作物所引入"	"--"	"感卷叶及束顶"	"--"	"白"	"国外"	"扁圆"	"Samling×Samling"	"紫"	"Solanum tuberosum L.(马铃薯)"	"MSG00172"	"--"	"Baltyk"	"--"	"Solanum(茄属)"	"波兰1951年育成"	"--"	"--"	"中"	"克山"	"浅兰"	"整齐"
"57"	"中"	"--"	"Solanaceae(茄科)"	"--"	"Batoche"	"高"	"--"	"--"	"克山农科所引入"	"12.1"	"感束顶"	"--"	"乳白"	"国外"	"椭圆"	"--"	"红"	"Solanum tuberosum L.(马铃薯)"	"MSG00173"	"--"	"Batoche"	"--"	"Solanum(茄属)"	"--"	"--"	"--"	"浅"	"克山"	"浅紫兰"	"整齐"
"58"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"Beale"	"高"	"--"	"--"	"中国农科院品资所引自冰岛(1979年)"	"13.9"	"感束顶及Y病毒"	"--"	"淡黄"	"国外"	"椭圆"	"--"	"红"	"Solanum tuberosum L.(马铃薯)"	"MSG00174"	"--"	"Beale"	"--"	"Solanum(茄属)"	"--"	"--"	"--"	"浅"	"克山"	"浅紫兰"	"不整齐"
"59"	"中"	"--"	"Solanaceae(茄科)"	"--"	"Belleisle"	"高"	"--"	"--"	"中国农科院品资所引自加拿大(1978年)"	"12.9"	"感卷叶"	"--"	"乳白"	"国外"	"椭圆"	"834(29)(Black)×F4724"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00175"	"--"	"Belleisle"	"--"	"Solanum(茄属)"	"加拿大"	"--"	"--"	"浅"	"克山"	"白"	"整齐"
"60"	"中"	"--"	"Solanaceae(茄科)"	"--"	"Beta"	"--"	"--"	"--"	"中国农科院作物所引自波兰"	"--"	"感花叶"	"--"	"黄"	"国外"	"椭圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00176"	"--"	"Beta"	"--"	"Solanum(茄属)"	"波兰"	"--"	"--"	"浅"	"克山"	"白"	"--"
"61"	"中早"	"--"	"Solanaceae(茄科)"	"--"	"Bison"	"中"	"--"	"--"	"克山农科所引自加拿大(1978年)"	"14.1"	"感X病毒.PSTV,抗Y病毒"	"--"	"黄白"	"国外"	"椭圆"	"ND4652-2R×ND5124-1R"	"红"	"Solanum tuberosum L.(马铃薯)"	"MSG00177"	"--"	"Bison"	"--"	"Solanum(茄属)"	"美国"	"--"	"--"	"浅"	"克山"	"紫"	"整齐"
"62"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"Blekit"	"中"	"--"	"--"	"中国农科院作物所引自苏联(1959年)"	"13.0"	"感花皱叶"	"--"	"黄"	"国外"	"椭圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00178"	"--"	"Blekit"	"--"	"Solanum(茄属)"	"波兰"	"--"	"--"	"中"	"克山"	"蓝紫"	"整齐"
