"id"	"熟性"	"天然结实"	"科名"	"PVY"	"品种名称"	"丰产性"	"晚疫病抗性"	"大小"	"征集地点"	"淀粉含量"	"病毒抗感性"	"蒸食品质"	"肉色"	"省"	"形状"	"亲本"	"皮色"	"学名"	"统一编号"	"耐储性"	"译名"	"其它"	"属名"	"品种来源"	"PVX"	"皮光滑度"	"芽眼深浅"	"送留单位"	"花色"	"整齐度"
"607"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"Cruza-27"	"低"	"--"	"--"	"CIP(1985)"	"15.1"	"感束顶,X病毒,对Y病毒过敏"	"--"	"黄"	"国外"	"扁椭圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00392"	"--"	"Cruza-27"	"--"	"Solanum(茄属)"	"墨西哥"	"--"	"--"	"中"	"克山"	"浅紫"	"不整齐"
"608"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"Cruza-148"	"低"	"--"	"--"	"CIP(1984)"	"16.4"	"感LR、X、Y病毒"	"--"	"黄"	"国外"	"--"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00393"	"--"	"Cruza-148"	"--"	"Solanum(茄属)"	"墨西哥"	"--"	"--"	"中"	"克山"	"浅紫"	"整齐"
"609"	"中"	"--"	"Solanaceae(茄科)"	"--"	"Delta Gold"	"低"	"--"	"--"	"美国(1985)"	"11.4"	"感皱缩花叶"	"--"	"黄"	"国外"	"扁圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00394"	"--"	"Delta Gold"	"--"	"Solanum(茄属)"	"美国"	"--"	"--"	"浅"	"克山"	"白"	"不整齐"
"610"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"DGV-33"	"低"	"--"	"--"	"CIP(1984)"	"13.6"	"感束顶、X、Y病毒"	"--"	"黄"	"国外"	"长椭圆"	"--"	"深紫"	"Solanum tuberosum L.(马铃薯)"	"MSG00395"	"--"	"DGV-33"	"--"	"Solanum(茄属)"	"秘鲁"	"--"	"--"	"浅"	"克山"	"紫"	"整齐"
"611"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"F-2"	"低"	"--"	"--"	"CIP(1985)"	"8.6"	"感束顶、LR、X、Y病毒"	"--"	"淡黄"	"国外"	"圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00396"	"--"	"F-2"	"--"	"Solanum(茄属)"	"CIP"	"--"	"--"	"中紫"	"克山"	"紫"	"--"
"612"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"F-7"	"低"	"--"	"--"	"CIP(1985)"	"16.9"	"感束顶、花叶"	"--"	"白"	"国外"	"--"	"--"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00397"	"--"	"F-7"	"--"	"Solanum(茄属)"	"CIP"	"--"	"--"	"浅红"	"克山"	"浅兰紫"	"--"
"613"	"早"	"--"	"Solanaceae(茄科)"	"--"	"F70021-1"	"中"	"--"	"--"	"加拿大(1985)"	"11.9"	"感 皱缩花叶、束顶"	"--"	"白"	"国外"	"椭圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00398"	"--"	"F70021-1"	"--"	"Solanum(茄属)"	"加拿大"	"--"	"--"	"浅"	"克山"	"白"	"整齐"
"614"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"Gabriela"	"低"	"--"	"--"	"CIP(1985)"	"19.2"	"感 束顶、LR、X病害,对Y病毒过敏"	"--"	"淡黄"	"国外"	"椭圆"	"--"	"淡紫"	"Solanum tuberosum L.(马铃薯)"	"MSG00399"	"--"	"Gabriela"	"--"	"Solanum(茄属)"	"厄瓜多尔"	"--"	"--"	"浅"	"克山"	"浅紫"	"整齐"
"615"	"中"	"--"	"Solanaceae(茄科)"	"--"	"Gasore"	"中"	"--"	"--"	"CIP(1985)"	"21.6"	"感X病毒,对病害过敏"	"--"	"黄"	"国外"	"椭圆"	"--"	"红"	"Solanum tuberosum L.(马铃薯)"	"MSG00400"	"--"	"Gasore"	"--"	"Solanum(茄属)"	"卢旺达"	"--"	"--"	"浅"	"克山"	"浅紫"	"不整齐"
"616"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"GLKS-58-1642"	"--"	"--"	"--"	"CIP(1984)"	"--"	"感束顶,抗X、Y病害"	"--"	"黄"	"国外"	"倒卵"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00401"	"--"	"GLKS-58-1642"	"--"	"Solanum(茄属)"	"DDR"	"--"	"--"	"浅"	"克山"	"白"	"--"
"617"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"Haga"	"低"	"--"	"--"	"CIP(1984)"	"15.4"	"感皱缩花叶"	"--"	"黄"	"国外"	"长形"	"--"	"深黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00402"	"--"	"Haga"	"--"	"Solanum(茄属)"	"西德"	"--"	"--"	"浅"	"克山"	"白"	"整齐"
"618"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"Hudson"	"高"	"--"	"--"	"CIP(1985)"	"15.6"	"感 LR、X、Y病毒"	"--"	"白"	"国外"	"椭圆"	"--"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00403"	"--"	"Hudson"	"--"	"Solanum(茄属)"	"美国"	"--"	"--"	"浅"	"克山"	"白"	"不整齐"
"619"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"Huinkul"	"中"	"--"	"--"	"CIP(1984)"	"12.9"	"感束顶、LR,X病毒,抗Y病毒"	"--"	"乳白"	"国外"	"圆"	"--"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00404"	"--"	"Huinkul"	"--"	"Solanum(茄属)"	"阿根廷"	"--"	"--"	"浅"	"克山"	"浅紫"	"不整齐"
"620"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"Giewont"	"高"	"--"	"--"	"中国农科院作物所引自波兰(1959年)"	"11.4"	"感皱缩花叶"	"--"	"黄"	"国外"	"扁椭圆"	"Wisla×B.R.A.9089"	"黄白"	"Solanum tuberosum L.(马铃薯)"	"MSG00213"	"--"	"Giewont"	"--"	"Solanum(茄属)"	"波兰1955年育成"	"--"	"--"	"深"	"克山"	"浅紫"	"不整齐"
"621"	"--"	"--"	"Solanaceae(茄科)"	"--"	"Great scot"	"--"	"--"	"--"	"中国农科院作物所引自波兰"	"--"	"感卷叶及束顶"	"--"	"黄"	"国外"	"圆"	"Imperator×champion"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00214"	"--"	"Great scot"	"--"	"Solanum(茄属)"	"英国1909年育成"	"--"	"--"	"浅"	"克山"	"白"	"中"
"622"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"Gulzow 633"	"中"	"--"	"--"	"--"	"15.0"	"感束顶,抗A、Y及卷叶病毒"	"--"	"白"	"国外"	"扁圆"	"--"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00215"	"--"	"Gulzow 633"	"--"	"Solanum(茄属)"	"德国"	"--"	"--"	"深"	"克山"	"篮紫"	"整齐"
"623"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"Herbstgelbe"	"中"	"--"	"--"	"中国农科院作物所引自波兰(1959年)"	"16.0-18.0"	"感花叶及花皱叶"	"--"	"淡黄"	"国外"	"长椭圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00216"	"--"	"Herbstgelbe"	"--"	"Solanum(茄属)"	"德国"	"--"	"--"	"中"	"克山"	"浅紫"	"不整齐"
"624"	"中"	"--"	"Solanaceae(茄科)"	"--"	"Home Guard"	"高"	"--"	"--"	"中国农科院作物所引自波兰(1959年)"	"14.0"	"感皱缩花叶,对A病毒过敏"	"--"	"白"	"国外"	"圆"	"Doonpearl×Cumnoek"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00217"	"--"	"Home Guard"	"--"	"Solanum(茄属)"	"英国1942年育成"	"--"	"--"	"中"	"克山"	"白"	"中"
"625"	"早"	"--"	"Solanaceae(茄科)"	"--"	"Hunter"	"低"	"--"	"--"	"中国农科院品资所引自加拿大(1976年)"	"12.4"	"感卷叶及束顶,对X及Y病毒田间免疫"	"--"	"白"	"国外"	"圆"	"F4823×834(C)"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00218"	"--"	"Hunter"	"--"	"Solanum(茄属)"	"加拿大1963年育成"	"--"	"--"	"浅"	"克山"	"浅紫"	"中"
"626"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"Industria"	"中"	"--"	"--"	"中国农科院作硪所引自波兰(1959年)"	"17"	"感皱缩花叶及卷叶"	"--"	"淡黄"	"国外"	"椭圆"	"Zwickauer Fruhkarto ffel×simson"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00219"	"--"	"Industria"	"--"	"Solanum(茄属)"	"德国1900年育成"	"--"	"--"	"中"	"克山"	"紫红"	"中"
"627"	"--"	"--"	"Solanaceae(茄科)"	"--"	"India72-1055"	"高"	"--"	"--"	"克山农科所引自CIP(1978年)"	"10.4"	"感束顶"	"--"	"白"	"国外"	"扁圆"	"--"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00220"	"--"	"India72-1055"	"--"	"Solanum(茄属)"	"印度"	"--"	"--"	"浅"	"克山"	"白"	"中"
"628"	"中早"	"--"	"Solanaceae(茄科)"	"--"	"Isola"	"中"	"--"	"--"	"中国农科院品资所引自西德(1970年)"	"13.9"	"感束顶"	"--"	"黄"	"国外"	"椭圆"	"St.2285/44×Aybriel-sorte"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00221"	"--"	"Isola"	"--"	"Solanum(茄属)"	"西德"	"--"	"--"	"浅"	"克山"	"--"	"中"
"629"	"中早"	"--"	"Solanaceae(茄科)"	"--"	"Jaerla"	"中"	"--"	"--"	"中国农科院引自罗马尼亚(1978年)"	"11.1"	"感卷叶及束顶"	"--"	"淡黄"	"国外"	"倒卵"	"Sirtema×M.P.I19268"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00222"	"--"	"Jaerla"	"--"	"Solanum(茄属)"	"荷兰1969年育成"	"--"	"--"	"中"	"克山"	"白"	"整齐"
"630"	"中"	"--"	"Solanaceae(茄科)"	"--"	"Jansok F3"	"中"	"--"	"--"	"中央农业部种子局引自冰岛(1980年)"	"12.4"	"--"	"--"	"乳白"	"国外"	"椭圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00223"	"--"	"Jansok F3"	"--"	"Solanum(茄属)"	"--"	"--"	"--"	"中"	"克山"	"白"	"整齐"
