"id"	"科名"	"冬繁殖系数"	"浮膘数"	"品种名称"	"共生腔形状"	"泡胶块突起"	"五氧化二磷"	"根长"	"春固氮活性"	"小孢果形状"	"氮"	"保存单位号"	"藻异形胞"	"大孢果颜色"	"雌雄比"	"无氮浸出液"	"译名"	"省"	"库编号"	"萍体大小"	"收到日期"	"藻营养胞"	"耐阴性"	"学名"	"统一编号"	"背叶面突起"	"属名"	"冬萍体颜色"	"夏萍体颜色"	"突起分布"	"粗脂肪"	"粗蛋白"	"夏固氮活性"	"秋固氮活性"	"夏繁殖系数"	"秋萍体颜色"	"原产地"	"大孢果形状"	"粗纤维"	"氧化钾"	"耐寒性"	"腹叶颜色"	"秋繁殖系数"	"背叶形状"	"耐盐性"	"小孢果颜色"	"引种地编号"	"备注"	"灰分"	"抗病性"	"结孢始期"	"萍体形状"	"茎分枝模式"	"保存单位"	"春繁殖系数"	"品种来源地"	"抗虫性"	"结孢率"	"耐热性"	"春萍体颜色"
"77"	"Azollaceae(满江红科)"	"0.0248"	"9"	"Red Lily"	"棒状"	"丝状毛"	"--"	"20-35mm"	"--"	"长扁球形"	"--"	"302"	"椭圆形"	"黄色"	"0.03:1"	"--"	"红里里"	"国外"	"--"	"10×10-15×20mm"	"1984.4.13"	"圆筒形"	"--"	"Azolla pinnata R.Br(羽叶满江红)"	"00000587"	"粗、较长"	"Rhizosperma(九膘亚属)"	"红"	"绿"	"内表面"	"--"	"--"	"1.610"	"0.290"	"0.1690"	"紫红"	"Red Lily"	"尖顶椭圆形"	"--"	"--"	"弱"	"淡红"	"0.1356"	"长椭圆形"	"--"	"玫瑰红"	"IRRI 702"	"--"	"--"	"中"	"11.25"	"三角形"	"Ⅱ"	"福建农科院红萍研究中心"	"0.1736"	"澳大利亚"	"中"	"结(92%)"	"强"	"紫红"
"78"	"Azollaceae(满江红科)"	"0.0461"	"--"	"Kakadu"	"棒状"	"丝状毛"	"0.79"	"10-25mm"	"--"	"长扁球形"	"3.37"	"303"	"椭圆形"	"--"	"0:451"	"--"	"卡卡达"	"国外"	"--"	"10×10-20×25mm"	"1984.4.13"	"圆筒形"	"--"	"Azolla pinnata R.Br(羽叶满江红)"	"00000588"	"粗、较长"	"Rhizosperma(九膘亚属)"	"红"	"绿"	"内表面"	"--"	"--"	"--"	"0.258"	"0.1441"	"紫红"	"Kakadu National park"	"--"	"--"	"3.33"	"弱"	"红"	"0.1525"	"长椭圆形"	"--"	"玫瑰红"	"IRRI 703"	"--"	"--"	"中"	"11.27"	"三角形"	"Ⅱ"	"福建农科院红萍研究中心"	"0.1846"	"澳大利亚"	"中"	"结(96%)"	"强"	"紫红"
"79"	"Azollaceae(满江红科)"	"0.0155"	"--"	"Fog Dam"	"棒状"	"丝状毛"	"0.97"	"20-35mm"	"1.191"	"长扁球形"	"3.64"	"304"	"椭圆形"	"--"	"1:361"	"--"	"福格达姆"	"国外"	"--"	"10×10-20×25mm"	"1984.4.13"	"圆筒形"	"--"	"Azolla pinnata R.Br(羽叶满江红)"	"00000589"	"粗、较长"	"Rhizosperma(九膘亚属)"	"红"	"绿"	"内表面"	"--"	"--"	"0.989"	"0.206"	"0.1306"	"紫红"	"Fog Dam"	"--"	"--"	"4.94"	"弱"	"红"	"0.1240"	"长椭圆形"	"--"	"玫瑰红"	"IRRI 704"	"--"	"--"	"中"	"11.28"	"--"	"Ⅱ"	"福建农科院红萍研究中心"	"0.1706"	"澳大利亚"	"中"	"结(88%)"	"强"	"紫红"
"80"	"Azollaceae(满江红科)"	"--"	"9"	"Ivory Coast 1"	"卵形"	"丝状毛"	"1.21"	"10-15mm"	"--"	"球形"	"2.69"	"305"	"椭圆形"	"黄色"	"1:2.7"	"38.6"	"象牙海岸1号"	"国外"	"--"	"8×10mm"	"1984.4.13"	"圆筒形"	"--"	"Azolla pinnata R.Br(羽叶满江红)"	"00000590"	"粗、较长"	"Rhizosperma(九膘亚属)"	"灰绿"	"黄绿"	"内表面"	"4.7"	"20.3"	"--"	"0.477"	"0.0118"	"灰绿"	"Ivory Coast"	"尖顶椭圆形"	"12.1"	"4.47"	"弱"	"紫红色"	"0.1148"	"椭圆形"	"弱"	"红"	"IRRI 25"	"能量:3895卡/克风干重"	"10.4"	"中"	"11.28"	"三角形"	"Ⅱ"	"福建农科院红萍研究中心"	"--"	"象牙海岸"	"弱"	"结(16%)"	"弱"	"灰绿"
"81"	"Azollaceae(满江红科)"	"--"	"--"	"Ivory Coast 2"	"卵形"	"--"	"0.58"	"10-15mm"	"0.954"	"--"	"3.02"	"306"	"椭圆形"	"--"	"--"	"39.1"	"象牙海岸2号"	"国外"	"--"	"8×10mm"	"1984.4.13"	"圆筒形"	"--"	"Azolla pinnata R.Br(羽叶满江红)"	"00000591"	"粗、较长"	"Rhizosperma(九膘亚属)"	"褐黄"	"黄"	"--"	"5.0"	"21.3"	"--"	"0.532"	"--"	"浅绿"	"Ivory Coast"	"--"	"10.0"	"3.44"	"弱"	"白"	"0.1108"	"椭圆形"	"--"	"--"	"--"	"能量:3919卡/克风干重"	"11.5"	"中"	"--"	"三角形"	"Ⅱ"	"福建农科院红萍研究中心"	"0.1693"	"象牙海岸"	"中"	"不结"	"弱"	"浅绿"
"82"	"Azollaceae(满江红科)"	"--"	"9"	"Kosti Sudan"	"棒状"	"锥形突"	"0.90"	"20-50mm"	"--"	"扁球形"	"4.41"	"401"	"椭圆形"	"淡黄"	"0.11:1"	"33.4"	"科斯特苏丹"	"国外"	"--"	"10×10-100×150mm"	"1984.4.13"	"圆筒形"	"--"	"Azolla nilotica Decaisne(尼罗满江红)"	"00000592"	"细、长"	"Rhizosperma(九膘亚属)"	"苹果绿"	"苹果绿"	"内表面"	"4.2"	"24.6"	"--"	"0.390"	"--"	"苹果绿"	"Kosti Sudan"	"倒圆锥形"	"9.9"	"4.34"	"弱"	"白"	"0.1199"	"狭椭圆形"	"--"	"淡黄"	"IRRI 501"	"能量:3877卡/克风干重"	"10.9"	"弱"	"10.16"	"三角形`直立蔓状"	"Ⅴ"	"福建农科院红萍研究中心"	"--"	"苏丹"	"强"	"结100%)"	"中"	"苹果绿"
"83"	"Azollaceae(满江红科)"	"0.0755"	"--"	"East Germany"	"近球形"	"锚状毛"	"1.14"	"20-50mm"	"1.328"	"长椭圆形"	"3.30"	"501"	"椭圆形"	"黄绿"	"1.24:1"	"--"	"东德细绿萍"	"国外"	"--"	"15×10-40×20mm"	"1979"	"圆筒形"	"--"	"Azolla filiculoides Lam.(蕨状满江红)"	"00000593"	"粗、短"	"Euazolla(三膘亚属)"	"紫绿"	"紫绿"	"全表面"	"--"	"--"	"--"	"0.333"	"0.0090"	"绿"	"GDR"	"长圆锥形"	"--"	"4.51"	"强"	"白-绿,边红"	"0.0374"	"近椭圆形"	"强"	"黄绿"	"--"	"--"	"--"	"弱"	"8.10"	"多边形、直立形"	"Ⅲ"	"福建农科院红萍研究中心"	"0.0737"	"东德"	"弱"	"结(80%)"	"弱"	"绿"
"84"	"Azollaceae(满江红科)"	"--"	"3"	"Hamburg 1"	"近球形"	"锚状毛"	"0.85"	"--"	"1.248"	"长椭圆形"	"3.33"	"503"	"椭圆形"	"黄绿"	"1.8:1"	"--"	"汉堡1号"	"国外"	"--"	"10×15-15×20mm"	"1984.12.21"	"圆筒形"	"--"	"Azolla filiculoides Lam.(蕨状满江红)"	"00000594"	"粗、短"	"Euazolla(三膘亚属)"	"紫绿"	"紫绿"	"全表面"	"--"	"--"	"--"	"0.327"	"--"	"绿"	"Hamburg"	"长圆锥形"	"--"	"4.98"	"强"	"白-淡红"	"0.1168"	"近椭圆形"	"强"	"黄绿"	"IRRI 105"	"--"	"--"	"弱"	"8.10"	"多边形、直立形"	"Ⅲ"	"福建农科院红萍研究中心"	"0.1740"	"西德"	"弱"	"结(24%)"	"弱"	"绿"
"85"	"Azollaceae(满江红科)"	"--"	"3"	"Hamburg 2"	"近球形"	"锚状毛"	"0.87"	"15-35mm"	"1.135"	"长椭圆形"	"3.21"	"504"	"椭圆形"	"黄绿"	"1.59:1"	"--"	"汉堡2号"	"国外"	"--"	"25×30mm"	"1984.12.21"	"圆筒形"	"--"	"Azolla filiculoides Lam.(蕨状满江红)"	"00000595"	"粗、短"	"Euazolla(三膘亚属)"	"紫红"	"--"	"全表面"	"--"	"--"	"--"	"0.314"	"--"	"紫绿"	"Hamburg"	"长圆锥形"	"--"	"4.14"	"强"	"白-淡红"	"0.1095"	"近椭圆形"	"强"	"黄绿"	"IRRI 106"	"--"	"--"	"弱"	"8.10"	"多边形、直立形"	"Ⅲ"	"福建农科院红萍研究中心"	"0.1675"	"西德"	"弱"	"结(52%)"	"弱"	"绿"
"86"	"Azollaceae(满江红科)"	"--"	"3"	"Walka Lake"	"近球形"	"锚状毛"	"1.37"	"--"	"1.042"	"长椭圆形"	"3.23"	"505"	"椭圆形"	"黄绿"	"1.77:1"	"--"	"瓦尔卡来克"	"国外"	"--"	"25×30mm"	"1984.12.21"	"圆筒形"	"--"	"Azolla filiculoides Lam.(蕨状满江红)"	"00000596"	"粗、短"	"Euazolla(三膘亚属)"	"紫红"	"--"	"全表面"	"--"	"--"	"--"	"0.216"	"--"	"紫绿"	"Walka Lake,Meliral co.Nevada"	"长圆锥形"	"--"	"4.44"	"强"	"白-绿"	"0.0985"	"近椭圆形"	"强"	"黄绿"	"IRRI 107"	"--"	"--"	"弱"	"8.10"	"多边形、直立形"	"Ⅲ"	"福建农科院红萍研究中心"	"0.1671"	"美国"	"弱"	"结(36%)"	"弱"	"绿"
