"id"	"索引"	"标准编号"	"标准名称"	"发布日期"	"实施日期"	"标准类型"	"发布单位"	"起草单位"	"起草人"	"标准概述（300字以内）"	"全文"
"338"	"2cb4cdaf-0ffa-49cc-a829-dfbb6ab43cef"	"GB/T 19542-2007"	"饲料中磺胺类药物的测定高效液相色谱法"	"2007/6/21 "	"2007/9/1 0"	"国家标准"	"中华人民共和国质量监督检验检疫总局、中国国家标准化管理委员会"	"国家饲料质量监督检验中心(北京)"	"李兰、杨曙明、索德成、田河山、范理、赵根龙"	"本标准代替GB/T  19542-2004  饲料中磺胺二甲基嘧啶和磺胺间甲氧嘧啶的测定-高效液相色谱法  （已作废）"	" "
"339"	"2cc6d52e-c7c9-4ee2-9452-6ac47167d96a"	"GB/T 28089"	"葱类黑粉病菌检疫鉴定方法"	"2011/12/30"	"2012/6/1 0"	"国家标准"	"中华人民共和国国家质量监督检验检疫总局，中国国家标准化管理委员会"	"中华人民共和国山东出入境检验检疫局、中华人民共和国北京出入境检验检疫局、中华人民共和国湖北出入境检验检疫局"	"邵秀玲、赵汗青、王英超、种焱、吴兴海、张治宇、江丽辉、高文娜、张京萱、宋涛、罗志萍"	"本标准规定了葱类黑粉病菌检疫鉴定方法。"	" "
"340"	"2d06b873-7869-4ba2-8121-ce8d9ac85e1e"	"GB/T 22304"	"干甜罗勒"	"2008/8/1 0"	"2008/11/1 "	"国家标准"	"中华人民共和国国家质量监督检验检疫总局，中国国家标准化管理委员会"	"中华全国供销合作总社南京野生植物综合利用研究院。"	"陈仕荣、张卫明。"	"本标准规定了磨碎或切碎的干甜罗勒的技术要求及相应贮运条件。"	" "
"341"	"2d0f2a2b-7b58-40e3-939b-cb51178e0c8f"	"GB 5420-2010"	"食品安全国家标准 干酪"	"2010/3/26 "	"2010/12/1 "	"国家标准"	"中华人民共和国卫生部"	"未公开"	"未公开"	"本标准代替GB  5420-2003  干酪卫生标准以及GB/T  21375-2008  干酪（奶酪）中的部分指标，GB/T  21375-2008  干酪（奶酪）中涉及到本标准的指标以本标准为准。本标准适用于成熟干酪、霉菌成熟干酪和未成熟干酪。"	" "
"342"	"2d20adc6-3eef-40b0-9dc8-2defc6fd7481"	"GB/T 17980.98-2004"	"农药田间药效试验准则(二)第98部分：杀菌剂防治杧果炭疽病"	"2004/3/3 0"	"2004/8/1 0"	"国家标准"	"中华人民共和国国家质量监督检验检疫总局中国国家标准化管理委员会"	"农业部农药检定所"	"吴新平、王璧生、顾宝根、刘乃炽、刘秀娟、杨曾实、叶敏"	"本部分规定了杀菌剂防治杧果炭疽病田间药效小区试验的方法和基本要求。本部分适用于杀菌剂防治杧果炭疽病登记用田间药效小区试验及药效评价。其他田间药效试验参照本部分执行。"	" "
"343"	"2d546067-4ac4-4050-8ac9-035b44202c5e"	"GB/T 5009.147-2003"	"植物性食品中除虫脲残留量的测定"	"2003/8/11 "	"2004/1/1 0"	"国家标准"	"中华人民共和国质量监督检验检疫总局、中国国家标准化管理委员会"	"吉林省卫生防疫站"	"高斌富、杨明远、边疆、王番、张冠英"	"本标准规定了植物性食品中除虫脲残留量的测定方法。"	" "
"344"	"2dcbba12-2d77-4614-a7d5-a6bb32d06643"	"GB 29980-2013"	"食品安全国家标准 食品添加剂 异硫氰酸烯丙酯"	"2013/11/29"	"2014/6/1 0"	"国家标准"	"中华人民共和国国家卫生和计划生育委员会"	"未公开"	"未公开"	"本标准适用于由硫氰酸钠和烯丙基氯为原料制得的食品添加剂异硫氰酸烯丙酯。"	" "
"345"	"2e053276-1a14-41f3-a218-7d1ca2a4f9de"	"GB/T 15403"	"大豆制品甲酚红指数的测定"	"1994/12/30"	"1995/7/1 0"	"国家标准"	"国家技术监督局"	"中国农业科学院分析测试中心"	"常碧影、梁冬生"	"本标  准  规  定了大豆制品中甲酚红指数的测定方法。甲酚红指数大小，可以确定大豆制品的热处理程"	" "
"346"	"2e068206-42e9-4de3-a351-6ec1f80d0402"	"GB/T 20356"	"地理标志产品广昌白莲"	"2006/5/25 "	"2006/10/1 "	"国家标准"	"中华人民共和国国家质量监督检验检疫总局，中国国家标准化管理委员会"	"江西省广昌县白莲科学研究所、江西省广昌县质量技术监督局、江西省广昌县农业局"	"谢克强、谢鸣、杨良波、张香莲、谷慧珍、青木林、吴先华、敖海文、李典荣。"	"本标准规定广昌白莲（即广昌通芯白莲，下同）地理标志产品保护范围、术语和定义、种植和加工、质量要求、试验方法、检验规则以及标志、标签、包装、贮运和保质期。"	" "
"347"	"2e1ff326-c752-4786-96c7-fa0dcf6fa85d"	"GB/T 5009.51"	"非发酵性豆制品及面筋卫生标准的分析方法"	"2003/8/11 "	"2004/1/1 0"	"国家标准"	"中华人民共和国卫生部中国国家标准化管理委员会"	"北京市卫生防疫站"	"未公开"	"代替GB/T  5009.51-1996  非发酵性豆制品及面筋卫生标准的分析方法  （已作废）"	" "
"348"	"2e2316bb-86d1-4d6a-995e-2b7d09228d89"	"GB/T 18745"	"地理标志产品武夷岩茶"	"2006/7/18 "	"2006/12/1 "	"国家标准"	"中华人民共和国国家质量监督检验检疫总局，中国国家标准化管理委员会"	"福建省标准化协会、武夷山市茶叶学会、武夷山市质量技术监督局、中国标准化协会"	"高清火、叶华生、姚月明、王顺明、修明、陈树明、梁东、周银茂、叶勇、张雯"	"本标准代替GB  18745-2002  武夷岩茶  （已作废）"	" "
"349"	"2e293160-3eca-4bad-ba46-212dbedb0493"	"GB/T 4789.32-2002"	"食品卫生微生物学检验 大肠菌群的快速检测"	"2002/6/13 "	"2002/10/1 "	"国家标准"	"中华人民共和国国家质量监督检验检疫总局"	"镇江出人境检验检疫局、中国标准化协会、镇江质量技术监督局"	"甄宏太、李平、张秀春，闵继福"	"本标准规定了食品中大肠菌群的快速检验和计数方法。本标准适用于食品中大肠菌群的快速检验和计数。"	" "
"350"	"2e9ed837-1e48-4665-9b01-df36c5f85647"	"GB 4789.10-2010"	"食品安全国家标准 食品微生物学检验 金黄色葡萄球菌检验"	"2010/3/26 "	"2010/6/1 0"	"国家标准"	"中华人民共和国卫生部"	"未公开"	"未公开"	"本标准规定了食品中金黄色葡萄球菌（Staphylococcus  aureus）的检验方法。本标准第一法适用于食品中金黄色葡萄球菌的定性检验；第二法适用于金黄色葡萄球菌含量较高的食品中金黄色葡萄球菌的计数；第三法适用于金黄色葡萄球菌含量较低而杂菌含量较高的食品中金黄色葡萄球菌的计数。"	" "
"351"	"2fac0f02-6cf6-487f-bbfd-1fc27ea5865d"	"GB 28347-2012"	"食品安全国家标准 食品添加剂 肉桂酸"	"2012/4/25 "	"2012/6/25 "	"国家标准"	"中华人民共和国卫生部"	"未公开"	"未公开"	"本标准适用于由苯甲醛或肉桂醛为原料制得的食品添加剂肉桂酸。"	" "
"352"	"3009e006-4239-41d5-9082-c240aaef55e8"	"GB/T 5009.59-2003"	"食品包装用聚苯乙烯树脂卫生标准的分析方法"	"2003/8/11 "	"2004/1/1 0"	"国家标准"	"中华人民共和国卫生部中国国家标准化管理委员会"	"上海市卫生防疫站"	"未公开"	"代替GB/T  5009.59-1996  食品包装用聚苯乙烯树脂卫生标准的分析方法  （已作废）"	" "
"353"	"300ddee0-4654-4bf5-8c8f-4ce15dbdab35"	"GB/T 15233"	"包装单元货物尺寸"	"2008/2/1 0"	"2008/7/1 0"	"国家标准"	"中华人民共和国国家质量监督检验检疫总局，中国国家标准化管理委员会"	"交通部科学研究院、中国包装联合会、铁道部标准计量研究所、中国出口商品包装研究所"	"熊才启、王炜、王利、张锦、李建华"	"本标准代替GB/T  15233-1994"	" "
"354"	"300fa0a1-2697-488a-9c38-33087e3bfc8e"	"GB/T 23189-2008"	"平菇"	"2008/12/31"	"2009/6/1 0"	"国家标准"	"中华人民共和国国家质量监督检验检疫总局中国国家标准化管理委员会"	"中华全国供销合作总社昆明食用菌研究所"	"徐俊、罗孝坤、桂明英、张陶、吴素蕊、高观世、朱萍"	"本标准规定了平菇的相关术语和定义、产品分类、要求、试验方法、检验规则及标志、标签、包装、运输和贮存。  "	" "
"355"	"3027ab53-99ef-46b5-9974-77ce5c012e37"	"GB/T 5009.215-2008"	"食品中有机锡含量的测定"	"2008/12/3 "	"2009/3/1 0"	"国家标准"	"中华人民共和国卫生部中国国家标准化管理委员会"	"中国疾病预防控制中心营养与食品安全所、中国科学院生态环境研究中心"	"吴永宁、赵云峰、江桂斌、赵孔祥、凌云、封锦芳、付武胜、李志军、邵兵"	"本标准规定了气相色谱-脉冲火焰光度检测器检测食品中有机锡含量的方法。"	" "
"356"	"303bf581-d16a-4e63-83e9-1b6e930cb785"	"GB 4789.9-2014"	"食品安全国家标准 食品微生物学检验 空肠弯曲菌检验"	"2014/12/1 "	"2015/5/1 0"	"国家标准"	"中华人民共和国国家卫生和计划生育委员会"	"未公开"	"未公开"	"本标准代替GB/T  4789.9-2008  食品卫生微生物学检验  空肠弯曲菌检验"	" "
"357"	"304d8394-3ac3-4c1a-aa05-c18116b9404c"	"GB/T 21312"	"动物源性食品中14种喹诺酮药物残留检测方法液相色谱-质谱/质谱法"	"2007/10/29"	"2008/4/1 0"	"国家标准"	"中华人民共和国国家质量监督检验检疫总局，中国国家标准化管理委员会"	"中国农业大学、中国检验检疫科学研究院。"	"沈建忠、史为民、万宇平、何方洋、吴聪明、张素霞、冯才伟、彭涛、国伟。"	"本标准规定了动物源性食品中14种喹诺酮药物残留量检测的制样方法和高效液相色谱-质谱/质谱检测方法。"	" "
"358"	"3063bcf7-4c9a-4dd1-8540-cb143640a94b"	"GB/T 10781.1-2006"	"浓香型白酒(含第1号修改单）"	"2006/7/18 "	"2007/5/1 0"	"国家标准"	"中华人民共和国国家质量监督检验检疫总局中国国家标准化管理委员会"	"中国食品发酵工业研究院、四川宜宾五粮液集团有限公司、江苏洋河集团有限公司、沪州老窖集团有限责任公司"	"康永璞、郭新光、刘凤翔、沈才洪、杨廷栋、张宿义、王述荣、彭心海"	"本标准代替GB/T  10781.1-1989  浓香型白酒,GB/T  11859.1-1989  低度浓香型白酒"	" "
"359"	"3083a35a-1cc3-4f6a-b498-8a0a00abc985"	"GB 1886.168-2015"	"食品安全国家标准 食品添加剂 γ-十二内酯"	"2015/9/22 "	"2016/3/22 "	"国家标准"	"中华人民共和国国家卫生和计划生育委员会"	"未公开"	"未公开"	"本标准适用于食品添加剂γ-十二内酯。"	" "
"360"	"30843eee-6c1f-4ad5-862f-76aab703a0cd"	"GB/T 17980.32-2000"	"农药田间药效试验准则(一)杀菌剂防治辣椒疫病"	"2000/2/1 0"	"2000/5/1 0"	"国家标准"	"中华人民共和国国家质量监督检验检疫总局，中国国家标准化管理委员会"	"农业部农药检定所"	"吴新平、顾宝根、刘乃炽、朱庆华"	"疫病  是  我  国辣椒生产中的重要病害之一，经常需用杀菌剂进行防治。为了确定防治辣椒疫病药剂的"	" "
"361"	"309fc56f-4da4-4d4d-a3b0-304e0fd36536"	"GB/T 25886-2010"	"养鸡场带鸡消毒技术要求"	"2011/1/10 "	"2011/6/1 0"	"国家标准"	"中华人民共和国质量监督检验检疫总局、中国国家标准化管理委员会"	"中国检验检疫科学研究院"	"张顺合、张乐、王林、廖如燕、慈颖、陈春田、张维."	"本标准规定了养鸡场带鸡消毒的术语和定义、要求、操作步骤及消毒方法。  "	" "
"362"	"30bfca03-b1a0-4cc9-ab52-5a77bcb3764f"	"GB/T 5009.69-2008"	"食品罐头内壁环氧酚醛涂料卫生标准的分析方法"	"2008/7/31 "	"2008/11/1 "	"国家标准"	"中华人民共和国卫生部中国国家标准化管理委员会"	"中国食品发酵工业研究院、上海市食品工业研究所、上海市疾病预防控制中心、河北省唐山市疾病预防控制中心、中国疾病预防控制中心营养与食品安全所"	"张文德、郭忠、杨大进、商博东、王荫国、刘玉欣"	"本标准代替GB/T  5009.69-2003  食品罐头内壁环氧酚醛涂料卫生标准的分析方法"	" "
"363"	"30c0544f-f5ee-4495-8202-92f5d825cd35"	"GB/T 18932.25"	"蜂蜜中青霉素G、青霉素V、乙氧萘青霉素、苯唑青霉素、邻氯青霉素、双氰青霉素残留量的测定方法液相色谱-串联质谱法"	"2005/2/4 0"	"2005/8/1 0"	"国家标准"	"中华人民共和国国家质量监督检验检疫总局，中国国家标准化管理委员会"	"中华人民共和国秦皇岛出入境检验检疫局"	"庞国芳、李学民、张进杰、曹彦忠、范春林、刘永明、赵为、郭彤彤、石玉秋。"	"GB/T  18932的本部分规定了蜂蜜中青霉素G、青霉素V、乙氧萘青霉素、苯唑青霉素、邻氯青霉素、双氯青霉素残留量的液相色谱-串联质谱测定方法。本部分适用于蜂蜜中青霉素G、青霉素V、乙氧萘青霉素、苯唑青霉素、邻氯青霉素、双氯青霉素残留量的测定。本部分的方法检出限：青霉素G、青霉素V、苯唑青霉素为1.0μg/kg；邻氯青霉素、双氯青霉素为2.0μg/kg；乙氧萘青霉素为0.5μg/kg。"	" "
"364"	"30d40dc3-c4dd-4370-b254-299771212612"	"GB 14883.10-1994"	"食品中放射性物质检验 铯-137的测定"	"1994/2/2 0"	"1994/9/1 0"	"国家标准"	"中华人民共和国卫生部"	"浙江省卫生防疫站、吉林省卫生防病中心、中国原子能科学研究院、中国医学科学院放射
医学研究所"	"赵义坊、于长运、李瑞香、诸洪达、陈国佩、李相镐、刘新华"	"本标准规定了各类食品中铯-137（137Cs）的放射化学测定方法。"	" "
"365"	"317d1469-f19a-4814-859a-1adfbdf1aa73"	"GB/T 21261"	"地理标志产品玉泉酒"	"2007/12/13"	"2008/5/1 0"	"国家标准"	"中华人民共和国国家质量监督检验检疫总局，中国国家标准化管理委员会"	"黑龙江省玉泉酒业有限责任公司"	"张庆毅、沈怡方、高景炎、高月明、杨明、韩印、赖登烨、张玉柱"	"本标准规定了玉泉酒的术语和定义、地理标准产品保护范围、要求、试验方法、检验规则及标签、标志、包装、运输、贮存。"	" "
"366"	"317ed761-3715-4046-9430-0a2d2460d396"	"GB/T 18650"	"地理标志产品龙井茶"	"2008/7/15 "	"2008/10/1 "	"国家标准"	"中华人民共和国国家质量监督检验检疫总局，中国国家标准化管理委员会"	"浙江省农业厅经济作物管理局、农业部茶叶质量监督检验测试中心、浙江省供销合作总社、浙江大学、杭州西湖龙井茶商会、新昌县名茶协会。"	"毛祖法、陆德彪、刘新、王金贤、龚淑英、戚国伟、赵玉汀、王春霞。"	"本标准代替GB  18650-2002  原产地域产品  龙井茶  （已作废）"	" "
"367"	"3225ade4-1a86-4cd6-9ca1-b0fbfe2031d0"	"GB/T 5009.188-2003"	"蔬菜、水果中甲基托布津、多菌灵的测定"	"2003/8/11 "	"2004/1/1 0"	"国家标准"	"中华人民共和国卫生部中国国家标准化管理委员会"	"卫生部食品卫生监督检验所"	"未公开"	"代替GB/T  5009.38-l996部分"	" "
"368"	"326510c9-fd62-4601-9cc9-149edd0f530f"	"GB/T 22475-2008"	"沙琪玛"	"2008/11/4 "	"2009/6/1 0"	"国家标准"	"中华人民共和国国家质量监督检验检疫总局中国国家标准化管理委员会"	"中国商业联合会商业标准中心、国家食品质量监督检验中心、东莞徐记食品有限公司、黑牛食品股份有限公司、中国焙烤食品糖制品工业协会、太原双合成食品有限公司、大城县美萨佳士达食品有限公司、重庆华生园食品有限公司、北京稻香村食品有限责任公司、广州市莲香楼有限公司、上"	"钱志先、宋全厚、马浩、罗宝剑、赵燕萍、赵光晋、孙茂润、刘崇华、池向东、何溢洪、杨国雄、郑传任"	"本标准规定了沙琪玛的术语和定义、要求、检验方法、检验规则、标签标识要求。本标准适用于符合3.1规定的产品。"	" "
"369"	"327739a1-1795-40e2-8af7-ff7be09fd706"	"GB 29940-2013"	"食品安全国家标准 食品添加剂 柠檬酸亚锡二钠"	"2013/11/29"	"2014/6/1 0"	"国家标准"	"中华人民共和国国家卫生和计划生育委员会"	"未公开"	"未公开"	"本标准适用于以柠檬酸、氯化亚锡、氢氧化钠为原料经加工制得的食品添加剂柠檬酸亚锡二钠。"	" "
"370"	"327ca836-ad99-482a-9cf2-90d6af6e482c"	"GB/T 17980.9-2000"	"农药田间药效试验准则(一)杀虫剂防治果树蚜虫"	"2000/2/1 0"	"2000/5/1 0"	"国家标准"	"中华人民共和国国家质量监督检验检疫总局中国国家标准化管理委员会"	"农业部农药检定所"	"王晓军、姜辉、陈景芬、卞燕、吴士雄、王少成"	"蚜  虫是  我  国果树重要害虫之一，生产上经常需用杀虫剂进行防治。为了确定防治果树蚜虫的最佳田"	" "
"371"	"329795b8-d5d5-4f39-a6b5-a152af45947f"	"GB/T 10781.2-2006"	"清香型白酒"	"2006/7/18 "	"2007/5/1 0"	"国家标准"	"中华人民共和国国家质量监督检验检疫总局中国国家标准化管理委员会"	"中国食品发酵工业研究院、山西杏花村汾酒集团有限责任公司"	"田栖静、杜小威、康健、郭新光、张素芳、史静霞"	"本标准规定了清香型白酒的术语和定义、产品分类、要求、分析方法、检验规则和标志、包装、运输、贮存。"	" "
"372"	"32d26463-b925-49f4-b9cb-274a7afa0ee0"	"GB/T 5009.185-2003"	"苹果和山楂制品中展青霉素的测定"	"2003/8/11 "	"2004/1/1 0"	"国家标准"	"中华人民共和国卫生部中国国家标准化管理委员会"	"中国预防医学科学院营养与食品卫生研究所"	"吴南、刘勇、刘兴介"	"本标准规定了苹果和山楂制品中展青霉素的测定方法。"	" "
"373"	"32dffc1b-096b-436a-adf4-5cf326f72bbf"	"GB 17403-1998"	"巧克力厂卫生规范"	"1998/5/5 0"	"1999/1/1 0"	"国家标准"	"中华人民共和国卫生部"	"上海市卫生防疫站"	"姜培珍，郑蕾霞，王力，韩志杰，黄莉莉"	"本标准规定了巧克力厂的设计与设施、操作人员、加工过程、成品贮藏、运输的以及品质和卫生管理方面的技术要求。本标准适用于以可可液块、可可粉、可可脂、类可可脂、代可可脂、乳制品及白砂糖为主要原料，制成巧克力或巧克力制品的工厂。"	
"374"	"32ff90a9-0b94-4d71-b005-932ff09c37b9"	"GB/T 17980.34-2000"	"农药田间药效试验准则(一)杀菌剂防治马铃薯晚疫病"	"2000/2/1 0"	"2000/5/1 0"	"国家标准"	"中华人民共和国国家质量监督检验检疫总局，中国国家标准化管理委员会"	"农业部农药检定所"	"吴新平、顾宝根、刘乃炽、朱庆华"	"晚疫  病  是  我国马铃薯的重要病害，生产上经常需用杀菌剂进行防治。为确定防治马铃薯晚疫病药剂"	" "
"375"	"331e6871-5ba5-498e-8743-d6c5dac982be"	"GB 17511.2-2008"	"食品添加剂 诱惑红铝色淀"	"2008/6/25 "	"2009/1/1 0"	"国家标准"	"中华人民共和国国家质量监督检验督检验检疫总局，中国国家标准化管理委员会"	"上海染料研究所有限公司、天津多富源实业有限公司，沈阳化工研究院"	"金晓敏，李子会，蒲爱军，叶英青，邓松培，刁雯蓉"	"本标准代替GB  17511.2-1998  食品添加剂  诱惑红铝色淀  （已作废）"	" "
"376"	"331f0a2f-2a0a-41d5-89aa-c9777b4dc4da"	"GB/T 22745"	"地理标志产品方城丹参(裕丹参)"	"2008/12/28"	"2009/6/1 0"	"国家标准"	"中华人民共和国国家质量监督检验检疫总局，中国国家标准化管理委员会"	"河南省方城县裕丹参开发服务中心、河南省方城县科技局、河南省方城县质量技术监督局、河南省方城县裕丹参协会、河南农业大学。"	"韩玉洪、秦书君、杨青华、杨皓、王振军、李方、苏勇、李培彦、张振西、邓俊峰、李小刚、李晓鹏、郝成印、王方、狄文会、于峰、方磊。"	"本标准规定了方城丹参（裕丹参）的术语和定义、地理标志产品保护范围、生长环境、栽培和加工、质量要求、试验方法、检验规则、标签标志、包装、运输和贮存。"	" "
"377"	"3391a7a4-1c6d-4e11-acfd-dd1ee29270df"	"GB/T 23779-2009"	"预包装食品中的致敏原成分"	"2009/5/18 "	"2009/12/1 "	"国家标准"	"中华人民共和国质量监督检验检疫总局、中国国家标准化管理委员会"	"中华全国供销合作总社昆明食用菌研究所"	"徐俊、桂明英、朱萍、高观世、张陶、张莉着、罗孝坤。"	"本标准规定了预包装食品中的致敏原成分。"	" "
"378"	"3393a59e-9ab9-4cca-a27a-1977f115845b"	"GB 5009.24-2010"	"食品安全国家标准 食品中黄曲霉毒素M1和B1的测定"	"2010/3/26 "	"2010/6/1 0"	"国家标准"	"中华人民共和国卫生部"	"未公开"	"未公开"	"本标准代替GB/T  5009.24-2003  食品中黄曲霉毒素M1与B1的测定。"	" "
"379"	"33af363a-f21b-460b-9533-39a83942494f"	"GB 29958-2013"	"食品安全国家标准 食品添加剂 l-薄荷醇丙二醇碳酸酯"	"2013/11/29"	"2014/6/1 0"	"国家标准"	"中华人民共和国国家卫生和计划生育委员会"	"未公开"	"未公开"	"本标准适用于由l-薄荷醇和丙二醇为原料制得的食品添加剂l-薄荷醇丙二醇碳酸酯。"	" "
"380"	"33c7f5c5-6b3e-4745-b25e-36ae70e4fc9b"	"GB/T 5009.134"	"大米中禾草敌残留量的测定"	"2003/8/11 "	"2004/1/1 0"	"国家标准"	"中华人民共和国卫生部中国国家标准化管理委员会"	"华西医科大学公共卫生学院、四川省卫生防疫站、四川省劳动卫生职业病防治研究所"	"梨源倩、方亚群、杨庆、张立实、王瑞淑"	"代替GB/T  16339-l996"	" "
"381"	"33e4917f-7d53-4721-a69b-b1cff63e6e17"	"GB/T 13252"	"包装容器钢提桶"	"2008/7/18 "	"2009/1/1 0"	"国家标准"	"中华人民共和国国家质量监督检验检疫总局，中国国家标准化管理委员会"	"佛山市顺德区万成金属包装有限公司、中化化工标准化研究所、江苏省产品质量监督检验研究院。"	"蔡依军、朱丽萍、卢明、凌光耀、梁俊成、梅建、高妹芬、王凤玲。"	"本标准代替GB  13252-2003  包装容器  钢提桶  （已作废）"	" "
"382"	"34046f0b-770f-4de6-bbc3-ab1cda396385"	"GB/T 19567.1-2004"	"苏云金芽胞杆菌原粉"	"2004/6/22 "	"2004/12/1 "	"国家标准"	"中华人民共和国质量监督检验检疫总局、中国国家标准化管理委员会"	"农业部农药检定所、华中农业大学微生物农药国家工程研究中心、湖北省生物农
药工程研究中心"	"姜辉、喻子牛、陈守文、王开梅、王晓军、吴新平、顾宝根。"	"本标准规定了苏云金芽胞杆菌原粉的要求、试验方法以及标志、标签、包装、贮运。"	" "
"383"	"3421f35f-e32c-414a-95d1-5c670daf41a7"	"GB/T 3157-2008"	"中国荷斯坦牛"	"2008/6/17 "	"2008/10/1 "	"国家标准"	"中华人民共和国质量监督检验检疫总局、中国国家标准化管理委员会"	"中国农业大学、中国奶业协会"	"张沉、张勤、孙东晓、王雅春、张胜利、陆耀华、田雨泽、石万海"	"本标准代替GB/T  3157-1982"	" "
"384"	"347cc292-a9b0-431c-97df-4b42698f578d"	"GB 28305-2012"	"食品安全国家标准 食品添加剂 乳酸钾"	"2012/4/25 "	"2012/6/25 "	"国家标准"	"中华人民共和国卫生部"	"未公开"	"未公开"	"本标准适用于由发酵法生产的乳酸和氢氧化钾反应后制成的食品添加剂乳酸钾。"	" "
"385"	"3481c193-131e-4b06-be5e-948dc746f5cc"	"GB/T 22302"	"干牛至"	"2008/8/1 0"	"2008/11/1 "	"国家标准"	"中华人民共和国国家质量监督检验检疫总局，中国国家标准化管理委员会"	"中华全国供销合作总社南京野生植物综合利用研究院。"	"陈仕荣、张卫明。"	"本标准规定了干牛至(Origanum  vulgare  L.)的技术要求及有关贮运条件。"	" "
"386"	"3484890d-2fa4-43fd-ba92-53919dfa207c"	"GB/T 19630.3-2011"	"有机产品第3部分：标识与销售"	"2011/12/5 "	"2012/3/1 0"	"国家标准"	"中华人民共和国质量监督检验检疫总局、中国国家标准化管理委员会"	"中国标准化研究院、南京国环有机产品认证中心、国家认监委注册部、中国合格评
定国家认可中心、北京出人境检验检疫局、国家质检总局标准法规中心、北京五洲恒通认证有限公司、中
国农业大学。"	"杨丽、俞开锦、解卫华、刘俊华、乔玉辉、杨志刚、陈云华、徐娜、王茂华、付强、
吴杏霞、孟冬、曲丽、刘文、孟凡乔"	"GB/T  19630.3  的本部分规定了有机产品标识和销售的通用规范及要求。"	" "
"387"	"349a0e4a-80c1-47fd-bb82-82615f786835"	"GB/T 5009.169-2003"	"食品中牛磺酸的测定"	"2003/8/11 "	"2004/1/1 0"	"国家标准"	"中华人民共和国卫生部中国国家标准化管理委员会"	"卫生部食品卫生监督检验所;参加起草单位:河南省卫生防疫站、长春市卫生防疫站、广东省深圳市宝安区卫生防疫站"	"杨祖英、张平伟、祖如松、焦淑婷"	"本标准规定了食品中牛磺酸的测定方法。本标准适用于饲料，婴幼儿食品，谷类制品，奶粉中牛磺酸的测定。本方法第一法仪器检出限20.0ng；检出浓度80mg/kg(L)；线性范围:0mg～0.05mg。第二法斑点检出限0.2μg,检出浓度80mg/kg(L)。"	" "
"388"	"34a09e19-f50f-4725-a75f-b572578f84b9"	"GB 29222-2012"	"食品安全国家标准 食品添加剂 聚氧乙烯（20）山梨醇酐单棕榈酸酯（吐温40）"	"2012/12/25"	"2013/1/25 "	"国家标准"	"中华人民共和国卫生部"	"未公开"	"未公开"	"本标准适用于以山梨醇酐单棕榈酸酯和环氧乙烷为原料制得的食品添加剂聚氧乙烯（20）山梨醇酐单棕榈酸酯（吐温40）。"	" "
"389"	"34b4df72-da48-45d7-81f3-376221b7c84c"	"GB/T 5750.12-2006"	"生活饮用水标准检验方法微生物指标"	"2006/12/29"	"2007/7/1 0"	"国家标准"	"中华人民共和国国家质量监督检验检疫总局中国国家标准化管理委员会"	"中国疾病防御控制中心环境与健康相关产品安全所"	"金银龙、陈西平、周淑玉、孙宗科、宋宏"	"本标准代替了GB  5750-85  生活饮用水标准检验法  （已作废）"	" "
"390"	"34d258fc-5dbc-497a-a316-b66339765bcd"	"GB 31622-2014"	"食品安全国家标准 食品添加剂 杨梅红"	"2015/1/28 "	"2015/7/28 "	"国家标准"	"中华人民共和国国家卫生和计划生育委员会"	"未公开"	"未公开"	"本标准适用于以杨梅（Mynica  rubra  Sied.et  Zucc）的成熟果实为原料，经乙醇溶液浸提、食品工业用吸附树脂纯化，再经浓缩、干燥制得的食品添加剂杨梅红。"	" "
"391"	"34e4cb82-a247-4747-b61f-4bb6148d6bdf"	"GB/T 6436-2002"	"饲料中钙的测定"	"2002/2/19 "	"2002/7/1 0"	"国家标准"	"中华人民共和国质量监督检验检疫总局、中国国家标准化管理委员会"	"国家饲料质量监督检验中心(武汉)、四川龙蟒集团有限责任公司"	"高丽红、周晓葵、朱洪成、陈大为"	"本标准规定了用高锰酸钾法和乙二胺四乙酸二钠络合滴定法测定饲料中钙含量的方法本标准适用于饲料原料和饲料产品本方法钙的最低检测限为150mg/kg（取试样1g时）"	" "
"392"	"34edeefc-3b61-45be-b2a2-6f1dd6352ed8"	"GB 5009.139-2014"	"食品安全国家标准 饮料中咖啡因的测定"	"2014/12/1 "	"2015/5/1 0"	"国家标准"	"中华人民共和国国家卫生和计划生育委员会"	"未公开"	"未公开"	"本标准代替GB/T  5009.139-2003  饮料中咖啡因的测定、GB/T  19182-2003  咖啡  咖啡因含量的测定  高效液相色谱法"	" "
"393"	"34f66fdb-2616-4f5a-9e87-a3a1de9206bd"	"GB/T 5009.158-2003"	"蔬菜中维生素K1的测定"	"2003/8/11 "	"2004/1/1 0"	"国家标准"	"中华人民共和国卫生部中国国家标准化管理委员会"	"中国预防医学科学院营养与食品卫生研究所"	"王竹、王光亚、周瑞华、王国栋、杨月欣"	"本标准规定了蔬菜中维生素K1的测定方法。  "	" "
"394"	"353da26b-7ce8-4f89-8b7d-97a8316d67ea"	"GB/T 14454.12-2008"	"香料微量氯测定法"	"2008/7/15 "	"2008/11/1 "	"国家标准"	"中华人民共和国质量监督检验检疫总局、中国国家标准化管理委员会"	"上海香料研究所"	"徐易、曹怡、金其璋"	"GB/T  14454的本标准规定了用铜片或铜网法定性测定香料中微量氯的方法。铜片法的检测灵敏度高于铜网法。"	" "
