"id"	"索引"	"标准编号"	"标准名称"	"发布日期"	"实施日期"	"标准类型"	"发布单位"	"起草单位"	"起草人"	"标准概述（300字以内）"	"全文"
"14"	"02ed7622-0de6-49b5-9326-2398960cec0e"	"GB/T 5009.127-2003"	"食品包装用聚酯树脂及其成型品中锗的测定"	"2003/8/11 "	"2004/1/1 0"	"国家标准"	"中华人民共和国卫生部中国国家标准化管理委员会"	"上海市食品卫生监督检验所、广西壮族自治区食品卫生监督检验所、上海卢湾区卫生防疫站"	"方亚敏、沈文、劳宝法、赵林"	"本标准规定了经四氯化碳萃取，苯芴酮络合分光光度法测定锗。本标准适用于食品包装用聚酯树脂及其成型品中锗的测定。本方法的检出限为0.020μg/mL。"	" "
"15"	"0302076b-160b-4eb7-8e23-3f1cf5ba22db"	"GB/T 21512-2008"	"食用植物油中叔丁基对苯二酚(TBHQ）的测定"	"2008/2/28 "	"2008/8/1 0"	"国家标准"	"中华人民共和国国家质量监督检验检疫总局中国国家标准化管理委员会"	"四川民生管业有限公司、雅昌管业(深圳)有限公司、常州市武进电力管件有限公司"	"俊英、缪德伟、赵铿、谭冬华、陈彤宇、廖仲力、陈维东、减志伟"	"本标准规定了采用气相色谱、液相色谱测定叔丁基对苯二酚(TBHQ)的原理、试剂、仪器和设备、分析步骤、结果计算及精密度。"	" "
"16"	"030e24b0-8826-4275-9307-15861dec507c"	"GB/T 5009.131-2003"	"植物性食品中亚胺硫磷残留量的测定"	"2003/8/11 "	"2004/1/1 0"	"国家标准"	"中华人民共和国质量监督检验检疫总局、中国国家标准化管理委员会"	"中国农业科学院、卫生部食品卫生监督检验所"	"张乔、张临夏、沈在忠、张莹、杨大进。"	"本标准规定了稻谷、小麦、蔬菜中亚胺硫磷残留量的测定方法。"	" "
"17"	"0312ffdb-5959-4280-914e-88c0210d8e09"	"GB/T 26622"	"畜禽粪便农田利用环境影响评价准则"	"2011/6/16 "	"2011/11/1 "	"国家标准"	"中华人民共和国国家质量监督检验检疫总局，中国国家标准化管理委员会"	"中国农业科学院农业环境与可持续发展研究所、农业部畜牧环境设施设备质量监督检验测试中心（北京）"	"黄宏坤、董红敏、陶秀萍、陈永杏、尚斌"	"本标准规定了畜禽粪便农田利用对环境影响的评价程序、评价方法、评价报告的编制等要求。  "	" "
"18"	"031836fa-c3ef-42bc-aa1e-136445aee90e"	"GB/T 19857-2005"	"水产品中孔雀石绿和结晶紫残留量的测定"	"2005/9/5 0"	"2005/9/5 0"	"国家标准"	"中华人民共和国国家质量监督检验检疫总局中国国家标准化管理委员会"	"中华人民共和国上海出人境检验检疫局、厦门出入境检验检疫局、广东出人境检验检疫局、福建出人境检验检疫局、江苏出人境检验检疫局、北京出人境检验检疫局、宁波出人境检验检疫局"	"郭德华、施冰、杨惠琴、林峰、李波、张志刚、林海丹、王传现、陈鹭平、盛永刚、李耀平、杨芳、陈惠兰、张朝晖、殷居易、林立毅、袁辰刚"	"本标准规定了水产品中孔雀石绿及其代谢物隐色孔雀石绿(leucomalachite  green)、结晶紫及其代谢物隐色结晶紫(leucocrystal  violet)残留量的液相色谱-串联质谱和高效液相色谱的测定方法。本标准适用于鲜活水产品及其制品中孔雀石绿及其代谢物隐色孔雀石绿、结晶紫及其代谢物隐色结晶紫残留量的检验。"	" "
"19"	"034165a8-254d-4c2d-a065-97e1d86fe36f"	"GB 30605-2014"	"食品安全国家标准 食品添加剂 甘氨酸钙"	"2014/4/29 "	"2014/11/1 "	"国家标准"	"中华人民共和国国家卫生和计划生育委员会"	"未公开"	"未公开"	"本标准适用于由甘氨酸和氢氧化钙反应，经降温结晶制得的食品添加剂甘氨酸钙。"	" "
"20"	"0363f9ee-c3ab-42c9-a6aa-52bf1d3e6277"	"GB/T 29471-2012"	"食品安全检测移动实验室通用技术规范"	"2012/12/31"	"2013/7/31 "	"国家标准"	"中华人民共和国国家质量监督检验检疫总局中国国家标准化管理委员会"	"南京南汽专用车有限公司、沈阳产品质量监督检验研究院、江苏省疾病预防控制中心、南京市计量监督检测院、南京市产品质量监督检验院、南京农业大学、南汽集团汽车工程研究院、江西江铃汽车集团改装车有限公司、辽宁陆平机器股份有限公司"	"袁学军、温晋英、张明、周长民、张凤清、杨春晖、朱宝立、马永建、吴凤祥、杨军、胡文彦、郁志芳、黄桂意、饶良星、郭江、徐忠淦、汪红辉"	"本标准规定了食品安全检测移动实验室的分类与代号、要求、试验方法、检验规则、标志、包装、运输及贮存等。"	" "
"21"	"0364c469-8358-4cc6-add4-7759fd9b3dbd"	"GB/T 19906"	"地理标志产品宝应荷(莲)藕"	"2005/9/26 "	"2006/3/1 0"	"国家标准"	"中华人民共和国国家质量监督检验检疫总局，中国国家标准化管理委员会"	"扬州蓝宝石食品有限公司、扬州华贵食品有限公司、扬州天禾食品有限公司、扬州花扇蔬菜食品有限公司、扬州市宝应质量技术监督局、宝应县荷藕研究所。"	"沈宝玲、夷锦涛、仇育松、张永喜、顾茂才、杨猛、梁军、刘启贵、张长法、王建军。"	"本标准规定了宝应荷（莲）藕的地理标志产品保护范围、术语和定义、自然环境、生产要求、质量要求、试验方法、检验规则、标志、包装、运输和贮存。"	" "
"22"	"03825fa4-fcc3-401b-b6b8-49a99dd9ab3f"	"GB/T 25877"	"淀粉胶电泳同工酶分析"	"2011/1/10 "	"2011/6/1 0"	"国家标准"	"中华人民共和国国家质量监督检验检疫总局，中国国家标准化管理委员会"	"中国海洋大学、黄海水产研究所。"	"高天翔、张岩、韩志强、肖永双、张辉."	"本标准规定了淀粉胶电泳同工酶分析的试剂和材料、仪器、抽样、分析步骤及结果判定。  "	" "
"23"	"0382f1cf-3b18-406f-8e5d-287cdb193737"	"GB/T 17980.88-2004"	"农药田间药效试验准则(二)第88部分：杀菌剂防治大豆根腐病"	"2004/3/3 0"	"2004/8/1 0"	"国家标准"	"中华人民共和国国家质量监督检验检疫总局中国国家标准化管理委员会"	"农业部农药检定所"	"顾宝根、张匀华、刘乃炽、吴新平、刘亮、肖斌、张振臣"	"本部分规定了杀菌剂防治大豆根腐病田间药效试验的方法和要求。本部分适用于杀菌剂防治大豆根腐病的田间药效小区试验及评价。其他田间药效试验参照本部分执行。"	" "
