"id"	"蛋氨酸"	"科名"	"角斑病指数"	"保存编号"	"品种名称"	"谷氨酸"	"播种期"	"缬氨酸"	"天冬氨酸"	"精氨酸"	"苏氨酸"	"丙氨酸"	"单株产量"	"总和"	"蚜害病级"	"异亮氨酸"	"炭疽病级"	"炭疽病指数"	"省"	"色氨酸"	"组氨酸"	"芽期抗寒"	"分枝数"	"样品类型"	"总淀粉"	"角斑病评价"	"东经"	"百粒重"	"属名"	"统一编号"	"芽期抗旱"	"学名"	"蚜害病指数"	"苯丙氨酸"	"熟期抗旱"	"支链淀粉"	"粒形"	"花色"	"粗脂肪"	"成熟期"	"粗蛋白"	"结荚习性"	"北纬"	"亮氨酸"	"库编号"	"生长习性"	"保存单位"	"原产地"	"备注"	"甘氨酸"	"单荚粒数"	"蚜害病评价"	"胱氨酸"	"直链淀粉"	"单株荚数"	"粒色"	"酩氨酸"	"脯氨酸"	"赖氨酸"	"荚长"	"株高"	"角斑病级"	"丝氨酸"	"译名"	"高程"	"荚色"	"种子来源"	"炭疽病评价"	"全生育日数"
"11"	"--"	"Leguminosae(豆科)"	"--"	"80-572"	"大豆"	"--"	"5.19"	"--"	"--"	"--"	"--"	"--"	"12.3"	"--"	"9"	"--"	"9"	"100.0"	"山西"	"--"	"--"	"--"	"4.5"	"地方"	"--"	"--"	"11112"	"81.3"	"Phaseolus(菜豆属)"	"F0000011"	"--"	"Phaseolus vulgaris L.(普通菜豆)"	"67.5"	"--"	"--"	"--"	"肾形"	"白"	"--"	"9.30"	"--"	"无限"	"3721"	"--"	"I2K00025"	"蔓生"	"山西省农科院"	"中阳县"	"--"	"--"	"3.3"	"HS"	"--"	"--"	"54.5"	"白"	"--"	"--"	"--"	"11.5"	"325.0"	"--"	"--"	"DA DOU"	"1060"	"黄白"	"--"	"HS"	"133"
"12"	"--"	"Leguminosae(豆科)"	"55.6"	"80-605"	"白红菜豆"	"--"	"5.19"	"--"	"--"	"--"	"--"	"--"	"95.0"	"--"	"9"	"--"	"9"	"100.0"	"山西"	"--"	"--"	"--"	"4.5"	"地方"	"--"	"MS"	"11100"	"29.8"	"Phaseolus(菜豆属)"	"F0000012"	"5"	"Phaseolus vulgaris L.(普通菜豆)"	"67.5"	"--"	"3"	"--"	"肾形"	"白"	"--"	"9.30"	"--"	"无限"	"3758"	"--"	"I2K00606"	"蔓生"	"山西省农科院"	"临县"	"--"	"--"	"6.0"	"HS"	"--"	"--"	"79.0"	"白"	"--"	"--"	"--"	"11.3"	"265.0"	"5"	"--"	"BAI HONG CAI DOU"	"950"	"黄白"	"--"	"HS"	"133"
"13"	"--"	"Leguminosae(豆科)"	"63.0"	"80-611"	"白菜豆"	"--"	"5.19"	"--"	"--"	"--"	"--"	"--"	"61.0"	"--"	"9"	"--"	"9"	"91.1"	"山西"	"--"	"--"	"--"	"6.0"	"地方"	"44.78"	"S"	"11100"	"22.0"	"Phaseolus(菜豆属)"	"F0000013"	"5"	"Phaseolus vulgaris L.(普通菜豆)"	"70.0"	"--"	"3"	"32.10"	"椭圆"	"白"	"1.41"	"10.11"	"21.17"	"无限"	"3758"	"--"	"I2K00607"	"蔓生"	"山西省农科院"	"临县"	"--"	"--"	"5.5"	"HS"	"--"	"12.68"	"66.0"	"白"	"--"	"--"	"--"	"10.5"	"220.0"	"5-7"	"--"	"BAI CAI DOU"	"950"	"黄白"	"--"	"HS"	"144"
"14"	"--"	"Leguminosae(豆科)"	"--"	"80-614"	"白红豆"	"--"	"5.19"	"--"	"--"	"--"	"--"	"--"	"83.0"	"--"	"9"	"--"	"9"	"94.1"	"山西"	"--"	"--"	"--"	"3.5"	"地方"	"--"	"--"	"11100"	"34.5"	"Phaseolus(菜豆属)"	"F0000014"	"5"	"Phaseolus vulgaris L.(普通菜豆)"	"70.0"	"--"	"3"	"--"	"肾形"	"浅红"	"--"	"10.09"	"--"	"无限"	"3758"	"--"	"I2K00608"	"蔓生"	"山西省农科院"	"临县"	"--"	"--"	"6.3"	"HS"	"--"	"--"	"307.5"	"白"	"--"	"--"	"--"	"15.5"	"25.0"	"--"	"--"	"BAI HONG DOU"	"950"	"黄白"	"--"	"HS"	"142"
"15"	"--"	"Leguminosae(豆科)"	"77.8"	"80-482"	"紫连豆"	"--"	"5.19"	"--"	"--"	"--"	"--"	"--"	"62.4"	"--"	"9"	"--"	"9"	"100.0"	"山西"	"--"	"--"	"--"	"3.0"	"地方"	"--"	"S"	"11315"	"30.4"	"Phaseolus(菜豆属)"	"F0000015"	"3"	"Phaseolus vulgaris L.(普通菜豆)"	"70.0"	"--"	"3"	"--"	"椭圆"	"紫"	"--"	"8.29"	"--"	"无限"	"3843"	"--"	"I2K00026"	"蔓生"	"山西省农科院"	"五台县"	"--"	"--"	"4.5"	"HS"	"--"	"--"	"45.5"	"红"	"--"	"--"	"--"	"8.2"	"245.0"	"7"	"--"	"ZI LIAN DOU"	"1040"	"黄白"	"--"	"HS"	"101"
"16"	"--"	"Leguminosae(豆科)"	"77.8"	"80-477"	"紫连豆"	"--"	"5.19"	"--"	"--"	"--"	"--"	"--"	"91.0"	"--"	"--"	"--"	"--"	"--"	"山西"	"--"	"--"	"--"	"3.5"	"地方"	"--"	"S"	"11315"	"28.8"	"Phaseolus(菜豆属)"	"F0000016"	"--"	"Phaseolus vulgaris L.(普通菜豆)"	"--"	"--"	"--"	"--"	"椭圆"	"紫"	"--"	"8.29"	"--"	"无限"	"3843"	"--"	"I2K00027"	"蔓生"	"山西省农科院"	"五台县"	"--"	"--"	"4.5"	"--"	"--"	"--"	"80.0"	"红"	"--"	"--"	"--"	"3.2"	"325.0"	"7"	"--"	"ZI LIAN DOU"	"1040"	"黄白"	"--"	"--"	"101"
"17"	"--"	"Leguminosae(豆科)"	"--"	"80-493"	"红眉豆"	"--"	"5.19"	"--"	"--"	"--"	"--"	"--"	"83.5"	"--"	"7"	"--"	"9"	"100.0"	"山西"	"--"	"--"	"--"	"4.0"	"地方"	"--"	"--"	"11334"	"28.8"	"Phaseolus(菜豆属)"	"F0000017"	"4"	"Phaseolus vulgaris L.(普通菜豆)"	"55.0"	"--"	"3"	"--"	"椭圆"	"浅红"	"--"	"8.30"	"--"	"无限"	"3756"	"--"	"I2K00028"	"蔓生"	"山西省农科院"	"阳泉市"	"--"	"--"	"7.2"	"S"	"--"	"--"	"51.0"	"红"	"--"	"--"	"--"	"12.4"	"255.0"	"--"	"--"	"HONG MEI DOU"	"802"	"黄白"	"--"	"HS"	"102"
"18"	"--"	"Leguminosae(豆科)"	"77.8"	"80-498"	"红豆子"	"--"	"5.19"	"--"	"--"	"--"	"--"	"--"	"87.5"	"--"	"9"	"--"	"9"	"100.0"	"山西"	"--"	"--"	"--"	"3.5"	"地方"	"--"	"S"	"11320"	"31.8"	"Phaseolus(菜豆属)"	"F0000018"	"3"	"Phaseolus vulgaris L.(普通菜豆)"	"90.0"	"--"	"3"	"--"	"椭圆"	"白"	"--"	"9.30"	"--"	"无限"	"3805"	"--"	"I2K00029"	"蔓生"	"山西省农科院"	"盂县"	"--"	"--"	"6.1"	"HS"	"--"	"--"	"61.5"	"红"	"--"	"--"	"--"	"12.4"	"285.0"	"7"	"--"	"HONG DOU ZI"	"1000"	"黄白"	"--"	"HS"	"133"
"19"	"--"	"Leguminosae(豆科)"	"77.8"	"80-494"	"菜豆"	"--"	"5.19"	"--"	"--"	"--"	"--"	"--"	"65.0"	"--"	"9"	"--"	"5-9"	"65.9"	"山西"	"--"	"--"	"--"	"3.0"	"地方"	"--"	"S"	"11320"	"30.0"	"Phaseolus(菜豆属)"	"F0000019"	"2"	"Phaseolus vulgaris L.(普通菜豆)"	"77.5"	"--"	"2"	"--"	"椭圆"	"浅红"	"--"	"8.30"	"--"	"无限"	"3805"	"--"	"I2K00030"	"蔓生"	"山西省农科院"	"盂县"	"--"	"--"	"6.7"	"HS"	"--"	"--"	"36.5"	"红"	"--"	"--"	"--"	"11.6"	"270.0"	"7"	"--"	"CAI DOU"	"1000"	"黄白"	"--"	"S"	"102"
"20"	"--"	"Leguminosae(豆科)"	"100.0"	"80-510"	"梅豆"	"--"	"5.19"	"--"	"--"	"--"	"--"	"--"	"91.0"	"--"	"--"	"--"	"--"	"--"	"山西"	"--"	"--"	"--"	"4.0"	"地方"	"--"	"HS"	"11341"	"22.0"	"Phaseolus(菜豆属)"	"F0000020"	"--"	"Phaseolus vulgaris L.(普通菜豆)"	"--"	"--"	"--"	"--"	"椭圆"	"浅红"	"--"	"10.07"	"--"	"无限"	"3736"	"--"	"I2K00031"	"蔓生"	"山西省农科院"	"昔阳县"	"--"	"--"	"6.2"	"--"	"--"	"--"	"71.5"	"红"	"--"	"--"	"--"	"9.9"	"305.0"	"9"	"--"	"MEI DOU"	"875"	"黄白"	"--"	"--"	"140"
