"id"	"内质评价"	"品种名称"	"果梳数"	"特异及用途"	"省"	"学名"	"整齐度"	"果梳数评价"	"生育期天数"	"风味"	"原产地"	"译名"	"外观评价"	"色泽"	"总糖％"	"属名"	"可溶固形物"	"肉质"	"生育期评价"	"统一编号"	"总酸％"	"果指长评价"	"固形物评价"	"果穗长评价"	"果指长CM"	"果穗长CM"	"维生素C"	"科名"	"形状"
"36"	"--"	"西萨摩亚"	"8.3"	"一般"	"国外"	"Musa sapientum L.(香蕉)"	"整齐"	"中"	"--"	"甜香"	"西萨摩亚"	"XI SA MO YA"	"--"	"--"	"--"	"Musa(芭蕉属)"	"23.0"	"较实滑"	"--"	"--"	"--"	"长"	"较高"	"长"	"21.0"	"85.7"	"--"	"Musaceae(芭蕉科)"	"--"
"37"	"--"	"台8"	"8.5"	"果较长"	"台湾"	"Musa sapientum L.(香蕉)"	"较整齐"	"中"	"--"	"甜香"	"台湾"	"TAI 8"	"--"	"--"	"18.06"	"Musa(芭蕉属)"	"21.5"	"较实滑"	"--"	"--"	"0.28"	"长"	"较高"	"长"	"21.3"	"69.0"	"1.21"	"Musaceae(芭蕉科)"	"--"
"38"	"--"	"Saba"	"9.0"	"丰产,抗性强"	"国外"	"Musa sapientum L.(香蕉)"	"整齐"	"中"	"--"	"酸甜"	"菲律宾"	"Saba"	"--"	"--"	"--"	"Musa(芭蕉属)"	"22.0"	"松滑"	"--"	"--"	"--"	"长"	"较高"	"长"	"22.3"	"69.5"	"--"	"Musaceae(芭蕉科)"	"--"
"39"	"--"	"云孟"	"17.0"	"果梳特多,品质好"	"国外"	"Musa sapientum L.(香蕉)"	"较整齐"	"多"	"--"	"清甜"	"孟加拉"	"YUN MENG"	"--"	"--"	"--"	"Musa(芭蕉属)"	"21.5"	"细滑"	"--"	"--"	"--"	"短"	"较高"	"长"	"16.5"	"74.5"	"--"	"Musaceae(芭蕉科)"	"--"
"40"	"--"	"阿华蕉"	"10.0"	"品质好"	"国外"	"Musa sapientum L.(香蕉)"	"整齐"	"中"	"--"	"清甜"	"泰国"	"A HUA JIAO"	"--"	"--"	"--"	"Musa(芭蕉属)"	"25.0"	"勒滑"	"--"	"--"	"--"	"短"	"高"	"长"	"14.8"	"76.0"	"--"	"Musaceae(芭蕉科)"	"--"
"41"	"--"	"Highgate"	"14.5"	"果梳多,风味差"	"国外"	"Musa sapientum L.(香蕉)"	"整齐"	"多"	"--"	"味淡微香"	"泰国"	"Highgate"	"--"	"--"	"14.43"	"Musa(芭蕉属)"	"16.0"	"实滑"	"--"	"--"	"0.32"	"较长"	"低"	"长"	"18.5"	"89.0"	"1.95"	"Musaceae(芭蕉科)"	"--"
"42"	"--"	"新B0"	"10.5"	"一般"	"国外"	"Musa sapientum L.(香蕉)"	"较整齐"	"多"	"--"	"甜香"	"澳大利亚"	"XIN B0"	"--"	"--"	"17.43"	"Musa(芭蕉属)"	"21.0"	"较实滑"	"--"	"--"	"0.32"	"较长"	"较高"	"长"	"19.0"	"63.0"	"0.88"	"Musaceae(芭蕉科)"	"--"
"43"	"--"	"Horn"	"7.0"	"下半年抽蕾,无雄花,果大"	"国外"	"Musa sapientum L.(香蕉)"	"整齐"	"少"	"--"	"浓甜"	"泰国"	"Horn"	"--"	"--"	"20.62"	"Musa(芭蕉属)"	"25.5"	"较粗"	"--"	"--"	"0.21"	"较长"	"较高"	"长"	"18.5"	"54.0"	"0.97"	"Musaceae(芭蕉科)"	"--"
"44"	"--"	"泰81-18"	"7.0"	"品质好,抗逆性差"	"国外"	"Musa sapientum L.(香蕉)"	"整齐"	"少"	"--"	"甜较香"	"泰国"	"TAI 81-18"	"--"	"--"	"18.56"	"Musa(芭蕉属)"	"21.5"	"实滑"	"--"	"--"	"0.28"	"长"	"较高"	"长"	"23.9"	"52.5"	"2.04"	"Musaceae(芭蕉科)"	"--"
"45"	"--"	"泰87-18"	"6.6"	"品质好,抗逆性差"	"国外"	"Musa sapientum L.(香蕉)"	"整齐"	"少"	"--"	"甜较香"	"泰国"	"TAI 87-18"	"--"	"--"	"23.44"	"Musa(芭蕉属)"	"26.0"	"实滑"	"--"	"--"	"0.33"	"长"	"高"	"中"	"21.3"	"46.0"	"1.15"	"Musaceae(芭蕉科)"	"--"
"46"	"--"	"索引78-21"	"11.5"	"丰产"	"国外"	"Musa sapientum L.(香蕉)"	"整齐"	"多"	"--"	"甜香"	"索马里"	"SUO YIN 78-21"	"--"	"--"	"--"	"Musa(芭蕉属)"	"21.5"	"较实滑"	"--"	"--"	"--"	"长"	"较高"	"长"	"21.0"	"92.5"	"--"	"Musaceae(芭蕉科)"	"--"
"47"	"--"	"巴西"	"8.0"	"果较长"	"国外"	"Musa sapientum L.(香蕉)"	"较整齐"	"中"	"--"	"甜香"	"巴西"	"BA XI"	"--"	"--"	"--"	"Musa(芭蕉属)"	"24.0"	"较实滑"	"--"	"--"	"--"	"长"	"高"	"长"	"21.3"	"78.5"	"--"	"Musaceae(芭蕉科)"	"--"
"48"	"--"	"127"	"8.3"	"果较长"	"福建"	"Musa sapientum L.(香蕉)"	"中"	"中"	"--"	"甜香"	"福建"	"127"	"--"	"--"	"--"	"Musa(芭蕉属)"	"20.0"	"较实滑"	"--"	"--"	"--"	"长"	"中"	"长"	"23.0"	"78.3"	"--"	"Musaceae(芭蕉科)"	"--"
"49"	"--"	"泰84-2"	"--"	"--"	"国外"	"Musa sapientum L.(香蕉)"	"--"	"--"	"--"	"--"	"泰国"	"TAI 84-2"	"--"	"--"	"16.09"	"Musa(芭蕉属)"	"--"	"--"	"--"	"--"	"0.30"	"--"	"--"	"--"	"--"	"--"	"1.07"	"Musaceae(芭蕉科)"	"--"
