"id"	"异亮氨酸"	"单位编号"	"样品类型"	"棱翅"	"花色"	"蛋氨酸"	"维生素PP"	"主茎节数"	"酪氨酸"	"硒"	"苯丙氨酸"	"籽粒形状"	"脂肪"	"译名"	"磷"	"色氨酸"	"千粒重"	"苏氨酸"	"属名"	"种子来源地"	"丝氨酸"	"赖氨酸"	"甘氨酸"	"谷壳率"	"天冬氨酸"	"生育日数"	"茎色"	"谷氨酸"	"省"	"类型"	"精氨酸"	"库编号"	"品种名称"	"倒伏性"	"主茎分枝数"	"株型"	"丙氨酸"	"学名"	"叶色"	"维生素E"	"腹沟"	"铁"	"脯氨酸"	"籽粒颜色"	"株高"	"组氨酸"	"保存单位"	"缬氨酸"	"锌"	"统一编号"	"铜"	"蛋白质"	"落粒性"	"胱氨酸"	"亮氨酸"	"钙"	"总和"	"单株粒重"	"锰"	"科名"
"1"	"--"	"1"	"地方"	"有"	"粉白"	"--"	"--"	"14.0"	"--"	"--"	"--"	"长形"	"--"	"64QIAO42"	"--"	"--"	"30.0"	"--"	"Fagopyrum(荞麦属)"	"--"	"--"	"--"	"--"	"--"	"--"	"60"	"淡红"	"--"	"黑龙江"	"甜荞"	"--"	"--"	"64荞42"	"不抗"	"2.0"	"--"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"--"	"--"	"--"	"--"	"棕"	"124.0"	"--"	"黑嫩江农科所"	"--"	"--"	"00000001"	"--"	"--"	"轻"	"--"	"--"	"--"	"--"	"3.80"	"--"	"Polygonum(蓼科)"
"2"	"--"	"2"	"地方"	"有"	"粉白"	"--"	"--"	"14.0"	"--"	"--"	"--"	"长形"	"--"	"64QIAO43"	"--"	"--"	"15.0"	"--"	"Fagopyrum(荞麦属)"	"--"	"--"	"--"	"--"	"--"	"--"	"60"	"淡红"	"--"	"黑龙江"	"甜荞"	"--"	"--"	"64荞43"	"不抗"	"4.0"	"--"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"--"	"--"	"--"	"--"	"棕"	"130.0"	"--"	"黑嫩江农科所"	"--"	"--"	"00000002"	"--"	"--"	"轻"	"--"	"--"	"--"	"--"	"--"	"--"	"Polygonum(蓼科)"
"3"	"--"	"3"	"地方"	"有"	"粉白"	"--"	"--"	"15.0"	"--"	"--"	"--"	"长形"	"--"	"64QIAO44"	"--"	"--"	"30.0"	"--"	"Fagopyrum(荞麦属)"	"--"	"--"	"--"	"--"	"--"	"--"	"60"	"淡红"	"--"	"黑龙江"	"甜荞"	"--"	"--"	"64荞44"	"不抗"	"3.0"	"--"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"--"	"--"	"--"	"--"	"棕"	"117.0"	"--"	"黑嫩江农科所"	"--"	"--"	"00000003"	"--"	"--"	"轻"	"--"	"--"	"--"	"--"	"1.00"	"--"	"Polygonum(蓼科)"
"4"	"--"	"4"	"地方"	"有"	"粉白"	"--"	"--"	"18.0"	"--"	"--"	"--"	"长形"	"--"	"64QIAO46"	"--"	"--"	"20.0"	"--"	"Fagopyrum(荞麦属)"	"--"	"--"	"--"	"--"	"--"	"--"	"60"	"红"	"--"	"黑龙江"	"甜荞"	"--"	"--"	"64荞46"	"不抗"	"3.0"	"--"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"深绿"	"--"	"--"	"--"	"--"	"棕"	"115.0"	"--"	"黑嫩江农科所"	"--"	"--"	"00000004"	"--"	"--"	"轻"	"--"	"--"	"--"	"--"	"2.70"	"--"	"Polygonum(蓼科)"
"5"	"--"	"5"	"地方"	"有"	"粉白"	"--"	"--"	"15.0"	"--"	"--"	"--"	"长形"	"--"	"64QIAO47"	"--"	"--"	"30.0"	"--"	"Fagopyrum(荞麦属)"	"--"	"--"	"--"	"--"	"--"	"--"	"60"	"淡红"	"--"	"黑龙江"	"甜荞"	"--"	"--"	"64荞47"	"中"	"3.0"	"--"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"--"	"--"	"--"	"--"	"棕"	"110.0"	"--"	"黑嫩江农科所"	"--"	"--"	"00000005"	"--"	"--"	"轻"	"--"	"--"	"--"	"--"	"1.20"	"--"	"Polygonum(蓼科)"
"6"	"--"	"6"	"地方"	"有"	"粉白"	"--"	"--"	"14.0"	"--"	"--"	"--"	"长形"	"--"	"64QIAO48"	"--"	"--"	"20.0"	"--"	"Fagopyrum(荞麦属)"	"--"	"--"	"--"	"--"	"--"	"--"	"60"	"淡红"	"--"	"黑龙江"	"甜荞"	"--"	"--"	"64荞48"	"中"	"2.0"	"--"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"--"	"--"	"--"	"--"	"棕"	"93.0"	"--"	"黑嫩江农科所"	"--"	"--"	"00000006"	"--"	"--"	"轻"	"--"	"--"	"--"	"--"	"--"	"--"	"Polygonum(蓼科)"
"7"	"--"	"7"	"地方"	"有"	"粉白"	"--"	"--"	"14.0"	"--"	"--"	"--"	"长形"	"--"	"64QIAO50"	"--"	"--"	"20.0"	"--"	"Fagopyrum(荞麦属)"	"--"	"--"	"--"	"--"	"--"	"--"	"68"	"淡红"	"--"	"黑龙江"	"甜荞"	"--"	"--"	"64荞50"	"中"	"2.0"	"--"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"--"	"--"	"--"	"--"	"棕"	"93.0"	"--"	"黑嫩江农科所"	"--"	"--"	"00000007"	"--"	"--"	"轻"	"--"	"--"	"--"	"--"	"1.00"	"--"	"Polygonum(蓼科)"
"8"	"--"	"8"	"地方"	"有"	"粉白"	"--"	"--"	"13.0"	"--"	"--"	"--"	"长形"	"--"	"64QIAO53"	"--"	"--"	"30.0"	"--"	"Fagopyrum(荞麦属)"	"--"	"--"	"--"	"--"	"--"	"--"	"75"	"淡红"	"--"	"黑龙江"	"甜荞"	"--"	"--"	"64荞53"	"中"	"2.0"	"--"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"深绿"	"--"	"--"	"--"	"--"	"棕"	"93.0"	"--"	"黑嫩江农科所"	"--"	"--"	"00000008"	"--"	"--"	"轻"	"--"	"--"	"--"	"--"	"1.30"	"--"	"Polygonum(蓼科)"
"9"	"--"	"9"	"地方"	"有"	"粉白"	"--"	"--"	"13.0"	"--"	"--"	"--"	"长形"	"--"	"64QIAO54"	"--"	"--"	"30.0"	"--"	"Fagopyrum(荞麦属)"	"--"	"--"	"--"	"--"	"--"	"--"	"62"	"淡红"	"--"	"黑龙江"	"甜荞"	"--"	"--"	"64荞54"	"中"	"2.0"	"--"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"--"	"--"	"--"	"--"	"棕"	"103.0"	"--"	"黑嫩江农科所"	"--"	"--"	"00000009"	"--"	"--"	"轻"	"--"	"--"	"--"	"--"	"1.50"	"--"	"Polygonum(蓼科)"
"10"	"--"	"10"	"地方"	"有"	"粉白"	"--"	"--"	"15.0"	"--"	"--"	"--"	"长形"	"--"	"64QIAO56"	"--"	"--"	"20.0"	"--"	"Fagopyrum(荞麦属)"	"--"	"--"	"--"	"--"	"--"	"--"	"62"	"淡红"	"--"	"黑龙江"	"甜荞"	"--"	"--"	"64荞56"	"中"	"2.0"	"--"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"--"	"--"	"--"	"--"	"棕"	"120.0"	"--"	"黑嫩江农科所"	"--"	"--"	"00000010"	"--"	"--"	"轻"	"--"	"--"	"--"	"--"	"--"	"--"	"Polygonum(蓼科)"
"11"	"--"	"11"	"地方"	"有"	"粉白"	"--"	"--"	"15.0"	"--"	"--"	"--"	"宽"	"--"	"64QIAO57"	"--"	"--"	"20.0"	"--"	"Fagopyrum(荞麦属)"	"--"	"--"	"--"	"--"	"23.00"	"--"	"65"	"绿"	"--"	"黑龙江"	"甜荞"	"--"	"--"	"64荞57"	"中"	"2.0"	"--"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"--"	"--"	"--"	"--"	"棕"	"130.0"	"--"	"黑嫩江农科所"	"--"	"--"	"00000011"	"--"	"--"	"轻"	"--"	"--"	"--"	"--"	"1.00"	"--"	"Polygonum(蓼科)"
"12"	"--"	"12"	"地方"	"有"	"粉白"	"--"	"--"	"13.0"	"--"	"--"	"--"	"宽"	"--"	"64QIAO58"	"--"	"--"	"30.0"	"--"	"Fagopyrum(荞麦属)"	"--"	"--"	"--"	"--"	"23.00"	"--"	"65"	"绿"	"--"	"黑龙江"	"甜荞"	"--"	"--"	"64荞58"	"中"	"2.0"	"--"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"--"	"--"	"--"	"--"	"棕"	"123.0"	"--"	"黑嫩江农科所"	"--"	"--"	"00000012"	"--"	"--"	"轻"	"--"	"--"	"--"	"--"	"1.90"	"--"	"Polygonum(蓼科)"
"13"	"--"	"13"	"地方"	"有"	"粉白"	"--"	"--"	"15.0"	"--"	"--"	"--"	"宽"	"--"	"64QIAO59"	"--"	"--"	"20.0"	"--"	"Fagopyrum(荞麦属)"	"--"	"--"	"--"	"--"	"23.00"	"--"	"65"	"绿"	"--"	"黑龙江"	"甜荞"	"--"	"--"	"64荞59"	"中"	"2.0"	"--"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"--"	"--"	"--"	"--"	"棕"	"117.0"	"--"	"黑嫩江农科所"	"--"	"--"	"00000013"	"--"	"--"	"轻"	"--"	"--"	"--"	"--"	"1.00"	"--"	"Polygonum(蓼科)"
"14"	"--"	"14"	"地方"	"有"	"粉白"	"--"	"--"	"14.0"	"--"	"--"	"--"	"宽"	"--"	"64QIAO60"	"--"	"--"	"20.0"	"--"	"Fagopyrum(荞麦属)"	"--"	"--"	"--"	"--"	"23.00"	"--"	"65"	"绿"	"--"	"黑龙江"	"甜荞"	"--"	"--"	"64荞60"	"中"	"3.0"	"--"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"--"	"--"	"--"	"--"	"棕"	"118.0"	"--"	"黑嫩江农科所"	"--"	"--"	"00000014"	"--"	"--"	"轻"	"--"	"--"	"--"	"--"	"1.80"	"--"	"Polygonum(蓼科)"
"15"	"--"	"15"	"地方"	"有"	"粉白"	"--"	"--"	"16.0"	"--"	"--"	"--"	"宽"	"--"	"64QIAO61"	"--"	"--"	"30.0"	"--"	"Fagopyrum(荞麦属)"	"--"	"--"	"--"	"--"	"23.00"	"--"	"65"	"淡红"	"--"	"黑龙江"	"甜荞"	"--"	"--"	"64荞61"	"中"	"3.0"	"--"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"--"	"--"	"--"	"--"	"棕"	"125.0"	"--"	"黑嫩江农科所"	"--"	"--"	"00000015"	"--"	"--"	"轻"	"--"	"--"	"--"	"--"	"5.60"	"--"	"Polygonum(蓼科)"
"16"	"--"	"16"	"地方"	"有"	"粉白"	"--"	"--"	"13.0"	"--"	"--"	"--"	"宽"	"--"	"64QIAO62"	"--"	"--"	"30.0"	"--"	"Fagopyrum(荞麦属)"	"--"	"--"	"--"	"--"	"24.00"	"--"	"62"	"淡红"	"--"	"黑龙江"	"甜荞"	"--"	"--"	"64荞62"	"中"	"3.0"	"--"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"--"	"--"	"--"	"--"	"棕"	"115.0"	"--"	"黑嫩江农科所"	"--"	"--"	"00000016"	"--"	"--"	"轻"	"--"	"--"	"--"	"--"	"2.00"	"--"	"Polygonum(蓼科)"
"17"	"--"	"17"	"地方"	"有"	"粉白"	"--"	"--"	"16.0"	"--"	"--"	"--"	"宽"	"--"	"64QIAO63"	"--"	"--"	"30.0"	"--"	"Fagopyrum(荞麦属)"	"--"	"--"	"--"	"--"	"23.00"	"--"	"65"	"淡红"	"--"	"黑龙江"	"甜荞"	"--"	"--"	"64荞63"	"中"	"3.0"	"--"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"--"	"--"	"--"	"--"	"棕"	"118.0"	"--"	"黑嫩江农科所"	"--"	"--"	"00000017"	"--"	"--"	"轻"	"--"	"--"	"--"	"--"	"2.00"	"--"	"Polygonum(蓼科)"
"18"	"--"	"18"	"地方"	"有"	"粉白"	"--"	"--"	"13.0"	"--"	"--"	"--"	"宽"	"--"	"64QIAO65"	"--"	"--"	"30.0"	"--"	"Fagopyrum(荞麦属)"	"--"	"--"	"--"	"--"	"24.00"	"--"	"65"	"淡红"	"--"	"黑龙江"	"甜荞"	"--"	"--"	"64荞65"	"中"	"3.0"	"--"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"--"	"--"	"--"	"--"	"黑"	"110.0"	"--"	"黑嫩江农科所"	"--"	"--"	"00000018"	"--"	"--"	"轻"	"--"	"--"	"--"	"--"	"1.90"	"--"	"Polygonum(蓼科)"
"19"	"--"	"19"	"地方"	"有"	"粉白"	"--"	"--"	"13.0"	"--"	"--"	"--"	"宽"	"--"	"64QIAO66"	"--"	"--"	"20.0"	"--"	"Fagopyrum(荞麦属)"	"--"	"--"	"--"	"--"	"23.00"	"--"	"65"	"淡红"	"--"	"黑龙江"	"甜荞"	"--"	"--"	"64荞66"	"中"	"3.0"	"--"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"--"	"--"	"--"	"--"	"棕"	"105.0"	"--"	"黑嫩江农科所"	"--"	"--"	"00000019"	"--"	"--"	"轻"	"--"	"--"	"--"	"--"	"1.90"	"--"	"Polygonum(蓼科)"
"20"	"--"	"20"	"地方"	"有"	"粉白"	"--"	"--"	"14.0"	"--"	"--"	"--"	"宽"	"--"	"64QIAO67"	"--"	"--"	"30.0"	"--"	"Fagopyrum(荞麦属)"	"--"	"--"	"--"	"--"	"23.00"	"--"	"63"	"淡红"	"--"	"黑龙江"	"甜荞"	"--"	"--"	"64荞67"	"中"	"3.0"	"--"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"--"	"--"	"--"	"--"	"棕"	"105.0"	"--"	"黑嫩江农科所"	"--"	"--"	"00000020"	"--"	"--"	"轻"	"--"	"--"	"--"	"--"	"1.20"	"--"	"Polygonum(蓼科)"
"21"	"--"	"10"	"地方"	"有"	"白"	"--"	"--"	"15.0"	"--"	"--"	"--"	"长形"	"--"	"XIN AN QIAO MAI"	"--"	"--"	"28.5"	"--"	"Fagopyrum(荞麦属)"	"安图县"	"--"	"--"	"--"	"--"	"--"	"77"	"绿"	"--"	"吉林"	"甜荞"	"--"	"--"	"新安荞麦"	"中"	"4.0"	"--"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"--"	"--"	"--"	"--"	"褐"	"101.4"	"--"	"吉农科院"	"--"	"--"	"00000034"	"--"	"--"	"轻"	"--"	"--"	"--"	"--"	"7.50"	"--"	"Polygonum(蓼科)"
"22"	"--"	"11"	"地方"	"有"	"白"	"--"	"--"	"17.0"	"--"	"--"	"--"	"长形"	"--"	"QIAO MAI"	"--"	"--"	"30.5"	"--"	"Fagopyrum(荞麦属)"	"安业县"	"--"	"--"	"--"	"--"	"--"	"76"	"绿"	"--"	"吉林"	"甜荞"	"--"	"--"	"荞麦"	"中"	"3.0"	"--"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"--"	"--"	"--"	"--"	"灰"	"89.0"	"--"	"吉农科院"	"--"	"--"	"00000035"	"--"	"--"	"轻"	"--"	"--"	"--"	"--"	"3.10"	"--"	"Polygonum(蓼科)"
"23"	"0.34"	"12"	"地方"	"有"	"白"	"0.13"	"1.42"	"15.8"	"0.26"	"0.006"	"0.45"	"长形"	"--"	"XIAO YING QIAO MAI"	"2588"	"0.10"	"31.5"	"0.35"	"Fagopyrum(荞麦属)"	"延吉市"	"0.46"	"0.52"	"0.54"	"--"	"0.87"	"78"	"绿"	"1.67"	"吉林"	"甜荞"	"0.83"	"I1M00656"	"小营荞麦"	"中"	"4.0"	"--"	"0.40"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"1.91"	"--"	"54.60"	"0.30"	"褐"	"114.0"	"0.21"	"吉农科院"	"0.43"	"18.44"	"00000036"	"7.060"	"--"	"轻"	"0.20"	"0.61"	"322.9"	"8.67"	"10.10"	"9.540"	"Polygonum(蓼科)"
"24"	"0.39"	"13"	"地方"	"有"	"白"	"0.15"	"1.53"	"16.0"	"0.30"	"0.026"	"0.51"	"长形"	"--"	"TAO YUAN QIAO MAI"	"1592"	"0.10"	"30.0"	"0.40"	"Fagopyrum(荞麦属)"	"延吉县"	"0.52"	"0.59"	"0.56"	"--"	"0.98"	"79"	"绿"	"1.97"	"吉林"	"甜荞"	"1.00"	"I1M00657"	"桃原荞麦"	"中"	"4.0"	"--"	"0.45"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"2.02"	"--"	"60.40"	"0.36"	"褐"	"117.0"	"0.24"	"吉农科院"	"0.50"	"16.96"	"00000037"	"8.420"	"--"	"轻"	"0.22"	"0.69"	"430.4"	"9.93"	"4.20"	"12.370"	"Polygonum(蓼科)"
"25"	"0.40"	"14"	"地方"	"有"	"白"	"0.17"	"1.86"	"15.0"	"0.30"	"0.028"	"0.51"	"长形"	"--"	"GUANG XIN QIAO MAI"	"2523"	"0.10"	"30.0"	"0.41"	"Fagopyrum(荞麦属)"	"延吉县"	"0.52"	"0.60"	"0.62"	"--"	"0.99"	"78"	"绿"	"1.97"	"吉林"	"甜荞"	"0.99"	"I1M00658"	"光新荞麦"	"中"	"4.0"	"--"	"0.46"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"1.68"	"--"	"55.20"	"0.36"	"褐"	"97.0"	"0.24"	"吉农科院"	"0.51"	"21.84"	"00000038"	"29.730"	"--"	"轻"	"0.23"	"0.69"	"410.6"	"10.07"	"7.70"	"9.400"	"Polygonum(蓼科)"
"26"	"0.37"	"15"	"地方"	"有"	"白"	"0.16"	"2.51"	"16.0"	"0.29"	"0.008"	"0.48"	"长形"	"--"	"ZHONG PING QIAO MAI"	"2129"	"0.10"	"27.5"	"0.39"	"Fagopyrum(荞麦属)"	"汪清县"	"0.50"	"0.58"	"0.58"	"--"	"0.95"	"79"	"绿"	"0.86"	"吉林"	"甜荞"	"0.93"	"I1M00659"	"仲坪荞麦"	"中"	"4.0"	"--"	"0.43"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"1.74"	"--"	"55.60"	"0.33"	"褐"	"112.5"	"0.23"	"吉农科院"	"0.47"	"20.62"	"00000039"	"7.000"	"--"	"轻"	"0.22"	"0.66"	"360.3"	"8.53"	"10.90"	"9.810"	"Polygonum(蓼科)"
"27"	"0.42"	"1"	"地方"	"有"	"白"	"0.17"	"2.54"	"13.0"	"0.31"	"0.072"	"0.59"	"长形"	"--"	"LIAO QIAO1 HAO"	"6551"	"0.10"	"35.5"	"0.39"	"Fagopyrum(荞麦属)"	"--"	"0.52"	"0.61"	"0.61"	"18.60"	"1.07"	"64"	"红"	"2.14"	"辽宁"	"甜荞"	"0.99"	"I1M00559"	"辽荞1号"	"中"	"3.0"	"--"	"0.53"	"Fagopyrum esculentum Moench(甜荞)"	"浅绿"	"1.43"	"--"	"147.40"	"0.43"	"深褐"	"91.8"	"0.24"	"辽农科院"	"0.57"	"45.91"	"00000040"	"13.990"	"--"	"轻"	"0.22"	"0.74"	"800.0"	"10.65"	"2.60"	"33.390"	"Polygonum(蓼科)"
"28"	"0.51"	"2"	"地方"	"有"	"白"	"0.19"	"2.72"	"13.0"	"0.37"	"0.063"	"0.70"	"长形"	"--"	"LIAO QIAO2 HAO"	"4128"	"0.10"	"33.7"	"0.48"	"Fagopyrum(荞麦属)"	"--"	"0.66"	"0.74"	"0.74"	"19.80"	"1.33"	"64"	"红"	"2.76"	"辽宁"	"甜荞"	"1.28"	"I1M00560"	"辽荞2号"	"中"	"4.0"	"--"	"0.63"	"Fagopyrum esculentum Moench(甜荞)"	"浅绿"	"1.40"	"--"	"167.90"	"0.51"	"深褐"	"92.6"	"0.30"	"辽农科院"	"0.69"	"31.06"	"00000041"	"12.220"	"--"	"轻"	"0.25"	"0.90"	"756.2"	"13.14"	"2.90"	"25.430"	"Polygonum(蓼科)"
"29"	"0.37"	"3"	"地方"	"有"	"白"	"0.15"	"3.12"	"14.0"	"0.28"	"0.074"	"0.52"	"长形"	"--"	"LIAO QIAO3 HAO"	"3706"	"0.11"	"31.6"	"0.34"	"Fagopyrum(荞麦属)"	"--"	"0.44"	"0.54"	"0.52"	"16.90"	"0.93"	"64"	"红"	"1.81"	"辽宁"	"甜荞"	"0.84"	"I1M00561"	"辽荞3号"	"抗"	"3.0"	"--"	"0.47"	"Fagopyrum esculentum Moench(甜荞)"	"浅绿"	"1.82"	"--"	"141.30"	"0.38"	"褐"	"95.7"	"0.20"	"辽农科院"	"0.52"	"28.65"	"00000042"	"15.030"	"--"	"中"	"0.19"	"0.66"	"667.9"	"9.27"	"3.70"	"22.770"	"Polygonum(蓼科)"
"30"	"0.54"	"4"	"地方"	"有"	"白"	"0.21"	"4.91"	"13.0"	"0.39"	"0.076"	"0.73"	"长形"	"--"	"LIAO QIAO4 HAO"	"4249"	"0.12"	"31.7"	"0.51"	"Fagopyrum(荞麦属)"	"--"	"0.67"	"0.79"	"0.79"	"15.80"	"1.37"	"65"	"红"	"2.82"	"辽宁"	"甜荞"	"1.29"	"I1M00562"	"辽荞4号"	"抗"	"4.0"	"--"	"0.67"	"Fagopyrum esculentum Moench(甜荞)"	"浅绿"	"2.01"	"--"	"175.70"	"0.56"	"褐"	"92.4"	"0.32"	"辽农科院"	"0.73"	"33.94"	"00000043"	"13.820"	"--"	"中"	"0.26"	"0.94"	"897.6"	"13.71"	"3.20"	"28.290"	"Polygonum(蓼科)"
"31"	"0.52"	"68"	"地方"	"有"	"白"	"0.15"	"4.58"	"12.0"	"0.36"	"0.066"	"0.60"	"长形"	"--"	"LIAO QIAO68 HAO"	"4870"	"0.13"	"30.7"	"0.49"	"Fagopyrum(荞麦属)"	"--"	"0.59"	"0.77"	"0.75"	"18.60"	"1.22"	"65"	"红"	"2.41"	"辽宁"	"甜荞"	"1.25"	"I1M00624"	"辽荞68号"	"中"	"3.0"	"--"	"0.57"	"Fagopyrum esculentum Moench(甜荞)"	"深绿"	"1.23"	"--"	"71.70"	"0.50"	"深褐"	"93.0"	"0.30"	"辽农科院"	"0.68"	"39.38"	"00000107"	"11.350"	"--"	"中"	"0.16"	"0.85"	"556.5"	"12.30"	"2.30"	"20.180"	"Polygonum(蓼科)"
"32"	"0.42"	"69"	"地方"	"有"	"白"	"0.15"	"3.13"	"13.0"	"0.31"	"0.052"	"0.47"	"长形"	"--"	"LIAO QIAO69 HAO"	"3171"	"0.09"	"35.4"	"0.41"	"Fagopyrum(荞麦属)"	"--"	"0.52"	"0.62"	"0.58"	"16.80"	"0.99"	"64"	"红"	"1.89"	"辽宁"	"甜荞"	"0.92"	"I1M00625"	"辽荞69号"	"中"	"4.0"	"--"	"0.49"	"Fagopyrum esculentum Moench(甜荞)"	"深绿"	"0.85"	"--"	"106.40"	"0.38"	"褐"	"87.7"	"0.24"	"辽农科院"	"0.54"	"24.00"	"00000108"	"11.330"	"--"	"中"	"0.18"	"0.68"	"810.7"	"9.88"	"2.70"	"26.500"	"Polygonum(蓼科)"
"33"	"0.45"	"70"	"地方"	"有"	"白"	"0.15"	"4.50"	"13.0"	"0.33"	"0.052"	"0.53"	"长形"	"--"	"LIAO QIAO70 HAO"	"4430"	"0.13"	"32.8"	"0.42"	"Fagopyrum(荞麦属)"	"--"	"0.50"	"0.68"	"0.65"	"15.20"	"1.07"	"64"	"红"	"2.09"	"辽宁"	"甜荞"	"1.06"	"I1M00500"	"辽荞70号"	"中"	"4.0"	"--"	"0.50"	"Fagopyrum esculentum Moench(甜荞)"	"深绿"	"2.40"	"--"	"97.80"	"0.42"	"黑"	"90.2"	"0.26"	"辽农科院"	"0.59"	"38.53"	"00000109"	"12.610"	"--"	"中"	"0.14"	"0.76"	"538.3"	"10.73"	"2.40"	"18.290"	"Polygonum(蓼科)"
"34"	"0.53"	"71"	"地方"	"有"	"白"	"0.17"	"4.39"	"13.0"	"0.36"	"0.030"	"0.59"	"长形"	"--"	"LIAO QIAO71 HAO"	"4316"	"0.10"	"31.4"	"0.48"	"Fagopyrum(荞麦属)"	"--"	"0.57"	"0.79"	"0.68"	"16.40"	"1.21"	"65"	"红"	"2.30"	"辽宁"	"甜荞"	"1.13"	"I1M00626"	"辽荞71号"	"中"	"3.0"	"--"	"0.59"	"Fagopyrum esculentum Moench(甜荞)"	"深绿"	"2.51"	"--"	"85.40"	"0.47"	"黑"	"87.1"	"0.29"	"辽农科院"	"0.68"	"36.00"	"00000110"	"12.680"	"--"	"中"	"0.16"	"0.86"	"545.5"	"11.96"	"2.40"	"20.420"	"Polygonum(蓼科)"
"35"	"0.52"	"72"	"地方"	"有"	"白"	"0.21"	"3.65"	"13.0"	"0.36"	"0.043"	"0.64"	"长形"	"--"	"LIAO QIAO72 HAO"	"4568"	"0.12"	"30.7"	"0.52"	"Fagopyrum(荞麦属)"	"--"	"0.67"	"0.78"	"0.77"	"17.10"	"1.26"	"65"	"红"	"2.48"	"辽宁"	"甜荞"	"1.26"	"I1M00501"	"辽荞72号"	"中"	"3.0"	"--"	"0.60"	"Fagopyrum esculentum Moench(甜荞)"	"深绿"	"2.10"	"--"	"181.20"	"0.50"	"黑"	"84.9"	"0.31"	"辽农科院"	"0.66"	"38.90"	"00000111"	"18.840"	"--"	"中"	"0.23"	"0.89"	"758.3"	"12.78"	"2.20"	"19.870"	"Polygonum(蓼科)"
"36"	"0.49"	"73"	"地方"	"有"	"白"	"0.18"	"4.47"	"13.0"	"0.32"	"0.019"	"0.56"	"长形"	"--"	"LIAO QIAO73 HAO"	"4690"	"0.17"	"35.2"	"0.53"	"Fagopyrum(荞麦属)"	"--"	"0.74"	"0.70"	"0.73"	"17.70"	"1.25"	"65"	"红"	"2.66"	"辽宁"	"甜荞"	"1.15"	"I1M00502"	"辽荞73号"	"中"	"3.0"	"--"	"0.53"	"Fagopyrum esculentum Moench(甜荞)"	"深绿"	"1.98"	"--"	"127.80"	"0.62"	"深褐"	"91.1"	"0.29"	"辽农科院"	"0.61"	"47.60"	"00000112"	"10.620"	"--"	"中"	"0.19"	"0.77"	"323.3"	"12.49"	"3.50"	"14.720"	"Polygonum(蓼科)"
"37"	"0.46"	"74"	"地方"	"有"	"粉"	"0.18"	"2.21"	"15.0"	"0.34"	"0.065"	"0.53"	"长形"	"--"	"LIAO QIAO74 HAO"	"3682"	"0.09"	"30.1"	"0.45"	"Fagopyrum(荞麦属)"	"--"	"0.59"	"0.70"	"0.66"	"18.80"	"1.11"	"69"	"淡红"	"2.20"	"辽宁"	"甜荞"	"1.11"	"I1M00627"	"辽荞74号"	"中"	"3.0"	"--"	"0.53"	"Fagopyrum esculentum Moench(甜荞)"	"深绿"	"0.69"	"--"	"159.80"	"0.42"	"深褐"	"107.7"	"0.27"	"辽农科院"	"0.59"	"28.28"	"00000113"	"9.980"	"--"	"中"	"0.23"	"0.75"	"506.2"	"11.21"	"2.80"	"17.990"	"Polygonum(蓼科)"
"38"	"--"	"1002"	"地方"	"无"	"粉"	"--"	"--"	"16.0"	"--"	"--"	"--"	"长形"	"--"	"WU ZHOU QIAO MAI"	"--"	"--"	"28.8"	"--"	"Fagopyrum(荞麦属)"	"武川县"	"--"	"--"	"--"	"20.00"	"--"	"68"	"绿"	"--"	"内蒙古"	"甜荞"	"--"	"I1M01180"	"武州荞麦"	"抗"	"5.0"	"--"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"--"	"--"	"--"	"--"	"灰棕"	"96.7"	"--"	"内蒙古农科院"	"--"	"--"	"00000114"	"--"	"--"	"中"	"--"	"--"	"--"	"--"	"5.60"	"--"	"Polygonum(蓼科)"
