"id"	"异亮氨酸"	"单位编号"	"样品类型"	"棱翅"	"花色"	"蛋氨酸"	"维生素PP"	"主茎节数"	"酪氨酸"	"硒"	"苯丙氨酸"	"籽粒形状"	"脂肪"	"译名"	"磷"	"色氨酸"	"千粒重"	"苏氨酸"	"属名"	"种子来源地"	"丝氨酸"	"赖氨酸"	"甘氨酸"	"谷壳率"	"天冬氨酸"	"生育日数"	"茎色"	"谷氨酸"	"省"	"类型"	"精氨酸"	"库编号"	"品种名称"	"倒伏性"	"主茎分枝数"	"株型"	"丙氨酸"	"学名"	"叶色"	"维生素E"	"腹沟"	"铁"	"脯氨酸"	"籽粒颜色"	"株高"	"组氨酸"	"保存单位"	"缬氨酸"	"锌"	"统一编号"	"铜"	"蛋白质"	"落粒性"	"胱氨酸"	"亮氨酸"	"钙"	"总和"	"单株粒重"	"锰"	"科名"
"126"	"0.50"	"3-1"	"地方"	"--"	"粉红"	"0.21"	"1.23"	"10.6"	"0.32"	"0.052"	"0.60"	"长形"	"--"	"QIAO MAI"	"2761"	"0.09"	"34.0"	"0.49"	"Fagopyrum(荞麦属)"	"榆林"	"0.64"	"0.76"	"0.73"	"17.00"	"1.24"	"71"	"红"	"2.49"	"陕西"	"甜荞"	"1.26"	"I1M00854"	"荞麦"	"不抗"	"5.7"	"--"	"0.61"	"Fagopyrum esculentum Moench(甜荞)"	"深绿"	"1.49"	"--"	"105.20"	"0.51"	"棕"	"113.0"	"0.30"	"陕榆林地区农科所"	"0.65"	"21.43"	"00000481"	"6.550"	"--"	"--"	"0.21"	"0.82"	"429.2"	"12.43"	"4.00"	"11.200"	"Polygonum(蓼科)"
"127"	"0.42"	"3-2"	"地方"	"--"	"粉红"	"0.19"	"1.29"	"15.7"	"0.28"	"0.081"	"0.51"	"长形"	"--"	"QIAO MAI"	"3336"	"0.07"	"31.0"	"0.40"	"Fagopyrum(荞麦属)"	"榆林"	"0.49"	"0.62"	"0.61"	"15.00"	"0.96"	"68"	"红"	"1.91"	"陕西"	"甜荞"	"0.89"	"I1M00855"	"荞麦"	"不抗"	"7.3"	"--"	"0.49"	"Fagopyrum esculentum Moench(甜荞)"	"深绿"	"1.69"	"--"	"72.90"	"0.43"	"棕"	"124.0"	"0.22"	"陕榆林地区农科所"	"0.53"	"18.23"	"00000482"	"4.880"	"--"	"--"	"0.17"	"0.66"	"363.3"	"9.85"	"3.20"	"8.040"	"Polygonum(蓼科)"
"128"	"0.47"	"3-3"	"地方"	"--"	"粉红"	"0.16"	"3.36"	"13.9"	"0.34"	"0.074"	"0.64"	"长形"	"--"	"QIAO MAI"	"3996"	"0.14"	"34.0"	"0.47"	"Fagopyrum(荞麦属)"	"榆林"	"0.65"	"0.76"	"0.74"	"18.00"	"1.25"	"71"	"红"	"2.60"	"陕西"	"甜荞"	"1.29"	"I1M00481"	"荞麦"	"抗"	"6.5"	"--"	"0.57"	"Fagopyrum esculentum Moench(甜荞)"	"深绿"	"0.37"	"--"	"176.60"	"0.61"	"灰"	"107.0"	"0.30"	"陕榆林地区农科所"	"0.68"	"18.28"	"00000483"	"23.100"	"--"	"--"	"0.20"	"0.89"	"756.0"	"12.76"	"3.00"	"13.120"	"Polygonum(蓼科)"
"129"	"0.45"	"5-1"	"地方"	"--"	"粉红"	"0.16"	"1.68"	"12.4"	"0.33"	"0.077"	"0.59"	"长形"	"--"	"QIAO MAI"	"3553"	"0.14"	"37.0"	"0.46"	"Fagopyrum(荞麦属)"	"靖边"	"0.64"	"0.74"	"0.75"	"15.00"	"1.25"	"73"	"红"	"2.65"	"陕西"	"甜荞"	"1.27"	"I1M00856"	"荞麦"	"不抗"	"5.9"	"--"	"0.55"	"Fagopyrum esculentum Moench(甜荞)"	"深绿"	"1.50"	"--"	"50.40"	"0.52"	"棕"	"111.0"	"0.29"	"陕榆林地区农科所"	"0.65"	"17.68"	"00000484"	"12.770"	"--"	"--"	"0.18"	"0.85"	"224.3"	"12.47"	"2.60"	"9.430"	"Polygonum(蓼科)"
"130"	"--"	"甘7"	"地方"	"无"	"红"	"--"	"4.50"	"11.0"	"--"	"--"	"--"	"长形"	"1.52"	"QIAO MAI"	"--"	"--"	"19.1"	"--"	"Fagopyrum(荞麦属)"	"肃南县"	"--"	"0.40"	"--"	"20.00"	"--"	"52"	"红"	"--"	"甘肃"	"甜荞"	"--"	"I1M01514"	"荞麦"	"不抗"	"7.5"	"--"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"1.86"	"--"	"--"	"--"	"棕"	"93.0"	"--"	"甘农科院"	"--"	"--"	"00000660"	"--"	"7.12"	"中"	"--"	"--"	"--"	"--"	"1.50"	"--"	"Polygonum(蓼科)"
"131"	"0.71"	"甘9"	"地方"	"无"	"红"	"0.24"	"2.55"	"8.0"	"0.52"	"0.019"	"0.77"	"长形"	"--"	"QIAO MAI"	"5668"	"0.14"	"22.9"	"0.52"	"Fagopyrum(荞麦属)"	"高台县"	"0.71"	"0.77"	"0.79"	"17.80"	"1.36"	"54"	"红"	"2.86"	"甘肃"	"甜荞"	"0.99"	"I1M01201"	"荞麦"	"不抗"	"6.0"	"--"	"0.61"	"Fagopyrum esculentum Moench(甜荞)"	"深绿"	"1.46"	"--"	"136.50"	"0.51"	"棕"	"95.0"	"0.32"	"甘农科院"	"0.75"	"31.73"	"00000661"	"9.140"	"--"	"中"	"0.25"	"1.05"	"560.3"	"13.87"	"1.80"	"20.900"	"Polygonum(蓼科)"
"132"	"0.69"	"甘10"	"地方"	"无"	"红"	"0.25"	"5.48"	"12.5"	"0.29"	"0.042"	"0.68"	"长形"	"--"	"QIAO MAI(LIU LENG)"	"6092"	"0.16"	"22.4"	"0.52"	"Fagopyrum(荞麦属)"	"临泽县"	"0.70"	"0.77"	"0.77"	"19.30"	"1.35"	"55"	"红"	"2.86"	"甘肃"	"甜荞"	"1.09"	"I1M01202"	"荞麦(六棱)"	"不抗"	"9.0"	"--"	"0.61"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"1.82"	"--"	"115.10"	"0.54"	"褐"	"86.0"	"0.32"	"甘农科院"	"0.73"	"34.14"	"00000662"	"7.540"	"--"	"中"	"0.16"	"1.04"	"651.7"	"13.53"	"2.40"	"19.430"	"Polygonum(蓼科)"
"133"	"0.72"	"甘11"	"地方"	"无"	"红"	"0.29"	"6.03"	"13.0"	"0.54"	"0.021"	"0.74"	"长形"	"--"	"XIAO LENG QIAO MAI"	"5421"	"0.15"	"20.9"	"0.55"	"Fagopyrum(荞麦属)"	"永昌县"	"0.77"	"0.83"	"0.82"	"16.20"	"1.43"	"58"	"红"	"3.10"	"甘肃"	"甜荞"	"1.77"	"I1M00629"	"小棱荞麦"	"不抗"	"5.0"	"--"	"0.63"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"2.08"	"--"	"112.90"	"0.51"	"褐"	"95.0"	"0.33"	"甘农科院"	"0.76"	"31.00"	"00000663"	"10.710"	"--"	"中"	"0.24"	"1.10"	"514.3"	"15.28"	"1.70"	"18.790"	"Polygonum(蓼科)"
"134"	"0.52"	"甘12"	"地方"	"无"	"红"	"0.18"	"2.32"	"12.0"	"0.41"	"0.038"	"0.73"	"长形"	"--"	"XIAO QIAO MAI"	"4235"	"0.11"	"22.0"	"0.52"	"Fagopyrum(荞麦属)"	"武威县"	"0.73"	"0.81"	"0.79"	"18.70"	"1.42"	"56"	"红"	"2.94"	"甘肃"	"甜荞"	"1.42"	"I1M00630"	"小荞麦"	"不抗"	"5.0"	"--"	"0.65"	"Fagopyrum esculentum Moench(甜荞)"	"浅绿"	"1.10"	"--"	"95.10"	"0.58"	"褐"	"125.0"	"0.33"	"甘农科院"	"0.70"	"23.90"	"00000664"	"12.250"	"--"	"中"	"0.28"	"0.95"	"419.3"	"14.07"	"3.00"	"16.330"	"Polygonum(蓼科)"
"135"	"--"	"甘13"	"地方"	"有"	"红"	"--"	"6.34"	"13.0"	"--"	"--"	"--"	"宽"	"1.48"	"XIAO QIAO MAI"	"--"	"--"	"23.0"	"--"	"Fagopyrum(荞麦属)"	"武威县"	"--"	"0.41"	"--"	"29.80"	"--"	"58"	"红"	"--"	"甘肃"	"甜荞"	"--"	"I1M01515"	"小荞麦"	"不抗"	"4.5"	"--"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"1.35"	"--"	"--"	"--"	"褐"	"105.0"	"--"	"甘农科院"	"--"	"--"	"00000665"	"--"	"7.06"	"中"	"--"	"--"	"--"	"--"	"2.50"	"--"	"Polygonum(蓼科)"
