"id"	"蛋氨酸"	"科名"	"保存编号"	"叶斑病级"	"谷氨酸"	"选育单位"	"播种期"	"缬氨酸"	"结荚习性"	"精氨酸"	"苏氨酸"	"丙氨酸"	"单株产量"	"总和"	"天冬氨酸"	"异亮氨酸"	"根腐病级"	"省"	"直链淀粉"	"脂肪"	"组氨酸"	"分枝数"	"全生育日数"	"品种名称"	"总淀粉"	"根腐病指数"	"色氨酸"	"百粒重"	"属名"	"统一编号"	"芽期抗旱"	"学名"	"粒形"	"选育方法"	"苯丙氨酸"	"熟期抗旱"	"支链淀粉"	"花色"	"成熟期"	"蛋白质"	"苗期耐盐"	"种皮光泽"	"亮氨酸"	"库编号"	"生长习性"	"保存单位"	"原产地"	"备注"	"蚜害指数"	"甘氨酸"	"单荚粒数"	"蚜害病评价"	"胱氨酸"	"样品类型"	"芽期耐盐"	"单株荚数"	"粒色"	"育成年份"	"酩氨酸"	"根腐病评价"	"脯氨酸"	"叶斑病指数"	"荚长"	"赖氨酸"	"丝氨酸"	"译名"	"蚜害病级别"	"荚色"	"蚜害比值"	"种子来源"	"株高"	"叶斑病评价"	"粒型"	"褐斑病指数"	"锈病评价"	"蚜害病指数"	"均匀度"	"赤斑病指数"	"蚜害病级"	"抗涝性"	"赤斑病级"	"粗蛋白"	"有效枝"	"锈病指数"	"荚宽"	"褐斑病级"	"粗脂肪"	"赤斑病评价"	"熟性"
"1"	"0.38"	"Leguminosae(豆科)"	"D0676"	"9"	"4.49"	"--"	"6.17"	"1.40"	"有限"	"1.57"	"0.73"	"0.98"	"17.0"	"23.08"	"2.66"	"1.21"	"5-9"	"北京"	"13.76"	"0.75"	"0.68"	"2.8"	"90"	"绿豆(夏4)"	"49.28"	"93.3"	"0.12"	"6.3"	"Vigna(豇豆属)"	"C0000001"	"2"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"1.62"	"3"	"35.52"	"黄"	"9.15"	"24.52"	"4"	"--"	"1.99"	"I2E02220"	"直立"	"中国农科院"	"中国农科院作物所"	"--"	"75.0"	"0.89"	"14.6"	"HS"	"0.37"	"地方"	"5"	"23.2"	"绿(光)"	"--"	"0.66"	"HS"	"0.64"	"98.5"	"11.6"	"1.66"	"1.03"	"LU DOU (XIA 4)"	"9"	"黑"	"1.03"	"--"	"63.6"	"HS"																	
"2"	"0.41"	"Leguminosae(豆科)"	"D0677"	"9"	"5.20"	"--"	"6.17"	"1.59"	"有限"	"1.80"	"0.87"	"1.11"	"13.0"	"26.34"	"3.09"	"1.35"	"9"	"北京"	"12.46"	"0.86"	"0.82"	"3.6"	"90"	"绿豆(夏7)"	"48.05"	"98.5"	"0.14"	"5.4"	"Vigna(豇豆属)"	"C0000002"	"3"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"1.74"	"3"	"35.59"	"黄"	"9.15"	"24.18"	"5"	"--"	"2.24"	"I2E02221"	"直立"	"中国农科院"	"中国农科院作物所"	"--"	"70.0"	"1.02"	"11.0"	"HS"	"0.39"	"地方"	"5"	"35.6"	"绿(光)"	"--"	"0.75"	"HS"	"0.73"	"97.0"	"10.6"	"1.85"	"1.24"	"LU DOU (XIA 7)"	"9"	"黑"	"1.03"	"--"	"76.2"	"HS"																	
"3"	"0.39"	"Leguminosae(豆科)"	"D0678"	"9"	"5.08"	"--"	"6.17"	"1.53"	"有限"	"1.59"	"0.89"	"1.11"	"19.0"	"25.41"	"3.05"	"1.18"	"9"	"北京"	"12.96"	"0.70"	"0.74"	"4.8"	"87"	"绿豆(夏11)"	"51.65"	"97.0"	"0.12"	"5.0"	"Vigna(豇豆属)"	"C0000003"	"1"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"1.76"	"4"	"38.69"	"黄"	"9.12"	"22.49"	"5"	"--"	"2.03"	"I2E02222"	"直立"	"中国农科院"	"中国农科院作物所"	"--"	"84.4"	"1.03"	"11.9"	"HS"	"0.38"	"地方"	"5"	"45.0"	"绿(光)"	"--"	"0.56"	"HS"	"0.86"	"97.0"	"7.5"	"1.84"	"1.29"	"LU DOU (XIA 11)"	"9"	"黑"	"1.16"	"--"	"96.4"	"HS"																	
"4"	"0.24"	"Leguminosae(豆科)"	"D0679"	"7-9"	"4.79"	"--"	"6.17"	"1.45"	"有限"	"1.66"	"0.77"	"1.05"	"13.2"	"23.95"	"2.85"	"1.12"	"5-9"	"北京"	"13.94"	"0.60"	"0.76"	"3.0"	"85"	"绿豆(夏15)"	"53.06"	"91.9"	"0.15"	"5.7"	"Vigna(豇豆属)"	"C0000004"	"2"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"1.78"	"3"	"39.12"	"黄"	"9.10"	"21.71"	"4"	"--"	"1.92"	"I2E02223"	"直立"	"中国农科院"	"中国农科院作物所"	"--"	"85.0"	"0.92"	"11.9"	"HS"	"0.35"	"地方"	"5"	"30.6"	"绿(光)"	"--"	"0.58"	"HS"	"0.71"	"95.6"	"8.8"	"1.78"	"1.09"	"LU DOU (XIA 15)"	"9"	"黑"	"1.16"	"--"	"60.8"	"HS"																	
"5"	"0.49"	"Leguminosae(豆科)"	"D0680"	"9"	"4.62"	"--"	"6.17"	"1.44"	"有限"	"1.52"	"0.78"	"1.09"	"12.4"	"24.14"	"2.75"	"1.24"	"9"	"北京"	"12.58"	"1.12"	"0.76"	"2.2"	"90"	"绿豆(夏18)"	"50.72"	"98.5"	"0.14"	"5.4"	"Vigna(豇豆属)"	"C0000005"	"4"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"1.67"	"3"	"38.14"	"黄"	"9.15"	"22.44"	"4"	"--"	"2.02"	"I2E02224"	"直立"	"中国农科院"	"中国农科院作物所"	"--"	"57.5"	"0.98"	"13.4"	"HS"	"0.36"	"地方"	"5"	"22.8"	"绿(光)"	"--"	"0.73"	"HS"	"0.76"	"97.0"	"9.0"	"1.72"	"1.06"	"LU DOU(XIA 18)"	"9"	"黑"	"0.79"	"--"	"78.4"	"HS"																	
"6"	"0.24"	"Leguminosae(豆科)"	"D0681"	"9"	"5.18"	"--"	"6.17"	"1.54"	"有限"	"1.77"	"0.84"	"1.13"	"13.6"	"25.45"	"3.07"	"1.23"	"9"	"北京"	"12.78"	"1.16"	"0.77"	"3.8"	"80"	"绿豆(夏19)"	"49.12"	"97.8"	"0.14"	"5.5"	"Vigna(豇豆属)"	"C0000006"	"5"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"1.81"	"3"	"36.34"	"黄"	"9.05"	"22.80"	"5"	"--"	"2.11"	"I2E02225"	"直立"	"中国农科院"	"中国农科院作物所"	"--"	"62.5"	"0.98"	"13.0"	"HS"	"0.33"	"地方"	"5"	"28.8"	"绿(光)"	"--"	"0.58"	"HS"	"0.66"	"97.0"	"9.2"	"1.92"	"1.15"	"LU DOU (XIA 19)"	"9"	"深褐"	"0.86"	"--"	"70.8"	"HS"																	
"7"	"0.47"	"Leguminosae(豆科)"	"D0682"	"7-9"	"4.87"	"--"	"6.17"	"1.50"	"有限"	"1.65"	"0.79"	"1.06"	"6.0"	"24.74"	"2.90"	"1.24"	"9"	"北京"	"13.46"	"1.03"	"0.74"	"2.4"	"90"	"绿豆(夏22)"	"50.45"	"97.8"	"0.14"	"4.3"	"Vigna(豇豆属)"	"C0000007"	"5"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"1.69"	"3"	"36.99"	"黄"	"9.15"	"22.55"	"5"	"--"	"2.10"	"I2E02226"	"直立"	"中国农科院"	"中国农科院作物所"	"--"	"60.7"	"0.95"	"12.8"	"HS"	"0.34"	"地方"	"5"	"12.2"	"绿(光)"	"--"	"0.76"	"HS"	"0.66"	"95.6"	"10.4"	"1.79"	"1.10"	"LU DOU (XIA 22)"	"9"	"黑"	"0.83"	"--"	"82.2"	"HS"																	
"8"	"0.43"	"Leguminosae(豆科)"	"D0683"	"7-9"	"4.83"	"--"	"6.17"	"1.48"	"有限"	"1.56"	"0.79"	"1.05"	"19.6"	"24.46"	"2.87"	"1.24"	"9"	"北京"	"12.86"	"1.46"	"0.71"	"4.6"	"87"	"绿豆(夏45)"	"50.09"	"100.0"	"0.15"	"3.7"	"Vigna(豇豆属)"	"C0000008"	"4"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"1.65"	"4"	"37.23"	"黄"	"9.12"	"25.25"	"2"	"--"	"2.07"	"I2E02227"	"直立"	"中国农科院"	"中国农科院作物所"	"--"	"75.0"	"0.94"	"12.7"	"HS"	"0.34"	"地方"	"5"	"47.8"	"绿(光)"	"--"	"0.73"	"HS"	"0.70"	"89.6"	"8.3"	"1.82"	"1.08"	"LU DOU (XIA 45)"	"9"	"深褐"	"1.03"	"--"	"64.0"	"HS"																	
"9"	"0.38"	"Leguminosae(豆科)"	"D0684"	"7-9"	"4.88"	"--"	"6.17"	"1.47"	"有限"	"1.55"	"0.82"	"1.07"	"13.4"	"24.58"	"2.88"	"1.21"	"9"	"北京"	"13.18"	"1.30"	"0.71"	"3.8"	"90"	"绿豆(夏46)"	"50.07"	"100.0"	"0.18"	"3.4"	"Vigna(豇豆属)"	"C0000009"	"5"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"1.67"	"4"	"36.89"	"黄"	"9.15"	"24.49"	"4"	"--"	"2.07"	"I2E02228"	"直立"	"中国农科院"	"中国农科院作物所"	"--"	"96.4"	"0.94"	"13.2"	"HS"	"0.31"	"地方"	"5"	"56.4"	"绿(光)"	"--"	"0.71"	"HS"	"0.77"	"88.1"	"8.2"	"1.85"	"1.12"	"LU DOU (XIA 46)"	"9"	"深褐"	"1.10"	"--"	"70.6"	"HS"																	
"10"	"0.46"	"Leguminosae(豆科)"	"D0685"	"7-9"	"4.62"	"--"	"6.17"	"1.40"	"有限"	"1.46"	"0.76"	"0.99"	"15.0"	"23.12"	"2.69"	"1.08"	"9"	"北京"	"14.78"	"1.48"	"0.63"	"4.4"	"87"	"绿豆(夏47)"	"53.04"	"96.3"	"0.19"	"4.0"	"Vigna(豇豆属)"	"C0000010"	"5"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"1.66"	"3"	"38.26"	"黄"	"9.12"	"23.57"	"4"	"--"	"1.87"	"I2E02229"	"直立"	"中国农科院"	"中国农科院作物所"	"--"	"100.0"	"0.89"	"12.8"	"HS"	"0.37"	"地方"	"5"	"36.0"	"绿(光)"	"--"	"0.58"	"HS"	"0.69"	"94.1"	"7.9"	"1.73"	"1.04"	"LU DOU (XIA 47)"	"9"	"黑"	"1.37"	"--"	"72.4"	"HS"																	
"11"	"0.38"	"Leguminosae(豆科)"	"D0686"	"9"	"4.84"	"--"	"6.17"	"1.44"	"无限"	"1.60"	"0.81"	"1.05"	"17.2"	"24.00"	"2.85"	"1.10"	"9"	"北京"	"13.56"	"1.42"	"0.64"	"4.4"	"85"	"绿豆(夏49)"	"51.87"	"95.6"	"0.14"	"4.0"	"Vigna(豇豆属)"	"C0000011"	"4"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"1.67"	"3"	"38.31"	"黄"	"9.10"	"23.96"	"5"	"--"	"1.92"	"I2E02230"	"蔓生"	"中国农科院"	"中国农科院作物所"	"--"	"62.5"	"0.96"	"13.0"	"HS"	"0.38"	"地方"	"5"	"38.8"	"绿(光)"	"--"	"0.63"	"HS"	"0.69"	"100.0"	"8.4"	"1.80"	"1.09"	"LU DOU (XIA 49)"	"9"	"深褐"	"0.86"	"--"	"71.8"	"HS"																	
"12"	"0.37"	"Leguminosae(豆科)"	"D0687"	"9"	"5.02"	"--"	"6.17"	"1.49"	"无限"	"1.61"	"0.82"	"1.08"	"7.0"	"24.73"	"2.96"	"1.16"	"9"	"北京"	"13.56"	"1.28"	"0.72"	"3.8"	"87"	"绿豆(夏53)"	"49.69"	"100.0"	"0.13"	"3.4"	"Vigna(豇豆属)"	"C0000012"	"4"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"1.69"	"3"	"36.13"	"黄"	"9.12"	"24.92"	"5"	"--"	"1.99"	"I2E02760"	"半蔓生"	"中国农科院"	"中国农科院作物所"	"--"	"87.5"	"0.99"	"11.1"	"HS"	"0.37"	"地方"	"5"	"34.4"	"绿(光)"	"--"	"0.64"	"HS"	"0.67"	"100.0"	"7.4"	"1.88"	"1.13"	"LU DOU (XIA 53)"	"9"	"黑"	"1.20"	"--"	"67.4"	"HS"																	
"13"	"0.59"	"Leguminosae(豆科)"	"D0688"	"7-9"	"5.07"	"--"	"6.17"	"1.55"	"无限"	"1.67"	"0.83"	"1.07"	"12.0"	"26.28"	"3.02"	"1.26"	"9"	"北京"	"14.90"	"1.36"	"0.77"	"3.6"	"87"	"绿豆(夏56)"	"50.79"	"97.8"	"0.14"	"3.5"	"Vigna(豇豆属)"	"C0000013"	"3"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"1.72"	"3"	"35.89"	"黄"	"9.12"	"24.71"	"5"	"--"	"2.17"	"I2E02231"	"半蔓生"	"中国农科院"	"中国农科院作物所"	"--"	"87.5"	"0.97"	"13.7"	"HS"	"0.42"	"地方"	"5"	"40.0"	"绿(光)"	"--"	"0.87"	"HS"	"0.77"	"95.6"	"8.0"	"2.23"	"1.16"	"LU DOU (XIA 56)"	"9"	"黑"	"1.20"	"--"	"69.8"	"HS"																	
"14"	"0.43"	"Leguminosae(豆科)"	"D0689"	"9"	"4.72"	"--"	"6.17"	"1.42"	"无限"	"1.51"	"0.80"	"1.03"	"8.0"	"23.55"	"2.77"	"1.11"	"9"	"北京"	"14.66"	"0.71"	"0.71"	"3.2"	"90"	"绿豆(夏60)"	"52.38"	"100.0"	"0.14"	"3.7"	"Vigna(豇豆属)"	"C0000014"	"5"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"1.56"	"3"	"37.72"	"黄"	"9.15"	"23.50"	"4"	"--"	"1.88"	"I2E02232"	"半蔓生"	"中国农科院"	"中国农科院作物所"	"--"	"65.0"	"0.93"	"12.2"	"HS"	"0.40"	"地方"	"5"	"20.8"	"绿(光)"	"--"	"0.63"	"HS"	"0.66"	"95.6"	"7.7"	"1.75"	"1.09"	"LU DOU (XIA 60)"	"9"	"黑"	"0.89"	"--"	"74.4"	"HS"																	
"15"	"0.48"	"Leguminosae(豆科)"	"D0690"	"7-9"	"4.64"	"--"	"6.17"	"1.39"	"无限"	"1.54"	"0.77"	"0.99"	"15.6"	"23.88"	"2.76"	"1.21"	"9"	"北京"	"14.14"	"0.70"	"0.69"	"4.0"	"85"	"绿豆(夏63)"	"52.22"	"100.0"	"0.18"	"4.6"	"Vigna(豇豆属)"	"C0000015"	"1"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"1.60"	"3"	"38.08"	"黄"	"9.10"	"23.77"	"4"	"--"	"1.97"	"I2E02233"	"半蔓生"	"中国农科院"	"中国农科院作物所"	"--"	"100.0"	"0.90"	"8.9"	"HS"	"0.37"	"地方"	"5"	"35.2"	"绿(光)"	"--"	"0.77"	"HS"	"0.70"	"95.6"	"9.1"	"1.74"	"1.07"	"LU DOU (XIA 63)"	"9"	"黑"	"1.37"	"--"	"77.4"	"HS"																	
"16"	"0.42"	"Leguminosae(豆科)"	"D0691"	"7-9"	"5.18"	"--"	"6.17"	"1.51"	"无限"	"1.66"	"0.84"	"1.09"	"13.6"	"25.72"	"3.07"	"1.18"	"9"	"北京"	"11.96"	"0.76"	"0.76"	"5.8"	"80"	"绿豆(夏69)"	"49.89"	"94.8"	"0.18"	"4.3"	"Vigna(豇豆属)"	"C0000016"	"5"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"1.76"	"3"	"37.93"	"黄"	"9.05"	"26.30"	"4"	"--"	"2.05"	"I2E02234"	"半蔓生"	"中国农科院"	"中国农科院作物所"	"--"	"100.0"	"0.99"	"11.4"	"HS"	"0.40"	"地方"	"5"	"30.0"	"绿(光)"	"--"	"0.68"	"HS"	"0.84"	"94.1"	"8.1"	"1.91"	"1.20"	"LU DOU (XIA 69)"	"9"	"深褐"	"1.37"	"--"	"71.4"	"HS"																	
"17"	"0.52"	"Leguminosae(豆科)"	"D0692"	"9"	"4.91"	"--"	"6.17"	"1.49"	"无限"	"1.61"	"0.82"	"1.06"	"11.0"	"25.18"	"2.92"	"1.23"	"9"	"北京"	"13.04"	"0.86"	"0.68"	"4.0"	"90"	"绿豆(夏74)"	"50.83"	"100.0"	"0.17"	"4.1"	"Vigna(豇豆属)"	"C0000017"	"5"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"1.73"	"4"	"37.79"	"黄"	"9.15"	"24.47"	"5"	"--"	"2.09"	"I2E02761"	"半蔓生"	"中国农科院"	"中国农科院作物所"	"--"	"100.0"	"0.96"	"12.5"	"HS"	"0.40"	"地方"	"5"	"57.6"	"绿(光)"	"--"	"0.79"	"HS"	"0.77"	"100.0"	"8.9"	"1.86"	"1.17"	"LU DOU (XIA 74)"	"9"	"深褐"	"1.37"	"--"	"120.2"	"HS"																	
"18"	"0.42"	"Leguminosae(豆科)"	"D0693"	"7-9"	"4.75"	"--"	"6.17"	"1.40"	"无限"	"1.41"	"0.79"	"1.02"	"12.8"	"23.66"	"2.82"	"1.07"	"9"	"北京"	"14.66"	"0.93"	"0.69"	"4.4"	"87"	"绿豆(夏92)"	"52.81"	"95.6"	"0.15"	"4.0"	"Vigna(豇豆属)"	"C0000018"	"5"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"1.57"	"4"	"38.15"	"黄"	"9.12"	"23.86"	"5"	"--"	"1.86"	"I2E02235"	"半蔓生"	"中国农科院"	"中国农科院作物所"	"--"	"100.0"	"0.99"	"12.0"	"HS"	"0.41"	"地方"	"5"	"33.6"	"绿"	"--"	"0.67"	"HS"	"0.68"	"88.1"	"7.6"	"1.83"	"1.12"	"LU DOU (XIA 92)"	"9"	"黑"	"1.37"	"--"	"81.2"	"HS"																	
"19"	"0.42"	"Leguminosae(豆科)"	"D0694"	"9"	"5.40"	"--"	"6.17"	"1.54"	"无限"	"1.73"	"0.91"	"1.15"	"10.0"	"26.68"	"3.22"	"1.21"	"9"	"北京"	"13.04"	"1.02"	"0.77"	"3.0"	"95"	"绿豆(夏94)"	"48.94"	"98.5"	"0.18"	"4.8"	"Vigna(豇豆属)"	"C0000019"	"5"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"1.72"	"3"	"35.90"	"黄"	"9.20"	"25.95"	"4"	"--"	"2.10"	"I2E02236"	"半蔓生"	"中国农科院"	"中国农科院作物所"	"--"	"100.0"	"1.12"	"12.0"	"HS"	"0.39"	"地方"	"5"	"22.0"	"绿"	"--"	"0.72"	"HS"	"0.78"	"97.0"	"9.2"	"2.01"	"1.29"	"LU DOU (XIA 94)"	"9"	"黑"	"1.37"	"--"	"70.2"	"HS"																	
"20"	"0.51"	"Leguminosae(豆科)"	"D0695"	"9"	"5.28"	"--"	"6.17"	"1.58"	"无限"	"1.37"	"0.95"	"1.12"	"11.0"	"27.13"	"3.22"	"1.38"	"9"	"北京"	"13.76"	"0.94"	"0.76"	"3.2"	"90"	"绿豆(夏96)"	"51.34"	"98.5"	"0.17"	"4.5"	"Vigna(豇豆属)"	"C0000020"	"4"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"1.68"	"3"	"37.58"	"黄"	"9.15"	"24.61"	"4"	"--"	"2.24"	"I2E02237"	"半蔓生"	"中国农科院"	"中国农科院作物所"	"--"	"100.0"	"1.18"	"13.1"	"HS"	"0.42"	"地方"	"5"	"27.0"	"绿"	"--"	"0.94"	"HS"	"0.96"	"97.0"	"8.7"	"1.85"	"1.52"	"LU DOU (XIA 96)"	"9"	"黑"	"1.37"	"--"	"70.0"	"HS"																	
"21"	"0.56"	"Leguminosae(豆科)"	"D0630"	"7-9"	"4.86"	"--"	"6.17"	"1.48"	"无限"	"1.45"	"0.90"	"1.03"	"14.3"	"26.05"	"3.04"	"1.30"	"9"	"河北"	"13.80"	"0.71"	"0.78"	"4.2"	"78"	"绿豆"	"51.01"	"95.6"	"0.16"	"4.5"	"Vigna(豇豆属)"	"C0000070"	"3"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"1.64"	"4"	"37.21"	"黄"	"9.03"	"24.60"	"4"	"--"	"2.19"	"I2E02276"	"半蔓生"	"中国农科院"	"河北怀来县"	"--"	"86.1"	"1.02"	"11.4"	"HS"	"0.40"	"地方"	"5"	"34.6"	"绿(光)"	"--"	"0.92"	"HS"	"1.05"	"91.1"	"8.0"	"1.93"	"1.35"	"LU DOU"	"9"	"褐"	"1.18"	"--"	"67.4"	"HS"																	
"22"	"0.67"	"Leguminosae(豆科)"	"D0625"	"9"	"4.72"	"--"	"6.14"	"1.42"	"有限"	"1.29"	"0.84"	"1.06"	"7.5"	"24.37"	"2.83"	"1.17"	"3-9"	"安徽"	"14.64"	"0.85"	"0.74"	"--"	"82"	"绿豆"	"52.78"	"66.7"	"0.13"	"3.5"	"Vigna(豇豆属)"	"C0000071"	"3"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"1.34"	"3"	"38.14"	"黄"	"9.04"	"23.06"	"3"	"--"	"2.11"	"I2E02277"	"直立"	"中国农科院"	"安徽淮北市"	"--"	"87.5"	"1.00"	"11.0"	"HS"	"0.39"	"地方"	"5"	"23.1"	"绿"	"--"	"0.93"	"S"	"0.63"	"98.8"	"7.6"	"1.87"	"1.24"	"LU DOU"	"9"	"黑"	"1.20"	"--"	"46.0"	"HS"																	
"23"	"0.41"	"Leguminosae(豆科)"	"22"	"7-9"	"5.00"	"--"	"6.20"	"1.34"	"无限"	"1.79"	"0.87"	"1.14"	"17.5"	"25.48"	"3.10"	"1.14"	"5-9"	"河北"	"11.37"	"1.13"	"0.70"	"6.3"	"95"	"大绿豆"	"51.35"	"81.5"	"0.19"	"3.9"	"Vigna(豇豆属)"	"C0000072"	"2"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"1.70"	"4"	"39.98"	"黄"	"9.23"	"25.70"	"3"	"--"	"2.13"	"I2E02357"	"蔓生"	"河北省农科院"	"永年县"	"--"	"68.8"	"0.96"	"12.8"	"HS"	"0.11"	"地方"	"1"	"50.6"	"绿(光)"	"--"	"0.82"	"HS"	"0.97"	"88.3"	"8.2"	"1.80"	"1.31"	"DA LU DOU"	"9"	"褐"	"0.95"	"--"	"123.3"	"HS"																	
"24"	"--"	"Leguminosae(豆科)"	"264"	"--"	"--"	"--"	"6.20"	"--"	"有限"	"--"	"--"	"--"	"24.3"	"--"	"--"	"--"	"--"	"河北"	"--"	"--"	"--"	"4.5"	"72"	"早熟绿豆"	"--"	"--"	"--"	"3.8"	"Vigna(豇豆属)"	"C0000073"	"--"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"--"	"--"	"--"	"黄"	"8.31"	"--"	"--"	"--"	"--"	"I2E02358"	"直立"	"河北省农科院"	"永年县"	"--"	"--"	"--"	"11.3"	"--"	"--"	"地方"	"--"	"66.4"	"绿(光)"	"--"	"--"	"--"	"--"	"--"	"7.7"	"--"	"--"	"ZAO SHU LV DOU"	"--"	"褐黑"	"--"	"--"	"77.0"	"--"																	
"25"	"0.39"	"Leguminosae(豆科)"	"1"	"7-9"	"5.48"	"--"	"6.20"	"1.46"	"无限"	"1.98"	"0.93"	"1.23"	"13.1"	"27.79"	"3.35"	"1.26"	"5-9"	"河北"	"12.35"	"1.11"	"0.77"	"5.6"	"95"	"小绿豆"	"51.91"	"81.5"	"0.22"	"5.4"	"Vigna(豇豆属)"	"C0000074"	"3"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"1.90"	"3"	"39.56"	"黄"	"9.23"	"26.28"	"5"	"--"	"2.38"	"I2E02359"	"蔓生"	"河北省农科院"	"曲周县"	"--"	"57.5"	"1.04"	"12.0"	"HS"	"0.11"	"地方"	"3"	"31.4"	"绿(光)"	"--"	"1.11"	"HS"	"1.03"	"91.1"	"6.9"	"1.74"	"1.42"	"XIAO LU DOU"	"9"	"褐"	"0.82"	"--"	"130.0"	"HS"																	
"26"	"0.40"	"Leguminosae(豆科)"	"2"	"7-9"	"5.34"	"--"	"6.20"	"1.43"	"无限"	"1.94"	"0.92"	"1.21"	"32.2"	"27.01"	"3.29"	"1.22"	"5-9"	"河北"	"10.70"	"1.22"	"0.74"	"5.4"	"95"	"大羊角绿豆"	"51.91"	"91.9"	"0.20"	"4.2"	"Vigna(豇豆属)"	"C0000075"	"2"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"1.77"	"3"	"41.21"	"黄"	"9.23"	"26.21"	"5"	"--"	"2.27"	"I2E02360"	"蔓生"	"河北省农科院"	"曲周县"	"--"	"75.0"	"1.03"	"13.8"	"HS"	"0.11"	"地方"	"3"	"64.0"	"绿(光)"	"--"	"0.85"	"HS"	"1.01"	"91.1"	"7.5"	"1.90"	"1.38"	"DA YANG JIAO LU DOU"	"9"	"褐"	"1.04"	"--"	"125.0"	"HS"																	
"27"	"0.39"	"Leguminosae(豆科)"	"3"	"7-9"	"5.22"	"--"	"6.20"	"1.39"	"无限"	"1.88"	"0.90"	"1.19"	"25.0"	"26.49"	"3.23"	"1.18"	"5-9"	"河北"	"12.29"	"1.19"	"0.72"	"5.5"	"88"	"绿豆"	"53.27"	"86.7"	"0.21"	"3.8"	"Vigna(豇豆属)"	"C0000076"	"2"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"1.76"	"2"	"40.98"	"黄"	"9.16"	"24.54"	"4"	"--"	"2.22"	"I2E02361"	"半蔓生"	"河北省农科院"	"曲周县"	"--"	"50.0"	"1.00"	"13.3"	"S"	"0.13"	"地方"	"3"	"59.2"	"绿(光)"	"--"	"0.83"	"HS"	"1.01"	"94.1"	"9.1"	"1.86"	"1.38"	"LU DOU"	"7"	"褐"	"0.69"	"--"	"110.0"	"HS"																	
"28"	"0.39"	"Leguminosae(豆科)"	"4"	"7-9"	"5.11"	"--"	"6.20"	"1.39"	"无限"	"1.81"	"0.90"	"1.19"	"22.4"	"26.17"	"3.19"	"1.19"	"9"	"河北"	"11.31"	"1.09"	"0.72"	"4.7"	"95"	"绿豆"	"51.46"	"95.6"	"0.20"	"3.6"	"Vigna(豇豆属)"	"C0000077"	"4"	"Vigna rabiata (L.) Wilczek(绿豆)"	"球形"	"--"	"1.73"	"4"	"40.15"	"黄"	"9.23"	"24.39"	"4"	"--"	"2.19"	"I2E02362"	"蔓生"	"河北省农科院"	"曲周县"	"--"	"56.3"	"1.00"	"14.2"	"HS"	"0.12"	"地方"	"3"	"55.6"	"绿(光)"	"--"	"0.81"	"HS"	"0.99"	"93.3"	"8.2"	"1.88"	"1.35"	"LU DOU"	"9"	"褐"	"0.78"	"--"	"129.5"	"HS"																	
