"id"	"蛋氨酸"	"科名"	"保存编号"	"叶斑病级"	"谷氨酸"	"选育单位"	"播种期"	"缬氨酸"	"结荚习性"	"精氨酸"	"苏氨酸"	"丙氨酸"	"单株产量"	"总和"	"天冬氨酸"	"异亮氨酸"	"根腐病级"	"省"	"直链淀粉"	"脂肪"	"组氨酸"	"分枝数"	"全生育日数"	"品种名称"	"总淀粉"	"根腐病指数"	"色氨酸"	"百粒重"	"属名"	"统一编号"	"芽期抗旱"	"学名"	"粒形"	"选育方法"	"苯丙氨酸"	"熟期抗旱"	"支链淀粉"	"花色"	"成熟期"	"蛋白质"	"苗期耐盐"	"种皮光泽"	"亮氨酸"	"库编号"	"生长习性"	"保存单位"	"原产地"	"备注"	"蚜害指数"	"甘氨酸"	"单荚粒数"	"蚜害病评价"	"胱氨酸"	"样品类型"	"芽期耐盐"	"单株荚数"	"粒色"	"育成年份"	"酩氨酸"	"根腐病评价"	"脯氨酸"	"叶斑病指数"	"荚长"	"赖氨酸"	"丝氨酸"	"译名"	"蚜害病级别"	"荚色"	"蚜害比值"	"种子来源"	"株高"	"叶斑病评价"	"粒型"	"褐斑病指数"	"锈病评价"	"蚜害病指数"	"均匀度"	"赤斑病指数"	"蚜害病级"	"抗涝性"	"赤斑病级"	"粗蛋白"	"有效枝"	"锈病指数"	"荚宽"	"褐斑病级"	"粗脂肪"	"赤斑病评价"	"熟性"
"430"	"--"	"Leguminosae(豆科)"	"159"	"9"	"--"	"--"	"5.31"	"--"	"无限"	"--"	"--"	"--"	"8.9"	"--"	"--"	"--"	"9"	"辽宁"	"15.30"	"--"	"--"	"3.2"	"92"	"绿豆"	"54.51"	"100.0"	"--"	"4.9"	"Vigna(豇豆属)"	"C0003817"	"--"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"--"	"--"	"--"	"淡黄"	"8.31"	"21.07"	"--"	"有"	"--"	"I2E03773"	"半蔓生"	"辽宁省农科院品资所"	"阜新县"	"--"	"--"	"--"	"13.1"	"S"	"--"	"地方"	"--"	"13.8"	"绿"	"--"	"--"	"HS"	"--"	"100.0"	"11.7"	"--"	"--"	"LU DOU"	"7"	"褐"	"--"	"--"	"94.0"	"HS"																	
"431"	"0.21"	"Leguminosae(豆科)"	"D012"	"--"	"3.95"	"--"	"4.16"	"1.10"	"有限"	"1.42"	"0.77"	"0.98"	"9.0"	"21.02"	"2.54"	"0.96"	"--"	"贵州"	"11.92"	"1.10"	"0.59"	"0.4"	"115"	"绿豆"	"57.25"	"--"	"0.19"	"4.2"	"Vigna(豇豆属)"	"C0003281"	"--"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"1.30"	"--"	"45.33"	"黄"	"8.09"	"21.07"	"--"	"无"	"1.68"	"I2E02926"	"直立"	"贵州毕节地区农科所"	"黄平县"	"--"	"--"	"0.89"	"12.1"	"--"	"0.10"	"地方"	"--"	"18.9"	"绿"	"--"	"0.72"	"--"	"0.90"	"--"	"7.7"	"1.58"	"1.13"	"LU DOU"	"--"	"黑"	"--"	"--"	"60.7"	"--"																	
"432"	"--"	"Leguminosae(豆科)"	"D013"	"--"	"--"	"--"	"4.16"	"--"	"有限"	"--"	"--"	"--"	"3.6"	"--"	"--"	"--"	"--"	"贵州"	"--"	"--"	"--"	"--"	"122"	"绿豆"	"--"	"--"	"--"	"4.5"	"Vigna(豇豆属)"	"C0003282"	"--"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"--"	"--"	"--"	"黄"	"8.16"	"--"	"--"	"无"	"--"	"I2E02927"	"直立"	"贵州毕节地区农科所"	"岑巩县"	"--"	"--"	"--"	"10.4"	"--"	"--"	"地方"	"--"	"8.3"	"绿"	"--"	"--"	"--"	"--"	"--"	"7.3"	"--"	"--"	"LU DOU"	"--"	"黑"	"--"	"--"	"53.3"	"--"																	
"433"	"--"	"Leguminosae(豆科)"	"D014"	"--"	"--"	"--"	"4.16"	"--"	"有限"	"--"	"--"	"--"	"1.3"	"--"	"--"	"--"	"--"	"贵州"	"--"	"--"	"--"	"--"	"118"	"绿豆"	"--"	"--"	"--"	"4.7"	"Vigna(豇豆属)"	"C0003283"	"--"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"--"	"--"	"--"	"黄"	"8.12"	"--"	"--"	"无"	"--"	"I2E02928"	"直立"	"贵州毕节地区农科所"	"岑巩县"	"--"	"--"	"--"	"9.2"	"--"	"--"	"地方"	"--"	"3.6"	"绿"	"--"	"--"	"--"	"--"	"--"	"7.1"	"--"	"--"	"LU DOU"	"--"	"黑"	"--"	"--"	"43.9"	"--"																	
"434"	"0.28"	"Leguminosae(豆科)"	"D017"	"--"	"4.18"	"--"	"4.16"	"1.17"	"有限"	"1.55"	"0.83"	"1.03"	"10.7"	"22.46"	"2.67"	"1.01"	"--"	"贵州"	"12.67"	"1.45"	"0.64"	"1.0"	"115"	"黄皮绿豆"	"52.50"	"--"	"0.22"	"3.8"	"Vigna(豇豆属)"	"C0003284"	"--"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"1.38"	"--"	"39.83"	"黄"	"8.09"	"22.70"	"--"	"有"	"1.79"	"I2E03207"	"直立"	"贵州毕节地区农科所"	"毕节县"	"--"	"--"	"0.91"	"11.4"	"--"	"0.13"	"地方"	"--"	"24.0"	"黄"	"--"	"0.74"	"--"	"1.07"	"--"	"7.6"	"1.64"	"1.22"	"HUANG PI LU DOU"	"--"	"黑"	"--"	"--"	"56.4"	"--"																	
"435"	"--"	"Leguminosae(豆科)"	"0702"	"--"	"--"	"--"	"4.15"	"--"	"有限"	"--"	"--"	"--"	"3.2"	"--"	"--"	"--"	"--"	"贵州"	"--"	"--"	"--"	"5.0"	"117"	"绿豆"	"--"	"--"	"--"	"3.5"	"Vigna(豇豆属)"	"C0003285"	"--"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"--"	"--"	"--"	"黄"	"8.01"	"--"	"--"	"无"	"--"	"I2E01776"	"直立"	"贵州贵阳市农科所"	"贵阳市"	"--"	"--"	"--"	"4.8"	"--"	"--"	"地方"	"--"	"18.9"	"绿"	"--"	"--"	"--"	"--"	"--"	"7.8"	"--"	"--"	"LU DOU"	"--"	"黑"	"--"	"--"	"56.8"	"--"																	
"436"	"--"	"Leguminosae(豆科)"	"0701"	"--"	"--"	"--"	"4.15"	"--"	"有限"	"--"	"--"	"--"	"3.8"	"--"	"--"	"--"	"--"	"贵州"	"--"	"--"	"--"	"4.1"	"102"	"小绿豆"	"--"	"--"	"--"	"3.3"	"Vigna(豇豆属)"	"C0003286"	"--"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"--"	"--"	"--"	"黄"	"7.26"	"--"	"--"	"无"	"--"	"I2E01775"	"直立"	"贵州贵阳市农科所"	"遵义县"	"--"	"--"	"--"	"10.2"	"--"	"--"	"地方"	"--"	"24.5"	"绿"	"--"	"--"	"--"	"--"	"--"	"8.1"	"--"	"--"	"XIAO LU DOU"	"--"	"黑"	"--"	"--"	"45.6"	"--"																	
"437"	"--"	"Leguminosae(豆科)"	"0703"	"--"	"--"	"--"	"4.15"	"--"	"有限"	"--"	"--"	"--"	"4.9"	"--"	"--"	"--"	"--"	"贵州"	"--"	"--"	"--"	"4.6"	"102"	"细绿豆"	"--"	"--"	"--"	"3.6"	"Vigna(豇豆属)"	"C0003287"	"--"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"--"	"--"	"--"	"黄"	"7.26"	"--"	"--"	"无"	"--"	"I2E01777"	"直立"	"贵州贵阳市农科所"	"凯里市"	"--"	"--"	"--"	"11.0"	"--"	"--"	"地方"	"--"	"12.6"	"绿"	"--"	"--"	"--"	"--"	"--"	"8.4"	"--"	"--"	"XI LU DOU"	"--"	"黑"	"--"	"--"	"48.4"	"--"																	
"438"	"--"	"Leguminosae(豆科)"	"0704"	"--"	"--"	"--"	"4.15"	"--"	"有限"	"--"	"--"	"--"	"2.6"	"--"	"--"	"--"	"--"	"贵州"	"--"	"--"	"--"	"4.2"	"102"	"绿豆"	"--"	"--"	"--"	"3.4"	"Vigna(豇豆属)"	"C0003288"	"--"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"--"	"--"	"--"	"黄"	"7.26"	"--"	"--"	"无"	"--"	"I2E01778"	"直立"	"贵州贵阳市农科所"	"福泉县"	"--"	"--"	"--"	"5.4"	"--"	"--"	"地方"	"--"	"14.0"	"绿"	"--"	"--"	"--"	"--"	"--"	"7.6"	"--"	"--"	"LU DOU"	"--"	"黑"	"--"	"--"	"47.0"	"--"																	
"439"	"--"	"Leguminosae(豆科)"	"0705"	"--"	"--"	"--"	"4.15"	"--"	"有限"	"--"	"--"	"--"	"3.6"	"--"	"--"	"--"	"--"	"贵州"	"--"	"--"	"--"	"4.2"	"102"	"黄籽绿豆"	"--"	"--"	"--"	"4.0"	"Vigna(豇豆属)"	"C0003289"	"--"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"--"	"--"	"--"	"黄"	"7.26"	"--"	"--"	"无"	"--"	"I2E02929"	"直立"	"贵州贵阳市农科所"	"仁怀县"	"--"	"--"	"--"	"11.0"	"--"	"--"	"地方"	"--"	"8.0"	"黄"	"--"	"--"	"--"	"--"	"--"	"8.5"	"--"	"--"	"HUANG ZI LU DOU"	"--"	"褐"	"--"	"--"	"48.7"	"--"																	
