"id"	"熟性"	"保存编号"	"品种名称"	"生长习性"	"译名"	"单瓜重"	"生育期"	"瓜面腊粉"	"分枝性"	"抗病虫性"	"商瓜皮色"	"老瓜次色"	"叶形"	"风味"	"老瓜斑纹"	"亩产"	"老瓜皮色"	"备注"	"瓜形"	"瓜刺多少"	"肉质"	"雌首花节位"	"统一编号"	"保存单位"	"抗逆性"	"种质库编号"	"种子来源"	"商瓜次色"	"栽培季节"	"商瓜斑纹"	"瓜棱形状"
"14"	"中"	"88-CE-13"	"南平长丝瓜"	"攀援蔓生"	"NAN PING CHANG SI GUA"	"0.9"	"95"	"--"	"强"	"中"	"绿"	"--"	"掌状"	"甜"	"--"	"1750"	"奶油色"	"--"	"圆柱形"	"--"	"疏松软"	"14"	"V05H0014"	"福州市蔬菜科研所"	"中"	"Ⅱ5F0131"	"福建南平市"	"--"	"3上-4中,6上中-10上"	"斑块状"	"--"
"15"	"中"	"88-CE-18"	"宁德长丝瓜"	"攀援蔓生"	"NING DE CHANG SI GUA"	"0.9"	"115"	"--"	"强"	"抗"	"绿"	"--"	"掌状"	"甜"	"--"	"1250"	"奶油色"	"--"	"圆柱形"	"--"	"松软"	"11"	"V05H0015"	"福州市蔬菜科研所"	"中"	"Ⅱ5F0089"	"福建宁德县"	"--"	"3上-4下,5下-8下"	"--"	"--"
"16"	"中"	"89-CE-18-1"	"宁德皱皮长丝瓜"	"攀援蔓生"	"NING DE ZHOU PI CHANG SI GUA"	"1.1"	"120"	"--"	"强"	"抗"	"绿"	"--"	"掌状"	"甜"	"--"	"1250"	"奶油色"	"--"	"圆柱形"	"--"	"松软"	"11"	"V05H0016"	"福州市蔬菜科研所"	"中"	"Ⅱ5F0209"	"福建宁德县"	"--"	"3上-4上,5下-8下"	"--"	"--"
"17"	"中"	"89-CE-10"	"莆田丝瓜"	"攀援蔓生"	"PU TIAN SI GUA"	"0.7"	"95"	"--"	"强"	"抗"	"绿"	"--"	"掌状"	"甜"	"--"	"1500"	"褐色"	"--"	"长曲条"	"--"	"致密松"	"9"	"V05H0017"	"福州市蔬菜科研所"	"中"	"Ⅱ5F0205"	"福建莆田县"	"--"	"3上-4下,6中-9下"	"--"	"--"
"18"	"中"	"87-CE-4"	"清流丝瓜(龙津)"	"攀援蔓生"	"QING LIU SI GUA (LONG JIN )"	"1.2"	"80"	"--"	"中"	"中"	"绿"	"--"	"掌状"	"甜"	"--"	"1375"	"褐色"	"--"	"圆柱形"	"--"	"圆滑致密"	"12"	"V05H0018"	"福州市蔬菜科研所"	"弱"	"Ⅱ5F0127"	"福建清流"	"--"	"2下-5中"	"--"	"具刺"
"19"	"早"	"87－CE-2"	"泉州长条丝瓜"	"攀援蔓生"	"QUAN ZHOU CHANG TIAO SI GUA"	"1.2"	"60"	"--"	"强"	"抗"	"绿"	"--"	"掌状"	"微甜"	"--"	"1500"	"奶油色"	"--"	"圆柱形"	"--"	"软"	"12"	"V05H0019"	"福州市蔬菜科研所"	"强"	"Ⅱ5F0159"	"福建泉州市"	"--"	"2中-5上,5上-9下"	"--"	"--"
"20"	"中"	"88-CE-16"	"上杭长丝瓜"	"攀援蔓生"	"SHANG HANG CHANG SI GUA"	"0.7"	"85"	"--"	"强"	"抗"	"绿"	"--"	"掌状"	"甜"	"斑"	"1500"	"褐色"	"--"	"圆柱形"	"--"	"松软"	"12"	"V05H0020"	"福州市蔬菜科研所"	"中"	"Ⅱ5F0088"	"福建上杭县"	"--"	"2下-3下,5中-9中"	"--"	"--"
"21"	"中"	"89-CE-5-3"	"太宁长丝瓜"	"攀援蔓生"	"TAI NING CHANG SI GUA"	"0.7"	"85"	"--"	"强"	"抗"	"绿"	"--"	"掌状"	"甜"	"--"	"1250"	"褐色"	"--"	"圆柱形"	"--"	"软"	"10"	"V05H0022"	"福州市蔬菜科研所"	"强"	"Ⅱ5F0204"	"福建泰宁县"	"--"	"3上-4中,5下-10下"	"--"	"--"
"22"	"早"	"89-CE-14-1"	"同安皱皮长丝瓜"	"攀援蔓生"	"TONG AN ZHOU PI CHANG SI GUA"	"0.8"	"78"	"--"	"强"	"抗"	"绿"	"--"	"掌状"	"甜"	"--"	"1750"	"褐色"	"--"	"圆柱形"	"--"	"松软"	"13"	"V05H0028"	"福州市蔬菜科研所"	"强"	"Ⅱ5F0211"	"福建同安县"	"--"	"2下-4上,5中-9下"	"斑块状"	"具瘤"
"23"	"中"	"88-CE-3"	"厦门郊区肉丝瓜"	"蔓生"	"XIA MEN JIAO QU ROU SI GUA"	"1.8"	"120"	"--"	"中"	"中"	"绿"	"--"	"掌状"	"甜"	"--"	"--"	"褐色"	"--"	"圆柱形"	"--"	"圆滑致密"	"12"	"V05H0033"	"福州市蔬菜科研所"	"强"	"Ⅱ5F0084"	"福建厦门市"	"--"	"1下-6上"	"--"	"--"
"24"	"中"	"89-CE-19-3"	"漳平短皱丝瓜"	"攀援蔓生"	"ZHANG PING DUAN ZHOU SI GUA"	"0.6"	"100"	"--"	"强"	"抗"	"绿"	"--"	"掌状"	"甜"	"--"	"1750"	"褐色"	"--"	"圆柱形"	"--"	"疏松软"	"11"	"V05H0038"	"福州市蔬菜科研所"	"强"	"Ⅱ5F0197"	"福建漳平县"	"--"	"3上-4上,6中-11上"	"--"	"--"
"25"	"中"	"G34-62"	"双青丝瓜"	"攀援蔓生"	"SHUANG QING SI GUA"	"0.4"	"60"	"--"	"中"	"中"	"绿"	"--"	"掌状"	"中"	"--"	"1000"	"褐色"	"--"	"圆柱形"	"--"	"--"	"--"	"V05H0045"	"广东农科院经作所"	"中"	"Ⅱ5F0174"	"广东佛山市"	"--"	"春播,春末夏收"	"--"	"棱"
"26"	"晚"	"G34-29"	"三元里夏丝瓜"	"攀援蔓生"	"SAN YUAN LI XIA SI GUA"	"0.3"	"45"	"--"	"中"	"--"	"绿"	"--"	"掌状"	"--"	"--"	"--"	"--"	"*"	"圆柱形"	"--"	"软"	"--"	"V05H0048"	"广东农科院经作所"	"耐热湿"	"Ⅱ5F0150"	"广东广州市"	"--"	"夏秋"	"--"	"棱"
"27"	"早"	"G34-23"	"远景丝瓜"	"攀援蔓生"	"YUAN JING SI GUA"	"0.2"	"50"	"--"	"中"	"中"	"绿"	"--"	"掌状"	"--"	"--"	"--"	"--"	"*"	"圆柱形"	"--"	"--"	"--"	"V05H0051"	"广东农科院经作所"	"--"	"Ⅱ5F0111"	"广东广州市"	"--"	"春为主"	"--"	"棱"
"28"	"中"	"G34-50"	"鹤山长丝瓜"	"攀援蔓生"	"HE SHAN CHANG SI GUA"	"0.2"	"80"	"--"	"中"	"中"	"绿"	"--"	"掌状"	"甜"	"--"	"650"	"褐色"	"--"	"圆柱形"	"--"	"软"	"8"	"V05H0054"	"广东农科院经作所"	"耐热"	"Ⅱ5F0116"	"广东鹤山县"	"--"	"3-8月"	"--"	"棱"
"29"	"中"	"G34-52"	"鹤山双青"	"攀援蔓生"	"HE SHAN SHUANG QING"	"0.3"	"80"	"--"	"中"	"中"	"绿"	"--"	"掌状"	"甜"	"--"	"850"	"褐色"	"--"	"圆柱形"	"--"	"软"	"8"	"V05H0055"	"广东农科院经作所"	"耐热"	"Ⅱ5F0118"	"广东鹤山县"	"--"	"3-8月"	"--"	"棱"
"30"	"中"	"G34-44"	"夏青丝瓜"	"攀援蔓生"	"XIA QING SI GUA"	"0.2"	"80"	"--"	"中"	"--"	"绿"	"--"	"掌状"	"甜"	"--"	"1000"	"褐色"	"--"	"圆柱形"	"--"	"软"	"--"	"V05H0056"	"广东农科院经作所"	"耐热"	"Ⅱ5F0052"	"广东花县"	"--"	"3-8"	"--"	"棱"
"31"	"晚"	"G34-46"	"水瓜"	"蔓生"	"SHUI GUA"	"0.5"	"180"	"--"	"强"	"中"	"绿"	"--"	"掌状"	"中"	"--"	"--"	"褐色"	"--"	"圆柱形"	"--"	"圆滑致密"	"--"	"V05H0057"	"广东农科院经作所"	"中"	"Ⅱ5F0108"	"广东花县"	"--"	"春夏播种,秋天开花结果"	"--"	"--"
"32"	"中"	"G34-48"	"江门双青"	"攀援蔓生"	"JIANG MEN SHUANG QING"	"0.3"	"80"	"--"	"中"	"中"	"绿"	"--"	"掌状"	"甜"	"--"	"1000"	"褐色"	"--"	"圆柱形"	"--"	"软"	"7"	"V05H0058"	"广东农科院经作所"	"耐热"	"Ⅱ5F0114"	"广东江门市"	"--"	"3-8月"	"--"	"棱"
"33"	"中"	"G34-51"	"新会墨绿"	"攀援蔓生"	"XIN HUI MO LU"	"0.3"	"85"	"--"	"中"	"中"	"绿"	"--"	"掌状"	"甜"	"--"	"750"	"褐色"	"--"	"圆柱形"	"--"	"软"	"10"	"V05H0064"	"广东农科院经作所"	"耐热"	"Ⅱ5F0117"	"广东新会县"	"--"	"3-8月"	"--"	"棱"
"34"	"中"	"200072"	"桂林水瓜"	"攀援蔓生"	"GUI LIN SHUI GUA"	"--"	"145"	"--"	"强"	"中"	"绿"	"--"	"掌状"	"甜"	"--"	"1250"	"褐色"	"*"	"椭圆形"	"--"	"致密脆"	"16"	"V05H0070"	"广西农科院园艺所"	"耐热湿"	"Ⅱ5F0068"	"广西桂林市"	"--"	"4播"	"--"	"细皱褶"
"35"	"中"	"5-F-22-2"	"毕节丝瓜"	"攀援蔓生"	"BI JIE SI GUA"	"0.2"	"--"	"--"	"强"	"--"	"绿"	"--"	"掌状"	"--"	"--"	"--"	"褐色"	"--"	"细长条"	"无"	"--"	"10"	"V05H0077"	"贵州农科院园艺所"	"--"	"Ⅱ5F0038"	"贵州毕节县"	"--"	"3-9"	"--"	"平"
