"id"	"抗病性"	"单位编号"	"叶面刺毛"	"省"	"备注"	"根地上皮色"	"叶型"	"根肉口感"	"风味"	"栽培时期"	"译名"	"繁种单位"	"根地上部长"	"千粒重"	"属名"	"叶形"	"抗虫性"	"肉质根长"	"耐热性"	"根肉主色"	"肉质根粗"	"收获期"	"熟性"	"抗逆性"	"叶片长"	"品种名称"	"耐涝性"	"根形"	"学名"	"叶色"	"贮藏性"	"根肉水分"	"叶簇"	"叶裂刻"	"耐旱性"	"单根重"	"播种期"	"根肉质"	"品种来源"	"小裂片对数"	"耐寒性"	"叶柄色"	"种质库编号"	"统一编号"	"科名"	"用途"	"单产"	"根地下皮色"	"叶片宽"	"根肉次色"	"生长期"
"239"	"--"	"甘Ⅱ1A051"	"少"	"甘肃"	"--"	"紫"	"花叶"	"艮硬"	"辣"	"--"	"--"	"甘肃农科院蔬菜所"	"6"	"11.6"	"Raphanus(萝卜属)"	"长卵圆"	"--"	"14"	"--"	"白"	"6"	"10下"	"中"	"--"	"34"	"康乐冬萝卜"	"--"	"长圆锥"	"Raphanus sativus L.(萝卜)"	"绿"	"强"	"多"	"半直立"	"深裂"	"--"	"350"	"7中"	"致密"	"甘肃康乐县"	"--"	"--"	"紫红"	"--"	"V01A1304"	"Cruciferae(十字花科)"	"熟食"	"--"	"白"	"12"	"--"	"--"
"240"	"--"	"甘Ⅱ1A040"	"--"	"甘肃"	"--"	"桃红"	"板叶"	"艮硬"	"甜"	"--"	"--"	"甘肃农科院蔬菜所"	"6"	"6.5"	"Raphanus(萝卜属)"	"长卵圆"	"--"	"16"	"--"	"白"	"5"	"--"	"中"	"--"	"12"	"西峰红水萝卜"	"--"	"长圆锥"	"Raphanus sativus L.(萝卜)"	"深绿"	"--"	"--"	"开展"	"无裂"	"--"	"191"	"3中"	"--"	"甘肃西峰市"	"--"	"--"	"紫绿"	"--"	"V01A1309"	"Cruciferae(十字花科)"	"生食"	"--"	"桃红"	"6"	"--"	"--"
"241"	"抗病毒病强"	"甘Ⅱ1A033"	"少"	"甘肃"	"--"	"粉红"	"板叶"	"脆嫩"	"稍辣"	"--"	"--"	"甘肃农科院蔬菜所"	"4"	"10.0"	"Raphanus(萝卜属)"	"长椭圆"	"抗蚜虫中"	"16"	"强"	"白"	"5"	"5中"	"中早"	"--"	"35"	"月萝卜"	"弱"	"长圆锥"	"Raphanus sativus L.(萝卜)"	"绿"	"差"	"多"	"半直立"	"无裂"	"弱"	"190"	"3中"	"疏松"	"甘肃临夏市"	"6-7"	"强"	"浅紫"	"--"	"V01A1313"	"Cruciferae(十字花科)"	"生食"	"--"	"白"	"14"	"--"	"--"
"242"	"抗病毒病中"	"甘Ⅱ1A035"	"--"	"甘肃"	"--"	"紫"	"花叶"	"脆嫩"	"甜"	"--"	"--"	"甘肃农科院蔬菜所"	"--"	"6.8"	"Raphanus(萝卜属)"	"长卵圆"	"抗蚜虫中"	"--"	"中"	"白"	"--"	"5上"	"早"	"--"	"20"	"静宁水萝卜"	"中"	"长圆锥"	"Raphanus sativus L.(萝卜)"	"黄绿"	"差"	"--"	"半直立"	"深裂"	"弱"	"--"	"3中"	"--"	"甘肃静宁县"	"--"	"中"	"紫绿"	"--"	"V01A1319"	"Cruciferae(十字花科)"	"生食"	"--"	"白"	"9"	"--"	"--"
"243"	"--"	"甘Ⅱ1A038"	"--"	"甘肃"	"--"	"浅绿"	"板叶"	"脆嫩"	"甜"	"--"	"--"	"甘肃农科院蔬菜所"	"2"	"8.5"	"Raphanus(萝卜属)"	"长卵圆"	"--"	"11"	"--"	"白"	"6"	"5中"	"中早"	"--"	"20"	"民乐白萝卜"	"--"	"长圆锥"	"Raphanus sativus L.(萝卜)"	"绿"	"--"	"中"	"半开展"	"无裂"	"--"	"167"	"3中"	"--"	"甘肃民乐县"	"--"	"--"	"紫绿"	"--"	"V01A1320"	"Cruciferae(十字花科)"	"生食"	"--"	"白"	"9"	"--"	"--"
"244"	"--"	"甘Ⅱ1A037"	"--"	"甘肃"	"--"	"浅紫"	"板叶"	"--"	"--"	"--"	"--"	"甘肃农科院蔬菜所"	"1"	"8.0"	"Raphanus(萝卜属)"	"长卵圆"	"--"	"11"	"--"	"白"	"4"	"5下"	"中"	"--"	"18"	"80天萝卜"	"--"	"长圆锥"	"Raphanus sativus L.(萝卜)"	"浅绿"	"--"	"--"	"半直立"	"无裂"	"--"	"--"	"3中"	"--"	"甘肃泾川县"	"--"	"--"	"紫绿"	"--"	"V01A1324"	"Cruciferae(十字花科)"	"生食"	"--"	"白"	"7"	"--"	"--"
"245"	"--"	"甘Ⅱ1A041"	"--"	"甘肃"	"--"	"紫红"	"花叶"	"脆嫩"	"辣"	"--"	"--"	"甘肃农科院蔬菜所"	"7"	"5.5"	"Raphanus(萝卜属)"	"--"	"--"	"16"	"--"	"白"	"6"	"--"	"晚"	"--"	"12"	"正宁热水萝卜"	"--"	"长圆锥"	"Raphanus sativus L.(萝卜)"	"绿"	"--"	"--"	"开展"	"深裂"	"--"	"215"	"3中"	"--"	"甘肃正宁县"	"--"	"--"	"紫绿"	"--"	"V01A1327"	"Cruciferae(十字花科)"	"--"	"--"	"白"	"7"	"--"	"--"
"246"	"--"	"甘Ⅱ1A046"	"中"	"甘肃"	"--"	"白"	"花叶"	"脆嫩"	"稍辣"	"--"	"--"	"甘肃农科院蔬菜所"	"6"	"8.3"	"Raphanus(萝卜属)"	"长卵圆"	"--"	"18"	"--"	"白"	"5"	"10下"	"晚"	"--"	"42"	"白冬萝卜"	"--"	"长圆锥"	"Raphanus sativus L.(萝卜)"	"绿"	"中"	"多"	"半直立"	"深裂"	"--"	"360"	"7中"	"致密"	"甘肃兰州市"	"--"	"--"	"绿紫"	"--"	"V01A1331"	"Cruciferae(十字花科)"	"熟食"	"--"	"白"	"17"	"--"	"--"
"247"	"--"	"甘Ⅱ1A-029"	"--"	"甘肃"	"--"	"浅紫红"	"花叶"	"脆嫩"	"--"	"--"	"--"	"甘肃农科院蔬菜所"	"--"	"--"	"Raphanus(萝卜属)"	"--"	"--"	"--"	"--"	"白"	"--"	"10上"	"--"	"--"	"--"	"临夏冬萝卜"	"--"	"长圆柱"	"Raphanus sativus L.(萝卜)"	"--"	"强"	"多"	"开展"	"--"	"--"	"1750"	"4下"	"--"	"甘肃临夏市"	"--"	"--"	"--"	"--"	"V01A1332"	"Cruciferae(十字花科)"	"熟食"	"--"	"白"	"--"	"--"	"--"
"248"	"--"	"1-A-22-42"	"--"	"贵州"	"--"	"紫红"	"花叶"	"脆嫩"	"--"	"--"	"--"	"贵州农科院园艺所"	"5"	"--"	"Raphanus(萝卜属)"	"--"	"--"	"15"	"--"	"白"	"8"	"12上中"	"中早"	"--"	"--"	"胭脂萝卜"	"--"	"卵圆"	"Raphanus sativus L.(萝卜)"	"--"	"中"	"中"	"半直立"	"--"	"--"	"455"	"8下"	"疏松"	"贵州清镇县"	"--"	"--"	"--"	"--"	"V01A1348"	"Cruciferae(十字花科)"	"生食"	"--"	"白"	"--"	"--"	"--"
"249"	"抗病毒病中"	"萝56号"	"少"	"河北"	"--"	"绿"	"花叶"	"艮硬"	"稍辣"	"--"	"--"	"河北农科院蔬菜所"	"3"	"12.6"	"Raphanus(萝卜属)"	"椭圆"	"抗蚜虫中"	"17"	"中"	"浅绿"	"8"	"10下"	"中早"	"--"	"14"	"绿萝卜"	"中"	"短圆筒"	"Raphanus sativus L.(萝卜)"	"深绿"	"强"	"中"	"开展"	"全裂"	"中"	"500"	"8中"	"致密"	"河北青县"	"4-6"	"中"	"浅绿"	"--"	"V01A1354"	"Cruciferae(十字花科)"	"生食"	"2000"	"浅绿"	"13"	"--"	"--"
"250"	"抗毒病中"	"萝14号"	"多"	"河北"	"--"	"绿"	"花叶"	"脆嫩"	"稍辣"	"--"	"--"	"河北农科院蔬菜所"	"4"	"13.0"	"Raphanus(萝卜属)"	"椭圆"	"抗蚜虫中"	"14"	"中"	"浅绿"	"8"	"10下"	"早"	"--"	"4"	"青脆萝卜"	"中"	"长圆筒"	"Raphanus sativus L.(萝卜)"	"深绿"	"强"	"多"	"半直立"	"全裂"	"中"	"--"	"8中"	"致密"	"河北隆化县"	"6-8"	"中"	"浅绿"	"--"	"V01A1360"	"Cruciferae(十字花科)"	"生食"	"1500"	"白"	"11"	"--"	"--"
"251"	"抗霜霉病强"	"萝11号"	"少"	"河北"	"--"	"浅绿"	"花叶"	"脆嫩"	"稍辣"	"--"	"--"	"河北农科院蔬菜所"	"10"	"12.2"	"Raphanus(萝卜属)"	"椭圆"	"抗蚜虫中"	"35"	"强"	"白"	"10"	"10下"	"中"	"--"	"44"	"白洋萝卜"	"中"	"长圆筒"	"Raphanus sativus L.(萝卜)"	"深绿"	"强"	"中"	"半直立"	"全裂"	"中"	"1750"	"8上"	"致密"	"河北宽城县"	"10"	"强"	"浅绿"	"--"	"V01A1365"	"Cruciferae(十字花科)"	"熟食"	"5000"	"白"	"11"	"--"	"--"
"252"	"抗霜霉强"	"萝28号"	"中"	"河北"	"--"	"紫红"	"花叶"	"脆嫩"	"甜"	"--"	"--"	"河北农科院蔬菜所"	"11"	"14.2"	"Raphanus(萝卜属)"	"椭圆"	"抗蚜虫中"	"13"	"中"	"白"	"12"	"10下"	"中"	"--"	"13"	"灯龙红"	"中"	"近圆"	"Raphanus sativus L.(萝卜)"	"深绿"	"强"	"中"	"半直立"	"全裂"	"强"	"1100"	"8上"	"致密"	"河北青龙县"	"6"	"强"	"浅紫"	"--"	"V01A1366"	"Cruciferae(十字花科)"	"干制"	"5000"	"粉红"	"11"	"--"	"--"
"253"	"抗霜霉中"	"萝31号"	"中"	"河北"	"--"	"白"	"花叶"	"脆嫩"	"甜"	"--"	"--"	"河北农科院蔬菜所"	"6"	"--"	"Raphanus(萝卜属)"	"椭圆"	"抗蚜虫中"	"25"	"中"	"白"	"7"	"10下"	"中"	"--"	"15"	"象牙白"	"中"	"短圆筒"	"Raphanus sativus L.(萝卜)"	"绿"	"强"	"中"	"半直立"	"全裂"	"中"	"650"	"8上"	"致密"	"河北雄县"	"6"	"中"	"浅绿"	"--"	"V01A1375"	"Cruciferae(十字花科)"	"熟食"	"3000"	"白"	"13"	"--"	"--"
"254"	"抗霜霉中"	"萝29号"	"少"	"河北"	"--"	"紫红"	"花叶"	"脆嫩"	"稍辣"	"--"	"--"	"河北农科院蔬菜所"	"2"	"12.6"	"Raphanus(萝卜属)"	"椭圆"	"抗蚜虫中"	"9"	"中"	"白"	"12"	"10下"	"中"	"--"	"13"	"大红袍"	"中"	"近圆"	"Raphanus sativus L.(萝卜)"	"绿"	"强"	"少"	"半开展"	"全裂"	"中"	"500"	"8上"	"致密"	"河北定州市"	"6"	"强"	"浅紫"	"--"	"V01A1378"	"Cruciferae(十字花科)"	"熟食"	"3000"	"紫"	"12"	"--"	"--"
"255"	"抗毒病中"	"萝21号"	"中"	"河北"	"--"	"红"	"--"	"粗松"	"--"	"--"	"--"	"河北农科院蔬菜所"	"4"	"15.0"	"Raphanus(萝卜属)"	"椭圆"	"抗蚜虫中"	"11"	"中"	"白"	"9"	"10下"	"早"	"--"	"15"	"大红袍"	"中"	"短圆筒"	"Raphanus sativus L.(萝卜)"	"深绿"	"中"	"中"	"半开展"	"全裂"	"中"	"600"	"8中"	"致密"	"河北承德县"	"6-8"	"中"	"浅紫"	"--"	"V01A1379"	"Cruciferae(十字花科)"	"干制"	"2200"	"粉红"	"13"	"--"	"--"
