"id"	"成熟期"	"主花序长度"	"科名"	"花序色"	"来源地"	"品种名称"	"原产地"	"叶色"	"千粒重"	"类别"	"株形"	"样品类型"	"省"	"粒色"	"保存编号"	"保存单位"	"库编号"	"播种期"	"学名"	"统一编号"	"译名"	"其它"	"属名"	"茎色"	"株高"
"11"	"9.28"	"73.0"	"Chenopodiaceae(藜科)"	"红"	"--"	"太原扫帚"	"太原市"	"红绿"	"0.41"	"--"	"圆"	"地方"	"山西"	"黑"	"01"	"山西省农科院品资所"	"I7C00387"	"5.13"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000011"	"TAI YUAN SAO ZHOU"	"--"	"Kochia(地肤属)"	"红绿"	"93.0"
"12"	"10.03"	"93.0"	"Chenopodiaceae(藜科)"	"红"	"--"	"太原扫帚"	"太原市"	"红绿"	"0.43"	"--"	"圆"	"地方"	"山西"	"黑"	"02"	"山西省农科院品资所"	"I7C00388"	"5.15"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000012"	"TAI YUAN SAO ZHOU"	"--"	"Kochia(地肤属)"	"红绿"	"110.0"
"13"	"9.30"	"95.0"	"Chenopodiaceae(藜科)"	"红"	"--"	"太原扫帚"	"太原市"	"红绿"	"0.33"	"--"	"圆"	"地方"	"山西"	"黑"	"03"	"山西省农科院品资所"	"I7C00389"	"5.08"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000013"	"TAI YUAN SAO ZHOU"	"--"	"Kochia(地肤属)"	"红绿"	"116.0"
"14"	"9.30"	"80.0"	"Chenopodiaceae(藜科)"	"红"	"--"	"太原扫帚"	"太原市"	"红绿"	"0.40"	"--"	"散圆"	"地方"	"山西"	"黑"	"04"	"山西省农科院品资所"	"I7C00390"	"5.10"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000014"	"TAI YUAN SAO ZHOU"	"--"	"Kochia(地肤属)"	"红绿"	"104.0"
"15"	"9.27"	"80.0"	"Chenopodiaceae(藜科)"	"红"	"--"	"榆次扫帚"	"榆次市"	"红绿"	"0.37"	"--"	"圆"	"地方"	"山西"	"黑"	"05"	"山西省农科院品资所"	"I7C00391"	"5.10"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000015"	"YU CI SAO ZHOU"	"--"	"Kochia(地肤属)"	"红绿"	"85.0"
"16"	"9.28"	"113.0"	"Chenopodiaceae(藜科)"	"红"	"--"	"榆次扫帚"	"榆次市"	"红绿"	"0.34"	"--"	"圆"	"地方"	"山西"	"黑"	"06"	"山西省农科院品资所"	"I7C00392"	"5.10"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000016"	"YU CI SAO ZHOU"	"--"	"Kochia(地肤属)"	"红绿"	"120.0"
"17"	"9.30"	"99.0"	"Chenopodiaceae(藜科)"	"红"	"--"	"榆次扫帚"	"榆次市"	"红绿"	"0.36"	"--"	"圆"	"地方"	"山西"	"黑"	"07"	"山西省农科院品资所"	"I7C00393"	"5.10"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000017"	"YU CI SAO ZHOU"	"--"	"Kochia(地肤属)"	"红绿"	"104.0"
"18"	"10.11"	"70.0"	"Chenopodiaceae(藜科)"	"红"	"--"	"榆次扫帚"	"榆次市"	"红绿"	"0.46"	"--"	"圆"	"地方"	"山西"	"黑"	"08"	"山西省农科院品资所"	"I7C00394"	"5.13"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000018"	"YU CI SAO ZHOU"	"--"	"Kochia(地肤属)"	"红绿"	"75.0"
"19"	"10.10"	"75.0"	"Chenopodiaceae(藜科)"	"红"	"--"	"榆次扫帚"	"榆次市"	"红绿"	"0.44"	"--"	"散圆"	"地方"	"山西"	"黑"	"09"	"山西省农科院品资所"	"I7C00395"	"5.15"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000019"	"YU CI SAO ZHOU"	"--"	"Kochia(地肤属)"	"红绿"	"88.0"
"20"	"10.07"	"30.0"	"Chenopodiaceae(藜科)"	"红"	"--"	"离石扫帚"	"离石县"	"红绿"	"0.32"	"--"	"圆"	"地方"	"山西"	"黑"	"10"	"山西省农科院品资所"	"I7C00396"	"5.20"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000020"	"LI SHI SAO ZHOU"	"--"	"Kochia(地肤属)"	"红绿"	"65.0"
"21"	"10.17"	"95.0"	"Chenopodiaceae(藜科)"	"红"	"--"	"小扫把"	"运城市"	"红绿"	"0.44"	"栽培"	"圆"	"地方"	"山西"	"黑"	"67"	"山西省农科院品资所"	"I7C00853"	"4.23"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000067"	"XIAO SAO BA"	"--"	"Kochia(地肤属)"	"红绿"	"100.0"
"22"	"10.20"	"138.0"	"Chenopodiaceae(藜科)"	"红"	"--"	"扫帚"	"运城市"	"红绿"	"0.46"	"栽培"	"圆"	"地方"	"山西"	"黑"	"68"	"山西省农科院品资所"	"I7C00854"	"4.20"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000068"	"SAO ZHOU"	"--"	"Kochia(地肤属)"	"红绿"	"150.0"
"23"	"10.18"	"133.0"	"Chenopodiaceae(藜科)"	"红"	"--"	"红扫帚"	"运城市"	"红绿"	"0.41"	"栽培"	"圆"	"地方"	"山西"	"黑"	"69"	"山西省农科院品资所"	"I7C00855"	"4.21"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000069"	"HONG SAO ZHOU"	"--"	"Kochia(地肤属)"	"红绿"	"145.0"
"24"	"9.27"	"110.0"	"Chenopodiaceae(藜科)"	"红"	"--"	"早熟扫帚"	"运城市"	"红绿"	"0.35"	"栽培"	"圆"	"地方"	"山西"	"黑"	"70"	"山西省农科院品资所"	"I7C00856"	"4.18"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000070"	"ZAO SHU SAO ZHOU"	"--"	"Kochia(地肤属)"	"红绿"	"120.0"
"25"	"9.06"	"145.0"	"Chenopodiaceae(藜科)"	"黄绿"	"--"	"绿扫帚菜"	"红山区"	"黄绿"	"0.97"	"栽培观赏"	"长圆"	"地方"	"内蒙"	"褐"	"D001"	"内蒙古赤峰市农科所"	"I7C00411"	"5.09"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000071"	"LU SAO ZHOU CAI"	"--"	"Kochia(地肤属)"	"绿"	"217.0"
