"id"	"成熟期"	"主花序长度"	"科名"	"花序色"	"来源地"	"品种名称"	"原产地"	"叶色"	"千粒重"	"类别"	"株形"	"样品类型"	"省"	"粒色"	"保存编号"	"保存单位"	"库编号"	"播种期"	"学名"	"统一编号"	"译名"	"其它"	"属名"	"茎色"	"株高"
"40"	"10.25"	"14.0"	"Chenopodiaceae(藜科)"	"浅黄"	"--"	"地肤"	"隆安县城"	"浅绿"	"0.81"	"栽培"	"长圆"	"地方"	"广西"	"黑"	"GD01"	"广西农科院品资所"	"--"	"4.25"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000117"	"DI FU"	"--"	"Kochia(地肤属)"	"黄褐"	"120.0"
"41"	"12.05"	"18.2"	"Chenopodiaceae(藜科)"	"浅黄"	"--"	"地肤"	"南宁"	"浅绿"	"0.83"	"栽培"	"长圆"	"地方"	"广西"	"黑"	"GD07"	"广西农科院品资所"	"I7C00863"	"3.13"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000122"	"DI FU"	"--"	"Kochia(地肤属)"	"黄褐"	"133.0"
"42"	"12.05"	"9.8"	"Chenopodiaceae(藜科)"	"浅黄"	"--"	"地肤"	"南宁"	"浅绿"	"0.68"	"栽培"	"长圆"	"地方"	"广西"	"黑"	"GD08"	"广西农科院品资所"	"I7C00864"	"3.13"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000123"	"DI FU"	"--"	"Kochia(地肤属)"	"黄褐"	"92.6"
"43"	"12.15"	"10.8"	"Chenopodiaceae(藜科)"	"浅黄"	"--"	"小扫把草"	"南宁"	"浅绿"	"0.56"	"栽培"	"卵圆"	"地方"	"广西"	"黑"	"GD12"	"广西农科院品资所"	"--"	"4.12"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000124"	"XIAO SAO BA CAO"	"--"	"Kochia(地肤属)"	"黄褐"	"60.5"
"44"	"9.23"	"161.0"	"Chenopodiaceae(藜科)"	"绿粉红"	"--"	"红扫帚菜"	"敖汉"	"绿"	"0.87"	"栽培"	"长圆"	"地方"	"内蒙"	"褐"	"D042"	"内蒙古赤峰市农科所"	"I7C01240"	"5.01"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000125"	"HONG SAO ZHOU CAI"	"观尝藜"	"Kochia(地肤属)"	"红绿"	"193.0"
"45"	"9.17"	"160.0"	"Chenopodiaceae(藜科)"	"绿粉红"	"--"	"红扫帚菜"	"左旗"	"绿"	"0.90"	"栽培"	"长圆"	"地方"	"内蒙"	"褐"	"D043"	"内蒙古赤峰市农科所"	"--"	"5.06"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000126"	"HONG SAO ZHOU CAI"	"观尝藜"	"Kochia(地肤属)"	"红绿"	"189.0"
"46"	"9.19"	"156.0"	"Chenopodiaceae(藜科)"	"绿粉红"	"--"	"红扫帚菜"	"阿旗"	"绿"	"0.90"	"栽培"	"长圆"	"地方"	"内蒙"	"褐"	"D044"	"内蒙古赤峰市农科所"	"I7C01241"	"5.05"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000127"	"HONG SAO ZHOU CAI"	"观尝藜"	"Kochia(地肤属)"	"红绿"	"194.0"
"47"	"9.20"	"158.0"	"Chenopodiaceae(藜科)"	"绿粉红"	"--"	"红扫帚菜"	"右旗"	"绿"	"0.91"	"栽培"	"长圆"	"地方"	"内蒙"	"褐"	"D045"	"内蒙古赤峰市农科所"	"I7C01242"	"5.10"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000128"	"HONG SAO ZHOU CAI"	"观尝藜"	"Kochia(地肤属)"	"红绿"	"189.0"
"48"	"9.20"	"159.0"	"Chenopodiaceae(藜科)"	"黄绿"	"--"	"绿扫帚菜"	"右旗"	"黄绿"	"0.89"	"栽培"	"长圆"	"地方"	"内蒙"	"褐"	"D046"	"内蒙古赤峰市农科所"	"--"	"5.10"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000129"	"LU SAO ZHOU CAI"	"观尝藜"	"Kochia(地肤属)"	"绿"	"193.0"
"49"	"9.27"	"179.0"	"Chenopodiaceae(藜科)"	"绿红"	"--"	"红茎扫帚菜"	"右旗"	"红绿"	"0.72"	"野生"	"长卵圆"	"野生"	"内蒙"	"灰褐"	"D047"	"内蒙古赤峰市农科所"	"I7C01243"	"5.05"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000130"	"HONG JING SAO ZHOU CAI"	"野地肤"	"Kochia(地肤属)"	"紫红"	"256.0"
