"id"	"蛋氨酸"	"科名"	"孢囊等级3"	"品种名称"	"病毒指数"	"脐色"	"锈病等级"	"熟期抗旱性"	"苗期抗冷"	"油酸"	"生育月份"	"产地来源"	"类型"	"硬脂酸"	"生育日数"	"胰酶抑制剂"	"译名"	"孢囊等级1"	"省"	"亚油酸"	"东经"	"百粒重"	"软脂酸"	"统一编号"	"平均孢囊5"	"学名"	"粒形"	"孢囊等级5"	"胱氨酸"	"平均孢囊1"	"孢囊等级2"	"花色"	"粗脂肪"	"锈病抗病性"	"粗蛋白"	"结荚习性"	"北纬"	"芽期抗旱性"	"平均孢囊3"	"库编号"	"生长习性"	"保存单位"	"孢囊指数3"	"区"	"锈病反应型"	"芽期抗冷"	"叶形"	"粒色"	"备注"	"孢囊等级4"	"苗期抗盐性"	"子叶色"	"病毒等级"	"样品类型"	"属名"	"茸毛色"	"高程"	"平均孢囊4"	"株高"	"芽期抗盐性"	"平均孢囊2"	"亚麻酸"
"2559"	"--"	"Leguminosae(豆科)"	"--"	"洋青豆"	"--"	"--"	"7"	"--"	"--"	"18.6"	"7/下-11/中"	"湖南衡阳"	"秋"	"3.5"	"106"	"+"	"YANG QING DOU"	"--"	"湖南"	"54.7"	"11236"	"13.0"	"11.8"	"ZDD06537"	"--"	"Glycine max L. Merrill(大豆)"	"椭圆"	"--"	"--"	"--"	"--"	"紫"	"17.1"	"342"	"43.4"	"有"	"2654"	"--"	"--"	"I2A01187"	"直立"	"湖南省农科院(211)"	"--"	"南方秋大豆"	"--"	"--"	"椭圆"	"绿"	"--"	"--"	"--"	"黄"	"--"	"地方"	"Glycine(大豆属)"	"棕"	"61"	"--"	"51.1"	"--"	"--"	"11.3"
"2560"	"--"	"Leguminosae(豆科)"	"--"	"长沙青豆"	"--"	"--"	"7"	"--"	"--"	"18.0"	"7/下-11/中"	"湖南长沙"	"秋"	"3.1"	"105"	"+"	"CHANG SHA QING DOU"	"--"	"湖南"	"56.9"	"11258"	"13.1"	"11.8"	"ZDD06538"	"--"	"Glycine max L. Merrill(大豆)"	"椭圆"	"--"	"--"	"--"	"--"	"紫"	"16.5"	"342"	"44.5"	"有"	"2811"	"--"	"--"	"I2A01188"	"直立"	"湖南省农科院(212)"	"--"	"南方秋大豆"	"--"	"--"	"椭圆"	"绿"	"--"	"--"	"--"	"黄"	"--"	"地方"	"Glycine(大豆属)"	"棕"	"51"	"--"	"61.8"	"--"	"--"	"10.3"
"2561"	"--"	"Leguminosae(豆科)"	"--"	"药豆"	"50.00"	"--"	"7"	"--"	"--"	"17.9"	"7/下-11/中"	"湖南衡南"	"秋"	"3.3"	"103"	"+"	"YAO DOU"	"--"	"湖南"	"57.4"	"11236"	"12.0"	"10.9"	"ZDD06539"	"--"	"Glycine max L. Merrill(大豆)"	"椭圆"	"--"	"--"	"--"	"--"	"紫"	"17.1"	"342"	"44.5"	"亚"	"2654"	"--"	"--"	"I2A01189"	"直立"	"湖南省农科院(213)"	"--"	"南方秋大豆"	"--"	"--"	"椭圆"	"黑"	"--"	"--"	"--"	"黄"	"7"	"地方"	"Glycine(大豆属)"	"棕"	"71"	"--"	"40.3"	"--"	"--"	"10.5"
"2562"	"--"	"Leguminosae(豆科)"	"--"	"衡山红豆"	"50.00"	"--"	"7"	"--"	"--"	"21.7"	"7/下-11/中"	"湖南衡山"	"秋"	"3.8"	"108"	"+"	"HENG SHAN HONG DOU"	"--"	"湖南"	"52.2"	"11248"	"19.7"	"11.5"	"ZDD06541"	"--"	"Glycine max L. Merrill(大豆)"	"椭圆"	"--"	"--"	"--"	"--"	"紫"	"17.1"	"342"	"44.8"	"有"	"2715"	"--"	"--"	"I2A01190"	"直立"	"湖南省农科院(215)"	"--"	"南方秋大豆"	"--"	"--"	"椭圆"	"褐"	"--"	"--"	"--"	"黄"	"7"	"地方"	"Glycine(大豆属)"	"棕"	"51"	"--"	"47.9"	"--"	"--"	"10.8"
"2563"	"--"	"Leguminosae(豆科)"	"--"	"安仁红豆"	"25.96"	"--"	"7"	"--"	"--"	"20.6"	"7/下-11/中"	"湖南安仁"	"秋"	"3.7"	"108"	"+"	"AN REN HONG DOU"	"--"	"湖南"	"52.7"	"11307"	"18.4"	"11.2"	"ZDD06542"	"--"	"Glycine max L. Merrill(大豆)"	"椭圆"	"--"	"--"	"--"	"--"	"紫"	"15.6"	"342"	"42.9"	"有"	"2643"	"--"	"--"	"I2A01191"	"直立"	"湖南省农科院(216)"	"--"	"南方秋大豆"	"--"	"--"	"椭圆"	"褐"	"--"	"--"	"--"	"黄"	"5"	"地方"	"Glycine(大豆属)"	"棕"	"92"	"--"	"43.7"	"--"	"--"	"11.8"
"2564"	"--"	"Leguminosae(豆科)"	"--"	"大白水豆"	"30.00"	"--"	"--"	"--"	"--"	"--"	"4/中-9/上"	"贵州兴仁"	"春"	"--"	"132"	"+"	"DA BAI SHUI DOU"	"--"	"贵州"	"--"	"10511"	"9.6"	"--"	"ZDD06554"	"--"	"Glycine max L. Merrill(大豆)"	"椭圆"	"--"	"--"	"--"	"--"	"紫"	"17.3"	"--"	"44.1"	"有"	"2526"	"--"	"--"	"I2A11883"	"半直"	"安顺地区农科所(品资16)"	"--"	"南方春大豆"	"--"	"--"	"圆"	"黄"	"--"	"--"	"4"	"黄"	"5"	"地方"	"Glycine(大豆属)"	"棕"	"1351"	"--"	"60.0"	"5"	"--"	"--"
"2565"	"--"	"Leguminosae(豆科)"	"--"	"牛毛豆"	"69.79"	"--"	"7"	"--"	"--"	"19.6"	"4/中-9/上"	"贵州安龙"	"春"	"2.9"	"124"	"+"	"NIU MAO DOU"	"--"	"贵州"	"53.4"	"10528"	"10.0"	"12.5"	"ZDD06569"	"--"	"Glycine max L. Merrill(大豆)"	"扁圆"	"--"	"--"	"--"	"--"	"白"	"15.9"	"342"	"44.7"	"有"	"2507"	"--"	"--"	"I2A03957"	"半直"	"安顺地区农科所(品资42)"	"--"	"南方春大豆"	"--"	"--"	"椭圆"	"白黄"	"--"	"--"	"--"	"黄"	"7"	"地方"	"Glycine(大豆属)"	"棕"	"1368"	"--"	"45.7"	"--"	"--"	"11.5"
"2566"	"--"	"Leguminosae(豆科)"	"--"	"七月豆"	"50.00"	"--"	"7"	"--"	"--"	"20.0"	"4/中-8/下"	"贵州大方"	"春"	"3.1"	"115"	"+"	"QI YUE DOU"	"--"	"贵州"	"54.5"	"10532"	"15.6"	"12.4"	"ZDD06584"	"--"	"Glycine max L. Merrill(大豆)"	"扁圆"	"--"	"--"	"--"	"--"	"紫"	"17.9"	"342"	"42.8"	"有"	"2707"	"--"	"--"	"I2A03963"	"直立"	"安顺地区农科所(品资69)"	"--"	"南方春大豆"	"--"	"--"	"椭圆"	"黄"	"--"	"--"	"--"	"黄"	"7"	"地方"	"Glycine(大豆属)"	"棕"	"1700"	"--"	"29.5"	"--"	"--"	"10.0"
"2567"	"--"	"Leguminosae(豆科)"	"--"	"丰顶豆"	"30.77"	"--"	"7"	"--"	"--"	"--"	"4/中-8/下"	"贵州大方"	"春"	"--"	"121"	"+"	"FENG DING DOU"	"--"	"贵州"	"--"	"10532"	"13.9"	"--"	"ZDD06585"	"--"	"Glycine max L. Merrill(大豆)"	"椭圆"	"--"	"--"	"--"	"--"	"白"	"17.5"	"342"	"43.3"	"有"	"2707"	"--"	"--"	"I2A04023"	"半直"	"安顺地区农科所(品资70)"	"--"	"南方春大豆"	"--"	"--"	"椭圆"	"黄"	"--"	"--"	"--"	"黄"	"5"	"地方"	"Glycine(大豆属)"	"灰"	"1700"	"--"	"35.0"	"--"	"--"	"--"
"2568"	"--"	"Leguminosae(豆科)"	"--"	"黄壳豆"	"47.92"	"--"	"7"	"--"	"--"	"20.8"	"4/中-8/下"	"贵州织金"	"春"	"3.3"	"121"	"+"	"HUANG KE DOU"	"--"	"贵州"	"53.3"	"10546"	"12.6"	"12.0"	"ZDD06592"	"--"	"Glycine max L. Merrill(大豆)"	"椭圆"	"--"	"--"	"--"	"--"	"白"	"16.1"	"342"	"44.2"	"有"	"2641"	"--"	"--"	"I2A03965"	"半直"	"安顺地区农科所(品资85)"	"--"	"南方春大豆"	"--"	"--"	"椭圆"	"淡黄"	"--"	"--"	"--"	"黄"	"7"	"地方"	"Glycine(大豆属)"	"棕"	"1330"	"--"	"44.9"	"--"	"--"	"10.6"
