"id"	"抗逆性"	"品种名称"	"叶面"	"抗病虫性"	"保存编号"	"肉茎肉质"	"肉茎水分"	"叶色"	"备注"	"亩产"	"种子来源"	"译名"	"株高"	"叶形"	"生育期"	"肉茎肉色"	"肉茎皮色"	"保存单位"	"种质库编号"	"统一编号"	"栽培季节"	"熟性"	"肉茎形状"	"株幅"	"肉茎重"
"67"	"--"	"尖叶莴笋"	"平滑"	"--"	"E1-114"	"脆嫩"	"多"	"浅绿"	"--"	"--"	"四川富顺县"	"JIAN YE WO SUN"	"30.0"	"卵圆"	"120"	"浅绿"	"绿"	"成都市第一农科所"	"Ⅱ9F0148"	"V09F0198"	"9-1"	"中"	"圆锥"	"45.0"	"250.0"
"68"	"--"	"白甲莴笋"	"平滑"	"--"	"E1-113"	"脆嫩"	"多"	"浅绿"	"--"	"--"	"四川富顺县"	"BAI JIA WO SUN"	"35.0"	"椭圆"	"125"	"浅绿"	"浅绿"	"成都市第一农科所"	"Ⅱ9F0147"	"V09F0199"	"9-12"	"中"	"圆锥"	"44.0"	"450.0"
"69"	"--"	"尖刀笋"	"平滑"	"--"	"E1-042"	"脆嫩"	"--"	"浅绿"	"*"	"2000"	"四川高县"	"JIAN DAO SUN"	"30.0"	"披针"	"150"	"浅绿"	"浅绿"	"成都市第一农科所"	"Ⅱ9F0223"	"V09F0200"	"9播.次年2底收"	"--"	"倒圆锥"	"29.0"	"250.0"
"70"	"耐寒"	"圆叶"	"微皱"	"--"	"E1-018"	"脆嫩"	"多"	"绿"	"*"	"1600"	"四川广元市"	"YUAN YE"	"45.0"	"倒卵"	"120"	"浅绿"	"浅绿"	"成都市第一农科所"	"Ⅱ9F0215"	"V09F0201"	"9播次年2.3收"	"--"	"棍棒"	"40.0"	"150.0"
"71"	"耐热"	"尖叶莴笋"	"微皱"	"--"	"E1-090"	"脆嫩"	"多"	"浅绿"	"*"	"1500"	"四川雷波县"	"JIAN YE WO SUN"	"33.0"	"倒卵"	"120"	"浅绿"	"绿"	"成都市第一农科所"	"Ⅱ9F0294"	"V09F0212"	"1播4.5收"	"--"	"倒圆锥"	"48.0"	"150.0"
"72"	"弱"	"白莴笋"	"微皱"	"--"	"E1-088"	"脆嫩"	"多"	"浅绿"	"*"	"1500"	"四川雷波县"	"BAI WO SUN"	"30.0"	"椭圆"	"90"	"浅绿"	"浅绿"	"成都市第一农科所"	"Ⅱ9F0293"	"V09F0213"	"12播次年3收"	"--"	"棍棒"	"34.0"	"150.0"
"73"	"--"	"红叶莴笋"	"微皱"	"--"	"E1-089"	"脆嫩"	"多"	"紫"	"*"	"2000"	"四川雷波县"	"HONG YE WO SUN"	"30.0"	"倒卵"	"120"	"浅绿"	"浅绿"	"成都市第一农科所"	"Ⅱ9F0245"	"V09F0214"	"1播4.5收"	"--"	"棍棒"	"30.0"	"150.0"
"74"	"--"	"双尖莴笋"	"微皱"	"--"	"E1-071"	"脆嫩"	"--"	"绿"	"*"	"2500"	"四川邻水县"	"SHUANG JIAN WO SUN"	"100.0"	"椭圆"	"120"	"浅绿"	"浅绿"	"成都市第一农科所"	"Ⅱ9F0156"	"V09F0215"	"12播次年4收"	"--"	"棍棒"	"40.0"	"750.0"
"75"	"--"	"尖叶莴笋"	"平滑"	"--"	"E1-082"	"多纤维"	"少"	"绿"	"*"	"2000"	"四川芦山县"	"JIAN YE WO SUN"	"53.0"	"披针"	"90"	"浅绿"	"浅绿"	"成都市第一农科所"	"Ⅱ9F0134"	"V09F0216"	"秋季栽培"	"--"	"棍棒"	"42.0"	"250.0"
"76"	"--"	"红莴笋"	"平滑"	"--"	"E1-068"	"--"	"--"	"浅绿"	"*"	"1700"	"四川万沅县"	"HONG WO SUN"	"27.7"	"椭圆"	"124"	"浅绿"	"浅绿"	"成都市第一农科所"	"Ⅱ9F0238"	"V09F0248"	"9播次年1.2收"	"--"	"倒圆锥"	"39.6"	"200.0"
"77"	"--"	"红杆笋"	"平滑"	"--"	"E1-069"	"--"	"--"	"绿"	"*"	"2000"	"四川万沅县"	"HONG GAN SUN"	"32.0"	"倒卵"	"127"	"浅绿"	"绿"	"成都市第一农科所"	"Ⅱ9F0239"	"V09F0249"	"9播次年1.2收"	"--"	"棍棒"	"51.4"	"350.0"
"78"	"中"	"大莴笋子"	"微皱"	"--"	"E1-119"	"脆嫩"	"多"	"绿"	"--"	"1500"	"四川巫山县"	"DA WO SUN ZI"	"25.0"	"卵圆"	"120"	"浅绿"	"绿"	"成都市第一农科所"	"Ⅱ9F0251"	"V09F0250"	"9月-元月"	"中"	"圆锥"	"37.0"	"200.0"
"79"	"中"	"圆叶白皮"	"多皱"	"--"	"E1-087"	"脆嫩"	"少"	"绿"	"*"	"3000"	"四川西昌市"	"YUAN YE BAI PI"	"50.0"	"倒卵"	"120"	"浅绿"	"浅绿"	"成都市第一农科所"	"Ⅱ9F0244"	"V09F0251"	"全年"	"--"	"棍棒"	"65.0"	"400.0"
"80"	"耐寒"	"白皮莴笋"	"平滑"	"--"	"E1-061"	"脆嫩"	"少"	"浅绿"	"*"	"1500"	"四川西充县"	"BAI PI WO SUN"	"44.0"	"圆形"	"120"	"浅绿"	"浅绿"	"成都市第一农科所"	"Ⅱ9F0235"	"V09F0252"	"9播次年2收"	"--"	"倒圆锥"	"35.0"	"250.0"
"81"	"耐寒"	"密节莴笋"	"微皱"	"--"	"E1-062"	"脆嫩"	"--"	"绿"	"*"	"1500"	"四川西充县"	"MI JIE WO SUN"	"28.0"	"倒卵"	"150"	"浅绿"	"浅绿"	"成都市第一农科所"	"Ⅱ9F0131"	"V09F0253"	"10播次年4收"	"--"	"倒圆锥"	"50.0"	"150.0"
"82"	"中"	"罗汉莴笋"	"微皱"	"--"	"E1-109"	"脆嫩"	"多"	"浅绿"	"--"	"--"	"四川西阳县"	"LUO HAN WO SUN"	"30.0"	"披针"	"125"	"浅绿"	"绿"	"成都市第一农科所"	"Ⅱ9F0143"	"V09F0254"	"9-2"	"中"	"圆锥"	"51.0"	"150.0"
"83"	"--"	"青笋"	"微皱"	"--"	"E1-039"	"--"	"多"	"浅绿"	"*"	"2100"	"四川叙永县"	"QING SUN"	"40.0"	"椭圆"	"100"	"浅绿"	"浅绿"	"成都市第一农科所"	"Ⅱ9F0221"	"V09F0255"	"9播12.次年1收"	"--"	"棍棒"	"39.0"	"250.0"
"84"	"--"	"盐源莴笋"	"平滑"	"--"	"E1-095"	"脆嫩"	"--"	"绿"	"*"	"1850"	"四川盐源县"	"YAN YUAN WO SUN"	"26.4"	"椭圆"	"124"	"浅绿"	"绿"	"成都市第一农科所"	"Ⅱ9F0249"	"V09F0256"	"9初播次年1.2收"	"--"	"倒圆锥"	"39.0"	"350.0"
"85"	"--"	"尖叶莴笋"	"微皱"	"弱"	"E1-007"	"--"	"--"	"绿"	"*"	"1500"	"四川自贡市"	"JIAN YE WO SUN"	"50.0"	"--"	"120"	"浅绿"	"绿"	"成都市第一农科所"	"Ⅱ9F0210"	"V09F0265"	"春.秋栽培"	"--"	"棍棒"	"44.0"	"250.0"
"86"	"--"	"尖叶青"	"微皱"	"--"	"E1-002"	"--"	"--"	"绿"	"*"	"1500"	"四川自贡市"	"JIAN YE QING"	"50.0"	"长椭圆"	"100"	"浅绿"	"浅绿"	"成都市第一农科所"	"Ⅱ9F0208"	"V09F0266"	"秋.春栽培"	"--"	"棍棒"	"54.0"	"200.0"
"87"	"耐寒"	"枇杷叶"	"微皱"	"弱"	"E1-006"	"--"	"--"	"绿"	"*"	"2000"	"四川自贡市"	"PI PA YE"	"65.0"	"倒卵"	"120"	"浅绿"	"绿"	"成都市第一农科所"	"Ⅱ9F0209"	"V09F0267"	"春.秋.冬栽培"	"--"	"倒圆锥"	"40.0"	"200.0"
"88"	"--"	"圆叶红"	"微皱"	"--"	"E1-008"	"脆嫩"	"--"	"红"	"*"	"2000"	"四川自贡市"	"YUAN YE HONG"	"50.0"	"倒卵"	"100"	"浅绿"	"绿"	"成都市第一农科所"	"Ⅱ9F0211"	"V09F0268"	"8中播,9中定植,12下收"	"--"	"棍棒"	"40.0"	"500.0"
"89"	"--"	"尖叶红"	"微皱"	"--"	"E1-009"	"--"	"--"	"紫"	"*"	"1500"	"四川自贡市"	"JIAN YE HONG"	"30.0"	"长椭圆"	"120"	"浅绿"	"褐"	"成都市第一农科所"	"Ⅱ9F0212"	"V09F0269"	"11播次年4收"	"--"	"棍棒"	"40.0"	"250.0"
