"id"	"嫩叶颜色"	"芽着生状态"	"叶脉"	"秋可溶糖"	"春担桑茧量"	"萎缩萎缩病"	"叶面粗滑"	"发芽期"	"秋公斤叶数"	"叶硬化期"	"枝条长短"	"叶缘"	"省"	"秋万茧层量"	"开叶期"	"枝态"	"统一编号"	"花叶萎缩病"	"叶厚薄"	"属名"	"春可溶糖"	"株产叶量"	"成熟期"	"发芽率"	"染色体数"	"春万头茧量"	"保存单位"	"叶尖"	"亩产叶量"	"黑枯细菌病"	"叶着生状态"	"雄穗多少"	"污叶病"	"叶背毛"	"叶面光泽"	"枝条皮色"	"椹颜色"	"花柱有无"	"叶长"	"叶缘芒刺"	"发条力"	"皮孔个"	"耐寒性"	"椹梗叶"	"叶基"	"白粉病"	"青枯病"	"科名"	"种子来源地"	"品种名称"	"副芽多少"	"耐湿性"	"叶面缩"	"节间长"	"叶形状"	"冬芽颜色"	"枝条曲直"	"秋粗蛋白"	"秋万头茧量"	"译名"	"叶面毛"	"秋担桑茧量"	"叶幅"	"椹结实性"	"学名"	"原产地"	"雄穗长度"	"褐斑病"	"冬芽形状"	"秋米条叶"	"花性"	"黄化萎缩病"	"叶色"	"椹多少"	"春万茧层量"	"枝条粗细"	"椹长度"	"叶序"	"生长芽率"	"春米条叶"	"叶柄长"	"耐旱性"	"梢梗叶"	"条梗叶"	"春公斤叶数"	"春粗蛋白"	"花叶开放序"	"实用分类"	"缩叶细菌病"	"叶梗叶"	"柱头毛或突"
"21"	"黄绿"	"--"	"基脉五出"	"--"	"6.850"	"--"	"光滑"	"4月8-12日"	"600"	"--"	"长"	"乳头齿"	"山西"	"--"	"--"	"直立"	"04-00058"	"--"	"中等"	"Morus(桑属)"	"--"	"1.400"	"5月中旬初"	"65.0"	"二倍体"	"21.680"	"中国农科院蚕业所"	"锐头"	"900.0"	"--"	"--"	"--"	"中抗"	"无"	"较强"	"灰白"	"紫黑"	"短"	"18.0"	"无"	"中"	"6.0"	"较强"	"3.8"	"心形"	"中抗"	"--"	"Moraceae(桑科)"	"山西省陵川县"	"陵古桑"	"--"	"中"	"无滑"	"3.6"	"全裂叶混生"	"--"	"直"	"--"	"--"	"LING GU SANG"	"无"	"--"	"14.0"	"强"	"Morus alba Linn.(白桑)"	"山西省陵川古郊乡"	"--"	"--"	"--"	"50.0"	"雌花"	"易感"	"深绿"	"较多"	"5.121"	"细"	"短"	"3/8"	"12.00"	"82.0"	"3.0"	"强"	"12.9"	"45.40"	"1000"	"--"	"先叶后花"	"--"	"--"	"37.9"	"突起"
"22"	"绿带紫红"	"--"	"基脉五出"	"--"	"--"	"--"	"光滑"	"4月10-14日"	"1000"	"--"	"长"	"乳头齿"	"山西"	"--"	"--"	"直立"	"04-00059"	"--"	"中等"	"Morus(桑属)"	"--"	"1.400"	"5月中旬初"	"78.0"	"二倍体"	"--"	"中国农科院蚕业所"	"锐头"	"700.0"	"中抗"	"--"	"--"	"易感"	"无"	"中"	"灰棕"	"紫黑"	"无"	"15.0"	"无"	"强"	"--"	"较强"	"3.0"	"心形"	"易感"	"--"	"Moraceae(桑科)"	"山西省陵川县"	"陵潞山桑"	"--"	"中"	"无滑"	"3.0"	"浅裂叶"	"--"	"直"	"--"	"--"	"LING LU SHAN SANG"	"无"	"--"	"12.0"	"强"	"Morus alba Linn.(白桑)"	"山西省陵川县潞城"	"--"	"中抗"	"--"	"60.0"	"雌花"	"感病"	"深绿"	"中"	"--"	"细"	"短"	"2/5"	"18.00"	"88.0"	"3.0"	"强"	"12.2"	"38.70"	"1500"	"--"	"先叶后花"	"--"	"--"	"46.3"	"突起"
"23"	"紫红"	"--"	"基脉五出"	"--"	"5.440"	"中抗"	"光滑"	"4月10-14日"	"207"	"--"	"短"	"乳头齿"	"山西"	"--"	"--"	"直立"	"04-00060"	"--"	"较厚"	"Morus(桑属)"	"12.75"	"2.600"	"5月中旬末"	"78.0"	"二倍体"	"18.130"	"中国农科院蚕业所"	"锐头"	"1300.0"	"感病"	"--"	"较少"	"中抗"	"无"	"较强"	"黄褐"	"--"	"--"	"23.0"	"无"	"中"	"13.0"	"较强"	"--"	"深心形"	"抗"	"--"	"Moraceae(桑科)"	"山西省陵川县"	"陵城黄鲁"	"--"	"--"	"微缩皱"	"3.6"	"全裂叶混生"	"--"	"直"	"--"	"--"	"LING CHENG HUANG LU"	"无"	"--"	"19.0"	"--"	"Morus multicaulis Perr.(鲁桑)"	"山西省陵川县"	"短"	"中抗"	"--"	"91.0"	"雄花"	"感病"	"深绿"	"--"	"4.146"	"粗"	"--"	"2/5"	"12.00"	"148.0"	"4.0"	"较强"	"8.2"	"42.60"	"758"	"24.48"	"花叶同开"	"--"	"--"	"49.2"	"--"
"24"	"绿带紫红"	"--"	"基脉五出"	"--"	"--"	"中抗"	"光滑"	"4月6-12日"	"130"	"--"	"中"	"乳头齿"	"山西"	"--"	"--"	"弯曲"	"04-00061"	"--"	"中等"	"Morus(桑属)"	"--"	"2.960"	"5月中旬末"	"62.0"	"二倍体"	"--"	"中国农科院蚕业所"	"锐头"	"1480.0"	"中抗"	"--"	"--"	"感病"	"无"	"较强"	"青灰"	"紫黑"	"无"	"21.0"	"无"	"中"	"--"	"较强"	"1.0"	"心形"	"感病"	"--"	"Moraceae(桑科)"	"山西省陵川县"	"陵沟桑"	"--"	"中"	"微缩皱"	"4.2"	"心脏形"	"--"	"微曲"	"--"	"--"	"LING GOU SANG"	"无"	"--"	"18.0"	"强"	"Morus multicaulis Perr.(鲁桑)"	"山西省陵川县"	"--"	"感病"	"--"	"146.0"	"雌花"	"中抗"	"深绿"	"少"	"--"	"粗"	"中等"	"2/5"	"12.00"	"384.0"	"6.5"	"较强"	"9.0"	"40.00"	"200"	"--"	"先叶后花"	"--"	"--"	"50.0"	"突起"
"25"	"绿带紫红"	"--"	"基脉五出"	"--"	"6.500"	"--"	"光滑"	"4月6-12日"	"228"	"--"	"中"	"乳头齿"	"山西"	"--"	"--"	"直立"	"04-00062"	"--"	"中等"	"Morus(桑属)"	"12.50"	"2.480"	"5月中旬末"	"81.0"	"二倍体"	"21.120"	"中国农科院蚕业所"	"锐头"	"1240.0"	"中抗"	"--"	"--"	"感病"	"无"	"较强"	"青灰"	"紫黑"	"无"	"20.0"	"无"	"中"	"8.0"	"较强"	"2.0"	"浅心形"	"抗"	"--"	"Moraceae(桑科)"	"山西省陵川县"	"陵秦桑"	"--"	"中"	"微缩皱"	"4.2"	"心脏形"	"--"	"直"	"--"	"--"	"LING QIN SANG"	"无"	"--"	"17.0"	"较强"	"Morus alba Linn.(白桑)"	"山西省陵川县"	"--"	"易感"	"--"	"97.0"	"雌花"	"易感"	"翠绿"	"较少"	"5.240"	"细"	"短"	"2/5"	"20.00"	"148.0"	"5.0"	"较强"	"9.0"	"30.00"	"640"	"19.64"	"先叶后花"	"--"	"--"	"59.0"	"突起"
"26"	"黄绿"	"--"	"基脉五出"	"--"	"6.050"	"--"	"光滑"	"4月10-14日"	"172"	"--"	"中"	"乳头齿"	"山西"	"--"	"--"	"直立"	"04-00063"	"--"	"较薄"	"Morus(桑属)"	"13.00"	"2.600"	"5月中旬初"	"76.0"	"二倍体"	"20.170"	"中国农科院蚕业所"	"锐头"	"1300.0"	"感病"	"--"	"--"	"感病"	"无"	"较强"	"青灰"	"紫黑"	"无"	"24.0"	"无"	"中"	"--"	"较强"	"0.8"	"心形"	"感病"	"--"	"Moraceae(桑科)"	"山西省陵川县"	"陵河桑"	"--"	"较强"	"微缩皱"	"4.1"	"心脏形"	"--"	"直"	"--"	"--"	"LING HE SANG"	"无"	"--"	"19.0"	"较弱"	"Morus multicaulis Perr.(鲁桑)"	"山西省陵川县"	"--"	"--"	"--"	"128.0"	"雌花"	"中抗"	"深绿"	"少"	"4.663"	"粗"	"中等"	"2/5"	"9.00"	"166.0"	"6.6"	"较强"	"9.4"	"35.80"	"416"	"25.02"	"先叶后花"	"--"	"--"	"54.0"	"突起"
"27"	"绿带紫红"	"--"	"基脉五出"	"--"	"--"	"--"	"光滑"	"4月10-12日"	"375"	"--"	"中"	"乳头齿"	"山西"	"--"	"--"	"直立"	"04-00064"	"--"	"中等"	"Morus(桑属)"	"--"	"1.800"	"5月中旬初"	"83.0"	"二倍体"	"--"	"中国农科院蚕业所"	"锐头"	"900.0"	"--"	"--"	"较少"	"易感"	"无"	"较强"	"灰棕"	"--"	"--"	"17.0"	"无"	"中"	"8.0"	"较强"	"--"	"浅心形"	"易感"	"--"	"Moraceae(桑科)"	"山西省陵川县"	"瑞马1号"	"--"	"中"	"微缩皱"	"3.5"	"心脏形"	"--"	"微曲"	"--"	"--"	"RUI MA 1 HAO"	"无"	"--"	"14.0"	"--"	"Morus alba Linn.(白桑)"	"山西省陵川县"	"短"	"感病"	"--"	"80.0"	"雄花"	"易感"	"深绿"	"--"	"--"	"细"	"--"	"3/8"	"8.00"	"108.0"	"3.7"	"中"	"8.1"	"40.30"	"725"	"--"	"花叶同开"	"--"	"--"	"51.6"	"--"
"28"	"黄绿"	"--"	"基脉五出"	"--"	"5.970"	"--"	"光滑"	"4月6-12日"	"216"	"--"	"长"	"乳头齿"	"山西"	"--"	"--"	"斜生"	"04-00065"	"--"	"中等"	"Morus(桑属)"	"13.25"	"2.340"	"5月中旬初"	"61.0"	"二倍体"	"18.340"	"中国农科院蚕业所"	"短尾状"	"1170.0"	"中抗"	"--"	"--"	"中抗"	"无"	"强"	"青灰"	"紫黑"	"无"	"22.0"	"无"	"中"	"11.0"	"较强"	"2.0"	"心形"	"--"	"--"	"Moraceae(桑科)"	"山西省陵川县"	"瑞马2号"	"--"	"中"	"波皱"	"4.0"	"长心脏形"	"--"	"微曲"	"--"	"--"	"RUI MA 2 HAO"	"无"	"--"	"17.0"	"强"	"Morus multicaulis Perr.(鲁桑)"	"山西省陵川县"	"--"	"--"	"--"	"85.0"	"雌花"	"感病"	"翠绿"	"较少"	"4.738"	"粗"	"中等"	"3/8"	"23.00"	"164.0"	"5.6"	"较强"	"11.0"	"43.00"	"416"	"26.21"	"先叶后花"	"--"	"--"	"44.0"	"突起"
"29"	"绿带紫红"	"--"	"基脉五出"	"--"	"--"	"--"	"光滑"	"4月10-13日"	"360"	"--"	"长"	"乳头齿"	"山西"	"--"	"--"	"斜生"	"04-00066"	"--"	"较厚"	"Morus(桑属)"	"--"	"2.200"	"5月中旬末"	"71.0"	"二倍体"	"--"	"中国农科院蚕业所"	"锐头"	"1100.0"	"中抗"	"--"	"--"	"易感"	"无"	"较弱"	"棕灰"	"紫黑"	"无"	"19.0"	"无"	"中"	"11.0"	"中等"	"1.5"	"浅心形"	"易感"	"--"	"Moraceae(桑科)"	"山西省高平县"	"长条黄鲁"	"--"	"--"	"微缩皱"	"3.8"	"长心脏形"	"--"	"直"	"--"	"--"	"CHANG TIAO HUANG LU"	"无"	"--"	"14.0"	"较强"	"Morus alba Linn.(白桑)"	"山西省高平县云泉乡"	"--"	"易感"	"--"	"70.0"	"雌花"	"感病"	"深绿"	"较少"	"--"	"细"	"短"	"2/5"	"18.00"	"120.0"	"5.5"	"较强"	"6.2"	"43.20"	"630"	"--"	"先叶后花"	"--"	"感病"	"49.1"	"突起"
"30"	"黄绿"	"--"	"基脉五出"	"--"	"6.280"	"--"	"光滑"	"4月1-8日"	"380"	"--"	"中"	"钝齿"	"山西"	"--"	"--"	"直立"	"04-00067"	"--"	"较薄"	"Morus(桑属)"	"11.63"	"2.300"	"5月上旬"	"68.0"	"二倍体"	"20.920"	"中国农科院蚕业所"	"锐头"	"1150.0"	"--"	"--"	"少"	"中抗"	"无"	"较强"	"青灰"	"--"	"--"	"16.0"	"无"	"强"	"16.0"	"较强"	"--"	"心形"	"抗"	"--"	"Moraceae(桑科)"	"山西省榆次县"	"红眼桑"	"--"	"较强"	"波皱"	"3.2"	"全裂叶混生"	"--"	"直"	"--"	"--"	"HONG YAN SANG"	"无"	"--"	"14.0"	"--"	"Morus alba Linn.(白桑)"	"山西省榆次县"	"中等"	"--"	"--"	"80.0"	"雄花"	"易感"	"淡绿"	"--"	"5.031"	"细"	"--"	"3/8"	"19.00"	"225.0"	"5.2"	"强"	"8.9"	"40.30"	"700"	"27.18"	"花叶同开"	"--"	"--"	"50.8"	"--"
"31"	"紫红"	"--"	"基脉五出"	"--"	"--"	"--"	"光滑"	"4月8-13日"	"310"	"--"	"长"	"乳头齿"	"辽宁"	"--"	"--"	"直立"	"05-00001"	"--"	"较薄"	"Morus(桑属)"	"--"	"1.600"	"5月中旬初"	"75.0"	"二倍体"	"--"	"中国农科院蚕业所"	"锐头"	"800.0"	"抗"	"--"	"多"	"中抗"	"无"	"中"	"褐"	"--"	"--"	"22.0"	"无"	"中"	"7.0"	"强"	"--"	"截形"	"抗"	"--"	"Moraceae(桑科)"	"辽宁省蚕业所"	"辽桑1号"	"--"	"中"	"无缩皱"	"4.0"	"卵圆形"	"--"	"直"	"--"	"--"	"LIAO SANG 1 HAO"	"无"	"--"	"16.0"	"--"	"Morus multicaulis Perr.(鲁桑)"	"辽宁省凤城县"	"短"	"抗"	"--"	"100.0"	"雄花"	"--"	"翠绿"	"无"	"--"	"粗"	"--"	"3/8"	"11.00"	"110.0"	"6.5"	"中"	"5.0"	"39.00"	"680"	"--"	"花叶同开"	"--"	"抗"	"56.0"	"--"
"32"	"绿带紫红"	"--"	"基脉五出"	"--"	"--"	"--"	"光滑"	"4月8-14日"	"--"	"--"	"中"	"乳头齿"	"辽宁"	"--"	"--"	"直立"	"05-00002"	"--"	"较薄"	"Morus(桑属)"	"--"	"1.480"	"5月中旬初"	"79.0"	"二倍体"	"--"	"中国农科院蚕业所"	"锐头"	"739.0"	"抗"	"--"	"中"	"中抗"	"无"	"中"	"青灰"	"紫黑"	"无"	"16.0"	"无"	"强"	"7.0"	"强"	"0.4"	"深心形"	"中抗"	"--"	"Moraceae(桑科)"	"辽宁省蚕业所"	"家桑"	"--"	"中"	"波皱"	"4.0"	"心脏形"	"--"	"直"	"--"	"--"	"JIA SANG"	"无"	"--"	"14.0"	"强"	"Morus alba Linn.(白桑)"	"辽宁省朝阳县"	"短"	"--"	"--"	"--"	"雌雄同株或异株"	"--"	"翠绿"	"少"	"--"	"细"	"短"	"2/5"	"18.00"	"--"	"5.6"	"强"	"3.0"	"48.10"	"--"	"--"	"花叶同开"	"--"	"抗"	"48.5"	"突起"
"33"	"黄绿"	"--"	"基脉五出"	"--"	"5.090"	"--"	"光滑"	"4月8-13日"	"530"	"--"	"长"	"乳头齿"	"辽宁"	"4.314"	"--"	"直立"	"05-00003"	"--"	"较厚"	"Morus(桑属)"	"12.13"	"2.520"	"5月中旬初"	"79.0"	"二倍体"	"22.520"	"中国农科院蚕业所"	"短尾状"	"1260.0"	"--"	"--"	"无"	"中抗"	"无"	"中"	"灰棕"	"玉白带紫"	"无"	"16.0"	"无"	"强"	"6.0"	"强"	"6.0"	"深心形"	"中抗"	"--"	"Moraceae(桑科)"	"辽宁省桑业所"	"凤桑"	"--"	"中"	"无缩皱"	"4.0"	"卵圆形"	"--"	"直"	"--"	"19.700"	"FENG SANG"	"无"	"7.050"	"11.0"	"强"	"Morus alba Linn.(白桑)"	"辽宁省凤城县"	"--"	"--"	"--"	"60.0"	"雌花"	"--"	"深绿"	"多"	"5.666"	"细"	"短"	"2/5"	"14.00"	"102.0"	"4.5"	"强"	"5.4"	"45.60"	"1220"	"25.29"	"先叶后花"	"--"	"抗"	"43.0"	"突起"
"34"	"黄绿"	"--"	"基脉五出"	"--"	"8.280"	"--"	"光滑"	"4月7-12日"	"430"	"--"	"长"	"钝齿"	"辽宁"	"4.594"	"--"	"直立"	"05-00004"	"--"	"较薄"	"Morus(桑属)"	"12.00"	"0.950"	"5月中旬初"	"82.0"	"--"	"15.510"	"中国农科院蚕业所"	"锐头"	"470.0"	"抗"	"--"	"较多"	"感病"	"无"	"中"	"棕褐"	"--"	"无"	"17.0"	"无"	"--"	"10.0"	"强"	"--"	"截形"	"中抗"	"--"	"Moraceae(桑科)"	"辽宁省熊岳植物园"	"熊岳桑"	"--"	"中"	"无缩皱"	"4.0"	"卵圆形"	"--"	"直"	"--"	"21.410"	"XIONG YUE SANG"	"无"	"7.620"	"12.0"	"--"	"Morus alba Linn.(白桑)"	"--"	"中等"	"抗"	"--"	"51.0"	"雄花"	"--"	"翠绿"	"无"	"3.420"	"细"	"--"	"2/5"	"16.00"	"114.0"	"5.6"	"中"	"10.0"	"40.00"	"1440"	"28.52"	"先花后叶"	"--"	"--"	"50.0"	"突起"
"35"	"黄绿"	"--"	"基脉五出"	"--"	"7.250"	"--"	"光滑"	"4月9-13日"	"274"	"--"	"长"	"钝齿"	"辽宁"	"4.576"	"--"	"直立"	"05-00005"	"--"	"较厚"	"Morus(桑属)"	"13.25"	"1.920"	"5月中旬初"	"68.0"	"二倍体"	"25.510"	"中国农科院蚕业所"	"短尾状"	"960.0"	"中抗"	"--"	"少"	"中抗"	"无"	"中"	"灰棕褐"	"紫黑"	"短"	"17.0"	"无"	"中"	"7.0"	"强"	"2.6"	"浅心形"	"中抗"	"--"	"Moraceae(桑科)"	"辽宁省蚕业所"	"盖桑"	"--"	"中"	"无缩皱"	"4.0"	"长心脏形"	"--"	"直"	"--"	"20.990"	"GAI SANG"	"无"	"7.470"	"12.0"	"强"	"Morus alba Linn.(白桑)"	"辽宁省盖县"	"短"	"抗"	"--"	"63.0"	"雌雄花同株"	"--"	"翠绿"	"较多"	"5.373"	"细"	"短"	"2/5"	"24.00"	"98.0"	"6.6"	"强"	"12.0"	"47.00"	"840"	"26.37"	"花叶同开"	"--"	"中抗"	"38.4"	"突起"
"36"	"绿带紫红"	"--"	"基脉五出"	"--"	"--"	"--"	"光滑"	"4月8-14日"	"370"	"--"	"长"	"乳头齿"	"辽宁"	"--"	"--"	"直立"	"05-00006"	"--"	"较厚"	"Morus(桑属)"	"--"	"2.290"	"5月中旬初"	"71.0"	"--"	"--"	"中国农科院蚕业所"	"锐头"	"1144.0"	"中抗"	"--"	"较少"	"中抗"	"无"	"中"	"灰黄"	"--"	"无"	"17.0"	"无"	"强"	"8.0"	"强"	"--"	"深心形"	"中抗"	"--"	"Moraceae(桑科)"	"辽宁省蚕业所"	"接桑"	"--"	"中"	"细皱"	"3.7"	"心脏形"	"--"	"直"	"--"	"--"	"JIE SANG"	"无"	"--"	"15.0"	"--"	"Morus alba Linn.(白桑)"	"辽宁省凌源县"	"短"	"--"	"--"	"90.0"	"雄花"	"--"	"翠绿"	"无"	"--"	"细"	"--"	"2/5"	"10.00"	"132.0"	"4.7"	"强"	"8.0"	"40.00"	"1060"	"--"	"花叶同开"	"--"	"--"	"952.0"	"突起"
"37"	"黄绿"	"--"	"基脉五出"	"--"	"--"	"--"	"光滑"	"4月4-10日"	"300"	"--"	"长"	"乳头齿"	"辽宁"	"--"	"--"	"直立"	"05-00007"	"--"	"较薄"	"Morus(桑属)"	"--"	"2.000"	"5月中旬初"	"81.0"	"--"	"--"	"中国农科院蚕业所"	"短尾状"	"1000.0"	"中抗"	"--"	"无"	"中抗"	"无"	"较强"	"棕褐"	"紫黑"	"无"	"14.0"	"无"	"强"	"6.0"	"强"	"23.6"	"深心形"	"中抗"	"--"	"Moraceae(桑科)"	"辽宁省蚕业所"	"毛杖桑"	"--"	"中"	"无缩皱"	"4.0"	"深裂叶"	"--"	"直"	"--"	"--"	"MAO ZHANG SANG"	"无"	"--"	"12.0"	"强"	"Morus alba Linn.(白桑)"	"辽宁省绥中县"	"--"	"--"	"--"	"129.0"	"雌花"	"--"	"深绿"	"多"	"--"	"细"	"短"	"2/5"	"6.00"	"119.0"	"5.7"	"强"	"4.1"	"39.70"	"640"	"--"	"先叶后花"	"--"	"--"	"32.6"	"突起"
"38"	"黄绿"	"--"	"基脉五出"	"--"	"7.680"	"中抗"	"光滑"	"4月8-14日"	"284"	"--"	"中"	"乳头齿"	"辽宁"	"3.511"	"--"	"直立"	"05-00008"	"--"	"较厚"	"Morus(桑属)"	"9.25"	"1.000"	"5月中旬初"	"60.0"	"二倍体"	"18.700"	"中国农科院蚕业所"	"锐头"	"500.0"	"中抗"	"--"	"少"	"感病"	"无"	"中"	"青灰"	"紫黑"	"无"	"15.0"	"无"	"中"	"13.0"	"较强"	"10.0"	"深心形"	"中抗"	"--"	"Moraceae(桑科)"	"辽宁省蚕业所"	"旅桑5号"	"--"	"中"	"波皱"	"4.0"	"心脏形"	"--"	"直"	"--"	"16.640"	"LU SANG 5 HAO"	"无"	"6.560"	"13.0"	"强"	"Morus multicaulis Perr.(鲁桑)"	"辽宁省旅顺市"	"短"	"中抗"	"--"	"65.0"	"雌雄花同株"	"中抗"	"翠绿"	"多"	"4.733"	"中等"	"短"	"2/5"	"2.00"	"71.0"	"6.0"	"中"	"8.0"	"45.00"	"716"	"23.95"	"先叶后花"	"--"	"抗"	"37.0"	"突起"
"39"	"黄绿"	"--"	"基脉五出"	"--"	"5.270"	"--"	"光滑"	"4月8-13日"	"388"	"--"	"长"	"乳头齿"	"辽宁"	"4.347"	"--"	"直立"	"05-00009"	"--"	"较厚"	"Morus(桑属)"	"12.13"	"2.280"	"5月中旬初"	"70.0"	"二倍体"	"19.650"	"中国农科院蚕业所"	"锐头"	"1138.0"	"中抗"	"--"	"较多"	"易感"	"无"	"中"	"深棕"	"白带红"	"无"	"15.0"	"无"	"强"	"7.0"	"强"	"1.0"	"深心形"	"中抗"	"--"	"Moraceae(桑科)"	"辽宁省蚕业所"	"东南沟2号"	"--"	"中"	"无缩皱"	"4.0"	"心脏形"	"--"	"直"	"--"	"20.460"	"DONG NAN GOU 2 HAO"	"无"	"7.290"	"13.0"	"强"	"Morus alba Linn.(白桑)"	"辽宁省凤城县"	"短"	"--"	"--"	"60.0"	"雌雄花同株"	"--"	"深绿"	"较少"	"4.675"	"细"	"短"	"3/8"	"21.00"	"110.0"	"4.6"	"较强"	"9.0"	"47.00"	"1320"	"25.29"	"花叶同开"	"--"	"--"	"43.0"	"突起"
"40"	"黄绿"	"--"	"基脉五出"	"--"	"5.220"	"--"	"微粗糙"	"4月8-13日"	"256"	"--"	"长"	"乳头齿"	"辽宁"	"4.471"	"--"	"直立"	"05-00010"	"--"	"较厚"	"Morus(桑属)"	"11.50"	"1.820"	"5月上旬"	"60.0"	"二倍体"	"20.750"	"中国农科院蚕业所"	"双头"	"902.0"	"抗"	"--"	"多"	"中抗"	"无"	"中"	"棕褐"	"--"	"--"	"16.0"	"无"	"强"	"18.0"	"强"	"--"	"心形"	"抗"	"--"	"Moraceae(桑科)"	"辽宁省蚕业所"	"北陵2号"	"--"	"中"	"波皱"	"4.0"	"长心脏形"	"--"	"直"	"--"	"20.250"	"BEI LING 2 HAO"	"无"	"7.210"	"14.0"	"--"	"Morus alba Linn.(白桑)"	"辽宁省沈阳市北陵"	"长"	"--"	"--"	"91.0"	"雄花"	"感病"	"深绿"	"无"	"5.129"	"细"	"--"	"2/5"	"25.00"	"82.0"	"6.5"	"较强"	"10.0"	"51.00"	"732"	"27.98"	"先花后叶"	"--"	"抗"	"39.0"	"--"
"41"	"绿带紫红"	"--"	"基脉五出"	"--"	"7.360"	"--"	"光滑"	"4月7-12日"	"218"	"--"	"长"	"乳头齿"	"吉林"	"3.729"	"--"	"斜生"	"06-00012"	"--"	"较厚"	"Morus(桑属)"	"12.25"	"3.000"	"5月中旬末"	"60.0"	"--"	"20.700"	"中国农科院蚕业所"	"锐头"	"1500.0"	"抗"	"--"	"少"	"中抗"	"无"	"较强"	"青灰"	"紫黑"	"无"	"18.0"	"无"	"中"	"7.0"	"较强"	"0.4"	"深心形"	"抗"	"--"	"Moraceae(桑科)"	"吉林省蚕业所"	"吉研"	"--"	"中"	"波皱"	"4.5"	"长心脏形"	"--"	"微曲"	"--"	"16.950"	"JI YAN"	"无"	"5.720"	"15.0"	"强"	"Morus multicaulis Perr.(鲁桑)"	"吉林省永吉县"	"短"	"--"	"--"	"103.0"	"雌雄花同株"	"感病"	"翠绿"	"少"	"5.145"	"粗"	"短"	"2/5"	"30.00"	"127.0"	"5.7"	"较强"	"10.5"	"48.00"	"558"	"26.64"	"先叶后花"	"--"	"--"	"41.1"	"突起"
"42"	"黄绿"	"--"	"基脉五出"	"--"	"--"	"易感"	"光滑"	"4月4-8日"	"454"	"--"	"长"	"乳头齿"	"吉林"	"--"	"--"	"直立"	"06-00014"	"--"	"厚"	"Morus(桑属)"	"--"	"1.590"	"5月中旬初"	"76.0"	"--"	"--"	"中国农科院蚕业所"	"短尾状"	"796.0"	"中抗"	"--"	"无"	"感病"	"无"	"较强"	"灰褐"	"紫黑"	"无"	"13.0"	"无"	"强"	"12.0"	"强"	"2.7"	"截形"	"中抗"	"--"	"Moraceae(桑科)"	"吉林省蚕业所"	"延农53"	"--"	"中"	"无滑"	"3.5"	"心脏形"	"--"	"直"	"--"	"--"	"YAN NONG 53"	"无"	"--"	"10.0"	"强"	"Morus alba Linn.(白桑)"	"吉林省延吉市"	"--"	"--"	"--"	"112.0"	"雌花"	"易感"	"翠绿"	"中"	"--"	"细"	"短"	"2/5"	"30.00"	"85.0"	"3.7"	"较强"	"11.4"	"44.80"	"564"	"--"	"先叶后花"	"--"	"--"	"41.1"	"突起"
"43"	"绿带紫红"	"--"	"基脉五出"	"--"	"6.580"	"--"	"光滑"	"4月8-14日"	"242"	"--"	"长"	"乳头齿"	"吉林"	"3.184"	"--"	"斜生"	"06-00017"	"--"	"较厚"	"Morus(桑属)"	"11.38"	"2.800"	"5月中旬初"	"71.0"	"二倍体"	"18.260"	"中国农科院蚕业所"	"锐头"	"1400.0"	"--"	"--"	"无"	"抗"	"无"	"较强"	"青褐"	"紫黑"	"无"	"17.0"	"无"	"中"	"8.0"	"强"	"0.4"	"深心形"	"抗"	"--"	"Moraceae(桑科)"	"吉林省蚕业所"	"绿皮北鲁"	"--"	"中"	"--"	"4.5"	"心脏形"	"--"	"曲"	"--"	"15.120"	"LU PI BEI LU"	"无"	"5.330"	"15.0"	"强"	"Morus multicaulis Perr.(鲁桑)"	"吉林省永吉县"	"--"	"--"	"--"	"85.0"	"雌花"	"中抗"	"翠绿"	"少"	"4.588"	"粗"	"短"	"2/5"	"25.00"	"92.0"	"5.6"	"较强"	"5.5"	"52.80"	"668"	"25.02"	"先叶后花"	"--"	"--"	"41.3"	"突起"
"44"	"黄绿"	"--"	"基脉五出"	"--"	"7.880"	"--"	"光滑"	"4月10-14日"	"236"	"--"	"长"	"乳头齿"	"吉林"	"3.683"	"--"	"斜生"	"06-00018"	"--"	"较厚"	"Morus(桑属)"	"11.63"	"2.540"	"5月中旬末"	"58.0"	"二倍体"	"19.110"	"中国农科院蚕业所"	"尾状"	"1370.0"	"抗"	"--"	"无"	"抗"	"无"	"较强"	"灰褐"	"紫黑"	"无"	"18.0"	"无"	"中"	"9.0"	"较强"	"0.4"	"深心形"	"抗"	"--"	"Moraceae(桑科)"	"吉林省蚕业所"	"赤皮北鲁"	"--"	"中"	"泡皱"	"4.5"	"心脏形"	"--"	"曲"	"--"	"17.130"	"CHI PI BEI LU"	"无"	"6.170"	"16.0"	"强"	"Morus multicaulis Perr.(鲁桑)"	"吉林省永吉市"	"--"	"--"	"--"	"84.0"	"雌花"	"抗"	"翠绿"	"少"	"4.676"	"粗"	"短"	"2/5"	"25.00"	"145.0"	"5.6"	"较强"	"10.0"	"44.60"	"676"	"24.48"	"先叶后花"	"--"	"抗"	"45.0"	"突起"
