"id"	"嫩叶颜色"	"芽着生状态"	"叶脉"	"秋可溶糖"	"春担桑茧量"	"萎缩萎缩病"	"叶面粗滑"	"发芽期"	"秋公斤叶数"	"叶硬化期"	"枝条长短"	"叶缘"	"省"	"秋万茧层量"	"开叶期"	"枝态"	"统一编号"	"花叶萎缩病"	"叶厚薄"	"属名"	"春可溶糖"	"株产叶量"	"成熟期"	"发芽率"	"染色体数"	"春万头茧量"	"保存单位"	"叶尖"	"亩产叶量"	"黑枯细菌病"	"叶着生状态"	"雄穗多少"	"污叶病"	"叶背毛"	"叶面光泽"	"枝条皮色"	"椹颜色"	"花柱有无"	"叶长"	"叶缘芒刺"	"发条力"	"皮孔个"	"耐寒性"	"椹梗叶"	"叶基"	"白粉病"	"青枯病"	"科名"	"种子来源地"	"品种名称"	"副芽多少"	"耐湿性"	"叶面缩"	"节间长"	"叶形状"	"冬芽颜色"	"枝条曲直"	"秋粗蛋白"	"秋万头茧量"	"译名"	"叶面毛"	"秋担桑茧量"	"叶幅"	"椹结实性"	"学名"	"原产地"	"雄穗长度"	"褐斑病"	"冬芽形状"	"秋米条叶"	"花性"	"黄化萎缩病"	"叶色"	"椹多少"	"春万茧层量"	"枝条粗细"	"椹长度"	"叶序"	"生长芽率"	"春米条叶"	"叶柄长"	"耐旱性"	"梢梗叶"	"条梗叶"	"春公斤叶数"	"春粗蛋白"	"花叶开放序"	"实用分类"	"缩叶细菌病"	"叶梗叶"	"柱头毛或突"
"11"	"绿带紫红"	"--"	"基脉五出"	"--"	"--"	"--"	"光滑"	"4月8-14日"	"850"	"--"	"长"	"钝齿"	"河北"	"--"	"--"	"直立"	"02-00012"	"--"	"较厚"	"Morus(桑属)"	"--"	"0.800"	"5月中旬初"	"78.0"	"二倍体"	"--"	"中国农科院蚕业所"	"锐头"	"400.0"	"抗"	"--"	"无"	"易感"	"无"	"中"	"棕褐"	"玉白"	"无"	"15.0"	"无"	"强"	"--"	"中等"	"29.0"	"浅心形"	"中抗"	"--"	"Moraceae(桑科)"	"河北省里县"	"大宜白"	"--"	"中"	"无缩皱"	"4.0"	"卵圆形"	"--"	"直"	"--"	"--"	"DA YI BAI"	"无"	"--"	"11.0"	"强"	"Morus alba Linn.(白桑)"	"河北省里县"	"--"	"--"	"--"	"50.0"	"雌花"	"--"	"深绿"	"多"	"--"	"细"	"中等"	"2/5"	"14.00"	"65.0"	"3.5"	"中"	"4.0"	"29.00"	"1800"	"--"	"先叶后花"	"--"	"抗"	"38.0"	"突起"
"12"	"绿带紫红"	"--"	"基脉五出"	"--"	"--"	"--"	"光滑"	"4月7-12日"	"400"	"--"	"中"	"钝齿"	"河北"	"--"	"--"	"直立"	"02-00013"	"--"	"厚"	"Morus(桑属)"	"--"	"1.420"	"5月中旬初"	"73.0"	"二倍体"	"--"	"中国农科院蚕业所"	"短尾状"	"712.0"	"感病"	"--"	"无"	"中抗"	"无"	"中"	"棕"	"黑"	"无"	"15.0"	"无"	"强"	"7.0"	"较强"	"25.0"	"浅心形"	"中抗"	"--"	"Moraceae(桑科)"	"河北省里县"	"大黑桑"	"--"	"中"	"无缩皱"	"3.5"	"卵圆形"	"--"	"直"	"--"	"--"	"DA HEI SANG"	"无"	"--"	"11.0"	"强"	"Morus alba Linn.(白桑)"	"河北省里县"	"--"	"--"	"--"	"78.0"	"雌花"	"--"	"深绿"	"多"	"--"	"中等"	"短"	"2/5"	"5.00"	"65.0"	"5.5"	"中"	"5.0"	"42.00"	"1300"	"--"	"先叶后花"	"--"	"中抗"	"28.0"	"突起"
"13"	"绿带紫红"	"--"	"基脉五出"	"--"	"--"	"抗"	"光滑"	"4月8-14日"	"590"	"--"	"长"	"乳头齿"	"河北"	"--"	"--"	"直立"	"02-00014"	"抗"	"较薄"	"Morus(桑属)"	"--"	"1.600"	"5月中旬初"	"75.0"	"二倍体"	"--"	"中国农科院蚕业所"	"锐头"	"800.0"	"中抗"	"--"	"无"	"易感"	"无"	"中"	"灰棕"	"白带红"	"无"	"13.0"	"无"	"强"	"6.0"	"较强"	"19.0"	"浅心形"	"中抗"	"--"	"Moraceae(桑科)"	"河北省东光县"	"江米果桑"	"--"	"中"	"无缩皱"	"3.0"	"卵圆形"	"--"	"直"	"--"	"--"	"JIANG MI GUO SANG"	"无"	"--"	"10.0"	"强"	"Morus alba Linn.(白桑)"	"河北省东光县"	"--"	"--"	"--"	"55.0"	"雌花"	"--"	"深绿"	"多"	"--"	"细"	"短"	"2/5"	"9.00"	"65.0"	"--"	"中"	"3.0"	"34.00"	"800"	"--"	"先叶后花"	"--"	"抗"	"44.0"	"突起"
"14"	"绿带紫红"	"--"	"基脉五出"	"--"	"4.880"	"抗"	"光滑"	"4月10-14日"	"210"	"--"	"长"	"乳头齿"	"河北"	"4.295"	"--"	"直立"	"02-00015"	"抗"	"厚"	"Morus(桑属)"	"14.33"	"1.320"	"5月中旬"	"75.0"	"二倍体"	"17.300"	"中国农科院蚕业所"	"锐头"	"660.0"	"中抗"	"--"	"少"	"中抗"	"无"	"中"	"棕褐"	"紫黑"	"无"	"21.0"	"无"	"中"	"6.0"	"中等"	"1.0"	"心形"	"抗"	"--"	"Moraceae(桑科)"	"河北省深县"	"碗桑"	"--"	"中"	"无缩皱"	"4.3"	"心脏形"	"--"	"直"	"--"	"19.090"	"WAN SANG"	"无"	"6.910"	"18.0"	"强"	"Morus multicaulis Perr.(鲁桑)"	"河北省深县"	"短"	"--"	"--"	"110.0"	"雌雄花同株"	"中抗"	"深绿"	"少"	"3.982"	"粗"	"短"	"2/5"	"10.00"	"160.0"	"6.0"	"中"	"7.0"	"35.00"	"510"	"25.83"	"花叶同开"	"--"	"抗"	"57.0"	"突起"
"15"	"黄绿"	"贴生"	"基脉五出"	"10.85"	"6.970"	"易感"	"光滑"	"4月5-12日"	"536"	"9月中旬"	"长"	"锐齿"	"河北"	"--"	"4月15-21日"	"直立"	"02-00017"	"--"	"--"	"Morus(桑属)"	"12.45"	"2.375"	"5月中旬初"	"80.0"	"--"	"21.020"	"中国农科院蚕业所"	"锐头"	"1188.0"	"抗"	"平伸"	"--"	"感病"	"无"	"中"	"淡棕红"	"紫黑"	"短"	"15.5"	"无"	"强"	"8.0"	"强"	"10.6"	"截形"	"感病"	"--"	"Moraceae(桑科)"	"河北农科院蚕桑所"	"冀红-1"	"少"	"中"	"微泡皱"	"4.0"	"卵圆形"	"棕褐"	"直"	"28.530"	"--"	"JI HONG -1"	"无"	"--"	"13.3"	"强"	"Morus alba Linn.(白桑)"	"河北省承德市"	"--"	"--"	"三角形"	"41.0"	"雌花"	"易感"	"深绿"	"多"	"4.912"	"细"	"2"	"2/5"	"10.00"	"126.0"	"--"	"中"	"9.7"	"40.84"	"864"	"27.80"	"先叶后花"	"--"	"抗"	"38.9"	"突起"
"16"	"黄绿带紫红"	"尖离"	"基脉五出"	"--"	"6.465"	"感病"	"微粗糙"	"4月3-9日"	"320"	"9月上旬"	"中"	"钝齿"	"河北"	"4.663"	"4月14-19日"	"直立"	"02-00021"	"--"	"较厚"	"Morus(桑属)"	"--"	"3.543"	"5月中旬初"	"74.0"	"二倍体"	"24.763"	"中国农科院蚕业所"	"锐头"	"1417.2"	"中抗"	"稍下垂"	"较多"	"中抗"	"无"	"较弱"	"淡褐"	"--"	"--"	"18.0"	"无"	"强"	"6.0"	"较强"	"--"	"浅心形"	"中抗"	"--"	"Moraceae(桑科)"	"河北省蚕桑所"	"杭1号"	"较多"	"中"	"微糙"	"3.6"	"心脏形"	"棕"	"直"	"--"	"21.250"	"HANG 1 HAO"	"无"	"7.590"	"14.5"	"--"	"Morus multicaulis Perr.(鲁桑)"	"河北省邢台市"	"3.5"	"--"	"正三角形"	"44.0"	"雄花"	"中抗"	"深绿"	"--"	"5.539"	"中等"	"0.0"	"2/5,3/8"	"26.00"	"117.0"	"5.7"	"中"	"12.6"	"37.66"	"1072"	"--"	"先花后叶"	"--"	"中抗"	"49.8"	"--"
"17"	"黄绿带紫红"	"贴生"	"--"	"--"	"5.591"	"--"	"光滑"	"4月5-9日"	"420"	"9月上旬"	"中"	"钝齿"	"河北"	"4.350"	"4月14-20日"	"直立"	"02-00023"	"--"	"厚"	"Morus(桑属)"	"--"	"2.235"	"5月中旬初"	"72.0"	"二倍体"	"23.632"	"中国农科院蚕业所"	"锐头"	"894.0"	"中抗"	"稍下垂"	"较多"	"中抗"	"无"	"较强"	"灰棕"	"--"	"--"	"20.3"	"无"	"中"	"7.0"	"强"	"0.2"	"心形"	"中抗"	"--"	"Moraceae(桑科)"	"河北省蚕桑所"	"禾桑"	"少"	"中"	"微缩皱"	"3.3"	"长心脏形"	"褐"	"直"	"--"	"19.022"	"HE SANG"	"无"	"6.470"	"14.6"	"--"	"Morus alba Linn.(白桑)"	"河北省宽城县"	"4.0"	"--"	"正三角形"	"58.0"	"雄花"	"--"	"深绿"	"--"	"5.353"	"细"	"0.0"	"2/8"	"24.00"	"93.0"	"5.6"	"中"	"8.6"	"43.37"	"1096"	"--"	"先花后叶"	"--"	"中抗"	"47.8"	"--"
"18"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"河北"	"--"	"--"	"--"	"02-00028"	"--"	"--"	"Morus(桑属)"	"--"	"--"	"--"	"75.0"	"--"	"--"	"中国农科院蚕业所"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"16.4"	"--"	"强"	"--"	"--"	"--"	"--"	"--"	"--"	"Moraceae(桑科)"	"--"	"大白鹅"	"--"	"--"	"--"	"3.6"	"长心脏形"	"--"	"--"	"--"	"--"	"DA BAI E"	"--"	"--"	"12.2"	"--"	"Morus alba Linn.(白桑)"	"河北省东光县"	"--"	"--"	"--"	"--"	"雌花"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"中生中熟"	"--"	"--"	"--"
"19"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"河北"	"--"	"--"	"--"	"02-00029"	"--"	"--"	"Morus(桑属)"	"--"	"--"	"--"	"80.0"	"--"	"--"	"中国农科院蚕业所"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"14.5"	"--"	"较强"	"--"	"--"	"--"	"--"	"--"	"--"	"Moraceae(桑科)"	"--"	"黑枣椹子"	"--"	"--"	"--"	"2.8"	"心脏形"	"--"	"--"	"--"	"--"	"HEI ZAO SHEN ZI"	"--"	"--"	"13.0"	"--"	"Morus alba Linn.(白桑)"	"河北省东光县"	"--"	"--"	"--"	"--"	"雌花"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"中生中熟"	"--"	"--"	"--"
"20"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"河北"	"--"	"--"	"--"	"02-00030"	"--"	"--"	"Morus(桑属)"	"--"	"--"	"--"	"81.0"	"--"	"--"	"中国农科院蚕业所"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"17.3"	"--"	"强"	"--"	"--"	"--"	"--"	"--"	"--"	"Moraceae(桑科)"	"--"	"枣红椹子"	"--"	"--"	"--"	"3.1"	"心脏形"	"--"	"--"	"--"	"--"	"ZAO HONG SHEN ZI"	"--"	"--"	"13.4"	"--"	"Morus alba Linn.(白桑)"	"河北省东光县"	"--"	"--"	"--"	"--"	"雌花"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"中生中熟"	"--"	"--"	"--"
