"id"	"品资所编号"	"品种名称"	"系谱"	"原名"	"来源"	"原产地"	"选育单位"	"株高"	"千粒重"	"选育年限"	"备注"
"59"	"3"	"6354-C22"	"北京8号//亥恩亥德/欧柔"				"中国农科院作物所"			"1971"	
"60"	"3"	"京红1号"	"欧柔/印度798"				"中国农科院作物所"	"85"	"32.0"	"1971"	
"61"	"3"	"京红2号"	"欧柔/印度798"				"中国农科院作物所"	"108"	"0.0"	"1972"	
"62"	"3"	"京红3号"	"欧柔/印度798//南大2419"				"中国农科院作物所"	"94"	"0.0"	"1972"	
"63"	"3"	"京红4号"	"南大2419/原农1号//南大2419/印度798"				"中国农科院作物所"	"100"	"38.0"	"1972"	
"64"	"3"	"京红5号"	"欧柔/印度798"				"中国农科院作物所"	"102"	"34.0"	"1972"	
"65"	"3"	"京作201"	"北京8号/北京6号"				"北京市农科院作物所"	"100"	"34.0"	"1972"	
"66"	"3"	"京作203"	"5709/农大311"				"北京市农科院作物所"	"90"	"46.0"	"1972"	
"67"	"3"	"京作204"	"维尔/北京8号//北京6号"				"北京市农科院作物所"	"90"	"45.0"	"1972"	
"68"	"3"	"京作207"	"北京8号/原农5号"				"北京市农科院作物所"			"1972"	
"69"	"3"	"京作208"	"北京8号//亥恩亥德/北京6号"				"北京市农科院作物所"	"110"	"36.0"	"1972"	
"70"	"3"	"京作210"	"北京8号//亥恩亥德/北京6号"				"北京市农科院作物所"	"100"	"39.0"	"1972"	
"71"	"3"	"京作214"	"北京8号/6303"				"北京市农科院作物所"			"1972"	
"72"	"3"	"京作230"	"维尔/北京8号//北京6号"				"北京市农科院作物所"	"98"	"0.0"	"1972"	
"73"	"3"	"京作233"	"维尔/北京8号//北京6号"				"北京市农科院作物所"	"90"	"45.0"	"1972"	
"74"	"3"	"京作236"	"北京8号//亥恩亥德/欧柔/3/北京8号"				"北京市农科院作物所"	"102"	"0.0"	"1972"	
"75"	"3"	"京作244"	"北京7号/尤皮1号//农大183"				"北京市农科院作物所"			"1972"	
"76"	"3"	"京作245"	"北京7号/尤皮1号//农大183"				"北京市农科院作物所"			"972"	
"77"	"3"	"京作246"	"北京7号/尤皮1号//北京7号"				"北京市农科院作物所"	"110"	"48.0"	"1972"	
"78"	"3"	"京作247"	"农大183/早洋麦//农大183/3/5610/农大183"				"北京市农科院作物所"			"1972"	
"79"	"3"	"京作248"	"欧柔/北京8号//农大183"				"北京市农科院作物所"	"102"	"38.0"	"1972"	
"80"	"3"	"京作251"	"欧柔/北京8号//农大183"				"北京市农科院作物所"	"100"	"36.0"	"1972"	
"81"	"3"	"京作256"	"维尔/北京8号//北京6号"				"北京市农科院作物所"	"90"	"41.0"	"1972"	
"82"	"3"	"京作259"	"北京8号//亥恩亥德/欧柔/3/北京6号"				"北京市农科院作物所"	"109"	"40.0"	"1972"	
"83"	"3"	"京作261"	"北京8号//亥恩亥德/欧柔/3/北京6号"				"北京市农科院作物所"	"105"	"37.0"	"1972"	
"84"	"3"	"京作263"	"北京8号//亥恩亥德/欧柔/3/北京6号"				"北京市农科院作物所"	"105"	"36.0"	"1972"	
"85"	"3"	"京作265"	"北京8号/农大45"				"北京市农科院作物所"	"107"	"40.0"	"1972"	
"86"	"3"	"京作271"	"6303/无芒4号"				"北京市农科院作物所"	"103"	"36.0"	"1972"	
"87"	"3"	"京作272"	"6303/无芒4号"				"北京市农科院作物所"	"87"	"31.0"	"1972"	
"88"	"3"	"京作273"	"6303/无芒4号"				"北京市农科院作物所"	"90"	"32.0"	"1972"	
"89"	"3"	"京作274"	"6303/无芒4号"				"北京市农科院作物所"	"79"	"30.0"	"1972"	
"90"	"3"	"京作277"	"马格尼夫/伊利亚//5819"				"北京市农科院作物所"	"79"	"30.0"	"1972"	
"91"	"3"	"京作278"	"北京8号/3/农大183/早洋麦//北京8号"				"北京市农科院作物所"	"98"	"40.0"	"1972"	
"92"	"3"	"京作279"	"北京8号/农大45//洋冬麦/欧柔"				"北京市农科院作物所"	"109"	"39.0"	"1972"	
"93"	"3"	"京作285"	"北京8号/St2472/506//农大45"				"北京市农科院作物所"	"108"	"42.0"	"1972"	
"94"	"3"	"京作287"	"农大45/6303//北京8号/6303"				"北京市农科院作物所"	"96"	"35.0"	"1972"	
"95"	"3"	"京作290"	"5707/5711"				"北京市农科院作物所"	"109"	"37.0"	"1972"	
"96"	"3"	"京作292"	"北京8号/维尔"				"北京市农科院作物所"	"97"	"38.0"	"1972"	
"97"	"3"	"京作296"	"欧柔/30983"				"北京市农科院作物所"	"100"	"34.0"	"1973"	
"98"	"3"	"京作298"	"北京8号/阿克西奥//农大311"				"北京市农科院作物所"	"90"	"33.0"	"1973"	
"99"	"3"	"京作303"	"北京8号/舒瓦齐星//北京6号"				"北京市农科院作物所"	"95"	"29.0"	"1973"	
"100"	"3"	"京作307"	"北京8号/农大45"				"北京市农科院作物所"	"105"	"37.0"	"1973"	
"101"	"3"	"京作310"	"北京8号/丹麦2号//伊利亚/30983"				"北京市农科院作物所"	"110"	"42.0"	"1973"	
"102"	"3"	"京作312"	"伊利亚/农大311//5821"				"北京市农科院作物所"	"106"	"37.0"	"1973"	
"103"	"3"	"京作313"	"北京8号/阿克西奥//农大311"				"北京市农科院作物所"	"95"	"43.0"	"1973"	
"104"	"3"	"京作314"	"北京8号/阿克西奥//农大311"				"北京市农科院作物所"	"82"	"37.0"	"1973"	
"105"	"3"	"京作316"	"北京8号/阿克西奥//农大311"				"北京市农科院作物所"	"94"	"34.0"	"1973"	
"106"	"3"	"京作318"	"北京8号/普罗科423//农大45"				"北京市农科院作物所"	"95"	"36.0"	"1973"	
"107"	"3"	"京作319"	"北京8号/舒瓦齐星//5819"				"北京市农科院作物所"	"97"	"0.0"	"1973"	
"108"	"3"	"京作320"	"农大45/6303//北京8号/6303"				"北京市农科院作物所"	"105"	"34.0"	"1973"	
"109"	"3"	"京作326"	"北京8号/农大45//洋冬麦/欧柔"				"北京市农科院作物所"	"110"	"36.0"	"1973"	
"110"	"3"	"京作329"	"6303/无芒4号"				"北京市农科院作物所"	"93"	"36.0"	"1973"	
"111"	"3"	"京作335"	"北京8号/St2422/464//农大45"				"北京市农科院作物所"	"104"	"35.0"	"1973"	
"112"	"3"	"京作336"	"北京8号/St2532/464"				"北京市农科院作物所"	"97"	"37.0"	"1973"	
"113"	"3"	"京作349"	"北京8号/St1472/506//农大45"				"北京市农科院作物所"	"90"	"42.0"	"1974"	
"114"	"3"	"京作353"	"北京8号/阿克西奥//农大311"				"北京市农科院作物所"	"95"	"43.0"	"1974"	
"115"	"3"	"京作360"	"974/农大45"				"北京市农科院作物所"			"1975"	
"116"	"3"	"丰抗2号(78-5248)"	"有芒白4号/洛夫林10号"				"北京市农科院作物所"	"85"	"37.0"	"1978"	
"117"	"3"	"丰抗3号(78-5247)"	"有芒白4号/洛夫林10号"				"北京市农科院作物所"	"85"	"38.0"	"1978"	
"118"	"3"	"丰抗4号(78-5268)"	"有芒白4号/洛夫林10号"				"北京市农科院作物所"	"85"	"36.0"	"1978"	
"119"	"3"	"丰抗9号(78-5129)"	"有芒红7号/洛夫林10号"				"北京市农科院作物所"	"100"	"38.0"	"1978"	
