"id"	"青枯病"	"科名"	"施木克值"	"品种名称"	"杂气"	"选育单位"	"茎围"	"叶面"	"叶片厚薄"	"吃味"	"移栽至开花"	"杂交组合"	"根结线虫病"	"单位编号"	"类型"	"黑胫病"	"译名"	"叶缘"	"总糖"	"劲头"	"属名"	"统一编号"	"糖／碱"	"学名"	"灰色"	"叶尖"	"花色"	"蛋白质"	"库编号"	"株型"	"省"	"原产地"	"叶色"	"CMV"	"烟碱"	"叶数"	"烟蚜"	"叶形"	"叶柄"	"烟气烟碱"	"节距"	"香气"	"备注"	"叶长"	"还原糖"	"燃烧性"	"焦油"	"叶宽"	"样品类型"	"叶片结构"	"保存单位"	"刺激性"	"焦油／烟碱"	"总氮"	"种子来源"	"株高"	"图象"
"1"	"--"	"Solanaceae(茄科)"	"--"	"大型黄金"	"--"	"--"	"--"	"--"	"--"	"--"	"61"	"--"	"--"	"1208"	"烤烟"	"--"	"DA XING HUANG J"	"--"	"--"	"--"	"Nicotiana(烟属)"	"00000001"	"--"	"Nicotiana tabacum L.(普通烟草)"	"--"	"--"	"--"	"--"	"I5A00660"	"塔形"	"山东"	"--"	"--"	"--"	"--"	"26.0"	"--"	"宽椭圆"	"--"	"--"	"--"	"--"	"--"	"56.5"	"--"	"--"	"--"	"32.5"	"地方"	"--"	"丹东所"	"--"	"--"	"--"	"--"	"180.3"	"--"
"2"	"--"	"Solanaceae(茄科)"	"--"	"青州小黄金"	"--"	"--"	"--"	"--"	"--"	"--"	"58"	"--"	"--"	"1209"	"烤烟"	"--"	"QING ZHOU XIAO"	"--"	"--"	"--"	"Nicotiana(烟属)"	"00000002"	"--"	"Nicotiana tabacum L.(普通烟草)"	"--"	"--"	"--"	"--"	"I5A00661"	"塔形"	"山东"	"--"	"--"	"--"	"1.86"	"22.0"	"--"	"宽椭圆"	"--"	"--"	"--"	"--"	"--"	"50.9"	"--"	"--"	"--"	"28.6"	"地方"	"--"	"丹东所"	"--"	"--"	"--"	"--"	"165.7"	"--"
"3"	"--"	"Solanaceae(茄科)"	"--"	"宽柳叶"	"--"	"--"	"--"	"--"	"--"	"--"	"58"	"--"	"--"	"1223"	"烤烟"	"--"	"KUAN LIU YE"	"--"	"--"	"--"	"Nicotiana(烟属)"	"00000003"	"--"	"Nicotiana tabacum L.(普通烟草)"	"--"	"--"	"--"	"--"	"I5A01989"	"塔形"	"山东"	"--"	"--"	"--"	"--"	"23.0"	"--"	"长椭圆"	"--"	"--"	"--"	"--"	"--"	"66.4"	"--"	"--"	"--"	"27.1"	"地方"	"--"	"丹东所"	"--"	"--"	"--"	"--"	"166.3"	"--"
"4"	"--"	"Solanaceae(茄科)"	"--"	"上庄烟"	"--"	"--"	"--"	"--"	"--"	"--"	"58"	"--"	"--"	"1227"	"烤烟"	"--"	"SHANG ZHUANG YA"	"--"	"--"	"--"	"Nicotiana(烟属)"	"00000004"	"--"	"Nicotiana tabacum L.(普通烟草)"	"--"	"--"	"--"	"--"	"I5A00662"	"塔形"	"山东"	"--"	"--"	"--"	"2.68"	"25.0"	"--"	"长椭圆"	"--"	"--"	"--"	"--"	"--"	"65.3"	"--"	"--"	"--"	"26.4"	"地方"	"--"	"丹东所"	"--"	"--"	"--"	"--"	"177.0"	"--"
"5"	"--"	"Solanaceae(茄科)"	"--"	"青州大白筋"	"--"	"--"	"--"	"--"	"--"	"--"	"54"	"--"	"--"	"1228"	"烤烟"	"--"	"QING ZHOU DA BA"	"--"	"--"	"--"	"Nicotiana(烟属)"	"00000005"	"--"	"Nicotiana tabacum L.(普通烟草)"	"--"	"--"	"--"	"--"	"I5A00663"	"塔形"	"山东"	"--"	"--"	"--"	"2.73"	"22.0"	"--"	"长椭圆"	"--"	"--"	"--"	"--"	"--"	"69.6"	"--"	"--"	"--"	"27.1"	"地方"	"--"	"丹东所"	"--"	"--"	"--"	"--"	"171.0"	"--"
"6"	"--"	"Solanaceae(茄科)"	"--"	"小老母鸡"	"--"	"--"	"--"	"--"	"--"	"--"	"68"	"--"	"--"	"1231"	"烤烟"	"--"	"XIAO LAO MU JI"	"--"	"--"	"--"	"Nicotiana(烟属)"	"00000006"	"--"	"Nicotiana tabacum L.(普通烟草)"	"--"	"--"	"--"	"--"	"I5A00664"	"塔形"	"山东"	"--"	"--"	"--"	"--"	"32.0"	"--"	"椭圆"	"--"	"--"	"--"	"--"	"--"	"48.2"	"--"	"--"	"--"	"23.7"	"地方"	"--"	"丹东所"	"--"	"--"	"--"	"--"	"189.0"	"--"
"7"	"--"	"Solanaceae(茄科)"	"--"	"半官大叶烟"	"--"	"--"	"--"	"--"	"--"	"--"	"68"	"--"	"--"	"1233"	"烤烟"	"--"	"BAN GUAN DA YE"	"--"	"--"	"--"	"Nicotiana(烟属)"	"00000007"	"--"	"Nicotiana tabacum L.(普通烟草)"	"--"	"--"	"--"	"--"	"I5A00665"	"塔形"	"山东"	"--"	"--"	"--"	"1.36"	"39.0"	"--"	"宽椭圆"	"--"	"--"	"--"	"--"	"--"	"54.0"	"--"	"--"	"--"	"30.1"	"地方"	"--"	"丹东所"	"--"	"--"	"--"	"--"	"187.3"	"--"
"8"	"--"	"Solanaceae(茄科)"	"--"	"武功"	"--"	"--"	"--"	"--"	"--"	"--"	"58"	"--"	"--"	"1236"	"烤烟"	"--"	"WU GONG"	"--"	"--"	"--"	"Nicotiana(烟属)"	"00000008"	"--"	"Nicotiana tabacum L.(普通烟草)"	"--"	"--"	"--"	"--"	"I5A00666"	"塔形"	"山东"	"--"	"--"	"--"	"2.45"	"24.0"	"--"	"长椭圆"	"--"	"--"	"--"	"--"	"--"	"53.1"	"--"	"--"	"--"	"28.7"	"地方"	"--"	"丹东所"	"--"	"--"	"--"	"--"	"198.3"	"--"
"9"	"--"	"Solanaceae(茄科)"	"1.11"	"老来变"	"--"	"--"	"--"	"--"	"--"	"--"	"60"	"--"	"--"	"0001"	"烤烟"	"--"	"LAO LAI BIAN"	"--"	"--"	"--"	"Nicotiana(烟属)"	"00000009"	"--"	"Nicotiana tabacum L.(普通烟草)"	"--"	"--"	"--"	"--"	"I5A00470"	"塔形"	"安徽"	"临泉"	"--"	"--"	"--"	"25.0"	"--"	"长卵圆"	"--"	"1.11"	"--"	"--"	"--"	"56.7"	"--"	"--"	"--"	"25.1"	"地方"	"--"	"安徽所"	"--"	"--"	"--"	"--"	"94.0"	"--"
"10"	"--"	"Solanaceae(茄科)"	"--"	"尖叶柳"	"--"	"--"	"--"	"--"	"--"	"--"	"85"	"--"	"--"	"0002"	"烤烟"	"--"	"JIAN YE LIU"	"--"	"--"	"--"	"Nicotiana(烟属)"	"00000010"	"--"	"Nicotiana tabacum L.(普通烟草)"	"--"	"--"	"--"	"--"	"I5A00471"	"塔形"	"安徽"	"固镇"	"--"	"--"	"--"	"16.0"	"--"	"长椭圆"	"--"	"--"	"--"	"--"	"--"	"40.5"	"--"	"--"	"--"	"15.0"	"地方"	"--"	"安徽所"	"--"	"--"	"--"	"--"	"89.7"	"--"
"11"	"--"	"Solanaceae(茄科)"	"--"	"卜城柳"	"--"	"--"	"--"	"--"	"--"	"--"	"65"	"--"	"--"	"0003"	"烤烟"	"--"	"BU CHENG LIU"	"--"	"--"	"--"	"Nicotiana(烟属)"	"00000011"	"--"	"Nicotiana tabacum L.(普通烟草)"	"--"	"--"	"--"	"--"	"I5A00472"	"塔形"	"安徽"	"固镇"	"--"	"--"	"--"	"20.0"	"--"	"长椭圆"	"--"	"--"	"--"	"--"	"--"	"59.0"	"--"	"--"	"--"	"22.0"	"地方"	"--"	"安徽所"	"--"	"--"	"--"	"--"	"88.7"	"--"
"12"	"--"	"Solanaceae(茄科)"	"--"	"桃柳子"	"--"	"--"	"--"	"平"	"厚"	"--"	"84"	"--"	"--"	"0004"	"烤烟"	"--"	"TAO LIU ZI"	"--"	"--"	"--"	"Nicotiana(烟属)"	"00000012"	"--"	"Nicotiana tabacum L.(普通烟草)"	"--"	"急尖"	"淡红"	"--"	"I5A00473"	"塔形"	"安徽"	"淮南上窑"	"深绿"	"--"	"--"	"26.0"	"--"	"长椭圆"	"--"	"--"	"--"	"--"	"--"	"51.7"	"--"	"--"	"--"	"22.3"	"地方"	"中"	"安徽所"	"--"	"--"	"--"	"--"	"110.5"	"--"
"13"	"--"	"Solanaceae(茄科)"	"--"	"窝心柳"	"--"	"--"	"--"	"皱"	"厚"	"--"	"63"	"--"	"--"	"0005"	"烤烟"	"--"	"WO XIN LIU"	"--"	"--"	"--"	"Nicotiana(烟属)"	"00000013"	"--"	"Nicotiana tabacum L.(普通烟草)"	"--"	"渐尖"	"淡红"	"--"	"I5A00474"	"塔形"	"安徽"	"怀远"	"绿"	"--"	"--"	"24.0"	"--"	"椭圆"	"--"	"--"	"--"	"--"	"--"	"49.4"	"--"	"--"	"--"	"22.6"	"地方"	"中"	"安徽所"	"--"	"--"	"--"	"--"	"108.0"	"--"
"14"	"--"	"Solanaceae(茄科)"	"--"	"大柳条"	"--"	"--"	"--"	"皱"	"厚"	"--"	"66"	"--"	"--"	"0006"	"烤烟"	"--"	"DA LIU TIAO"	"--"	"--"	"--"	"Nicotiana(烟属)"	"00000014"	"--"	"Nicotiana tabacum L.(普通烟草)"	"--"	"渐尖"	"淡红"	"--"	"I5A00001"	"塔形"	"安徽"	"固镇"	"绿"	"--"	"--"	"22.0"	"--"	"长椭圆"	"--"	"--"	"--"	"--"	"--"	"50.7"	"--"	"--"	"--"	"22.0"	"地方"	"中"	"安徽所"	"--"	"--"	"--"	"--"	"92.3"	"--"
"15"	"--"	"Solanaceae(茄科)"	"--"	"黄毛柳"	"--"	"--"	"--"	"--"	"--"	"--"	"58"	"--"	"--"	"0007"	"烤烟"	"--"	"HUANG MAO LIU"	"--"	"--"	"--"	"Nicotiana(烟属)"	"00000015"	"--"	"Nicotiana tabacum L.(普通烟草)"	"--"	"--"	"--"	"--"	"I5A00002"	"塔形"	"安徽"	"凤阳刘府"	"--"	"--"	"--"	"21.0"	"--"	"长卵圆"	"--"	"--"	"--"	"--"	"--"	"51.0"	"--"	"--"	"--"	"24.0"	"地方"	"--"	"安徽所"	"--"	"--"	"--"	"--"	"93.2"	"--"
"16"	"--"	"Solanaceae(茄科)"	"--"	"白秸黄"	"--"	"--"	"--"	"--"	"--"	"--"	"57"	"--"	"--"	"0008"	"烤烟"	"--"	"BAI JIE HUANG"	"--"	"--"	"--"	"Nicotiana(烟属)"	"00000016"	"--"	"Nicotiana tabacum L.(普通烟草)"	"--"	"--"	"--"	"--"	"I5A00475"	"塔形"	"安徽"	"凤阳武店"	"--"	"--"	"--"	"23.0"	"--"	"长椭圆"	"--"	"--"	"--"	"--"	"--"	"61.7"	"--"	"--"	"--"	"23.5"	"地方"	"--"	"安徽所"	"--"	"--"	"--"	"--"	"88.4"	"--"
"17"	"感病"	"Solanaceae(茄科)"	"--"	"歪把子"	"--"	"--"	"--"	"平"	"--"	"--"	"71"	"--"	"中抗"	"0009"	"烤烟"	"抗病"	"WAI BA ZI"	"--"	"--"	"--"	"Nicotiana(烟属)"	"00000017"	"--"	"Nicotiana tabacum L.(普通烟草)"	"--"	"渐尖"	"淡红"	"--"	"I5A00003"	"塔形"	"安徽"	"定远"	"浅绿"	"中抗"	"--"	"28.0"	"抗虫"	"长椭圆"	"--"	"--"	"--"	"--"	"--"	"62.1"	"--"	"--"	"--"	"22.5"	"地方"	"细"	"安徽所"	"--"	"--"	"--"	"--"	"117.6"	"--"
"18"	"--"	"Solanaceae(茄科)"	"--"	"柳叶尖"	"--"	"--"	"--"	"平"	"中"	"--"	"50"	"--"	"--"	"0013"	"烤烟"	"--"	"LIU YE JIAN"	"--"	"--"	"--"	"Nicotiana(烟属)"	"00000018"	"--"	"Nicotiana tabacum L.(普通烟草)"	"--"	"渐尖"	"淡红"	"--"	"I5A00476"	"塔形"	"安徽"	"宿县、临泉"	"深绿"	"--"	"--"	"22.0"	"--"	"椭圆"	"--"	"--"	"2.2"	"--"	"--"	"45.0"	"--"	"--"	"--"	"22.0"	"地方"	"疏"	"安徽所"	"--"	"--"	"--"	"--"	"80.0"	"--"
"19"	"--"	"Solanaceae(茄科)"	"--"	"黑柳子"	"--"	"--"	"--"	"平"	"中"	"--"	"60"	"--"	"--"	"0014"	"烤烟"	"--"	"HEI LIU ZI"	"--"	"--"	"--"	"Nicotiana(烟属)"	"00000019"	"--"	"Nicotiana tabacum L.(普通烟草)"	"--"	"渐尖"	"淡红"	"--"	"I5A00004"	"塔形"	"安徽"	"蚌埠郊区"	"深绿"	"--"	"--"	"20.0"	"--"	"长椭圆"	"--"	"--"	"--"	"--"	"--"	"56.0"	"--"	"--"	"--"	"23.0"	"地方"	"中"	"安徽所"	"--"	"--"	"--"	"--"	"96.7"	"--"
"20"	"--"	"Solanaceae(茄科)"	"--"	"平光柳"	"--"	"--"	"--"	"平"	"中"	"--"	"55"	"--"	"--"	"0015"	"烤烟"	"--"	"PING GUANG LIU"	"--"	"--"	"--"	"Nicotiana(烟属)"	"00000020"	"--"	"Nicotiana tabacum L.(普通烟草)"	"--"	"急尖"	"淡红"	"--"	"I5A02085"	"塔形"	"安徽"	"凤阳刘府"	"绿"	"--"	"--"	"21.0"	"--"	"长卵圆"	"--"	"--"	"--"	"--"	"--"	"56.0"	"--"	"--"	"--"	"23.0"	"地方"	"疏"	"安徽所"	"--"	"--"	"--"	"--"	"99.3"	"--"
"21"	"--"	"Solanaceae(茄科)"	"0.63"	"永定401"	"--"	"--"	"--"	"--"	"--"	"--"	"175"	"--"	"--"	"0-0003"	"烤烟"	"--"	"YONG DING 401"	"--"	"7.96"	"--"	"Nicotiana(烟属)"	"00000041"	"3.20"	"Nicotiana tabacum L.(普通烟草)"	"--"	"--"	"--"	"12.75"	"I5A00667"	"塔形"	"福建"	"永定县良种场"	"--"	"--"	"2.49"	"18.0"	"--"	"椭圆"	"--"	"1.55"	"--"	"--"	"--"	"59.5"	"6.01"	"--"	"29.16"	"27.5"	"地方"	"--"	"龙岩所"	"--"	"19.00"	"2.47"	"--"	"135.5"	"--"
"22"	"感病"	"Solanaceae(茄科)"	"1.55"	"大柳甫"	"有"	"--"	"7.6"	"皱"	"中"	"尚纯净"	"57"	"--"	"中感"	"1034"	"烤烟"	"中感"	"DA LIU FU"	"波浪"	"15.13"	"较大"	"Nicotiana(烟属)"	"00000073"	"7.57"	"Nicotiana tabacum L.(普通烟草)"	"灰白"	"渐尖"	"--"	"9.79"	"I5A00259"	"塔形"	"山东"	"益都"	"绿"	"感病"	"2.00"	"26.0"	"高感"	"椭圆"	"--"	"2.15"	"--"	"有"	"--"	"61.2"	"13.56"	"中"	"36.60"	"27.9"	"地方"	"中"	"中烟所"	"微有"	"17.02"	"1.91"	"--"	"226.6"	"--"
"23"	"感病"	"Solanaceae(茄科)"	"1.18"	"大黄金0398"	"有"	"--"	"6.4"	"平"	"较厚"	"辣"	"55"	"--"	"中抗"	"1035"	"烤烟"	"抗病"	"DA HUANG JIN 03"	"平滑"	"9.96"	"中"	"Nicotiana(烟属)"	"00000074"	"4.05"	"Nicotiana tabacum L.(普通烟草)"	"灰白"	"渐尖"	"--"	"8.41"	"I5A00260"	"塔形"	"山东"	"临朐"	"绿"	"感病"	"2.46"	"23.0"	"中抗"	"宽椭圆"	"--"	"1.70"	"6.6"	"有"	"--"	"57.6"	"9.32"	"中"	"32.84"	"31.5"	"地方"	"中"	"中烟所"	"微有"	"19.37"	"1.77"	"--"	"203.5"	"--"
"24"	"中抗"	"Solanaceae(茄科)"	"1.69"	"大虎耳"	"--"	"--"	"--"	"皱"	"中"	"--"	"67"	"--"	"中感"	"1036"	"烤烟"	"抗病"	"DA HU ER"	"波浪"	"17.48"	"--"	"Nicotiana(烟属)"	"00000075"	"7.85"	"Nicotiana tabacum L.(普通烟草)"	"--"	"渐尖"	"淡红"	"10.57"	"I5A00018"	"塔形"	"山东"	"安丘"	"浅绿"	"中抗"	"2.26"	"26.0"	"高感"	"宽椭圆"	"--"	"1.96"	"--"	"--"	"--"	"64.1"	"15.37"	"--"	"33.37"	"37.2"	"地方"	"中"	"中烟所"	"--"	"17.00"	"2.08"	"--"	"224.3"	"--"
"25"	"感病"	"Solanaceae(茄科)"	"1.94"	"小白筋0948"	"--"	"--"	"9.0"	"平"	"中"	"--"	"59"	"--"	"感病"	"1037"	"烤烟"	"感病"	"XIAO BAI JIN 09"	"平滑"	"17.34"	"--"	"Nicotiana(烟属)"	"00000076"	"9.42"	"Nicotiana tabacum L.(普通烟草)"	"--"	"渐尖"	"--"	"8.93"	"I5A00261"	"塔形"	"山东"	"安丘"	"绿"	"中抗"	"1.84"	"26.0"	"感虫"	"卵圆"	"--"	"--"	"6.2"	"--"	"--"	"64.9"	"16.79"	"--"	"--"	"33.7"	"地方"	"疏"	"中烟所"	"--"	"--"	"1.75"	"--"	"223.6"	"--"
"26"	"感病"	"Solanaceae(茄科)"	"1.36"	"偏筋黄1036"	"有"	"--"	"7.0"	"平"	"较厚"	"辣"	"60"	"--"	"中感"	"1038"	"烤烟"	"感病"	"PIAN JIN HUANG"	"平滑"	"14.35"	"中"	"Nicotiana(烟属)"	"00000077"	"7.75"	"Nicotiana tabacum L.(普通烟草)"	"灰白"	"渐尖"	"--"	"10.96"	"I5A01896"	"塔形"	"山东"	"安丘"	"绿"	"中感"	"1.84"	"24.0"	"中抗"	"宽椭圆"	"--"	"1.62"	"2.8"	"有"	"--"	"57.0"	"13.05"	"中"	"33.97"	"31.3"	"地方"	"中"	"中烟所"	"微有"	"22.31"	"2.07"	"--"	"217.4"	"--"
"27"	"感病"	"Solanaceae(茄科)"	"0.57"	"胎里富1011"	"--"	"--"	"--"	"平"	"中"	"--"	"59"	"--"	"中感"	"1039"	"烤烟"	"感病"	"TAI LI FU 1011"	"平滑"	"7.04"	"--"	"Nicotiana(烟属)"	"00000078"	"4.51"	"Nicotiana tabacum L.(普通烟草)"	"--"	"渐尖"	"--"	"12.29"	"I5A00669"	"塔形"	"山东"	"--"	"深绿"	"中抗"	"1.56"	"23.0"	"抗虫"	"宽椭圆"	"--"	"0.95"	"--"	"--"	"--"	"62.8"	"5.65"	"--"	"27.34"	"36.1"	"地方"	"中"	"中烟所"	"--"	"29.00"	"2.24"	"--"	"202.8"	"--"
"28"	"感病"	"Solanaceae(茄科)"	"1.81"	"大黄金0336"	"--"	"--"	"8.4"	"皱"	"较厚"	"--"	"72"	"--"	"感病"	"1040"	"烤烟"	"抗病"	"DA HUANG JIN 03"	"平滑"	"15.13"	"--"	"Nicotiana(烟属)"	"00000079"	"9.88"	"Nicotiana tabacum L.(普通烟草)"	"--"	"渐尖"	"--"	"8.34"	"I5A00262"	"塔形"	"山东"	"临朐"	"绿"	"中抗"	"1.53"	"40.0"	"高感"	"卵圆"	"--"	"--"	"6.4"	"--"	"--"	"54.5"	"14.62"	"--"	"--"	"28.2"	"地方"	"细"	"中烟所"	"--"	"--"	"1.60"	"--"	"264.6"	"--"
"29"	"感病"	"Solanaceae(茄科)"	"2.90"	"大黄金0345"	"有"	"--"	"6.0"	"平"	"中"	"尚纯净"	"54"	"--"	"中感"	"1041"	"烤烟"	"抗病"	"DA HUANG JIN 03"	"平滑"	"20.64"	"较大"	"Nicotiana(烟属)"	"00000080"	"13.91"	"Nicotiana tabacum L.(普通烟草)"	"灰白"	"渐尖"	"--"	"7.05"	"I5A00263"	"塔形"	"山东"	"临朐"	"浅绿"	"中抗"	"1.54"	"26.0"	"感虫"	"椭圆"	"--"	"1.97"	"5.8"	"有"	"--"	"56.7"	"17.77"	"中"	"39.11"	"26.1"	"地方"	"中"	"中烟所"	"微有"	"19.84"	"1.39"	"--"	"146.0"	"--"
"30"	"感病"	"Solanaceae(茄科)"	"0.76"	"柳叶尖0695"	"--"	"--"	"--"	"--"	"--"	"--"	"58"	"--"	"中感"	"1042"	"烤烟"	"感病"	"LIU YE JIAN 069"	"--"	"8.48"	"--"	"Nicotiana(烟属)"	"00000081"	"5.85"	"Nicotiana tabacum L.(普通烟草)"	"--"	"--"	"--"	"11.19"	"I5A00670"	"塔形"	"山东"	"益都"	"--"	"中抗"	"1.45"	"28.0"	"感虫"	"长椭圆"	"--"	"--"	"--"	"--"	"--"	"60.8"	"7.48"	"--"	"--"	"25.0"	"地方"	"--"	"中烟所"	"--"	"--"	"2.04"	"--"	"229.0"	"--"
"31"	"感病"	"Solanaceae(茄科)"	"1.03"	"大白筋0534"	"--"	"--"	"6.6"	"皱"	"中"	"--"	"62"	"--"	"中感"	"1043"	"烤烟"	"抗病"	"DA BAI JIN 0534"	"平滑"	"12.24"	"--"	"Nicotiana(烟属)"	"00000082"	"7.02"	"Nicotiana tabacum L.(普通烟草)"	"--"	"渐尖"	"--"	"11.86"	"I5A00264"	"塔形"	"山东"	"益都"	"绿"	"抗病"	"1.74"	"28.0"	"抗虫"	"椭圆"	"--"	"--"	"7.2"	"--"	"--"	"64.8"	"10.38"	"--"	"--"	"34.1"	"地方"	"中"	"中烟所"	"--"	"--"	"2.20"	"--"	"256.3"	"--"
"32"	"感病"	"Solanaceae(茄科)"	"1.33"	"大白筋0532"	"有"	"--"	"7.4"	"平"	"较薄"	"尚纯净"	"64"	"--"	"中感"	"1044"	"烤烟"	"感病"	"DA BAI JIN 0532"	"平滑"	"12.91"	"较大"	"Nicotiana(烟属)"	"00000083"	"6.22"	"Nicotiana tabacum L.(普通烟草)"	"灰白"	"渐尖"	"--"	"9.70"	"I5A00265"	"塔形"	"山东"	"--"	"浅绿"	"中抗"	"2.08"	"28.0"	"抗虫"	"椭圆"	"--"	"2.03"	"6.4"	"有"	"--"	"57.7"	"11.67"	"中"	"37.01"	"27.6"	"地方"	"疏"	"中烟所"	"微有"	"18.25"	"1.91"	"--"	"218.0"	"--"
"33"	"感病"	"Solanaceae(茄科)"	"1.57"	"大白筋0562"	"--"	"--"	"7.2"	"平"	"中"	"--"	"60"	"--"	"感病"	"1045"	"烤烟"	"感病"	"DA BAI JIN 0562"	"平滑"	"16.17"	"--"	"Nicotiana(烟属)"	"00000084"	"7.70"	"Nicotiana tabacum L.(普通烟草)"	"--"	"渐尖"	"--"	"8.28"	"I5A01452"	"塔形"	"山东"	"益都"	"绿"	"中抗"	"1.92"	"28.0"	"--"	"长椭圆"	"--"	"1.26"	"3.2"	"--"	"--"	"59.8"	"14.14"	"--"	"32.33"	"26.4"	"地方"	"中"	"中烟所"	"--"	"26.00"	"2.06"	"--"	"230.2"	"--"
"34"	"感病"	"Solanaceae(茄科)"	"1.19"	"柳叶尖0694"	"--"	"--"	"6.0"	"皱"	"中"	"--"	"47"	"--"	"感病"	"1046"	"烤烟"	"中抗"	"LIU YE JIAN 069"	"平滑"	"11.50"	"--"	"Nicotiana(烟属)"	"00000085"	"5.26"	"Nicotiana tabacum L.(普通烟草)"	"--"	"渐尖"	"--"	"9.67"	"I5A00266"	"塔形"	"山东"	"益都"	"绿"	"中抗"	"2.19"	"22.0"	"抗虫"	"椭圆"	"--"	"--"	"6.3"	"--"	"--"	"55.2"	"11.45"	"--"	"--"	"25.4"	"地方"	"中"	"中烟所"	"--"	"--"	"1.92"	"--"	"204.3"	"--"
"35"	"感病"	"Solanaceae(茄科)"	"0.79"	"大青筋"	"--"	"--"	"--"	"--"	"--"	"--"	"57"	"--"	"中感"	"1047"	"烤烟"	"抗病"	"DA QING JIN"	"--"	"9.79"	"--"	"Nicotiana(烟属)"	"00000086"	"3.75"	"Nicotiana tabacum L.(普通烟草)"	"--"	"--"	"--"	"12.67"	"I5A00019"	"塔形"	"山东"	"益都"	"--"	"中抗"	"2.67"	"27.0"	"感虫"	"椭圆"	"--"	"1.88"	"--"	"--"	"--"	"62.1"	"8.89"	"--"	"29.73"	"29.7"	"地方"	"--"	"中烟所"	"--"	"16.00"	"2.49"	"--"	"224.0"	"--"
"36"	"感病"	"Solanaceae(茄科)"	"1.54"	"进屋黄"	"--"	"--"	"--"	"--"	"--"	"--"	"57"	"--"	"中感"	"1048"	"烤烟"	"中抗"	"JIN WU HUANG"	"--"	"15.27"	"--"	"Nicotiana(烟属)"	"00000087"	"7.32"	"Nicotiana tabacum L.(普通烟草)"	"--"	"--"	"--"	"10.68"	"I5A00020"	"塔形"	"山东"	"益都"	"--"	"中抗"	"2.30"	"28.0"	"中抗"	"椭圆"	"--"	"1.52"	"--"	"--"	"--"	"59.4"	"13.18"	"--"	"28.55"	"29.7"	"地方"	"--"	"中烟所"	"--"	"19.00"	"2.11"	"--"	"231.0"	"--"
"37"	"感病"	"Solanaceae(茄科)"	"1.96"	"大松边0912"	"有"	"--"	"7.0"	"皱"	"中"	"辣"	"59"	"--"	"感病"	"1049"	"烤烟"	"感病"	"DA SONG BIAN 09"	"平滑"	"15.87"	"较大"	"Nicotiana(烟属)"	"00000088"	"11.15"	"Nicotiana tabacum L.(普通烟草)"	"灰白"	"渐尖"	"--"	"8.10"	"I5A00267"	"塔形"	"山东"	"博山"	"绿"	"中抗"	"1.42"	"23.0"	"高抗"	"椭圆"	"--"	"1.43"	"7.1"	"有"	"--"	"60.7"	"15.04"	"中"	"33.89"	"30.2"	"地方"	"中"	"中烟所"	"微有"	"23.78"	"1.54"	"--"	"241.5"	"--"
"38"	"感病"	"Solanaceae(茄科)"	"1.63"	"大白尖"	"有"	"--"	"7.2"	"平"	"中"	"辣"	"58"	"--"	"感病"	"1050"	"烤烟"	"感病"	"DA BAI JIAN"	"平滑"	"16.82"	"中"	"Nicotiana(烟属)"	"00000089"	"7.65"	"Nicotiana tabacum L.(普通烟草)"	"灰白"	"渐尖"	"淡红"	"10.64"	"I5A01453"	"塔形"	"山东"	"临朐"	"绿"	"中抗"	"2.42"	"26.0"	"抗虫"	"长卵圆"	"--"	"1.78"	"3.4"	"有"	"--"	"58.0"	"14.60"	"中"	"30.79"	"26.2"	"地方"	"中"	"中烟所"	"微有"	"17.61"	"2.12"	"--"	"228.0"	"--"
"39"	"感病"	"Solanaceae(茄科)"	"1.39"	"二大金刀"	"--"	"--"	"7.4"	"平"	"较厚"	"--"	"61"	"--"	"中感"	"1051"	"烤烟"	"感病"	"ER DA JIN DAO"	"平滑"	"16.14"	"--"	"Nicotiana(烟属)"	"00000090"	"8.62"	"Nicotiana tabacum L.(普通烟草)"	"--"	"渐尖"	"--"	"21.67"	"I5A01897"	"塔形"	"山东"	"临朐"	"绿"	"中抗"	"2.07"	"25.0"	"中抗"	"长椭圆"	"--"	"--"	"3.2"	"--"	"--"	"60.7"	"14.06"	"--"	"--"	"26.3"	"地方"	"较细"	"中烟所"	"--"	"--"	"2.23"	"--"	"215.3"	"--"
"40"	"感病"	"Solanaceae(茄科)"	"2.04"	"色烟0964"	"--"	"--"	"8.0"	"平"	"厚"	"--"	"59"	"--"	"感病"	"1052"	"烤烟"	"感病"	"SE YAN 0964"	"波浪"	"20.96"	"--"	"Nicotiana(烟属)"	"00000091"	"17.37"	"Nicotiana tabacum L.(普通烟草)"	"--"	"渐尖"	"淡红"	"10.29"	"I5A00021"	"塔形"	"山东"	"益都"	"深绿"	"中抗"	"1.22"	"26.0"	"感虫"	"长椭圆"	"--"	"--"	"3.5"	"--"	"--"	"58.0"	"18.70"	"--"	"--"	"24.5"	"地方"	"中"	"中烟所"	"--"	"--"	"1.85"	"--"	"218.5"	"--"
