"库编号"	"统一编号"	"品种名称"	"译名"	"科"	"属"	"拉丁学名"	"选育单位"	"方法及组合"	"单位编号"	"籼粳"	"早中晚"	"水陆"	"粘糯"	"米色"	"芒长"	"粒形状"	"粒长度"	"颖尖色"	"颖壳色"	"株高"	"出穗期"	"糙米率"	"精米率"	"垩白率"	"蛋白质"	"赖氨酸"	"总淀粉"	"直链淀粉"	"支链淀粉"	"糊化温度"	"胶稠度"	"苗瘟"	"白叶枯"	"纹枯病"	"褐稻虱"	"白背飞虱"	"芽期耐寒"	"苗期耐旱"	"耐盐"	"备注"	"省份"	"样品类型"
"I1A40678"	"ZD-00001"	"广解9号"	"GUANG JIE 9 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"广场矮98号/解放种"	"S82"	"籼"	"早"	"水"	"粘"	"白"	"短"	"椭圆"	"中"	"秆黄"	"秆黄"	"80"	"早熟"	"80.50"	"72.45"	" "	"12.90"	"0.510"	"74.10"	"24.8"	"57.5"	"5.0"	"36"	" "	" "	" "	" "	" "	" "	" "	" "	"叶色淡,分蘖力强,成穗率高"	"广东"	"选育"
"I1A49051"	"ZD-00002"	"广陆矮4号"	"GUANG LU AI 4 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"广矮3784/陆财"	"S67"	"籼"	"早"	"水"	"粘"	"白"	"无"	"阔卵"	"中"	"秆黄"	"秆黄"	"85"	"早熟"	"79.57"	"71.51"	" "	"12.70"	"0.520"	"75.20"	"26.5"	"57.1"	"5.0"	"29"	" "	" "	" "	" "	" "	" "	" "	" "	"叶厚直,成穗率高,结实好,可作三季稻中稻"	"广东"	"选育"
"I1A44911"	"ZD-00003"	"辐陆早1号"	"FU LU ZAO 1 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"P辐射处理广陆矮4/科六"	" "	"籼"	"早"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"80"	"早熟"	"78.47"	"70.52"	" "	"10.50"	"0.440"	"77.40"	"25.7"	"60.3"	"6.0"	"30"	" "	" "	" "	" "	" "	" "	" "	" "	"叶片较大,分蘖力强,成穗率高"	"广东"	"选育"
" "	"ZD-00004"	"辐陆早2号"	"FU LU ZAO 2 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"P辐射处理广陆矮4/科六"	" "	"籼"	"早"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"80"	"早熟"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"叶片较大,分蘖力强,成穗率高"	"广东"	"选育"
"I1A44912"	"ZD-00005"	"珍江矮13"	"ZHEN JIANG AI 13"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院,中山县农科所"	"珍珠矮6/江南择"	"S62"	"籼"	"早"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"80"	"早熟"	"80.50"	"72.75"	" "	"11.50"	"0.490"	"75.80"	"27.3"	"56.9"	"5.0"	"28"	" "	" "	" "	" "	" "	" "	" "	" "	"叶色淡,长披,秆粗,转色好"	"广东"	"选育"
" "	"ZD-00006"	"江矮早"	"JIANG AI ZAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"矮仔占/江南1224"	" "	"籼"	"早"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"85"	"早熟"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"叶阔厚,分蘖力强,秆粗壮"	"广东"	"选育"
"I1A40679"	"ZD-00007"	"沱沿矮15"	"TUO YAN AI 15"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"四沱矮248/沿江仑园京"	"S3"	"籼"	"早"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	" "	"早熟"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"出穗整齐,穗较大"	"广东"	"选育"
" "	"ZD-00008"	"江南矮"	"JIANG NAN AI"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"矮仔占/江南1224"	" "	"籼"	"早"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"紫"	"秆黄"	" "	"早熟"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"叶厚直, 秆粗壮,粒密,粒饱"	"广东"	"选育"
"I1A40680"	"ZD-00009"	"早金风12"	"ZAO JIN FENG 12"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"广场矮3784/马尾齐"	"2397"	"籼"	"早"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	" "	"中熟"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"广东"	"选育"
"I1A40681"	"ZD-00010"	"广场矮6号"	"GUANG CHANG AI 6 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"矮仔占/广场13"	"S52"	"籼"	"早"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"90"	"中熟"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"穗大粒多,适于中上肥田载培"	"广东"	"选育"
"I1A40682"	"ZD-00011"	"二九矮4号"	"ER JIU AI 4 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"广场矮5号/四沱2930"	"S78"	"籼"	"早"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"100"	"中熟"	"79.70"	"72.03"	" "	"11.70"	"0.460"	"75.40"	"27.1"	"56.7"	"5.0"	"34"	" "	" "	" "	" "	" "	" "	" "	" "	"叶大刚直,粗杆,穗大粒多"	"广东"	"选育"
"I1A40683"	"ZD-00012"	"珍珠矮11"	"ZHEN ZHU AI 11"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"矮仔占/惠阳珍珠早"	"S68"	"籼"	"早"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"95"	"中熟"	"80.67"	"72.20"	" "	"11.00"	"0.420"	"76.00"	"26.8"	"57.6"	"5.0"	"38"	" "	" "	" "	" "	" "	" "	" "	" "	"适应性广"	"广东"	"选育"
"I1A40684"	"ZD-00013"	"窄叶青4号"	"ZHAI YE QING 4 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"(花龙水田谷/塘竹)F//鸡对伦"	" "	"籼"	"早"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"100"	"中熟"	"81.24"	"73.32"	" "	"12.30"	"0.490"	"74.70"	"25.7"	"57.3"	"4.0"	"33"	" "	" "	" "	" "	" "	" "	" "	" "	"叶短窄,穗数多,转色结实好"	"广东"	"选育"
"I1A40685"	"ZD-00014"	"窄叶青8号"	"ZHAI YE QING 8 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"(花龙水田谷/塘竹)F//鸡对伦"	"S61"	"籼"	"早"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"100"	"中熟"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"叶短窄,穗数多,转色结实好"	"广东"	"选育"
"I1A40686"	"ZD-00015"	"朝阳早18号"	"CHAO YANG ZAO 18 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院,郁南宋桂农科站"	"开平糯系选"	"S147"	"籼"	"早"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"90"	"中熟"	"80.40"	"72.76"	" "	"11.60"	"0.430"	"75.90"	"26.7"	"57.6"	"5.0"	"37"	" "	" "	" "	" "	" "	" "	" "	" "	"叶直,穗大结实率高,熟色好,抗倒力较弱"	"广东"	"选育"
"I1A40687"	"ZD-00016"	"新青矮"	"XIN QING AI"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东省农科院"	"窄叶青/CP231"	"S125"	"籼"	"早"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"褐斑秆黄"	"85"	"中熟"	"81.54"	"73.69"	" "	"10.50"	"0.410"	"76.50"	"26.8"	"58.2"	"5.0"	"33"	" "	" "	" "	" "	" "	" "	" "	" "	"叶窄直,苗期较耐寒,穗小粒小"	"广东"	"选育"
"I1A40688"	"ZD-00017"	"广场矮3784"	"GUANG CHANG AI 3784"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"矮仔占4/广场13"	"S22"	"籼"	"早"	"水"	"粘"	"白"	"无"	"椭圆"	"长"	"秆黄"	"褐斑秆黄"	"95"	"中熟"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"秆粗壮,叶直,穗长大"	"广东"	"选育"
"I1A40689"	"ZD-00018"	"江二矮"	"JIANG ER AI"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"江南矮55号/二九矮7号"	"S128"	"籼"	"早"	"水"	"粘"	"白"	"短"	"椭圆"	"中"	"秆黄"	"秆黄"	"85"	"中熟"	"79.79"	"72.01"	" "	"12.70"	"0.520"	"74.90"	"26.8"	"56.4"	"5.0"	"28"	" "	" "	" "	" "	" "	" "	" "	" "	"叶阔直,秆粗壮,穗数少,熟色好"	"广东"	"选育"
"I1A40690"	"ZD-00019"	"广农矮1号"	"GUANG NONG AI 1 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"广场矮6号/水原80变株"	"S66"	"籼"	"早"	"水"	"粘"	"白"	"短"	"椭圆"	"中"	"秆黄"	"秆黄"	"100"	"中迟"	"79.23"	"71.01"	" "	"11.70"	"0.430"	"75.80"	"26.0"	"58.2"	"4.8"	"33"	" "	" "	" "	" "	" "	" "	" "	" "	"叶浓直,秆粗韧,大穗,耐浸"	"广东"	"选育"
"I1A44913"	"ZD-00020"	"双竹占"	"SHUANG ZHU ZHAN"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"中竹2915(中山无名种/早熟竹占)/塘竹923"	" "	"籼"	"晚"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"100"	"特早"	"77.69"	"70.21"	" "	"9.80"	"0.410"	"77.10"	"28.1"	"57.6"	"6.0"	"28"	" "	" "	" "	" "	" "	" "	" "	" "	"秆细,叶色淡,叶弯窄,穗短小,米质优"	"广东"	"选育"
"I1A40691"	"ZD-00021"	"广塘矮(原名广竹)"	"GUANG TANG AI(YUAN MING GUANG ZHU)"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"广二矮51/塘竹"	" "	"籼"	"晚"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"90"	"早熟"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"顶叶短直"	"广东"	"选育"
"I1A40692"	"ZD-00022"	"秋白早3号"	"QIU BAI ZAO 3 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"(矮种水田谷/秋长)F//局白"	" "	"籼"	"晚"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"90"	"早熟"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"多叶毛,耐阴,特适高山水冷地区"	"广东"	"选育"
"I1A40693"	"ZD-00023"	"秋二早1号"	"QIU ER ZAO 1 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"(矮种水田谷/秋长)F//2150"	" "	"籼"	"晚"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"85"	"早熟"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"叶窄直,穗多,适于山区,丘陵区,丘陵区种植"	"广东"	"选育"
"I1A40694"	"ZD-00024"	"秋二早2号"	"QIU ER ZAO 2 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"(水田谷/秋长3)F//2150"	" "	"籼"	"晚"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"85"	"早熟"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"同上,较耐寒"	"广东"	"选育"
"I1A40695"	"ZD-00025"	"塘白占"	"TANG BAI ZHAN"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"塘竹1808/晚白占3号"	" "	"籼"	"晚"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"90"	"早熟"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"穗大粒多,熟色好耐寒"	"广东"	"选育"
"I1A44914"	"ZD-00026"	"秋花矮"	"QIU HUA AI"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"秋谷矮/广华矮"	"S23"	"籼"	"晚"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"80"	"早熟"	"77.17"	"69.45"	" "	"9.20"	"0.390"	"77.80"	"29.5"	"56.9"	"5.0"	"31"	" "	" "	" "	" "	" "	" "	" "	" "	"穗多,熟色好俭肥"	"广东"	"选育"
"I1A40696"	"ZD-00027"	"塘竹7号"	"TANG ZHU 7 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"竹印2/塘埔矮"	"3152"	"籼"	"晚"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"110"	"早熟"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"秆细硬,叶片窄长,熟色好"	"广东"	"选育"
" "	"ZD-00028"	"秋谷矮2号"	"QIU GU AI 2 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"矮种水田谷/秋长3"	" "	"籼"	"晚"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"90"	"早中"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"秆细韧,叶细长弯,抗寒,俭肥"	"广东"	"选育"
" "	"ZD-00029"	"广二矮"	"GUANG ER AI"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"广场矮3785/2150"	" "	"籼"	"晚"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"87"	"中熟"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"粗秆叶直,穗大粒多,结实好"	"广东"	"选育"
"I1A40697"	"ZD-00030"	"秋长矮39"	"QIU CHANG AI 39"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"金鸭矮5号/秋长35号"	"S24"	"籼"	"晚"	"水"	"粘"	"白"	"短无"	"椭圆"	"中"	"秆黄"	"秆黄"	"90"	"中熟"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"叶厚直"	"广东"	"选育"
"I1A40698"	"ZD-00031"	"广秋矮"	"GUANG QIU AI"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"广矮4182/东秋布"	" "	"籼"	"晚"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	" "	"中熟"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"粗秆,叶较宽穗大,粒多"	"广东"	"选育"
"I1A40699"	"ZD-00032"	"竹矮"	"ZHU AI"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"二九矮4号/塘竹1923"	" "	"籼"	"晚"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"85"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"叶直,秆坚韧,分蘖力强"	"广东"	"选育"
"I1A40700"	"ZD-00033"	"秋二矮1号"	"QIU ER AI 1 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"(矮种水田谷/秋长3)F//2150"	" "	"籼"	"晚"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"100"	"中迟"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"株型紧凑,叶厚直,秆细硬,适应性广"	"广东"	"选育"
"I1A40701"	"ZD-00034"	"秋二矮2号"	"QIU ER AI 2 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"(水田谷/秋长3)F//2150"	" "	"籼"	"晚"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"100"	"中迟"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"株型紧凑,叶厚直,秆细硬,适应性广"	"广东"	"选育"
" "	"ZD-00035"	"晚秋矮"	"WAN QIU AI"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"广马矮/秋长35"	" "	"籼"	"晚"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"90"	"中迟"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"叶上举,抽穗整齐,不易落粒"	"广东"	"选育"
"I1A40702"	"ZD-00036"	"朝阳矮"	"CHAO YANG AI"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"广秋矮系统选育"	"S27"	"籼"	"晚"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"褐斑秆黄"	"80"	"中迟"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"叶窄直,分蘖力强,转色好"	"广东"	"选育"
"I1A44915"	"ZD-00037"	"广华矮4号"	"GUANG HUA AI 4 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"广二矮11号/华南15"	"S23"	"籼"	"晚"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"褐黄"	"90"	"迟熟"	"80.57"	"73.02"	" "	"10.10"	"0.430"	"77.00"	"27.7"	"57.9"	"6.0"	"31"	" "	" "	" "	" "	" "	" "	" "	" "	"叶短直,窄厚,分蘖力强"	"广东"	"选育"
"I1A44916"	"ZD-00038"	"广博334"	"GUANG BO 334"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"广华矮1号/博录矮"	" "	"籼"	"晚"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"90"	"迟熟"	"79.93"	"72.33"	" "	"8.30"	"0.370"	"78.00"	"29.7"	"57.0"	"6.0"	"29"	" "	" "	" "	" "	" "	" "	" "	" "	"叶色淡,穗大粒多,熟色好"	"广东"	"选育"
"I1A40703"	"ZD-00039"	"二白矮"	"ER BAI AI"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"秋二矮1号/秋白矮1号"	" "	"籼"	"晚"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"100"	"迟熟"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"茎秆粗壮,穗大粒多,耐寒"	"广东"	"选育"
" "	"ZD-00040"	"江南1224"	"JIANG NAN 1224"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"华南农科所"	"赣早籼系统选出"	" "	"籼"	"早"	"水"	"粘"	"白"	"无"	"椭圆"	"长"	"紫褐"	"秆黄"	"110"	"迟熟"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"叶阔硬,整齐,俭肥,易落粒"	"广东"	"选育"
"I1A40704"	"ZD-00041"	"广场13"	"GUANG CHANG 13"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"华南农科所"	"胜利籼/南特号"	"N161"	"籼"	"早"	"水"	"粘"	"白"	"短"	"椭圆"	"中"	"秆黄"	"秆黄"	"125"	"早熟"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"穗大粒饱,熟色好"	"广东"	"选育"
"I1A40705"	"ZD-00042"	"华南15"	"HUA NAN 15"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"华南农科所"	"一粒种系选"	"3206"	"籼"	"晚"	"水"	"粘"	"白"	"无"	"细长"	"中"	"秆黄"	"秆黄"	"120"	"迟熟"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"叶直,茎态中集,优质"	"广东"	"选育"
" "	"ZD-00043"	"2150"	"2150"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"华南农科所"	"秋布了系统选育"	"P2029"	"籼"	"晚"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"120"	"迟熟"	"82.60"	"74.70"	" "	"7.59"	"0.288"	"79.64"	"20.1"	"68.4"	"7.0"	"75"	" "	" "	" "	" "	" "	" "	" "	" "	"叶窄直,茎态中集"	"广东"	"选育"
"I1A44917"	"ZD-00044"	"南特16"	"NAN TE 16"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"中山大学农学院"	"江西南特选出"	" "	"籼"	"早"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"紫"	"秆黄"	"120"	"早熟"	"79.51"	"71.16"	" "	"12.20"	"0.500"	"75.30"	"27.8"	"55.9"	"4.7"	"38"	" "	" "	" "	" "	" "	" "	" "	" "	"秆粗大,叶硬直,耐旱,易落粒"	"广东"	"选育"
"I1A44918"	"ZD-00045"	"双矮26"	"SHUANG AI 26"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"华南农学院"	"矮子占/矮脚南特"	" "	"籼"	"早"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"90"	"中熟"	"80.06"	"72.45"	" "	"9.90"	"0.430"	"77.00"	"28.9"	"56.7"	"7.0"	"29"	" "	" "	" "	" "	" "	" "	" "	" "	"叶厚直,成穗率高"	"广东"	"选育"
" "	"ZD-00046"	"梅江早3号"	"MEI JIANG ZAO 3 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农林学院"	"梅珍/珍江矮13"	" "	"籼"	"早"	"水"	"粘"	"白"	"无"	"阔卵"	"中"	"秆黄"	"秆黄"	"85"	"早熟"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"叶窄直,适应性较广,抗倒性较差"	"广东"	"选育"
"I1A44919"	"ZD-00047"	"学农1号"	"XUE NONG 1 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农林学院"	"新四占系选"	" "	"籼"	"晚"	"水"	"粘"	"白"	"无"	"细长"	"长"	"秆黄"	"秆黄"	"97"	"早熟"	"77.77"	"70.09"	" "	"9.10"	"0.410"	"77.60"	"28.2"	"58.0"	"6.0"	"29"	" "	" "	" "	" "	" "	" "	" "	" "	"叶色较淡,米质特优"	"广东"	"选育"
" "	"ZD-00048"	"穗郊占"	"SUI JIAO ZHAN"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广州市郊农科所"	"化齐盾季选"	" "	"籼"	"晚"	"水"	"粘"	"白"	"无"	"细长"	" "	"秆黄"	"褐"	"90"	"早熟"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"对稻飞虱,浮尘子有一定抵抗力,蛋白质含量12.6%"	"广东"	"选育"
"I1A40706"	"ZD-00049"	"通红矮"	"TONG HONG AI"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"海南农科所"	"苏屯/广矮6"	" "	"籼"	"早"	"水"	"粘"	"白"	"无"	" "	" "	" "	" "	"100"	"中熟"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"叶直,秆细,分蘖强,易落粒"	"海南"	"选育"
