"id"	"抗病性"	"种子千粒重"	"定植期"	"单位编号"	"叶长"	"叶面"	"省"	"备注"	"风味"	"译名"	"繁种单位"	"叶形"	"始收期"	"栽培时期"	"属名"	"主薹高"	"抗虫性"	"熟性"	"分枝性"	"叶面刺毛"	"耐热性"	"主薹粗"	"叶缘"	"末收期"	"纤维含量"	"叶裂片"	"抗逆性"	"品种名称"	"耐涝性"	"株型"	"学名"	"叶色"	"贮藏性"	"播种期"	"耐寒性"	"叶柄宽"	"叶裂刻"	"耐旱性"	"叶柄厚"	"株高"	"单株薹数"	"品种来源"	"叶宽"	"肉质"	"叶柄色"	"种质库编号"	"统一编号"	"单产"	"株幅"	"品质"	"叶柄长"	"科名"	"生长期"
"11"	"--"	"--"	"--"	"C4-026"	"--"	"--"	"四川"	"杂"	"--"	"HONG YOU CAI TAI"	"成都市第一农科所"	"椭圆"	"--"	"9上-1上"	"Brassica(芸薹属)"	"--"	"--"	"晚"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"弱"	"红油菜苔"	"--"	"--"	"Brassica campestris L. ssp. chinensis var. utilis(菜薹)"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"62.0"	"--"	"四川乐山市"	"--"	"--"	"紫红"	"Ⅱ2D0119"	"V02D0011"	"1500"	"--"	"--"	"--"	"Cruciferae(十字花科)"	"--"
"12"	"--"	"--"	"--"	"C4-008"	"--"	"--"	"四川"	"--"	"--"	"HONG YOU CAI TAI"	"成都市第一农科所"	"披针"	"--"	"8下-11下"	"Brassica(芸薹属)"	"--"	"--"	"中"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"红油菜苔"	"--"	"--"	"Brassica campestris L. ssp. chinensis var. utilis(菜薹)"	"紫红"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"25.0"	"--"	"四川绵阳市"	"--"	"--"	"紫红"	"Ⅱ2D0109"	"V02D0012"	"1000"	"--"	"--"	"--"	"Cruciferae(十字花科)"	"85"
"13"	"--"	"--"	"--"	"C4-021"	"--"	"--"	"四川"	"杂"	"--"	"HONG YOU CAI TAI"	"成都市第一农科所"	"椭圆"	"--"	"9上-1"	"Brassica(芸薹属)"	"--"	"--"	"晚"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"弱"	"红油菜苔"	"--"	"--"	"Brassica campestris L. ssp. chinensis var. utilis(菜薹)"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"47.0"	"--"	"四川南川县"	"--"	"--"	"紫绿"	"Ⅱ2D0108"	"V02D0013"	"1600"	"--"	"--"	"--"	"Cruciferae(十字花科)"	"--"
"14"	"--"	"--"	"--"	"C4-023"	"--"	"--"	"四川"	"--"	"--"	"HONG YOU CAI"	"成都市第一农科所"	"椭圆"	"--"	"9上-1上"	"Brassica(芸薹属)"	"--"	"--"	"晚"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"强"	"红油菜"	"--"	"--"	"Brassica campestris L. ssp. chinensis var. utilis(菜薹)"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"52.0"	"--"	"四川彭山县"	"--"	"--"	"紫红"	"Ⅱ2D0111"	"V02D0014"	"1700"	"--"	"--"	"--"	"Cruciferae(十字花科)"	"--"
"15"	"--"	"--"	"--"	"C4-017"	"--"	"--"	"四川"	"似青麻叶大白菜"	"--"	"CAI TAI"	"成都市第一农科所"	"椭圆"	"--"	"--"	"Brassica(芸薹属)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"强"	"菜苔"	"--"	"--"	"Brassica campestris L. ssp. chinensis var. utilis(菜薹)"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"33.0"	"--"	"四川黔江县"	"--"	"--"	"绿白"	"Ⅱ2D0103"	"V02D0015"	"--"	"--"	"--"	"7.3"	"Cruciferae(十字花科)"	"--"
"16"	"--"	"--"	"--"	"C4-012"	"--"	"--"	"四川"	"--"	"--"	"HONG YOU CAI TAI"	"成都市第一农科所"	"椭圆"	"--"	"9-11"	"Brassica(芸薹属)"	"--"	"--"	"早"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"红油菜苔"	"--"	"--"	"Brassica campestris L. ssp. chinensis var. utilis(菜薹)"	"紫红"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"36.0"	"--"	"四川天全县"	"--"	"--"	"紫红"	"Ⅱ2D0113"	"V02D0016"	"1000"	"--"	"--"	"--"	"Cruciferae(十字花科)"	"60"
"17"	"--"	"--"	"--"	"C4-016"	"--"	"--"	"四川"	"杂"	"--"	"HONG YOU CAI"	"成都市第一农科所"	"近圆"	"--"	"9上-12下"	"Brassica(芸薹属)"	"--"	"--"	"中"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"红油菜"	"--"	"--"	"Brassica campestris L. ssp. chinensis var. utilis(菜薹)"	"紫红"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"61.0"	"--"	"四川兴文县"	"--"	"--"	"紫绿"	"Ⅱ2D0101"	"V02D0017"	"1600"	"--"	"--"	"--"	"Cruciferae(十字花科)"	"--"
"18"	"--"	"--"	"--"	"C4-011"	"--"	"--"	"四川"	"--"	"--"	"HONG YOU CAI TAI"	"成都市第一农科所"	"长椭圆"	"--"	"9-12"	"Brassica(芸薹属)"	"--"	"--"	"晚"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"红油菜苔"	"--"	"--"	"Brassica campestris L. ssp. chinensis var. utilis(菜薹)"	"紫红"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"40.0"	"--"	"四川雅安市"	"--"	"--"	"紫红"	"Ⅱ2D0107"	"V02D0018"	"1250"	"--"	"--"	"--"	"Cruciferae(十字花科)"	"--"
"19"	"--"	"--"	"--"	"C4-024"	"--"	"--"	"四川"	"似大白菜"	"--"	"BAI CAI TAI"	"成都市第一农科所"	"椭圆"	"--"	"--"	"Brassica(芸薹属)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"强"	"白菜苔"	"--"	"--"	"Brassica campestris L. ssp. chinensis var. utilis(菜薹)"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"49.0"	"--"	"四川盐源县"	"--"	"--"	"白"	"Ⅱ2D0115"	"V02D0019"	"--"	"--"	"--"	"--"	"Cruciferae(十字花科)"	"--"
"20"	"--"	"--"	"--"	"C4-014"	"--"	"--"	"四川"	"--"	"--"	"HONG YOU CAI"	"成都市第一农科所"	"近圆"	"--"	"9上-1上"	"Brassica(芸薹属)"	"--"	"--"	"晚"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"红油菜"	"--"	"--"	"Brassica campestris L. ssp. chinensis var. utilis(菜薹)"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"55.0"	"--"	"四川宜宾市"	"--"	"--"	"紫红"	"Ⅱ2D0098"	"V02D0020"	"1700"	"--"	"--"	"--"	"Cruciferae(十字花科)"	"--"
