"id"	"熟性"	"炭疽病指"	"保存编号"	"品种名称"	"着果方向"	"食熟果皮色"	"维生素C"	"CMV病指"	"CMV发病率"	"果肉厚"	"统一编号"	"TMV发病率"	"风味"	"老熟种果色"	"外皮薄厚"	"亩产"	"单果重"	"译名"	"备注"	"省"	"首花节位"	"TMV病指"	"果实水分"	"生育期"	"保存单位"	"果形"	"干物质"	"用途"	"辣椒素"	"种子来源"	"株高"	"抗逆性"	"炭疽发病率"	"种质库编号"	"栽培季节"
"80"	"中"	"0.0600"	"椒110号"	"西德四代甜椒"	"向下侧生"	"绿"	"93.40"	"2.7500"	"24.00"	"0.4"	"V06C0221"	"90.00"	"甜"	"红"	"--"	"1600"	"51.0"	"XI DE SI DAI TIAN JIAO"	"--"	"河北"	"14"	"1.1000"	"中"	"58"	"河北农科院蔬菜所"	"方灯笼形"	"11.3100"	"生食"	"0.062"	"河北晋县"	"68.0"	"强"	"100.0"	"Ⅱ6C0415"	"1上-9下"
"81"	"晚"	"0.1700"	"椒62号"	"尖辣椒"	"向下"	"绿"	"103.30"	"0.6700"	"100.00"	"0.2"	"V06C0222"	"85.29"	"极辣"	"红"	"--"	"300"	"12.0"	"JIAN LA JIAO"	"--"	"河北"	"15"	"1.3900"	"少"	"60"	"河北农科院蔬菜所"	"圆锥形"	"15.9600"	"制干腌制"	"0.101"	"河北临城县"	"77.0"	"中"	"30.3"	"Ⅱ6C0395"	"1中-9下"
"82"	"早"	"-0.5700"	"椒72号"	"隆化茄门"	"向下"	"绿"	"96.10"	"1.0300"	"100.00"	"0.4"	"V06C0223"	"100.00"	"甜"	"红"	"--"	"1500"	"75.0"	"LONG HUA QIE MEN"	"--"	"河北"	"12"	"1.0300"	"多"	"50"	"河北农科院蔬菜所"	"方灯笼形"	"9.9700"	"生食"	"0.024"	"河北隆化县"	"62.0"	"强"	"60.0"	"Ⅱ6C0418"	"1上-9下"
"83"	"晚"	"-0.7300"	"椒111号"	"三道筋青椒"	"向下侧生"	"绿"	"81.40"	"0.9700"	"100.00"	"0.5"	"V06C0224"	"83.00"	"甜"	"红"	"--"	"1550"	"70.0"	"SAN DAO JIN QING JIAO"	"--"	"河北"	"15"	"1.6100"	"中"	"60"	"河北农科院蔬菜所"	"方灯笼形"	"9.0500"	"生食"	"0.062"	"河北隆化县"	"60.0"	"中"	"56.5"	"Ⅱ6C0416"	"1上-9下"
"84"	"早"	"-0.4700"	"椒35号"	"甜椒"	"向下"	"绿"	"106.50"	"1.4700"	"100.00"	"0.3"	"V06C0230"	"100.00"	"甜"	"红"	"厚"	"1500"	"132.0"	"TIAN JIAO"	"*"	"河北"	"8"	"1.2000"	"多"	"50"	"河北农科院蔬菜所"	"方灯笼形"	"9.2000"	"生食腌制"	"0.095"	"河北滦县"	"48.0"	"强"	"51.7"	"Ⅱ6C0386"	"--"
"85"	"早"	"0.0600"	"椒27号"	"尖辣椒"	"向下"	"绿"	"106.44"	"0.8300"	"100.00"	"--"	"V06C0246"	"100.00"	"中辣"	"--"	"厚"	"1000"	"25.0"	"JIAN LA JIAO"	"*"	"河北"	"--"	"1.3900"	"--"	"40"	"河北农科院蔬菜所"	"圆锥形"	"14.9000"	"生食制干"	"0.072"	"河北青龙县"	"60.0"	"中"	"67.4"	"Ⅱ6C0379"	"--"
"86"	"早"	"-0.3100"	"椒28号"	"灯笼椒"	"向下"	"绿"	"81.06"	"1.2700"	"100.00"	"0.2"	"V06C0247"	"100.00"	"微辣"	"--"	"--"	"1600"	"19.0"	"DENG LONG JIAO"	"*"	"河北"	"10"	"1.3900"	"少"	"50"	"河北农科院蔬菜所"	"方灯笼形"	"10.5000"	"生食"	"0.023"	"河北青龙县"	"47.0"	"--"	"45.9"	"Ⅱ6C0378"	"--"
"87"	"早"	"0.8600"	"椒57号"	"灯笼辣椒"	"向下"	"绿"	"107.97"	"1.1400"	"100.00"	"0.2"	"V06C0248"	"100.00"	"中辣"	"红"	"--"	"500"	"17.0"	"DENG LONG LA JIAO"	"--"	"河北"	"13"	"1.6700"	"中"	"50"	"河北农科院蔬菜所"	"方灯笼形"	"20.3900"	"生食"	"0.183"	"河北青龙县"	"77.0"	"中"	"100.0"	"Ⅱ6C0875"	"1中-7下"
"88"	"中"	"0.2000"	"椒104号"	"大三辨"	"向下侧生"	"绿"	"113.70"	"0.5300"	"100.00"	"0.4"	"V06C0249"	"100.00"	"甜"	"红"	"--"	"1650"	"62.0"	"DA SAN BIAN"	"--"	"河北"	"13"	"0.8700"	"中"	"55"	"河北农科院蔬菜所"	"方灯笼形"	"10.8000"	"生食"	"0.037"	"河北青县"	"68.0"	"中"	"97.6"	"Ⅱ6C0736"	"1上-7下"
"89"	"中"	"--"	"椒92号"	"青县羊角椒"	"向下"	"绿"	"--"	"--"	"--"	"0.2"	"V06C0250"	"--"	"中辣"	"红"	"--"	"1250"	"17.0"	"QING XIAN YANG JIAO JIAO"	"--"	"河北"	"12"	"--"	"中"	"55"	"河北农科院蔬菜所"	"圆锥形"	"--"	"--"	"--"	"河北青县"	"78.0"	"中"	"--"	"Ⅱ6C0407"	"1上-9下"
"90"	"中"	"0.6900"	"椒37号"	"茄门"	"向下"	"绿"	"70.00"	"0.8900"	"100.00"	"0.5"	"V06C0255"	"100.00"	"甜"	"红"	"--"	"1100"	"80.0"	"QIE MEN"	"--"	"河北"	"12"	"1.3900"	"中"	"60"	"河北农科院蔬菜所"	"方灯笼形"	"11.4100"	"生食"	"0.021"	"河北省蔬菜所"	"63.0"	"强"	"96.9"	"Ⅱ6C0382"	"1中-8下"
"91"	"晚"	"0.7800"	"椒74号"	"85-7"	"向下"	"绿"	"85.45"	"0.7100"	"100.00"	"0.7"	"V06C0256"	"100.00"	"甜"	"红"	"--"	"1750"	"100.0"	"85-7"	"--"	"河北"	"14"	"1.1000"	"--"	"80"	"河北农科院蔬菜所"	"方灯笼形"	"8.8300"	"生食"	"0.057"	"河北蔬菜所"	"65.0"	"中"	"95.1"	"Ⅱ6C0874"	"1中-9下"
"92"	"晚"	"--"	"椒103号"	"冀椒一号"	"向下侧生"	"绿"	"--"	"--"	"--"	"0.6"	"V06C0257"	"--"	"甜"	"红"	"--"	"1500"	"100.0"	"JI JIAO YI HAO"	"--"	"河北"	"12"	"--"	"多"	"65"	"河北农科院蔬菜所"	"方灯笼形"	"--"	"生食"	"--"	"河北蔬菜所"	"65.0"	"抗倒伏"	"--"	"Ⅱ6C0097"	"1上-7下"
"93"	"晚"	"-0.2900"	"椒67号"	"二羊角辣椒"	"混生"	"绿"	"90.10"	"0.7400"	"100.00"	"--"	"V06C0274"	"100.00"	"--"	"--"	"--"	"2250"	"200.0"	"ER YANG JIAO LA JIAO"	"*"	"河北"	"13"	"1.0300"	"--"	"--"	"河北农科院蔬菜所"	"圆锥形"	"11.5900"	"生食"	"0.019"	"河北张家口市"	"58.5"	"耐旱热不耐涝"	"43.8"	"Ⅱ6C0517"	"--"
"94"	"中"	"0.8600"	"椒69号"	"世界冠军甜椒"	"向下"	"绿"	"81.22"	"1.2500"	"100.00"	"0.5"	"V06C0275"	"100.00"	"甜"	"红"	"--"	"1750"	"70.0"	"SHI JIE GUAN JUN TIAN JIAO"	"--"	"河北"	"12"	"0.8600"	"多"	"50"	"河北农科院蔬菜所"	"方灯笼形"	"9.2800"	"生食"	"0.013"	"河北张家口市"	"59.0"	"中"	"100.0"	"Ⅱ6C0880"	"1中-7下"
"95"	"晚"	"1.2585"	"5Ca0022"	"登封羊角椒"	"向下"	"--"	"165.38"	"2.2882"	"24.10"	"0.2"	"V06C0276"	"7.70"	"中辣"	"--"	"--"	"750"	"7.6"	"DENG FENG YANG JIAO JIAO"	"--"	"河南"	"18"	"3.8929"	"--"	"120"	"河南农科院园艺所"	"圆锥形"	"17.9400"	"制干生食"	"0.140"	"河南登封县"	"--"	"--"	"15.7"	"Ⅱ6C0156"	"4下-8下"
"96"	"晚"	"1.4390"	"5Ca0021"	"登封线椒"	"向下"	"--"	"110.58"	"2.1412"	"27.30"	"0.2"	"V06C0277"	"8.30"	"中辣"	"--"	"--"	"1125"	"11.0"	"DENG FENG XIAN JIAO"	"--"	"河南"	"13"	"4.9711"	"--"	"130"	"河南农科院园艺所"	"圆锥形"	"14.6800"	"制干生食"	"0.120"	"河南登封县"	"--"	"--"	"15.6"	"Ⅱ6C0155"	"4下-9上"
"97"	"早"	"0.6066"	"5Cb0020"	"范县甜椒"	"向上"	"--"	"121.15"	"1.4629"	"34.60"	"0.3"	"V06C0278"	"19.20"	"甜辣"	"--"	"--"	"1500"	"1.8"	"FAN XIAN TIAN JIAO"	"--"	"河南"	"7"	"2.1530"	"--"	"90"	"河南农科院园艺所"	"方灯笼形"	"10.4700"	"生食熟食"	"0.050"	"河南范县"	"--"	"--"	"28.6"	"Ⅱ6C0149"	"4下-7下"
"98"	"早"	"1.0766"	"5Cb0025"	"鹤椒一号"	"--"	"绿"	"111.86"	"0.7914"	"56.10"	"0.4"	"V06C0279"	"85.40"	"微辣"	"--"	"--"	"2250"	"90.5"	"HE JIAO YI HAO"	"--"	"河南"	"9"	"-0.5088"	"--"	"85"	"河南农科院园艺所"	"--"	"8.9000"	"--"	"0.030"	"河南鹤壁县"	"--"	"--"	"22.2"	"Ⅱ6C0711"	"春季"
"99"	"晚"	"1.5852"	"5Ca0045"	"泌阳线椒"	"向下"	"--"	"179.81"	"2.3231"	"16.70"	"0.1"	"V06C0286"	"8.70"	"中辣"	"--"	"--"	"1000"	"3.4"	"MI YANG XIAN JIAO"	"--"	"河南"	"13"	"4.8647"	"--"	"110"	"河南农科院园艺所"	"圆锥形"	"17.0200"	"制干生食"	"0.130"	"河南泌阳县"	"--"	"--"	"12.9"	"Ⅱ6C0166"	"4下-8中"
"100"	"中"	"0.7002"	"5Ca0039"	"云阳椒"	"向下"	"黑"	"129.71"	"1.2977"	"41.50"	"0.3"	"V06C0287"	"87.20"	"微辣"	"紫"	"厚"	"3500"	"42.5"	"YUN YANG JIAO"	"*"	"河南"	"9"	"-0.0633"	"多"	"83"	"河南农科院园艺所"	"圆锥形"	"13.0000"	"广泛"	"0.002"	"河南南召县"	"75.0"	"强"	"26.7"	"Ⅱ6C0574"	"--"
"101"	"中"	"2.5199"	"5Ca0041"	"内乡朝天椒"	"向下"	"绿"	"222.12"	"0.4142"	"69.60"	"0.3"	"V06C0288"	"56.50"	"极辣"	"红"	"厚"	"1500"	"4.8"	"NEI XIANG CHAO TIAN JIAO"	"*"	"河南"	"9"	"1.8624"	"多"	"85"	"河南农科院园艺所"	"圆锥形"	"19.7700"	"生食制干"	"0.230"	"河南内乡县"	"45.0"	"强"	"7.5"	"Ⅱ6C0164"	"--"
"102"	"中"	"--"	"5Cb0019"	"同丰37"	"侧生"	"--"	"153.85"	"1.3030"	"48.00"	"0.6"	"V06C0289"	"11.50"	"甜辣"	"--"	"--"	"1500"	"1.7"	"TONG FENG 37"	"--"	"河南"	"11"	"2.9524"	"--"	"100"	"河南农科院园艺所"	"方灯笼形"	"10.5900"	"生食熟食"	"0.010"	"河南农科院"	"--"	"--"	"28.9"	"Ⅱ6C0148"	"4下-8上"
"103"	"中"	"1.6078"	"5Cb0022"	"12-2甜椒"	"侧生"	"--"	"126.92"	"0.2417"	"81.00"	"0.4"	"V06C0290"	"56.50"	"甜辣"	"--"	"--"	"2000"	"2.3"	"12-2 TIAN JIAO"	"--"	"河南"	"11"	"1.7327"	"--"	"110"	"河南农科院园艺所"	"方灯笼形"	"10.0600"	"--"	"0.010"	"河南农科院"	"--"	"--"	"9.2"	"Ⅱ6C0150"	"4下-8中"
"104"	"晚"	"0.5746"	"5Ca0018"	"汝阳羊角椒"	"向下"	"绿"	"134.23"	"1.0814"	"51.20"	"0.3"	"V06C0294"	"48.90"	"极辣"	"红"	"厚"	"1500"	"40.0"	"RU YANG YANG JIAO JIAO"	"*"	"河南"	"10"	"1.3820"	"中"	"95"	"河南农科院园艺所"	"圆锥形"	"13.0500"	"生食制干"	"0.070"	"河南汝阳县"	"75.0"	"强"	"30.0"	"Ⅱ6C0570"	"--"
"105"	"早"	"0.6360"	"5Ca0061"	"金星小椒"	"向下"	"--"	"205.87"	"1.6619"	"38.90"	"0.2"	"V06C0313"	"60.00"	"中辣"	"--"	"--"	"750"	"17.5"	"JIN XING XIAO JIAO"	"--"	"河南"	"8"	"1.0719"	"--"	"120"	"河南农科院园艺所"	"圆锥形"	"13.4000"	"生食"	"0.030"	"河南郑州市"	"--"	"--"	"23.4"	"Ⅱ6C0578"	"4下-8下"
"106"	"中"	"1.0127"	"5Cb0013"	"牟农一号"	"向下"	"--"	"178.50"	"0.6382"	"66.70"	"0.4"	"V06C0316"	"85.00"	"甜辣"	"--"	"--"	"2250"	"2.8"	"MOU NONG YI HAO"	"--"	"河南"	"9"	"0.3376"	"--"	"110"	"河南农科院园艺所"	"方灯笼形"	"8.0000"	"生食熟食"	"0.020"	"河南中牟县"	"--"	"--"	"21.7"	"Ⅱ6C0461"	"4下-8中"
"107"	"晚"	"0.8298"	"5Ca0031"	"郏县辣椒"	"向下"	"--"	"128.70"	"0.8443"	"63.30"	"0.3"	"V06C0319"	"58.30"	"微辣"	"--"	"--"	"1625"	"23.6"	"JIA XIAN LA JIAO"	"--"	"河南"	"14"	"1.4723"	"--"	"130"	"河南农科院园艺所"	"圆锥形"	"13.4500"	"生食"	"0.080"	"河南郏县"	"--"	"--"	"26.0"	"Ⅱ6C0159"	"4下-9上"
"108"	"晚"	"1.4789"	"5Ca0034"	"漯河一窝蜂"	"向下"	"--"	"112.50"	"1.4890"	"50.00"	"0.2"	"V06C0320"	"14.80"	"中辣"	"--"	"--"	"1000"	"13.5"	"LUO HE YI WO FENG"	"--"	"河南"	"14"	"2.9194"	"--"	"120"	"河南农科院园艺所"	"圆锥形"	"18.7300"	"生食"	"0.040"	"河南漯河市"	"--"	"--"	"13.2"	"Ⅱ6C0161"	"4下-8下"
"109"	"中"	"1.3273"	"5Ca0067"	"濮阳羊角椒"	"侧生"	"--"	"121.74"	"-0.8032"	"95.70"	"0.2"	"V06C0321"	"95.50"	"中辣"	"--"	"--"	"1000"	"13.3"	"PU YANG YANG JIAO JIAO"	"--"	"河南"	"9"	"0.5148"	"--"	"120"	"河南农科院园艺所"	"圆锥形"	"12.7900"	"生食"	"0.100"	"河南濮阳县"	"--"	"--"	"17.0"	"Ⅱ6C0170"	"4下-8下"
"110"	"晚"	"1.1779"	"5Ca0027"	"柘城辣椒"	"向下"	"--"	"135.71"	"3.8983"	"18.20"	"0.2"	"V06C0323"	"5.00"	"中辣"	"--"	"--"	"875"	"10.6"	"ZHE CHENG LA JIAO"	"--"	"河南"	"14"	"4.3270"	"--"	"110"	"河南农科院园艺所"	"圆锥形"	"18.5900"	"生食"	"0.150"	"河南柘城县"	"--"	"--"	"16.4"	"Ⅱ6C0157"	"4下-8中"
"111"	"早"	"1.4300"	"19-40"	"小青椒"	"向下"	"绿"	"130.60"	"1.9900"	"48.70"	"0.1"	"V06C0329"	"82.50"	"极辣"	"红"	"薄"	"1346"	"--"	"XIAO QING JIAO"	"*"	"黑龙江"	"6"	"-0.0900"	"--"	"34"	"黑龙江省园艺所"	"圆锥形"	"12.1000"	"生食制干"	"0.340"	"黑龙江巴彦县"	"49.0"	"--"	"28.2"	"Ⅱ6C0320"	"3中-9下"
"112"	"早"	"2.9100"	"19-48"	"小青椒"	"向下"	"绿"	"107.90"	"0.9300"	"86.70"	"0.1"	"V06C0330"	"90.90"	"极辣"	"红"	"薄"	"1922"	"--"	"XIAO QING JIAO"	"*"	"黑龙江"	"10"	"0.3400"	"--"	"37"	"黑龙江省园艺所"	"圆锥形"	"10.3000"	"生食制干"	"0.140"	"黑龙江宝清县"	"50.0"	"--"	"21.3"	"Ⅱ6C0599"	"3中-9下"
"113"	"早"	"2.8900"	"19-7"	"小辣椒"	"向下"	"绿"	"154.30"	"5.1000"	"6.70"	"0.1"	"V06C0331"	"12.90"	"极辣"	"红"	"薄"	"750"	"12.5"	"XIAO LA JIAO"	"*"	"黑龙江"	"5"	"0.5800"	"少"	"32"	"黑龙江省园艺所"	"圆锥形"	"12.4000"	"生食制干"	"0.040"	"黑龙江北安市"	"48.0"	"--"	"36.7"	"Ⅱ6C0592"	"3中-9下"
"114"	"早"	"2.2600"	"19-8"	"羊角椒"	"向下"	"绿"	"67.20"	"0.0800"	"96.70"	"0.1"	"V06C0332"	"90.00"	"极辣"	"红"	"厚"	"850"	"15.0"	"YANG JIAO JIAO"	"*"	"黑龙江"	"8"	"-1.0900"	"--"	"32"	"黑龙江省园艺所"	"圆锥形"	"10.5000"	"生食制干"	"0.290"	"黑龙江北安市"	"50.0"	"--"	"20.4"	"Ⅱ6C0091"	"3中-9下"
"115"	"早"	"0.0100"	"19-38"	"本秧小椒"	"向下"	"绿"	"73.80"	"3.0700"	"33.30"	"0.2"	"V06C0333"	"100.00"	"极辣"	"红"	"厚"	"750"	"17.5"	"BEN YANG XIAO JIAO"	"*"	"黑龙江"	"7"	"0.0300"	"--"	"33"	"黑龙江省园艺所"	"圆锥形"	"8.4000"	"生食制干"	"0.070"	"黑龙江北安市"	"57.4"	"--"	"73.3"	"Ⅱ6C0317"	"3中-9下"
"116"	"--"	"--"	"19-117"	"佳一号"	"向下"	"绿"	"--"	"--"	"--"	"0.3"	"V06C0351"	"--"	"中辣"	"红"	"厚"	"1188"	"--"	"JIA YI HAO"	"--"	"黑龙江"	"9"	"--"	"--"	"60"	"黑龙江省园艺所"	"方灯笼形"	"--"	"生食"	"--"	"黑龙江佳木斯"	"70.0"	"强"	"--"	"Ⅱ6C1044"	"3中-9下"
"117"	"--"	"1.1573"	"19-121"	"极早熟小辣椒"	"向下"	"绿"	"214.29"	"2.1322"	"20.00"	"0.1"	"V06C0352"	"23.50"	"中辣"	"红"	"薄"	"813"	"--"	"JI ZAO SHU XIAO LA JIAO"	"--"	"黑龙江"	"7"	"1.6224"	"--"	"35"	"黑龙江省园艺所"	"圆锥形"	"11.5000"	"生食制干"	"0.140"	"黑龙江克山县"	"45.0"	"强"	"18.2"	"Ⅱ6C0999"	"3中-9上"
"118"	"晚"	"0.0800"	"19-12"	"四道筋"	"向下"	"绿"	"97.50"	"0.9300"	"45.20"	"0.3"	"V06C0353"	"87.10"	"甜"	"红"	"薄"	"2990"	"--"	"SI DAO JIN"	"*"	"黑龙江"	"11"	"0.4700"	"--"	"67"	"黑龙江省园艺所"	"方灯笼形"	"8.9000"	"生食"	"--"	"黑龙江克山县"	"32.0"	"--"	"78.3"	"Ⅱ6C0598"	"3中-9下"
"119"	"--"	"1.7400"	"19-106"	"三道筋"	"向下"	"绿"	"101.20"	"1.2300"	"93.30"	"0.3"	"V06C0354"	"83.90"	"中辣"	"红"	"厚"	"1000"	"--"	"SAN DAO JIN"	"--"	"黑龙江"	"9"	"1.1300"	"--"	"63"	"黑龙江省园艺所"	"长柱形"	"9.3000"	"生食"	"--"	"黑龙江林口县"	"55.0"	"强"	"40.0"	"Ⅱ6C0601"	"3中-9下"
"120"	"晚"	"1.3700"	"19-18"	"林口青椒"	"向下"	"绿"	"131.90"	"1.9100"	"100.00"	"0.3"	"V06C0355"	"100.00"	"甜"	"红"	"厚"	"1000"	"55.0"	"LIN KOU QING JIAO"	"*"	"黑龙江"	"10"	"-1.3600"	"中"	"50"	"黑龙江省园艺所"	"扁圆形"	"8.3000"	"生食腌制"	"0.020"	"黑龙江林口县"	"38.2"	"--"	"40.4"	"Ⅱ6C0593"	"3中-9下"
"121"	"早"	"0.3900"	"19-16"	"大青椒"	"向下"	"绿"	"87.60"	"4.1500"	"25.40"	"0.2"	"V06C0356"	"100.00"	"甜"	"红"	"薄"	"2933"	"--"	"DA QING JIAO"	"*"	"黑龙江"	"9"	"0.3200"	"--"	"34"	"黑龙江省园艺所"	"方灯笼形"	"6.8000"	"生食"	"--"	"黑龙江林口县"	"43.2"	"--"	"59.7"	"Ⅱ6C0311"	"3中-9下"
"122"	"晚"	"1.3100"	"19-22"	"一窝蜂"	"向下"	"绿"	"63.00"	"2.5800"	"100.00"	"0.3"	"V06C0359"	"71.00"	"甜"	"红"	"厚"	"900"	"45.0"	"YI WO FENG"	"*"	"黑龙江"	"8"	"2.8800"	"中"	"50"	"黑龙江省园艺所"	"长柱形"	"10.5000"	"生食"	"0.420"	"黑龙江明水县"	"40.4"	"--"	"41.1"	"Ⅱ6C0092"	"3中-9中"
"123"	"--"	"0.1900"	"19-114"	"龙椒二号"	"向下"	"绿"	"154.40"	"2.9400"	"34.80"	"0.3"	"V06C0373"	"100.00"	"中辣"	"红"	"厚"	"1125"	"--"	"LONG JIAO ER HAO"	"--"	"黑龙江"	"10"	"0.0600"	"--"	"63"	"黑龙江省园艺所"	"方灯笼形"	"6.7000"	"生食"	"--"	"黑龙江园艺所"	"60.0"	"强"	"66.2"	"Ⅱ6C0324"	"3中-9下"
"124"	"晚"	"1.1900"	"19-113"	"龙椒一号"	"向下"	"绿"	"80.30"	"3.7800"	"23.30"	"0.3"	"V06C0374"	"90.00"	"甜"	"红"	"厚"	"1250"	"160.0"	"LONG JIAO YI HAO"	"--"	"黑龙江"	"12"	"2.4500"	"--"	"73"	"黑龙江省园艺所"	"方灯笼形"	"6.2000"	"生食腌制"	"0.060"	"黑龙江园艺所"	"60.0"	"强"	"38.3"	"Ⅱ6C0322"	"3上-9下"
"125"	"晚"	"0.3300"	"19-110"	"铁皮青"	"向下"	"绿"	"64.50"	"3.3900"	"20.00"	"0.3"	"V06C0375"	"100.00"	"甜"	"红"	"厚"	"1520"	"120.0"	"TIE PI QING"	"*"	"黑龙江"	"7"	"-0.1700"	"中"	"55"	"黑龙江省园艺所"	"方灯笼形"	"9.4000"	"生食腌制"	"0.150"	"黑龙江园艺所"	"45.2"	"--"	"55.3"	"Ⅱ6C0094"	"3中-9下"
"126"	"中"	"1.0200"	"19-2"	"常青二号"	"侧生"	"绿"	"50.80"	"3.7200"	"77.80"	"0.2"	"V06C0376"	"100.00"	"极辣"	"红"	"厚"	"1000"	"25.0"	"CHANG QING ER HAO"	"*"	"黑龙江"	"7"	"3.6700"	"--"	"43"	"黑龙江省园艺所"	"圆锥形"	"11.9000"	"生食制干"	"0.330"	"黑龙双鸭山市"	"48.0"	"--"	"58.8"	"Ⅱ6C0089"	"3中-9下"
"127"	"中"	"-0.1400"	"续Ⅱ6C0013"	"团椒"	"向下"	"绿"	"112.01"	"1.1000"	"100.00"	"0.2"	"V06C0377"	"100.00"	"中辣"	"红"	"--"	"400"	"24.0"	"TUAN JIAO"	"--"	"湖北"	"14"	"1.0700"	"--"	"--"	"湖北农科院经作所"	"方灯笼形"	"17.7000"	"生食"	"0.156"	"湖北长阳县"	"45.0"	"中"	"100.0"	"Ⅱ6C0837"	"元/上-10下"
"128"	"中"	"--"	"续Ⅱ6C0012"	"尖椒"	"向下"	"绿"	"--"	"--"	"--"	"0.1"	"V06C0378"	"--"	"中辣"	"红"	"--"	"250"	"11.0"	"JIAN JIAO"	"--"	"湖北"	"14"	"--"	"--"	"--"	"湖北农科院经作所"	"圆锥形"	"--"	"生食"	"--"	"湖北长阳县"	"55.0"	"中"	"--"	"Ⅱ6C0983"	"元/上-10下"
"129"	"中"	"--"	"续Ⅱ6C0027"	"线椒"	"向下"	"绿"	"--"	"--"	"--"	"0.1"	"V06C0379"	"--"	"中辣"	"红"	"--"	"300"	"12.0"	"XIAN JIAO"	"--"	"湖北"	"15"	"--"	"--"	"--"	"湖北农科院经作所"	"圆锥形"	"--"	"制干生食"	"--"	"湖北丹江口市"	"70.0"	"中"	"--"	"Ⅱ6C0993"	"元/上-10下"
"130"	"早"	"1.0444"	"续Ⅱ6C0024"	"华椒2号"	"向下"	"绿"	"138.04"	"1.3155"	"75.60"	"0.1"	"V06C0383"	"53.30"	"中辣"	"红"	"薄"	"1750"	"13.0"	"HUA JIAO 2 HAO"	"*适于保护地种植"	"湖北"	"6"	"1.6997"	"--"	"37"	"湖北农科院经作所"	"长柱形"	"14.7500"	"生食"	"0.050"	"湖北华农"	"25.0"	"耐湿"	"19.2"	"Ⅱ6C0990"	"1中-4上-5中7中"
"131"	"中"	"--"	"续Ⅱ6C0018"	"羊角椒"	"向下"	"绿"	"--"	"--"	"--"	"0.1"	"V06C0384"	"--"	"中辣"	"红"	"--"	"300"	"13.0"	"YANG JIAO JIAO"	"--"	"湖北"	"15"	"--"	"--"	"--"	"湖北农科院经作所"	"圆锥形"	"--"	"生食"	"--"	"湖北黄坡县"	"70.0"	"中"	"--"	"Ⅱ6C0984"	"元/上-10下"
"132"	"中"	"1.6432"	"续Ⅱ6C0001"	"华椒17号"	"--"	"--"	"158.75"	"1.5629"	"26.30"	"--"	"V06C0389"	"50.00"	"微辣"	"--"	"--"	"2500"	"50.0"	"HUA JIAO 17 HAO"	"--"	"湖北"	"13"	"5.3397"	"--"	"--"	"湖北农科院经作所"	"圆锥形"	"11.9000"	"生食"	"0.040"	"湖北武汉市"	"70.0"	"强"	"10.3"	"Ⅱ6C0102"	"元/上-11上"
"133"	"晚"	"--"	"续Ⅱ6C0021"	"牛角椒"	"向下"	"绿"	"--"	"--"	"--"	"0.1"	"V06C0394"	"--"	"中辣"	"红"	"--"	"375"	"20.0"	"NIU JIAO JIAO"	"--"	"湖北"	"16"	"--"	"--"	"--"	"湖北农科院经作所"	"圆锥形"	"--"	"生食"	"--"	"湖北竹山县"	"70.0"	"中"	"--"	"Ⅱ6C0987"	"元/上-10下"
"134"	"中"	"--"	"续Ⅱ6C0023"	"长辣椒"	"向下"	"绿"	"--"	"--"	"--"	"0.1"	"V06C0395"	"--"	"中辣"	"红"	"--"	"300"	"15.0"	"CHANG LA JIAO"	"--"	"湖北"	"15"	"--"	"--"	"--"	"湖北农科院经作所"	"圆锥形"	"--"	"生食"	"--"	"湖北竹溪县"	"57.0"	"中"	"--"	"Ⅱ6C0989"	"元/上-10下"
"135"	"中"	"1.3997"	"续II6C0003"	"广椒"	"向下"	"绿"	"136.36"	"0.7820"	"91.10"	"0.2"	"V06C0396"	"73.30"	"中辣"	"红"	"--"	"750"	"6.5"	"GUANG JIAO"	"--"	"湖北"	"14"	"0.8969"	"--"	"--"	"湖北农科院经作所"	"圆锥形"	"17.2000"	"制干生食"	"0.080"	"湖北秭归县"	"72.0"	"强"	"14.6"	"Ⅱ6C0945"	"1上-10下"
"136"	"早"	"1.5137"	"6-C61"	"新屋辣椒"	"向下"	"绿"	"151.22"	"2.8893"	"15.60"	"0.3"	"V06C0397"	"28.60"	"极辣"	"红"	"--"	"1100"	"13.8"	"XIN WU LA JIAO"	"--"	"湖南"	"15"	"1.7795"	"中"	"--"	"湖南农科院蔬菜所"	"圆锥形"	"15.8600"	"生食腌制"	"0.080"	"湖南安化县"	"53.0"	"强"	"17.6"	"Ⅱ6C0780"	"--"
"137"	"中"	"2.4145"	"6-C56"	"安化辣椒"	"向下"	"绿"	"140.85"	"1.3201"	"22.50"	"0.3"	"V06C0398"	"40.00"	"中辣"	"红"	"厚"	"1000"	"23.4"	"AN HUA LA JIAO"	"--"	"湖南"	"14"	"0.9149"	"中"	"80"	"湖南农科院蔬菜所"	"长柱形"	"13.8300"	"生食腌制"	"0.190"	"湖南安化县"	"51.0"	"耐热旱"	"8.3"	"Ⅱ6C0762"	"--"
