"id"	"熟性"	"炭疽病指"	"保存编号"	"品种名称"	"着果方向"	"食熟果皮色"	"维生素C"	"CMV病指"	"CMV发病率"	"果肉厚"	"统一编号"	"TMV发病率"	"风味"	"老熟种果色"	"外皮薄厚"	"亩产"	"单果重"	"译名"	"备注"	"省"	"首花节位"	"TMV病指"	"果实水分"	"生育期"	"保存单位"	"果形"	"干物质"	"用途"	"辣椒素"	"种子来源"	"株高"	"抗逆性"	"炭疽发病率"	"种质库编号"	"栽培季节"
"40"	"中"	"3.8900"	"甘Ⅱ6C015"	"小矮秧辣椒"	"向下"	"绿"	"90.50"	"1.1400"	"100.00"	"0.4"	"V06C0094"	"80.00"	"甜"	"红"	"厚"	"1750"	"88.0"	"XIAO AI YANG LA JIAO"	"--"	"甘肃"	"12"	"0.5600"	"多"	"75"	"甘肃农科院蔬菜所"	"方灯笼形"	"8.7000"	"生食"	"--"	"甘肃兰州市"	"43.0"	"弱"	"12.9"	"Ⅱ6C0759"	"1-7上"
"41"	"--"	"-0.4500"	"甘Ⅱ6C005"	"武都小辣"	"向下"	"黄"	"40.30"	"1.8600"	"60.40"	"0.2"	"V06C0099"	"73.30"	"中辣"	"红"	"薄"	"1375"	"22.0"	"WU DU XIAO LA"	"--"	"甘肃"	"10"	"0.0600"	"中"	"--"	"甘肃农科院蔬菜所"	"圆锥形"	"6.2000"	"制干"	"0.200"	"甘肃武都县"	"60.0"	"耐旱寒"	"63.3"	"Ⅱ6C0026"	"4下-6下"
"42"	"中"	"-0.8100"	"甘Ⅱ6C009"	"猪大肠"	"向下"	"绿"	"121.50"	"-0.2100"	"100.00"	"0.2"	"V06C0100"	"100.00"	"微辣"	"红"	"中"	"4000"	"44.0"	"ZHU DA CHANG"	"*引自新疆"	"甘肃"	"10"	"--"	"多"	"--"	"甘肃农科院蔬菜所"	"圆锥形"	"9.4000"	"生食制干"	"0.210"	"甘肃武威市"	"60.0"	"--"	"65.0"	"Ⅱ6C0087"	"3下直播-7下"
"43"	"中"	"1.2397"	"G27-21"	"白沙牛角椒"	"向下"	"绿"	"107.10"	"1.7103"	"38.10"	"0.3"	"V06C0101"	"95.60"	"极辣"	"红"	"薄"	"1000"	"25.0"	"BAI SHA NIU JIAO JIAO"	"--"	"广东"	"10"	"-0.8792"	"中"	"80"	"广东农科院经作所"	"圆锥形"	"11.5500"	"制干"	"0.080"	"广东澄海县"	"63.0"	"中"	"18.4"	"Ⅱ6C0522"	"春秋"
"44"	"中"	"-0.0887"	"G27-23"	"大顶尖椒"	"向下"	"绿"	"142.80"	"1.7548"	"40.00"	"0.3"	"V06C0102"	"47.50"	"极辣"	"红"	"薄"	"1000"	"22.0"	"DA DING JIAN JIAO"	"--"	"广东"	"--"	"1.6527"	"中"	"75"	"广东农科院经作所"	"圆锥形"	"14.3500"	"制干"	"0.040"	"广东番禺县"	"65.0"	"中"	"41.7"	"Ⅱ6C0523"	"春秋"
"45"	"早"	"1.0775"	"G27-24"	"甜尖椒2号"	"向下"	"绿"	"40.48"	"1.0377"	"40.50"	"0.3"	"V06C0103"	"49.80"	"甜"	"红"	"厚"	"1125"	"45.0"	"TIAN JIAN JIAO 2 HAO"	"--"	"广东"	"11"	"0.4812"	"多"	"65"	"广东农科院经作所"	"圆锥形"	"6.7000"	"生食"	"0.100"	"广东广州市"	"57.5"	"中"	"7.3"	"Ⅱ6C0743"	"春秋"
"46"	"早"	"--"	"G27-25"	"甜尖椒3号"	"向下"	"绿"	"--"	"--"	"--"	"0.3"	"V06C0104"	"--"	"甜"	"红"	"厚"	"1125"	"47.5"	"TIAN JIAN JIAO 3 HAO"	"--"	"广东"	"11"	"--"	"多"	"65"	"广东农科院经作所"	"圆锥形"	"--"	"生食"	"--"	"广东广州市"	"57.5"	"中"	"--"	"Ⅱ6C0981"	"春秋"
"47"	"中"	"1.2275"	"200022"	"南宁牛角椒"	"向下"	"绿"	"223.72"	"2.7968"	"5.60"	"0.2"	"V06C0109"	"50.00"	"甜辣"	"红"	"--"	"688"	"32.5"	"NAN NING NIU JIAO JIAO"	"--"	"广西"	"13"	"3.9047"	"中"	"100"	"广西农科院园艺所"	"圆锥形"	"10.0000"	"腌制"	"0.020"	"广西南宁市"	"85.0"	"中"	"7.5"	"Ⅱ6C0098"	"--"
"48"	"中"	"0.2929"	"200032"	"长牛角椒(柳仙一号)"	"向下"	"绿"	"119.38"	"--"	"90.00"	"--"	"V06C0112"	"60.00"	"中辣"	"红"	"--"	"1250"	"33.0"	"CHANG NIU JIAO JIAO (LIU XIAN YI HAO )"	"*引自湖南"	"广西"	"8"	"5.5850"	"中"	"65"	"广西农科院园艺所"	"圆锥形"	"12.2700"	"生食"	"0.005"	"广西梧州市"	"58.0"	"中"	"14.4"	"Ⅱ6C0105"	"11播-2栽-5中7中"
"49"	"中"	"1.1781"	"200048"	"金鱼黄辣椒"	"向上"	"黄"	"143.11"	"--"	"96.70"	"--"	"V06C0113"	"5.00"	"极辣"	"--"	"--"	"325"	"5.0"	"JIN YU HUANG LA JIAO"	"*"	"广西"	"12"	"4.4172"	"少"	"65"	"广西农科院园艺所"	"长柱形"	"17.0700"	"生食腌制"	"0.160"	"广西梧州市"	"60.0"	"强"	"14.0"	"Ⅱ6C0307"	"2中播"
