"id"	"成熟期"	"茎秆茸毛量"	"科名"	"油酸"	"保存编号"	"品种名称"	"株型"	"耐渍性"	"棕榈酸"	"千粒重"	"成熟茎秆色"	"含油量"	"省"	"每叶腋花数"	"硬脂酸"	"蒴果长度"	"产地或来源"	"耐旱性"	"译名"	"库编号"	"茎点枯病"	"蒴果棱数"	"播种期"	"学名"	"统一编号"	"蛋白质含量"	"保存单位"	"属名"	"亚油酸"	"生育日数"	"裂蒴性"	"株高"	"种皮色"	"枯萎病"	"花色"
"1"	"9/18"	"少"	"Pedaliaceae(胡麻科)"	"44.22"	"33"	"鞭秆"	"单秆"	"高耐"	"8.52"	"3.10"	"绿"	"54.03"	"辽宁"	"单花"	"3.57"	"中"	"辽宁台安"	"--"	"BIAN GAN"	"I4C01203"	"感病"	"4"	"5/19"	"Sesamum indicum L.(芝麻)"	"ZZM00001"	"23.17"	"辽宁省农科院"	"Sesamum(胡麻属)"	"43.68"	"122"	"裂"	"125.0"	"白"	"抗病"	"淡紫"
"2"	"9/14"	"少"	"Pedaliaceae(胡麻科)"	"43.57"	"75"	"马鞭"	"单秆"	"中耐"	"9.02"	"3.00"	"绿"	"54.59"	"辽宁"	"单花"	"3.90"	"短"	"辽宁旅顺"	"--"	"MA BIAN"	"I4C01204"	"感病"	"4"	"5/19"	"Sesamum indicum L.(芝麻)"	"ZZM00002"	"22.94"	"辽宁省农科院"	"Sesamum(胡麻属)"	"43.50"	"118"	"裂"	"108.4"	"白"	"抗病"	"淡紫"
"3"	"9/14"	"少"	"Pedaliaceae(胡麻科)"	"44.95"	"39"	"朝鲜芝麻"	"单秆"	"中耐"	"8.31"	"3.00"	"绿"	"55.20"	"辽宁"	"单花"	"4.24"	"短"	"辽宁凤城"	"--"	"CHAO XIAN ZHI MA"	"I4C01205"	"高感"	"6.8"	"5/19"	"Sesamum indicum L.(芝麻)"	"ZZM00003"	"23.29"	"辽宁省农科院"	"Sesamum(胡麻属)"	"42.50"	"118"	"裂"	"116.4"	"白"	"抗病"	"淡紫"
"4"	"9/18"	"少"	"Pedaliaceae(胡麻科)"	"44.52"	"71"	"霸王鞭"	"单秆"	"中耐"	"8.01"	"3.25"	"绿"	"55.54"	"辽宁"	"三花"	"3.36"	"中"	"辽宁抚顺"	"--"	"BA WANG BIAN"	"I4C01206"	"高感"	"4"	"5/19"	"Sesamum indicum L.(芝麻)"	"ZZM00004"	"23.15"	"辽宁省农科院"	"Sesamum(胡麻属)"	"44.11"	"122"	"裂"	"126.0"	"白"	"抗病"	"淡紫"
"5"	"9/14"	"少"	"Pedaliaceae(胡麻科)"	"46.36"	"34"	"芝麻"	"单秆"	"中耐"	"7.52"	"3.00"	"绿"	"55.32"	"辽宁"	"三花"	"3.23"	"短"	"辽宁台安"	"--"	"ZHI MA"	"I4C01207"	"感病"	"4"	"5/19"	"Sesamum indicum L.(芝麻)"	"ZZM00005"	"22.26"	"辽宁省农科院"	"Sesamum(胡麻属)"	"42.89"	"118"	"裂"	"108.8"	"白"	"感病"	"淡紫"
"6"	"9/18"	"少"	"Pedaliaceae(胡麻科)"	"44.37"	"70"	"霸王鞭"	"单秆"	"耐"	"8.63"	"3.10"	"绿"	"53.64"	"辽宁"	"三花"	"3.41"	"短"	"辽宁黑山"	"--"	"BA WANG BIAN"	"I4C01208"	"高感"	"4"	"5/19"	"Sesamum indicum L.(芝麻)"	"ZZM00006"	"23.05"	"辽宁省农科院"	"Sesamum(胡麻属)"	"43.58"	"122"	"裂"	"112.6"	"白"	"抗病"	"淡紫"
"7"	"9/18"	"少"	"Pedaliaceae(胡麻科)"	"44.40"	"81"	"霸王鞭"	"单秆"	"耐"	"8.13"	"3.10"	"绿"	"53.06"	"辽宁"	"三花"	"3.49"	"中"	"辽宁黑山"	"--"	"BA WANG BIAN"	"I4C01209"	"高感"	"4"	"5/19"	"Sesamum indicum L.(芝麻)"	"ZZM00007"	"23.43"	"辽宁省农科院"	"Sesamum(胡麻属)"	"43.97"	"122"	"裂"	"124.0"	"白"	"抗病"	"淡紫"
"8"	"9/18"	"少"	"Pedaliaceae(胡麻科)"	"44.50"	"79"	"一束香"	"单秆"	"中耐"	"9.61"	"3.11"	"绿"	"53.75"	"辽宁"	"三花"	"3.54"	"中"	"辽宁黑山"	"--"	"YI SHU XIANG"	"I4C01210"	"高感"	"4"	"5/19"	"Sesamum indicum L.(芝麻)"	"ZZM00008"	"23.62"	"辽宁省农科院"	"Sesamum(胡麻属)"	"42.35"	"122"	"裂"	"107.0"	"黄"	"抗病"	"淡紫"
"9"	"9/18"	"少"	"Pedaliaceae(胡麻科)"	"45.38"	"63"	"芝麻"	"单秆"	"中耐"	"8.75"	"3.20"	"绿"	"54.54"	"辽宁"	"三花"	"3.56"	"中"	"辽宁盘山"	"--"	"ZHI MA"	"I4C01211"	"高感"	"4"	"5/19"	"Sesamum indicum L.(芝麻)"	"ZZM00009"	"23.91"	"辽宁省农科院"	"Sesamum(胡麻属)"	"42.31"	"122"	"裂"	"123.4"	"白"	"抗病"	"淡紫"
"10"	"9/18"	"少"	"Pedaliaceae(胡麻科)"	"44.47"	"64"	"芝麻"	"单秆"	"中耐"	"9.30"	"3.00"	"绿"	"54.30"	"辽宁"	"三花"	"3.54"	"短"	"辽宁辽阳"	"--"	"ZHI MA"	"I4C01212"	"感病"	"4"	"5/19"	"Sesamum indicum L.(芝麻)"	"ZZM00010"	"23.48"	"辽宁省农科院"	"Sesamum(胡麻属)"	"42.70"	"122"	"裂"	"105.6"	"白"	"感病"	"淡紫"
"11"	"9/18"	"少"	"Pedaliaceae(胡麻科)"	"44.10"	"66"	"霸王鞭"	"单秆"	"中耐"	"9.09"	"2.75"	"绿"	"54.14"	"辽宁"	"三花"	"3.69"	"短"	"辽宁喀喇沁左翼"	"--"	"BA WANG BIAN"	"I4C01213"	"感病"	"4"	"5/19"	"Sesamum indicum L.(芝麻)"	"ZZM00011"	"23.43"	"辽宁省农科院"	"Sesamum(胡麻属)"	"43.12"	"122"	"裂"	"118.6"	"白"	"抗病"	"淡紫"
"12"	"9/14"	"少"	"Pedaliaceae(胡麻科)"	"44.27"	"62"	"鞭秆"	"单秆"	"中耐"	"8.66"	"3.05"	"绿"	"54.45"	"辽宁"	"三花"	"3.74"	"短"	"辽宁新金"	"--"	"BIAN GAN"	"I4C01214"	"感病"	"4"	"5/19"	"Sesamum indicum L.(芝麻)"	"ZZM00012"	"23.83"	"辽宁省农科院"	"Sesamum(胡麻属)"	"43.33"	"118"	"裂"	"116.0"	"白"	"抗病"	"白"
"13"	"9/18"	"少"	"Pedaliaceae(胡麻科)"	"44.32"	"73"	"鞭秆"	"单秆"	"中耐"	"8.43"	"3.05"	"绿"	"53.55"	"辽宁"	"三花"	"3.60"	"中"	"辽宁宽甸"	"--"	"BIAN GAN"	"I4C01215"	"感病"	"4"	"5/19"	"Sesamum indicum L.(芝麻)"	"ZZM00013"	"24.34"	"辽宁省农科院"	"Sesamum(胡麻属)"	"43.66"	"122"	"裂"	"91.2"	"白"	"抗病"	"淡紫"
"14"	"9/18"	"少"	"Pedaliaceae(胡麻科)"	"45.52"	"72"	"芝麻"	"单秆"	"高耐"	"8.60"	"3.26"	"绿"	"53.17"	"辽宁"	"三花"	"3.55"	"中"	"辽宁铁岭"	"--"	"ZHI MA"	"I4C01216"	"感病"	"4"	"5/19"	"Sesamum indicum L.(芝麻)"	"ZZM00014"	"23.71"	"辽宁省农科院"	"Sesamum(胡麻属)"	"42.33"	"122"	"裂"	"124.4"	"白"	"抗病"	"淡紫"
"15"	"9/18"	"少"	"Pedaliaceae(胡麻科)"	"44.34"	"68"	"霸王鞭"	"单秆"	"中耐"	"9.46"	"3.10"	"绿"	"55.31"	"辽宁"	"三花"	"3.52"	"短"	"辽宁法库"	"--"	"BA WANG BIAN"	"I4C01217"	"感病"	"4"	"5/19"	"Sesamum indicum L.(芝麻)"	"ZZM00015"	"22.80"	"辽宁省农科院"	"Sesamum(胡麻属)"	"42.68"	"122"	"裂"	"130.2"	"白"	"抗病"	"淡紫"
"16"	"9/18"	"少"	"Pedaliaceae(胡麻科)"	"44.53"	"69"	"芝麻"	"单秆"	"中耐"	"8.24"	"3.15"	"黄"	"54.59"	"辽宁"	"三花"	"3.50"	"中"	"辽宁法库"	"--"	"ZHI MA"	"I4C01218"	"感病"	"4"	"5/19"	"Sesamum indicum L.(芝麻)"	"ZZM00016"	"23.40"	"辽宁省农科院"	"Sesamum(胡麻属)"	"43.72"	"122"	"裂"	"130.0"	"白"	"抗病"	"淡紫"
"17"	"9/13"	"少"	"Pedaliaceae(胡麻科)"	"44.83"	"60"	"鞭秆"	"单秆"	"耐"	"8.77"	"3.10"	"绿"	"55.08"	"辽宁"	"三花"	"3.48"	"中"	"辽宁西丰"	"--"	"BIAN GAN"	"I4C01219"	"感病"	"4"	"5/19"	"Sesamum indicum L.(芝麻)"	"ZZM00017"	"23.06"	"辽宁省农科院"	"Sesamum(胡麻属)"	"42.93"	"117"	"裂"	"123.4"	"白"	"抗病"	"淡紫"
"18"	"9/14"	"少"	"Pedaliaceae(胡麻科)"	"43.92"	"61"	"霸王鞭"	"单秆"	"中耐"	"8.51"	"3.12"	"绿"	"54.29"	"辽宁"	"三花"	"3.50"	"短"	"辽宁海城"	"--"	"BA WANG BIAN"	"I4C01220"	"抗病"	"4"	"5/19"	"Sesamum indicum L.(芝麻)"	"ZZM00018"	"23.29"	"辽宁省农科院"	"Sesamum(胡麻属)"	"44.07"	"118"	"裂"	"133.2"	"黄"	"抗病"	"淡紫"
"19"	"9/14"	"少"	"Pedaliaceae(胡麻科)"	"42.98"	"51"	"芝麻"	"单秆"	"极不"	"8.17"	"2.90"	"绿"	"55.71"	"辽宁"	"三花"	"3.51"	"短"	"辽宁锦州"	"--"	"ZHI MA"	"I4C01221"	"抗病"	"4"	"5/19"	"Sesamum indicum L.(芝麻)"	"ZZM00019"	"23.19"	"辽宁省农科院"	"Sesamum(胡麻属)"	"45.24"	"118"	"裂"	"124.2"	"黄"	"抗病"	"淡紫"
"20"	"9/15"	"少"	"Pedaliaceae(胡麻科)"	"42.71"	"65"	"芝麻"	"单秆"	"不耐"	"8.59"	"2.96"	"绿"	"56.37"	"辽宁"	"三花"	"3.33"	"中"	"辽宁喀喇沁左翼"	"--"	"ZHI MA"	"I4C01222"	"抗病"	"4"	"5/19"	"Sesamum indicum L.(芝麻)"	"ZZM00020"	"21.78"	"辽宁省农科院"	"Sesamum(胡麻属)"	"45.37"	"119"	"裂"	"123.2"	"黄"	"高抗"	"淡紫"
"21"	"8/15"	"少"	"Pedaliaceae(胡麻科)"	"43.63"	"140"	"大八杈"	"多枝"	"中耐"	"7.35"	"2.85"	"黄"	"57.64"	"北京"	"单花"	"5.49"	"中"	"北京大兴"	"--"	"DA BA CHA"	"I4C00010"	"感病"	"4"	"5/7"	"Sesamum indicum L.(芝麻)"	"ZZM00091"	"20.60"	"河北省作物所"	"Sesamum(胡麻属)"	"43.52"	"100"	"裂"	"155.6"	"白"	"抗病"	"淡紫"
"22"	"8/13"	"中"	"Pedaliaceae(胡麻科)"	"44.40"	"43"	"小八杈"	"多枝"	"高耐"	"7.21"	"2.26"	"黄"	"57.50"	"北京"	"单花"	"5.86"	"中"	"北京大兴"	"--"	"XIAO BA CHA"	"I4C00011"	"抗病"	"6.8"	"5/7"	"Sesamum indicum L.(芝麻)"	"ZZM00092"	"18.99"	"河北省作物所"	"Sesamum(胡麻属)"	"42.53"	"98"	"裂"	"157.0"	"白"	"抗病"	"淡紫"
"23"	"8/4"	"中"	"Pedaliaceae(胡麻科)"	"41.91"	"103"	"紧口黄"	"分枝"	"耐"	"7.48"	"2.47"	"绿"	"58.28"	"北京"	"三花"	"5.41"	"中"	"北京市郊"	"--"	"JIN KOU HUANG"	"I4C00012"	"抗病"	"4"	"5/7"	"Sesamum indicum L.(芝麻)"	"ZZM00093"	"18.98"	"河北省作物所"	"Sesamum(胡麻属)"	"45.19"	"89"	"裂"	"117.8"	"白"	"抗病"	"淡紫"
"24"	"8/13"	"少"	"Pedaliaceae(胡麻科)"	"46.05"	"42"	"大八杈"	"分枝"	"中耐"	"7.58"	"2.60"	"绿"	"58.96"	"北京"	"三花"	"6.40"	"中"	"北京大兴"	"--"	"DA BA CHA"	"I4C00013"	"抗病"	"4"	"5/7"	"Sesamum indicum L.(芝麻)"	"ZZM00094"	"18.12"	"河北省作物所"	"Sesamum(胡麻属)"	"39.97"	"98"	"裂"	"152.4"	"白"	"抗病"	"淡紫"
"25"	"--"	"中"	"Pedaliaceae(胡麻科)"	"44.53"	"131"	"霸王鞭"	"单秆"	"中耐"	"7.23"	"2.47"	"绿"	"58.77"	"天津"	"三花"	"5.98"	"中"	"天津宝坻"	"--"	"BA WANG BIAN"	"I4C00014"	"高抗"	"4"	"5/7"	"Sesamum indicum L.(芝麻)"	"ZZM00095"	"17.86"	"河北省作物所"	"Sesamum(胡麻属)"	"42.25"	"--"	"裂"	"175.5"	"白"	"抗病"	"淡紫"
"26"	"8/13"	"少"	"Pedaliaceae(胡麻科)"	"45.01"	"50"	"霸王鞭"	"单秆"	"中耐"	"7.03"	"2.55"	"绿"	"58.89"	"天津"	"三花"	"6.48"	"中"	"天津武清"	"--"	"BA WANG BIAN"	"I4C00015"	"抗病"	"4"	"5/7"	"Sesamum indicum L.(芝麻)"	"ZZM00096"	"18.04"	"河北省作物所"	"Sesamum(胡麻属)"	"41.48"	"98"	"裂"	"161.5"	"白"	"抗病"	"淡紫"
"27"	"8/25"	"少"	"Pedaliaceae(胡麻科)"	"45.01"	"189"	"霸王鞭"	"单秆"	"耐"	"7.11"	"2.95"	"绿"	"56.38"	"天津"	"三花"	"6.01"	"中"	"天津武清"	"--"	"BA WANG BIAN"	"I4C00016"	"抗病"	"4"	"5/10"	"Sesamum indicum L.(芝麻)"	"ZZM00097"	"19.06"	"河北省作物所"	"Sesamum(胡麻属)"	"41.87"	"107"	"裂"	"114.2"	"白"	"抗病"	"淡紫"
"28"	"--"	"中"	"Pedaliaceae(胡麻科)"	"44.63"	"133"	"霸王鞭"	"单秆"	"耐"	"7.16"	"2.45"	"绿"	"55.81"	"天津"	"三花"	"5.76"	"中"	"天津宝坻"	"--"	"BA WANG BIAN"	"I4C00017"	"高抗"	"4"	"5/7"	"Sesamum indicum L.(芝麻)"	"ZZM00098"	"19.95"	"河北省作物所"	"Sesamum(胡麻属)"	"42.25"	"--"	"裂"	"171.2"	"灰"	"抗病"	"淡紫"
"29"	"--"	"中"	"Pedaliaceae(胡麻科)"	"41.60"	"109"	"芝麻"	"单秆"	"极不"	"7.62"	"2.59"	"绿"	"55.09"	"河北"	"单花"	"4.36"	"中"	"河北怀来"	"--"	"ZHI MA"	"I4C01282"	"感病"	"4"	"5/7"	"Sesamum indicum L.(芝麻)"	"ZZM00099"	"23.03"	"河北省作物所"	"Sesamum(胡麻属)"	"46.62"	"--"	"裂"	"164.4"	"白"	"感病"	"淡紫"
"30"	"8/20"	"中"	"Pedaliaceae(胡麻科)"	"44.93"	"244"	"芝麻"	"单秆"	"耐"	"7.36"	"3.25"	"绿"	"56.22"	"河北"	"单花"	"6.22"	"中"	"河北新乐"	"--"	"ZHI MA"	"I4C00018"	"抗病"	"4"	"5/10"	"Sesamum indicum L.(芝麻)"	"ZZM00100"	"18.88"	"河北省作物所"	"Sesamum(胡麻属)"	"41.48"	"102"	"裂"	"104.3"	"白"	"抗病"	"淡紫"
"31"	"--"	"多"	"Pedaliaceae(胡麻科)"	"47.07"	"115"	"四棱长蒴芝麻"	"单秆"	"极不"	"7.91"	"2.36"	"绿"	"55.27"	"河北"	"单花"	"4.50"	"长"	"河北束鹿"	"--"	"SI LENG CHANG SHUO ZHI MA"	"I4C01283"	"感病"	"4"	"5/7"	"Sesamum indicum L.(芝麻)"	"ZZM00101"	"23.72"	"河北省作物所"	"Sesamum(胡麻属)"	"40.52"	"--"	"裂"	"161.3"	"白"	"感病"	"淡紫"
"32"	"8/18"	"中"	"Pedaliaceae(胡麻科)"	"45.96"	"147"	"芝麻"	"单秆"	"高耐"	"6.92"	"2.57"	"绿"	"55.95"	"河北"	"单花"	"5.97"	"中"	"河北交河"	"--"	"ZHI MA"	"I4C00019"	"抗病"	"4"	"5/7"	"Sesamum indicum L.(芝麻)"	"ZZM00102"	"20.93"	"河北省作物所"	"Sesamum(胡麻属)"	"41.14"	"103"	"裂"	"162.6"	"白"	"抗病"	"淡紫"
"33"	"8/17"	"中"	"Pedaliaceae(胡麻科)"	"44.79"	"10"	"沦县四筒"	"单秆"	"高耐"	"7.29"	"2.53"	"绿"	"58.40"	"河北"	"单花"	"6.03"	"中"	"河北河间"	"--"	"LUN XIAN SI TONG"	"I4C00020"	"抗病"	"4"	"5/7"	"Sesamum indicum L.(芝麻)"	"ZZM00103"	"18.27"	"河北省作物所"	"Sesamum(胡麻属)"	"41.89"	"102"	"裂"	"149.1"	"白"	"抗病"	"淡紫"
"34"	"8/14"	"中"	"Pedaliaceae(胡麻科)"	"45.19"	"138"	"芝麻"	"单秆"	"高耐"	"7.41"	"2.75"	"绿"	"57.15"	"河北"	"单花"	"5.77"	"中"	"河北柏乡"	"--"	"ZHI MA"	"I4C00021"	"感病"	"4"	"5/7"	"Sesamum indicum L.(芝麻)"	"ZZM00104"	"20.57"	"河北省作物所"	"Sesamum(胡麻属)"	"41.62"	"99"	"裂"	"159.2"	"白"	"抗病"	"淡紫"
"35"	"8/15"	"少"	"Pedaliaceae(胡麻科)"	"43.93"	"70"	"霸王鞭"	"单秆"	"中耐"	"7.09"	"2.47"	"绿"	"60.30"	"河北"	"单花"	"5.43"	"中"	"河北承德"	"--"	"BA WANG BIAN"	"I4C00022"	"感病"	"6.8"	"5/7"	"Sesamum indicum L.(芝麻)"	"ZZM00105"	"18.27"	"河北省作物所"	"Sesamum(胡麻属)"	"43.54"	"100"	"裂"	"176.1"	"白"	"抗病"	"淡紫"
"36"	"8/15"	"中"	"Pedaliaceae(胡麻科)"	"46.09"	"61"	"霸王鞭"	"单秆"	"极不"	"6.94"	"2.30"	"绿"	"58.87"	"河北"	"单花"	"5.86"	"中"	"河北承德"	"--"	"BA WANG BIAN"	"I4C00023"	"感病"	"6.8"	"5/7"	"Sesamum indicum L.(芝麻)"	"ZZM00106"	"18.76"	"河北省作物所"	"Sesamum(胡麻属)"	"41.11"	"100"	"裂"	"180.9"	"黄"	"抗病"	"淡紫"
"37"	"8/15"	"少"	"Pedaliaceae(胡麻科)"	"47.49"	"27"	"温仁平顶黄"	"单秆"	"中耐"	"6.56"	"2.78"	"绿"	"55.42"	"河北"	"单花"	"5.93"	"中"	"河北清苑"	"--"	"WEN REN PING DING HUANG"	"I4C00024"	"感病"	"6.8"	"5/7"	"Sesamum indicum L.(芝麻)"	"ZZM00107"	"20.88"	"河北省作物所"	"Sesamum(胡麻属)"	"40.02"	"100"	"裂"	"142.0"	"白"	"感病"	"淡紫"
"38"	"8/15"	"中"	"Pedaliaceae(胡麻科)"	"44.42"	"183"	"芝麻"	"单秆"	"不耐"	"7.12"	"2.63"	"绿"	"57.50"	"河北"	"单花"	"5.71"	"中"	"河北行唐"	"--"	"ZHI MA"	"I4C00025"	"感病"	"6.8"	"5/7"	"Sesamum indicum L.(芝麻)"	"ZZM00108"	"18.55"	"河北省作物所"	"Sesamum(胡麻属)"	"42.74"	"100"	"裂"	"149.5"	"白"	"抗病"	"淡紫"
"39"	"8/24"	"中"	"Pedaliaceae(胡麻科)"	"46.04"	"224"	"八棱白"	"单秆"	"中耐"	"6.51"	"2.87"	"绿"	"56.84"	"河北"	"单花"	"5.45"	"短"	"河北石家庄市郊"	"--"	"BA LENG BAI"	"I4C00026"	"抗病"	"6.8"	"5/10"	"Sesamum indicum L.(芝麻)"	"ZZM00109"	"19.61"	"河北省作物所"	"Sesamum(胡麻属)"	"41.99"	"106"	"裂"	"107.0"	"白"	"抗病"	"淡紫"
"40"	"8/17"	"少"	"Pedaliaceae(胡麻科)"	"44.41"	"35"	"一柱香"	"单秆"	"高耐"	"6.94"	"2.16"	"绿"	"57.63"	"河北"	"单花"	"5.92"	"中"	"河北正定"	"--"	"YI ZHU XIANG"	"I4C00027"	"感病"	"6.8"	"5/7"	"Sesamum indicum L.(芝麻)"	"ZZM00110"	"19.03"	"河北省作物所"	"Sesamum(胡麻属)"	"42.73"	"102"	"裂"	"177.4"	"白"	"抗病"	"淡紫"
"41"	"9/9"	"中"	"Pedaliaceae(胡麻科)"	"45.77"	"249"	"冀芝一号"	"单秆"	"耐"	"7.61"	"3.00"	"黄"	"55.70"	"河北"	"三花"	"5.50"	"中"	"河北省作物所选育"	"--"	"JI ZHI YI HAO"	"I4C00057"	"感病"	"4"	"6/15"	"Sesamum indicum L.(芝麻)"	"ZZM00146"	"21.15"	"河北省作物所"	"Sesamum(胡麻属)"	"41.13"	"86"	"裂"	"133.4"	"白"	"高抗"	"淡紫"
"42"	"--"	"少"	"Pedaliaceae(胡麻科)"	"42.53"	"4"	"徐家庄芝麻"	"单秆"	"中耐"	"8.75"	"2.53"	"绿"	"55.77"	"河北"	"三花"	"4.33"	"中"	"河北冀县"	"--"	"XU JIA ZHUANG ZHI MA"	"I4C01295"	"抗病"	"4"	"5/7"	"Sesamum indicum L.(芝麻)"	"ZZM00190"	"22.21"	"河北省作物所"	"Sesamum(胡麻属)"	"44.39"	"--"	"裂"	"177.2"	"白"	"感病"	"淡紫"
"43"	"8/22"	"少"	"Pedaliaceae(胡麻科)"	"44.75"	"216"	"霸王鞭"	"单秆"	"不耐"	"7.70"	"3.03"	"绿"	"58.65"	"河北"	"三花"	"5.86"	"中"	"河北承德"	"--"	"BA WANG BIAN"	"I4C00095"	"感病"	"4"	"5/10"	"Sesamum indicum L.(芝麻)"	"ZZM00191"	"20.29"	"河北省作物所"	"Sesamum(胡麻属)"	"41.69"	"104"	"裂"	"98.0"	"黄"	"感病"	"淡紫"
"44"	"8/15"	"中"	"Pedaliaceae(胡麻科)"	"44.56"	"117"	"黄芝麻"	"单秆"	"不耐"	"7.81"	"2.64"	"黄"	"58.98"	"河北"	"三花"	"5.85"	"中"	"河北清苑"	"--"	"HUANG ZHI MA"	"I4C00096"	"感病"	"4"	"5/7"	"Sesamum indicum L.(芝麻)"	"ZZM00192"	"20.33"	"河北省作物所"	"Sesamum(胡麻属)"	"41.79"	"100"	"裂"	"141.2"	"黄"	"感病"	"淡紫"
"45"	"8/22"	"中"	"Pedaliaceae(胡麻科)"	"40.38"	"211"	"芝麻"	"单秆"	"耐"	"8.73"	"2.88"	"绿"	"53.85"	"河北"	"三花"	"4.37"	"中"	"河北藁城"	"--"	"ZHI MA"	"I4C01296"	"感病"	"4"	"5/10"	"Sesamum indicum L.(芝麻)"	"ZZM00193"	"23.20"	"河北省作物所"	"Sesamum(胡麻属)"	"46.52"	"104"	"裂"	"90.0"	"灰"	"抗病"	"淡紫"
"46"	"8/25"	"中"	"Pedaliaceae(胡麻科)"	"44.42"	"225"	"紫花芝麻"	"单秆"	"中耐"	"7.44"	"2.92"	"绿"	"60.21"	"河北"	"三花"	"5.85"	"中"	"河北藁城"	"--"	"ZI HUA ZHI MA"	"I4C00097"	"感病"	"4"	"5/10"	"Sesamum indicum L.(芝麻)"	"ZZM00194"	"19.11"	"河北省作物所"	"Sesamum(胡麻属)"	"42.29"	"107"	"裂"	"99.8"	"黄"	"感病"	"淡紫"
"47"	"8/24"	"中"	"Pedaliaceae(胡麻科)"	"45.77"	"214"	"霸王鞭"	"单秆"	"不耐"	"6.96"	"2.94"	"黄"	"58.08"	"河北"	"三花"	"6.13"	"中"	"河北平山"	"--"	"BA WANG BIAN"	"I4C00098"	"感病"	"4"	"5/10"	"Sesamum indicum L.(芝麻)"	"ZZM00195"	"20.59"	"河北省作物所"	"Sesamum(胡麻属)"	"41.14"	"106"	"裂"	"102.4"	"黄"	"感病"	"淡紫"
"48"	"--"	"少"	"Pedaliaceae(胡麻科)"	"45.09"	"59"	"四棱霸王鞭"	"单秆"	"极不"	"7.87"	"2.39"	"绿"	"59.35"	"河北"	"三花"	"6.13"	"中"	"--"	"--"	"SI LENG BA WANG BIAN"	"I4C00099"	"感病"	"4"	"5/7"	"Sesamum indicum L.(芝麻)"	"ZZM00196"	"19.95"	"河北省作物所"	"Sesamum(胡麻属)"	"40.91"	"--"	"裂"	"164.3"	"黄"	"感病"	"淡紫"
"49"	"--"	"中"	"Pedaliaceae(胡麻科)"	"45.76"	"60"	"霸王鞭"	"单秆"	"不耐"	"7.80"	"2.59"	"绿"	"59.38"	"河北"	"三花"	"5.81"	"中"	"河北承德"	"--"	"BA WANG BIAN"	"I4C00100"	"感病"	"4"	"5/7"	"Sesamum indicum L.(芝麻)"	"ZZM00197"	"20.14"	"河北省作物所"	"Sesamum(胡麻属)"	"40.64"	"--"	"裂"	"175.9"	"黄"	"感病"	"淡紫"
"50"	"8/16"	"少"	"Pedaliaceae(胡麻科)"	"45.32"	"237"	"芝麻"	"单秆"	"中耐"	"7.48"	"2.78"	"绿"	"59.44"	"河北"	"三花"	"6.23"	"中"	"河北任丘"	"--"	"ZHI MA"	"I4C00101"	"感病"	"4"	"5/10"	"Sesamum indicum L.(芝麻)"	"ZZM00198"	"19.35"	"河北省作物所"	"Sesamum(胡麻属)"	"40.97"	"98"	"裂"	"88.8"	"黄"	"感病"	"淡紫"
"51"	"8/25"	"中"	"Pedaliaceae(胡麻科)"	"44.29"	"248"	"黄芝麻"	"单秆"	"中耐"	"7.48"	"2.89"	"黄"	"59.20"	"河北"	"三花"	"6.13"	"短"	"河北滦县"	"--"	"HUANG ZHI MA"	"I4C00102"	"感病"	"4"	"5/10"	"Sesamum indicum L.(芝麻)"	"ZZM00199"	"19.97"	"河北省作物所"	"Sesamum(胡麻属)"	"42.10"	"107"	"裂"	"68.6"	"黄"	"感病"	"淡紫"
"52"	"--"	"中"	"Pedaliaceae(胡麻科)"	"40.85"	"101"	"芝麻"	"单秆"	"中耐"	"8.75"	"2.23"	"绿"	"55.11"	"河北"	"三花"	"4.25"	"中"	"--"	"--"	"ZHI MA"	"I4C01297"	"抗病"	"4"	"5/7"	"Sesamum indicum L.(芝麻)"	"ZZM00200"	"22.14"	"河北省作物所"	"Sesamum(胡麻属)"	"46.15"	"--"	"裂"	"168.3"	"灰"	"感病"	"淡紫"
"53"	"--"	"中"	"Pedaliaceae(胡麻科)"	"45.42"	"120"	"交河芝麻-1"	"单秆"	"中耐"	"7.10"	"2.39"	"绿"	"58.99"	"河北"	"三花"	"6.18"	"中"	"河北交河"	"--"	"JIAO HE ZHI MA -1"	"I4C00103"	"感病"	"4"	"5/7"	"Sesamum indicum L.(芝麻)"	"ZZM00201"	"19.29"	"河北省作物所"	"Sesamum(胡麻属)"	"41.30"	"--"	"裂"	"167.6"	"褐"	"感病"	"淡紫"
"54"	"--"	"中"	"Pedaliaceae(胡麻科)"	"39.74"	"112"	"芝麻"	"单秆"	"中耐"	"9.02"	"2.29"	"绿"	"55.57"	"河北"	"三花"	"4.11"	"中"	"河北交河"	"--"	"ZHI MA"	"I4C01298"	"抗病"	"4"	"5/7"	"Sesamum indicum L.(芝麻)"	"ZZM00202"	"21.49"	"河北省作物所"	"Sesamum(胡麻属)"	"47.13"	"--"	"裂"	"179.3"	"褐"	"抗病"	"淡紫"
