"id"	"抗逆性"	"老瓜斑纹"	"品种名称"	"抗病虫性"	"保存编号"	"备注"	"商瓜次色"	"种子来源"	"瓜形"	"瓜棱形状"	"译名"	"商瓜皮色"	"单瓜重"	"叶形"	"生育期"	"老瓜皮色"	"亩产"	"保存单位"	"肉质"	"老瓜次色"	"种质库编号"	"统一编号"	"栽培季节"	"熟性"	"分枝性"	"瓜面腊粉"	"省"	"商瓜斑纹"	"生长习性"	"雌首花节位"	"风味"
"29"	"耐热"	"--"	"大里西葫芦"	"中"	"6Ba0003"	"*"	"--"	"河南新乡市"	"圆柱形"	"--"	"DA LI XI HU LU"	"绿"	"1.2"	"掌状"	"60"	"--"	"4000"	"河南农科院园艺所"	"--"	"--"	"Ⅱ5Ba220"	"V05B0082"	"4下-5中6下"	"中"	"中"	"--"	"河南"	"--"	"半蔓生"	"6"	"--"
"30"	"--"	"--"	"畅岗西葫芦"	"中"	"6Ba0004"	"*"	"白色"	"河南新乡市"	"圆柱形"	"--"	"CHANG GANG XI HU LU"	"绿"	"1.3"	"掌状"	"65"	"--"	"4000"	"河南农科院园艺所"	"--"	"--"	"Ⅱ5Ba115"	"V05B0083"	"4下-5中下,6下"	"中"	"弱"	"--"	"河南"	"--"	"半蔓生"	"10"	"--"
"31"	"强"	"--"	"大西葫芦"	"--"	"13-6"	"*"	"--"	"黑龙江延寿县"	"椭圆形"	"平"	"DA XI HU LU"	"绿"	"2.5"	"掌状"	"75"	"黄色"	"4000"	"黑龙江省园艺所"	"--"	"--"	"Ⅱ5Ba112"	"V05B0094"	"5中-7中"	"中"	"弱"	"少"	"黑龙"	"--"	"葡匐蔓生"	"8"	"甜"
"32"	"中"	"--"	"阿尔及利亚"	"--"	"13-1"	"--"	"--"	"黑龙江引"	"椭圆形"	"平"	"A ER JI LI YA"	"绿"	"1.3"	"掌状"	"70"	"黄色"	"1500"	"黑龙江省园艺所"	"--"	"--"	"Ⅱ5Ba162"	"V05B0095"	"5中-7下"	"早"	"中"	"少"	"黑龙"	"线条状"	"葡匐蔓生"	"6"	"甜"
"33"	"耐寒"	"--"	"西葫芦"	"中"	"Ⅱ5B0010"	"*50年代末引自黑龙江"	"--"	"湖北武汉市"	"圆柱形"	"平"	"XI HU LU"	"绿"	"0.8"	"心形"	"--"	"黄色"	"1500"	"湖北农科院经作所"	"--"	"--"	"Ⅱ5Ba097"	"V05B0096"	"2下-5中始收嫩瓜"	"早"	"弱"	"无"	"湖北"	"--"	"矮生"	"5"	"淡而无味"
"34"	"耐寒"	"--"	"西葫芦"	"抗"	"5-B07"	"*引进品种"	"--"	"湖南常德市"	"梨形"	"平"	"XI HU LU"	"绿"	"1.3"	"掌状"	"90"	"奶油色"	"2750"	"湖南农科院蔬菜所"	"致密"	"--"	"Ⅱ5Ba218"	"V05B0097"	"2下-6中"	"早"	"弱"	"少"	"湖南"	"--"	"葡匐蔓生"	"10"	"淡而无味"
"35"	"--"	"--"	"安图西葫芦"	"不抗白粉"	"318"	"*"	"白色"	"吉林安图县"	"椭圆形"	"平"	"AN TU XI HU LU"	"绿"	"1.5"	"掌状"	"55"	"奶油色"	"2125"	"吉林省蔬菜所"	"汁多"	"--"	"Ⅱ5Ba031"	"V05B0098"	"4下播6下始收"	"早"	"弱"	"--"	"吉林"	"线条状"	"矮生"	"6"	"淡而无味"
"36"	"--"	"--"	"短青花皮"	"不抗白粉"	"309"	"*"	"白色"	"吉林通化市"	"圆柱形"	"平"	"DUAN QING HUA PI"	"绿"	"1.3"	"掌状"	"57"	"奶油色"	"2250"	"吉林省蔬菜所"	"汁多"	"--"	"Ⅱ5Ba182"	"V05B0109"	"4中下播6下始收"	"早"	"弱"	"--"	"吉林"	"线条状"	"矮生"	"6"	"淡而无味"
"37"	"--"	"--"	"搅瓜"	"重感"	"80-12-21"	"*果肉成丝状"	"--"	"江苏沭阳市"	"椭圆形"	"棱"	"JIAO GUA"	"绿"	"2.2"	"掌状"	"46"	"黄色"	"1250"	"江苏农科院蔬菜所"	"致密"	"--"	"Ⅱ5Ba007"	"V05B0123"	"4下,6上-7上"	"早"	"中"	"无"	"江苏"	"--"	"葡匐蔓生"	"8"	"微甜"
"38"	"强"	"--"	"西葫芦"	"中"	"Ⅱ5C0001"	"--"	"--"	"江西宜春市"	"椭圆形"	"平"	"XI HU LU"	"绿"	"4.0"	"心形"	"120"	"奶油色"	"1750"	"南昌市蔬菜所"	"一般"	"--"	"Ⅱ5Ba102"	"V05B0124"	"3中-6下"	"早"	"弱"	"--"	"江西"	"--"	"半蔓生"	"5"	"微甜"
"39"	"--"	"--"	"早丰"	"--"	"5BC2"	"*"	"--"	"辽宁丹东市"	"椭圆形"	"平"	"ZAO FENG"	"绿"	"0.8"	"掌状"	"75"	"奶油色"	"4000"	"辽宁农科院园艺所"	"致密"	"--"	"Ⅱ5Ba166"	"V05B0125"	"3中下-6中.7中下"	"早"	"弱"	"--"	"辽宁"	"--"	"矮生"	"8"	"淡而无味"
"40"	"--"	"--"	"一窝猴"	"--"	"5BC1"	"*"	"--"	"辽宁沈阳市"	"圆柱形"	"平"	"YI WO HOU"	"绿"	"1.3"	"掌状"	"73"	"褐色"	"4250"	"辽宁农科院园艺所"	"致密"	"--"	"Ⅱ5Ba091"	"V05B0126"	"3下-6上中.7中"	"早"	"弱"	"--"	"辽宁"	"线条状"	"矮生"	"8"	"微甜"
