"id"	"抗逆性"	"老瓜斑纹"	"品种名称"	"抗病虫性"	"保存编号"	"备注"	"商瓜次色"	"种子来源"	"瓜形"	"瓜棱形状"	"译名"	"商瓜皮色"	"单瓜重"	"叶形"	"生育期"	"老瓜皮色"	"亩产"	"保存单位"	"肉质"	"老瓜次色"	"种质库编号"	"统一编号"	"栽培季节"	"熟性"	"分枝性"	"瓜面腊粉"	"省"	"商瓜斑纹"	"生长习性"	"雌首花节位"	"风味"
"55"	"中"	"--"	"一窝蜂"	"--"	"Ⅱ5Bb068-5"	"*"	"--"	"山西大宁县"	"圆柱形"	"平"	"YI WO FENG"	"--"	"2.5"	"掌状"	"92"	"黄色"	"--"	"山西农科院蔬菜所"	"致密"	"--"	"Ⅱ5Ba055"	"V05B0196"	"4下-7下"	"--"	"弱"	"无"	"山西"	"--"	"矮生"	"9"	"--"
"56"	"中"	"斑"	"花皮西葫芦"	"--"	"Ⅱ5Bb033-4"	"*"	"--"	"山西阳曲县"	"圆柱形"	"平"	"HUA PI XI HU LU"	"--"	"2.5"	"掌状"	"92"	"奶油色"	"--"	"山西农科院蔬菜所"	"致密"	"绿色"	"Ⅱ5Ba043"	"V05B0212"	"4下-7下"	"--"	"弱"	"无"	"山西"	"--"	"矮生"	"5"	"--"
"57"	"中"	"--"	"有皮西葫芦"	"--"	"Ⅱ5Bb075-1"	"*"	"--"	"山西岢岚县"	"圆柱形"	"平"	"YOU PI XI HU LU"	"--"	"2.2"	"掌状"	"92"	"黄色"	"--"	"山西农科院蔬菜所"	"致密"	"--"	"Ⅱ5Ba058"	"V05B0218"	"4下-7下"	"--"	"弱"	"无"	"山西"	"--"	"葡匐蔓生"	"3"	"--"
"58"	"中"	"--"	"懒汉西葫芦"	"--"	"Ⅱ5Bb001-3"	"*"	"--"	"山西绛县"	"圆柱形"	"平"	"LAN HAN XI HU LU"	"--"	"1.5"	"掌状"	"92"	"奶油色"	"--"	"山西农科院蔬菜所"	"致密"	"--"	"Ⅱ5Ba034"	"V05B0219"	"4下-7下"	"--"	"弱"	"无"	"山西"	"--"	"矮生"	"5"	"--"
"59"	"--"	"--"	"白水笋瓜"	"--"	"9a-273"	"--"	"--"	"陕西白水县"	"圆柱形"	"棱"	"BAI SHUI SUN GUA"	"--"	"1.8"	"掌状"	"--"	"奶油色"	"--"	"陕西农科院蔬菜所"	"--"	"--"	"Ⅱ5Ba064"	"V05B0220"	"--"	"--"	"--"	"--"	"陕西"	"--"	"蔓生"	"0"	"--"
"60"	"--"	"--"	"麻葫芦"	"--"	"9a-3"	"--"	"--"	"陕西彬县"	"圆柱形"	"网状"	"MA HU LU"	"白"	"1.5"	"掌状"	"--"	"--"	"--"	"陕西农科院蔬菜所"	"--"	"--"	"Ⅱ5Ba235"	"V05B0221"	"--"	"--"	"--"	"--"	"陕西"	"--"	"蔓生"	"11"	"--"
"61"	"--"	"--"	"老搅瓜"	"--"	"9a-290"	"--"	"--"	"陕西蔡家坡"	"圆柱形"	"--"	"LAO JIAO GUA"	"奶油色"	"--"	"圆形"	"--"	"--"	"--"	"陕西农科院蔬菜所"	"--"	"--"	"Ⅱ5Ba170"	"V05B0222"	"--"	"--"	"--"	"--"	"陕西"	"--"	"蔓生"	"0"	"--"
"62"	"--"	"网纹"	"西葫芦"	"--"	"9a-24"	"--"	"--"	"陕西榆林县"	"圆柱形"	"棱"	"XI HU LU"	"--"	"1.1"	"掌状"	"--"	"桔黄色"	"--"	"陕西农科院蔬菜所"	"--"	"绿色"	"Ⅱ5Ba185"	"V05B0236"	"--"	"--"	"--"	"--"	"陕西"	"--"	"半蔓生"	"0"	"--"
"63"	"强"	"--"	"青茭瓜"	"抗"	"S26-4"	"--"	"--"	"上海嘉山县"	"椭圆形"	"棱"	"QING JIAO GUA"	"绿"	"1.5"	"掌状"	"80"	"黄色"	"875"	"上海农科院园艺所"	"圆滑致密"	"--"	"Ⅱ5Ba192"	"V05B0237"	"3下-5下"	"早"	"弱"	"少"	"上海"	"--"	"矮生"	"5"	"--"
"64"	"强"	"--"	"西葫瓜"	"抗"	"I6-030"	"--"	"--"	"四川成都市"	"梨形"	"--"	"XI HU GUA"	"--"	"0.8"	"--"	"--"	"--"	"1250"	"成都市第一农科所"	"质松软"	"--"	"Ⅱ5Ba197"	"V05B0238"	"3-5月"	"早"	"--"	"--"	"四川"	"--"	"攀援蔓生"	"0"	"微甜"
"65"	"--"	"--"	"笋瓜"	"--"	"I2-063"	"--"	"--"	"四川渠县"	"圆柱形"	"平"	"SUN GUA"	"黄"	"1.5"	"心形"	"90"	"--"	"500"	"重庆市农科所"	"软"	"--"	"Ⅱ5Ba180"	"V05B0239"	"3-6"	"早"	"中"	"--"	"四川"	"--"	"葡匐蔓生"	"0"	"淡而无味"
"66"	"耐寒涝"	"斑纹"	"胡芦南瓜"	"--"	"I2-059"	"--"	"--"	"四川万源县"	"梨形"	"棱"	"HU LU NAN GUA"	"绿"	"1.9"	"掌状"	"70"	"桔黄色"	"400"	"重庆市农科所"	"软"	"--"	"Ⅱ5Ba158"	"V05B0240"	"3-5"	"早"	"弱"	"多"	"四川"	"斑块状"	"葡匐蔓生"	"0"	"淡而无味"
"67"	"耐热"	"纹"	"大花棱西葫"	"--"	"5B-001"	"*"	"--"	"天津南郊区"	"圆柱形"	"棱"	"DA HUA LENG XI HU"	"绿"	"3.5"	"掌状"	"75"	"奶油色"	"3500"	"天津农科院蔬菜所"	"软"	"绿色"	"Ⅱ5Ba019"	"V05B0243"	"4上-6下"	"中"	"中"	"--"	"天津"	"--"	"葡匐蔓生"	"12"	"微甜"
"68"	"耐热"	"--"	"阿尔及利亚"	"--"	"5B-003"	"*"	"--"	"天津西郊区"	"圆柱形"	"棱"	"A ER JI LI YA"	"绿"	"2.5"	"掌状"	"45"	"褐色"	"3000"	"天津农科院蔬菜所"	"软"	"--"	"Ⅱ5Ba018"	"V05B0244"	"3下-5中"	"早"	"中"	"--"	"天津"	"斑块状"	"矮生"	"5"	"微甜"
"69"	"强"	"--"	"包子葫芦"	"--"	"86-33"	"--"	"红色"	"新疆哈密市"	"梨形"	"--"	"BAO ZI HU LU"	"黄"	"--"	"--"	"125"	"--"	"--"	"新疆农科院园艺所"	"--"	"--"	"Ⅱ5Ba002"	"V05B0245"	"--"	"晚"	"--"	"--"	"新疆"	"--"	"蔓生"	"0"	"--"
"70"	"强"	"--"	"白皮葫芦"	"--"	"86-059"	"--"	"--"	"新疆哈密县"	"圆柱形"	"平"	"BAI PI HU LU"	"黄"	"1.8"	"掌状"	"56"	"奶油色"	"4330"	"新疆农科院园艺所"	"圆滑致密"	"--"	"Ⅱ5Ba104"	"V05B0246"	"4中-9上"	"早"	"中"	"无"	"新疆"	"--"	"矮生"	"7"	"微甜"
"71"	"强"	"网纹"	"一窝猴菜瓜(白皮)"	"抗"	"86-0404"	"--"	"--"	"新疆和田市"	"圆柱形"	"平"	"YI WO HOU CAI GUA (BAI PI )"	"绿"	"1.6"	"心形"	"70"	"桔黄色"	"2933"	"新疆农科院园艺所"	"细水多微"	"--"	"Ⅱ5Ba224"	"V05B0247"	"4上-9上"	"早"	"弱"	"无"	"新疆"	"--"	"葡匐蔓生"	"6"	"微甜"
"72"	"强"	"--"	"白皮葫芦"	"抗"	"82-25"	"--"	"--"	"新疆伊犁"	"圆柱形"	"--"	"BAI PI HU LU"	"绿"	"2.2"	"掌状"	"62"	"黄色"	"3010"	"新疆农科院园艺所"	"圆滑致密"	"--"	"Ⅱ5Ba105"	"V05B0257"	"4中-9上"	"中"	"强"	"无"	"新疆"	"--"	"葡匐蔓生"	"4"	"甜"
"73"	"中"	"--"	"拉蔓葫芦"	"抗"	"86-0443"	"--"	"--"	"新疆伊犁地区"	"圆柱形"	"平"	"LA MAN HU LU"	"绿"	"2.2"	"掌状"	"130"	"桔黄色"	"2933"	"新疆农科院园艺所"	"软"	"--"	"Ⅱ5Ba227"	"V05B0258"	"4中-9上"	"早"	"强"	"无"	"新疆"	"--"	"葡匐蔓生"	"7"	"微甜"
"74"	"强"	"--"	"长蔓葫芦"	"抗"	"86-0314"	"*"	"--"	"新疆引自甘肃"	"圆柱形"	"平"	"CHANG MAN HU LU"	"绿"	"2.2"	"掌状"	"80"	"褐色"	"--"	"新疆农科院园艺所"	"细密"	"--"	"Ⅱ5Ba107"	"V05B0259"	"3中-6上"	"晚"	"中"	"少"	"新疆"	"--"	"葡匐蔓生"	"12"	"--"
"75"	"耐寒"	"--"	"美洲南瓜"	"中"	"23#"	"--"	"绿色"	"云南玉溪市"	"圆柱形"	"棱"	"MEI ZHOU NAN GUA"	"绿"	"0.4"	"心形"	"50"	"桔黄色"	"750"	"云南农科院园艺所"	"软"	"--"	"Ⅱ5Ba096"	"V05B0260"	"3上-7上"	"早"	"弱"	"少"	"云南"	"线条状"	"半蔓生"	"6"	"甜"
