"id"	"熟性"	"科名"	"肉质根形"	"品种名称"	"小裂片对数"	"叶面蜡粉"	"叶面"	"株幅"	"单产"	"省"	"叶裂刻"	"定植期"	"译名"	"叶缘"	"肉质根长"	"播种期"	"属名"	"统一编号"	"芥辣味"	"根肉水分"	"学名"	"抗逆性"	"繁种单位"	"生长期"	"叶柄色"	"贮藏性"	"株型"	"叶色"	"肉质根粗"	"叶面刺毛"	"抗虫性"	"叶形"	"耐涝性"	"耐旱性"	"备注"	"根肉质"	"抗病性"	"收获期"	"单位编号"	"叶翼"	"耐寒性"	"品种来源"	"用途"	"种质库编号"	"栽培时期"	"种子千粒重"	"株高"	"单根重"	"耐热性"
"21"	"--"	"Cruciferae(十字花科)"	"圆锥"	"邢台芥菜"	"--"	"--"	"多皱"	"--"	"1000"	"河北"	"--"	"--"	"XING TAI JIE CAI"	"浅裂"	"10.0"	"--"	"Brassica(芸薹属)"	"V03C0031"	"中"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"中"	"河北农科院蔬菜所"	"75"	"--"	"--"	"--"	"深绿"	"6.0"	"--"	"--"	"椭圆"	"--"	"--"	"--"	"嫩脆"	"抗病毒病弱"	"--"	"芥7号"	"--"	"--"	"河北刑台市"	"腌制干制"	"Ⅱ3C0150"	"8上中-10下"	"--"	"40.0"	"140.0"	"--"
"22"	"--"	"Cruciferae(十字花科)"	"圆锥"	"花叶芥菜"	"--"	"--"	"多皱"	"--"	"1000"	"河北"	"--"	"--"	"HUA YE JIE CAI"	"深裂"	"11.0"	"--"	"Brassica(芸薹属)"	"V03C0032"	"中"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"强"	"河北农科院蔬菜所"	"75"	"--"	"--"	"--"	"绿"	"7.0"	"--"	"--"	"长椭圆"	"--"	"--"	"抗病毒病"	"嫩脆"	"抗病毒病强"	"--"	"芥8号"	"--"	"--"	"河北刑台市"	"腌制干制"	"Ⅱ3C0151"	"8上-10下"	"--"	"45.0"	"180.0"	"--"
"23"	"--"	"Cruciferae(十字花科)"	"长圆锥"	"大头菜"	"--"	"--"	"多皱"	"--"	"1150"	"河北"	"--"	"--"	"DA TOU CAI"	"深裂"	"9.5"	"--"	"Brassica(芸薹属)"	"V03C0033"	"中"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"中"	"河北农科院蔬菜所"	"75"	"--"	"--"	"--"	"绿"	"5.0"	"--"	"--"	"长椭圆"	"--"	"--"	"--"	"嫩脆"	"抗病毒病中"	"--"	"芥10号"	"--"	"--"	"河北行唐县"	"腌制干制"	"Ⅱ3C0152"	"8上中-10下"	"--"	"36.0"	"120.0"	"--"
"24"	"--"	"Cruciferae(十字花科)"	"短圆锥"	"登封大芥"	"--"	"--"	"微皱"	"--"	"--"	"河南"	"--"	"--"	"DENG FENG DA JIE"	"深锯齿"	"12.4"	"--"	"Brassica(芸薹属)"	"V03C0034"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"--"	"河南农科院园艺所"	"90"	"--"	"--"	"--"	"绿"	"8.4"	"--"	"--"	"长卵"	"--"	"--"	"--"	"疏松"	"中"	"--"	"3A0039"	"--"	"--"	"河南登封县"	"腌制"	"Ⅱ3C0065"	"8上-11下"	"--"	"65.0"	"575.0"	"--"
"25"	"--"	"Cruciferae(十字花科)"	"圆锥"	"巩县圆叶大芥"	"--"	"--"	"微皱"	"--"	"1750"	"河南"	"--"	"--"	"GONG XIAN YUAN YE DA JIE"	"波状"	"11.4"	"--"	"Brassica(芸薹属)"	"V03C0035"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"--"	"河南农科院园艺所"	"110"	"--"	"--"	"--"	"绿"	"9.4"	"--"	"--"	"长椭圆"	"--"	"--"	"--"	"疏松"	"抗病毒病中"	"--"	"3A0019"	"--"	"--"	"河南巩县"	"腌制"	"Ⅱ3C0069"	"8上-11中"	"--"	"53.5"	"436.0"	"--"
"26"	"--"	"Cruciferae(十字花科)"	"短圆柱"	"渑池立芥"	"--"	"--"	"微皱"	"--"	"2000"	"河南"	"--"	"--"	"MIAN CHI LI JIE"	"波状"	"12.2"	"--"	"Brassica(芸薹属)"	"V03C0049"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"耐寒"	"河南农科院园艺所"	"80"	"--"	"--"	"--"	"绿"	"9.7"	"--"	"--"	"长卵"	"--"	"--"	"引自河南洛阳"	"艮硬"	"抗病毒病中"	"--"	"3A0010"	"--"	"--"	"河南渑池县"	"腌制"	"Ⅱ3C0052"	"8上-10下"	"--"	"65.7"	"545.0"	"--"
"27"	"--"	"Cruciferae(十字花科)"	"扁圆"	"圆叶芥菜"	"--"	"--"	"微皱"	"--"	"1350"	"黑龙"	"无"	"--"	"YUAN YE JIE CAI"	"全缘"	"11.4"	"--"	"Brassica(芸薹属)"	"V03C0050"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"强"	"黑龙江省园艺所"	"75"	"--"	"--"	"--"	"绿"	"7.5"	"--"	"--"	"椭圆"	"--"	"--"	"--"	"细嫩"	"强"	"--"	"8-6"	"--"	"--"	"黑龙江哈尔滨市"	"腌制"	"Ⅱ3C0071"	"7下-10上"	"--"	"27.4"	"212.4"	"--"
"28"	"--"	"Cruciferae(十字花科)"	"短圆锥"	"花叶芥菜"	"--"	"--"	"微皱"	"--"	"1000"	"黑龙"	"2对"	"--"	"HUA YE JIE CAI"	"深锯齿"	"9.5"	"--"	"Brassica(芸薹属)"	"V03C0051"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"强"	"黑龙江省园艺所"	"70"	"--"	"--"	"--"	"绿"	"6.0"	"--"	"--"	"椭圆"	"--"	"--"	"--"	"艮硬"	"强"	"--"	"8-7"	"--"	"--"	"黑龙江哈尔滨市"	"腌制"	"Ⅱ3C0002"	"7下-10上"	"--"	"35.0"	"125.0"	"--"
"29"	"--"	"Cruciferae(十字花科)"	"锥形"	"大头菜"	"--"	"--"	"微皱"	"--"	"1525"	"湖北"	"--"	"--"	"DA TOU CAI"	"细锯"	"--"	"--"	"Brassica(芸薹属)"	"V03C0052"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"强"	"湖北农科院经作所"	"--"	"--"	"--"	"--"	"深绿"	"--"	"--"	"--"	"倒卵圆"	"--"	"--"	"根叶兼用"	"艮硬"	"强"	"--"	"Ⅱ3C0002"	"--"	"--"	"湖北建始县"	"腌制"	"Ⅱ3C0096"	"9中下-3中"	"--"	"45.0"	"50.0"	"--"
"30"	"--"	"Cruciferae(十字花科)"	"圆柱"	"大头菜"	"--"	"--"	"微皱"	"--"	"1500"	"湖北"	"--"	"--"	"DA TOU CAI"	"细锯"	"--"	"--"	"Brassica(芸薹属)"	"V03C0053"	"中"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"强"	"湖北农科院经作所"	"--"	"--"	"--"	"--"	"深绿"	"--"	"--"	"--"	"倒卵圆"	"--"	"--"	"根叶兼用"	"艮硬"	"强"	"--"	"Ⅱ3C0001"	"--"	"--"	"湖北沙市市"	"腌制"	"Ⅱ3C0095"	"9中下-3中"	"--"	"40.0"	"60.0"	"--"
"31"	"--"	"Cruciferae(十字花科)"	"圆柱"	"大头青菜"	"--"	"--"	"微皱"	"--"	"1500"	"湖南"	"--"	"--"	"DA TOU QING CAI"	"浅锯齿"	"10.5"	"--"	"Brassica(芸薹属)"	"V03C0057"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"强"	"湖南农科院蔬菜所"	"135"	"--"	"--"	"--"	"深绿"	"7.0"	"--"	"--"	"倒卵"	"--"	"--"	"--"	"艮硬"	"中"	"--"	"3-C04"	"--"	"--"	"湖南黔阳县"	"腌制"	"Ⅱ3C0037"	"8下10上-12下1下"	"--"	"55.0"	"870.0"	"--"
"32"	"--"	"Cruciferae(十字花科)"	"圆锥"	"六英芥菜"	"--"	"--"	"中皱"	"--"	"11250"	"吉林"	"--"	"--"	"LIU YING JIE CAI"	"深锯齿"	"12.3"	"--"	"Brassica(芸薹属)"	"V03C0058"	"中"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"强"	"吉林省蔬菜所"	"75"	"--"	"--"	"--"	"绿"	"6.3"	"--"	"--"	"倒卵"	"--"	"--"	"抗病毒病"	"脆嫩"	"抗病毒病强"	"--"	"70"	"--"	"--"	"吉林扶余市"	"腌制"	"Ⅱ3C0044"	"7下8上-10上"	"--"	"10.0"	"220.0"	"--"
"33"	"--"	"Cruciferae(十字花科)"	"圆锥"	"本地大头菜"	"--"	"--"	"微皱"	"--"	"2250"	"江苏"	"--"	"--"	"BEN DI DA TOU CAI"	"浅锯齿"	"6.5"	"--"	"Brassica(芸薹属)"	"V03C0059"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"耐寒中"	"江苏农科院蔬菜所"	"84"	"--"	"--"	"--"	"深绿"	"10.3"	"--"	"--"	"长椭圆"	"--"	"--"	"--"	"细嫩"	"抗病毒病中"	"--"	"78-0-3"	"--"	"--"	"江苏常州市"	"腌制"	"Ⅱ3C0005"	"8下-11中"	"--"	"22.5"	"265.0"	"--"
"34"	"--"	"Cruciferae(十字花科)"	"圆锥"	"本地大头菜"	"--"	"--"	"中皱"	"--"	"1750"	"江苏"	"--"	"--"	"BEN DI DA TOU CAI"	"浅锯齿"	"7.3"	"--"	"Brassica(芸薹属)"	"V03C0060"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"耐寒中"	"江苏农科院蔬菜所"	"84"	"--"	"--"	"--"	"深绿"	"8.2"	"--"	"--"	"长椭圆"	"--"	"--"	"--"	"细嫩"	"抗病毒病中"	"--"	"78-0-2"	"--"	"--"	"江苏常州市"	"腌制"	"Ⅱ3C0061"	"8下-11中"	"--"	"32.5"	"200.0"	"--"
"35"	"--"	"Cruciferae(十字花科)"	"圆锥"	"花叶辣菜疙瘩"	"--"	"--"	"中皱"	"--"	"1750"	"江苏"	"--"	"--"	"HUA YE LA CAI GE DA"	"浅锯齿"	"10.7"	"--"	"Brassica(芸薹属)"	"V03C0061"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"耐寒"	"江苏农科院蔬菜所"	"84"	"--"	"--"	"--"	"绿"	"7.4"	"--"	"--"	"长椭圆"	"--"	"--"	"--"	"艮硬"	"抗病毒病"	"--"	"80-5-17"	"--"	"--"	"江苏丰县"	"腌制"	"Ⅱ3C0140"	"8下-11中"	"--"	"17.5"	"250.0"	"--"
"36"	"--"	"Cruciferae(十字花科)"	"圆锥"	"本地大头菜"	"--"	"--"	"中皱"	"--"	"1750"	"江苏"	"--"	"--"	"BEN DI DA TOU CAI"	"浅锯齿"	"9.3"	"--"	"Brassica(芸薹属)"	"V03C0066"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"耐寒弱"	"江苏农科院蔬菜所"	"140"	"--"	"--"	"--"	"绿"	"8.5"	"--"	"--"	"长椭圆"	"--"	"--"	"--"	"细嫩"	"抗病毒病弱"	"--"	"81-2-9"	"--"	"--"	"江苏溧阳县"	"腌制"	"Ⅱ3C0060"	"9上-1上"	"--"	"27.5"	"375.0"	"--"
"37"	"--"	"Cruciferae(十字花科)"	"圆锥"	"玉根"	"--"	"--"	"较平"	"--"	"2500"	"辽宁"	"--"	"--"	"YU GEN"	"深锯齿"	"13.0"	"--"	"Brassica(芸薹属)"	"V03C0067"	"淡"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"强"	"辽宁农科院园艺所"	"80"	"--"	"--"	"--"	"绿"	"7.5"	"--"	"--"	"--"	"--"	"--"	"--"	"艮硬"	"--"	"--"	"3AA6"	"--"	"--"	"辽宁鞍山市"	"腌制"	"Ⅱ3C0082"	"7下-10上"	"--"	"60.0"	"450.0"	"--"
"38"	"--"	"Cruciferae(十字花科)"	"圆锥"	"小花叶芥"	"--"	"--"	"较平"	"--"	"2500"	"辽宁"	"--"	"--"	"XIAO HUA YE JIE"	"深锯齿"	"13.0"	"--"	"Brassica(芸薹属)"	"V03C0068"	"淡"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"强"	"辽宁农科院园艺所"	"80"	"--"	"--"	"--"	"绿"	"9.0"	"--"	"--"	"--"	"--"	"--"	"--"	"艮硬"	"--"	"--"	"3AA12"	"--"	"--"	"辽宁北镇县"	"腌制"	"Ⅱ3C0117"	"7下-10上"	"--"	"50.0"	"500.0"	"--"
"39"	"--"	"Cruciferae(十字花科)"	"圆锥"	"板叶芥"	"--"	"--"	"较平"	"--"	"2500"	"辽宁"	"--"	"--"	"BAN YE JIE"	"浅锯齿"	"13.0"	"--"	"Brassica(芸薹属)"	"V03C0069"	"淡"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"强"	"辽宁农科院园艺所"	"80"	"--"	"--"	"--"	"绿"	"10.0"	"--"	"--"	"--"	"--"	"--"	"--"	"艮硬"	"--"	"--"	"3AA8"	"--"	"--"	"辽宁本溪市"	"腌制"	"Ⅱ3C0112"	"7下-10上"	"--"	"70.0"	"550.0"	"--"
"40"	"--"	"Cruciferae(十字花科)"	"圆锥"	"大花叶芥"	"--"	"--"	"--"	"--"	"1750"	"辽宁"	"--"	"--"	"DA HUA YE JIE"	"深锯齿"	"12.0"	"--"	"Brassica(芸薹属)"	"V03C0070"	"淡"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"强"	"辽宁农科院园艺所"	"78"	"--"	"--"	"--"	"深绿"	"6.5"	"--"	"--"	"--"	"--"	"--"	"--"	"艮硬"	"--"	"--"	"3AB2"	"--"	"--"	"辽宁昌图县"	"腌制"	"Ⅱ3C0118"	"7下-10上"	"--"	"55.0"	"450.0"	"--"
"41"	"--"	"Cruciferae(十字花科)"	"--"	"宜丰大头菜"	"--"	"--"	"--"	"--"	"1250"	"江西"	"--"	"--"	"YI FENG DA TOU CAI"	"--"	"--"	"--"	"Brassica(芸薹属)"	"V03C0085"	"--"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"强"	"南昌市蔬菜所"	"130"	"--"	"--"	"--"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"强"	"--"	"Ⅱ1D0002"	"--"	"--"	"江西宜丰县"	"--"	"Ⅱ4A0074"	"8-12"	"--"	"32.5"	"--"	"--"
"42"	"--"	"Cruciferae(十字花科)"	"圆锥"	"包头花叶芥"	"--"	"--"	"较平"	"--"	"1500"	"内蒙"	"--"	"--"	"BAO TOU HUA YE JIE"	"深锯齿"	"12.5"	"--"	"Brassica(芸薹属)"	"V03C0086"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"强"	"内蒙农科院蔬菜所"	"85"	"--"	"--"	"--"	"绿"	"8.0"	"--"	"--"	"倒卵"	"--"	"--"	"根用"	"细嫩"	"强"	"--"	"内3C010"	"--"	"--"	"内蒙包头市"	"腌制"	"Ⅱ3C0132"	"7下-10上"	"--"	"62.5"	"175.0"	"--"
"43"	"--"	"Cruciferae(十字花科)"	"圆锥"	"包头牛毛芥"	"--"	"--"	"较平"	"--"	"1500"	"内蒙"	"--"	"--"	"BAO TOU NIU MAO JIE"	"羽状深裂"	"9.0"	"--"	"Brassica(芸薹属)"	"V03C0087"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"强"	"内蒙农科院蔬菜所"	"60"	"--"	"--"	"--"	"浅绿"	"6.5"	"--"	"--"	"倒卵"	"--"	"--"	"根叶两用"	"细嫩"	"强"	"--"	"内3C011"	"--"	"--"	"内蒙包头市"	"腌制"	"Ⅱ3C0133"	"7下-10上"	"--"	"47.5"	"125.0"	"--"
"44"	"--"	"Cruciferae(十字花科)"	"圆锥"	"多伦花叶芥"	"--"	"--"	"皱缩"	"--"	"2500"	"内蒙"	"--"	"--"	"DUO LUN HUA YE JIE"	"细锯齿"	"8.0"	"--"	"Brassica(芸薹属)"	"V03C0088"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"强"	"内蒙农科院蔬菜所"	"58"	"--"	"--"	"--"	"绿"	"6.0"	"--"	"--"	"披针"	"--"	"--"	"--"	"细嫩"	"强"	"--"	"内3C003"	"--"	"--"	"内蒙多伦县"	"腌制"	"Ⅱ3C0127"	"7中-9上中"	"--"	"29.5"	"105.0"	"--"
"45"	"--"	"Cruciferae(十字花科)"	"圆锥"	"呼市花叶芥"	"--"	"--"	"皱缩"	"--"	"1250"	"内蒙"	"--"	"--"	"HU SHI HUA YE JIE"	"深锯齿"	"9.5"	"--"	"Brassica(芸薹属)"	"V03C0089"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"强"	"内蒙农科院蔬菜所"	"70"	"--"	"--"	"--"	"绿"	"7.5"	"--"	"--"	"倒卵"	"--"	"--"	"--"	"细嫩"	"强"	"--"	"内3C004"	"--"	"--"	"内蒙呼和浩特市"	"腌制"	"Ⅱ3C0094"	"8上-10中"	"--"	"37.5"	"92.5"	"--"
"46"	"--"	"Cruciferae(十字花科)"	"圆锥"	"花叶春头"	"--"	"--"	"微皱"	"--"	"2000"	"宁夏"	"--"	"--"	"HUA YE CHUN TOU"	"深锯齿"	"12.3"	"--"	"Brassica(芸薹属)"	"V03C0096"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"耐旱强"	"宁夏农林院蔬菜室"	"90"	"--"	"--"	"--"	"绿"	"9.1"	"--"	"--"	"倒卵圆"	"--"	"--"	"--"	"艮硬"	"抗蚜强"	"--"	"ⅠC89G-1"	"--"	"--"	"宁夏银川市"	"腌制"	"Ⅱ3C0120"	"7上-10中"	"--"	"60.0"	"1000.0"	"--"
"47"	"--"	"Cruciferae(十字花科)"	"圆锥"	"辣疙瘩"	"--"	"--"	"皱缩"	"--"	"2000"	"山东"	"--"	"--"	"LA GE DA"	"深锯齿"	"12.0"	"--"	"Brassica(芸薹属)"	"V03C0097"	"中"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"--"	"山东农科院蔬菜所"	"90"	"--"	"--"	"--"	"绿"	"10.0"	"--"	"--"	"长卵"	"--"	"--"	"--"	"--"	"中"	"--"	"3C017"	"--"	"--"	"山东嘉祥县"	"腌渍"	"Ⅱ3C0142"	"7下8上-10下11上"	"--"	"40.0"	"400.0"	"--"
"48"	"--"	"Cruciferae(十字花科)"	"圆锥"	"辣菜"	"--"	"--"	"皱缩"	"--"	"3125"	"山东"	"--"	"--"	"LA CAI"	"深锯齿"	"15.0"	"--"	"Brassica(芸薹属)"	"V03C0098"	"中"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"--"	"山东农科院蔬菜所"	"90"	"--"	"--"	"--"	"深绿"	"8.0"	"--"	"--"	"长卵"	"--"	"--"	"--"	"--"	"强"	"--"	"3C011"	"--"	"--"	"山东利津县"	"腌渍"	"Ⅱ3C0104"	"7下8上-10下11上"	"--"	"80.0"	"500.0"	"--"
"49"	"--"	"Cruciferae(十字花科)"	"圆锥"	"辣疙瘩"	"--"	"--"	"皱缩"	"--"	"2250"	"山东"	"--"	"--"	"LA GE DA"	"深锯齿"	"8.0"	"--"	"Brassica(芸薹属)"	"V03C0099"	"中"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"--"	"山东农科院蔬菜所"	"90"	"--"	"--"	"--"	"绿"	"8.0"	"--"	"--"	"长卵"	"--"	"--"	"--"	"--"	"弱"	"--"	"3C009"	"--"	"--"	"山东临沂市"	"腌渍"	"Ⅱ3C0103"	"7下8上-10下11上"	"--"	"30.0"	"275.0"	"--"
"50"	"--"	"Cruciferae(十字花科)"	"圆锥"	"根用芥菜"	"--"	"--"	"皱缩"	"--"	"2500"	"山东"	"--"	"--"	"GEN YONG JIE CAI"	"波状"	"15.0"	"--"	"Brassica(芸薹属)"	"V03C0100"	"中"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"--"	"山东农科院蔬菜所"	"90"	"--"	"--"	"--"	"深绿"	"11.0"	"--"	"--"	"椭圆"	"--"	"--"	"--"	"--"	"强"	"--"	"3C003"	"--"	"--"	"山东蓬莱县"	"腌渍"	"Ⅱ3C0101"	"7下8上-10下11上"	"--"	"60.0"	"500.0"	"--"
"51"	"--"	"Cruciferae(十字花科)"	"圆锥"	"花叶芥"	"--"	"--"	"微皱"	"--"	"1500"	"山西"	"--"	"--"	"HUA YE JIE"	"深锯齿"	"10.2"	"--"	"Brassica(芸薹属)"	"V03C0107"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"强"	"山西农科院蔬菜所"	"--"	"--"	"--"	"--"	"深绿"	"9.7"	"--"	"--"	"鸡啄状"	"--"	"--"	"--"	"松脆"	"强"	"--"	"Ⅱ3C0009"	"--"	"--"	"山西阳曲县"	"腌制"	"Ⅱ3C0075"	"8上-10下"	"--"	"51.0"	"287.0"	"--"
"52"	"--"	"Cruciferae(十字花科)"	"圆筒"	"阳泉二道眉"	"--"	"--"	"微皱"	"--"	"2000"	"山西"	"5-6"	"--"	"YANG QUAN ER DAO MEI"	"波状"	"13.3"	"--"	"Brassica(芸薹属)"	"V03C0108"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"强"	"山西农科院蔬菜所"	"--"	"--"	"--"	"--"	"绿"	"7.1"	"--"	"--"	"倒卵圆"	"--"	"--"	"--"	"松脆"	"强"	"--"	"Ⅱ3C0010"	"--"	"--"	"山西阳泉市"	"腌制"	"Ⅱ3C0043"	"8上-10下"	"--"	"60.0"	"382.0"	"--"
"53"	"--"	"Cruciferae(十字花科)"	"圆锥"	"花叶大头菜"	"--"	"--"	"微皱"	"--"	"1375"	"陕西"	"--"	"--"	"HUA YE DA TOU CAI"	"深锯齿"	"--"	"--"	"Brassica(芸薹属)"	"V03C0109"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"强"	"陕西农科院蔬菜所"	"110"	"--"	"--"	"--"	"绿"	"--"	"--"	"--"	"倒卵"	"--"	"--"	"--"	"艮硬"	"强"	"--"	"6a-326"	"--"	"--"	"陕西宝鸡市"	"腌制"	"Ⅱ3C0122"	"8上-11下"	"--"	"57.5"	"400.0"	"--"
"54"	"--"	"Cruciferae(十字花科)"	"圆锥"	"渭南芥疙瘩"	"--"	"--"	"微皱"	"--"	"1250"	"陕西"	"--"	"--"	"WEI NAN JIE GE DA"	"浅锯齿"	"--"	"--"	"Brassica(芸薹属)"	"V03C0110"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"强"	"陕西农科院蔬菜所"	"120"	"--"	"--"	"--"	"绿"	"--"	"--"	"--"	"倒卵"	"--"	"--"	"--"	"艮硬"	"中"	"--"	"6a-328"	"--"	"--"	"陕西渭南县"	"腌制"	"Ⅱ3C0124"	"7下-11下"	"--"	"36.0"	"450.0"	"--"
"55"	"--"	"Cruciferae(十字花科)"	"圆锥"	"西安芥疙瘩"	"--"	"--"	"微皱"	"--"	"1125"	"陕西"	"--"	"--"	"XI AN JIE GE DA"	"深锯齿"	"--"	"--"	"Brassica(芸薹属)"	"V03C0111"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"强"	"陕西农科院蔬菜所"	"115"	"--"	"--"	"--"	"绿"	"--"	"--"	"--"	"倒卵"	"--"	"--"	"--"	"艮硬"	"中"	"--"	"6a-327"	"--"	"--"	"陕西西安市"	"腌制"	"Ⅱ3C0123"	"7下-11中"	"--"	"34.0"	"275.0"	"--"
"56"	"--"	"Cruciferae(十字花科)"	"圆锥"	"二道眉芥菜"	"--"	"--"	"微皱"	"--"	"3500"	"天津"	"--"	"--"	"ER DAO MEI JIE CAI"	"深锯齿"	"15.0"	"--"	"Brassica(芸薹属)"	"V03C0116"	"淡"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"耐旱强"	"天津农科院蔬菜所"	"90"	"--"	"--"	"--"	"绿"	"12.0"	"--"	"--"	"长椭圆"	"--"	"--"	"耐旱"	"疏松"	"抗软腐病差"	"--"	"3C-002"	"--"	"--"	"天津西郊区"	"腌制"	"Ⅱ3C0031"	"7下-10下"	"--"	"45.0"	"250.0"	"--"
"57"	"--"	"Cruciferae(十字花科)"	"短圆锥"	"大头菜"	"--"	"--"	"微皱"	"--"	"2444"	"新疆"	"3对"	"--"	"DA TOU CAI"	"浅锯齿"	"15.0"	"--"	"Brassica(芸薹属)"	"V03C0117"	"淡"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"强"	"新疆农科院园艺所"	"90"	"--"	"--"	"--"	"绿"	"9.0"	"--"	"--"	"--"	"--"	"--"	"--"	"艮硬"	"强"	"--"	"86-045"	"--"	"--"	"新疆哈密市"	"腌制"	"Ⅱ3C0126"	"7中-10下"	"--"	"45.0"	"220.0"	"--"
"58"	"--"	"Cruciferae(十字花科)"	"圆锥"	"大头菜"	"--"	"--"	"微皱"	"--"	"1200"	"云南"	"--"	"--"	"DA TOU CAI"	"深裂"	"15.4"	"--"	"Brassica(芸薹属)"	"V03C0118"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"较耐旱"	"云南农科院园艺所"	"100"	"--"	"--"	"--"	"深绿"	"8.6"	"--"	"--"	"长椭圆"	"--"	"--"	"--"	"艮硬"	"中"	"--"	"46#"	"--"	"--"	"云南保山市"	"腌制"	"Ⅱ3C0108"	"9下-12中1中"	"--"	"38.2"	"650.0"	"--"
"59"	"--"	"Cruciferae(十字花科)"	"圆锥"	"83-06-60"	"--"	"--"	"较平"	"--"	"1100"	"云南"	"--"	"--"	"83-06-60"	"浅裂"	"18.5"	"--"	"Brassica(芸薹属)"	"V03C0119"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"较耐瘠旱"	"云南农科院园艺所"	"100"	"--"	"--"	"--"	"深绿"	"8.1"	"--"	"--"	"长椭圆"	"--"	"--"	"--"	"艮硬"	"中"	"--"	"133#"	"--"	"--"	"云南昆明市"	"腌制"	"Ⅱ3C0143"	"9上-12下1中"	"--"	"40.0"	"460.0"	"--"
"60"	"--"	"Cruciferae(十字花科)"	"圆锥"	"芥菜"	"--"	"--"	"较平"	"--"	"1020"	"云南"	"--"	"--"	"JIE CAI"	"浅裂"	"19.4"	"--"	"Brassica(芸薹属)"	"V03C0120"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"耐旱"	"云南农科院园艺所"	"80"	"--"	"--"	"--"	"深绿"	"7.7"	"--"	"--"	"长椭圆"	"--"	"--"	"--"	"艮硬"	"中"	"--"	"30#"	"--"	"--"	"云南昆明市"	"腌制"	"Ⅱ3C0107"	"9下-12中1上"	"--"	"38.8"	"500.0"	"--"
